,UCBI US Equity,UCBI US Equity,UCBI US Equity,UCBI US Equity,UCBI US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,27.0998,27.2667,26.9593,27.1262,530924.0
2020-01-02,27.2316,27.2492,26.8978,27.2228,369125.0
2020-01-03,26.8539,27.1965,26.6606,27.0823,590325.0
2020-01-04,26.8539,27.1965,26.6606,27.0823,590325.0
2020-01-05,26.8539,27.1965,26.6606,27.0823,590325.0
2020-01-06,26.8627,26.8627,26.5201,26.5991,315688.0
2020-01-07,26.4762,26.4762,25.9579,26.0721,325432.0
2020-01-08,26.116,26.6518,26.116,26.5728,450718.0
2020-01-09,26.7309,26.9154,26.5025,26.6694,483358.0
2020-01-10,26.6255,26.6958,26.2829,26.3356,335334.0
2020-01-11,26.6255,26.6958,26.2829,26.3356,335334.0
2020-01-12,26.6255,26.6958,26.2829,26.3356,335334.0
2020-01-13,26.3356,26.3356,26.1423,26.2917,245814.0
2020-01-14,26.2653,26.362,26.0457,26.1072,318639.0
2020-01-15,25.8788,25.9842,25.6329,25.914,522222.0
2020-01-16,26.116,26.5728,25.9403,26.4937,253633.0
2020-01-17,26.7397,26.7397,26.3005,26.6431,296129.0
2020-01-18,26.7397,26.7397,26.3005,26.6431,296129.0
2020-01-19,26.7397,26.7397,26.3005,26.6431,296129.0
2020-01-20,26.7397,26.7397,26.3005,26.6431,296129.0
2020-01-21,26.5464,26.5464,26.1072,26.1248,336079.0
2020-01-22,26.5728,26.5728,25.4484,25.6592,577170.0
2020-01-23,25.747,26.0194,25.5011,25.8876,537769.0
2020-01-24,25.791,25.8677,25.0092,25.3605,354293.0
2020-01-25,25.791,25.8677,25.0092,25.3605,354293.0
2020-01-26,25.791,25.8677,25.0092,25.3605,354293.0
2020-01-27,24.9125,25.2882,24.6841,24.9916,315251.0
2020-01-28,25.1673,25.2727,24.9652,25.0619,195801.0
2020-01-29,25.1848,25.1848,24.7193,24.7281,227038.0
2020-01-30,24.4997,25.1321,24.4733,25.075,389311.0
2020-01-31,24.9037,24.9828,24.4557,24.526,361480.0
2020-02-01,24.9037,24.9828,24.4557,24.526,361480.0
2020-02-02,24.9037,24.9828,24.4557,24.526,361480.0
