,EQH US Equity,EQH US Equity,EQH US Equity,EQH US Equity,EQH US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,13.8464,14.4097,13.8118,14.4097,2396309.0
2019-01-02,14.141,14.427,13.9071,14.219,5238157.0
2019-01-03,14.115,14.4097,13.9591,14.0544,5796112.0
2019-01-04,14.3577,14.9642,14.2537,14.9469,3908977.0
2019-01-05,14.3577,14.9642,14.2537,14.9469,3908977.0
2019-01-06,14.3577,14.9642,14.2537,14.9469,3908977.0
2019-01-07,14.9642,15.3715,14.8602,15.0768,4802009.0
2019-01-08,15.1548,15.3238,14.9382,15.2588,2280855.0
2019-01-09,15.2848,15.5794,15.1332,15.4494,3679153.0
2019-01-10,15.4061,15.6921,15.3281,15.6487,2823749.0
2019-01-11,15.5188,15.9347,15.5188,15.8307,3699065.0
2019-01-12,15.5188,15.9347,15.5188,15.8307,3699065.0
2019-01-13,15.5188,15.9347,15.5188,15.8307,3699065.0
2019-01-14,15.6921,16.0127,15.6921,15.8567,4990888.0
2019-01-15,15.7787,16.082,15.7267,15.9693,1399749.0
2019-01-16,15.978,16.2986,15.978,16.2033,1738488.0
2019-01-17,16.1773,16.5065,16.0993,16.4632,3086134.0
2019-01-18,16.5412,16.5975,16.2726,16.3592,2351833.0
2019-01-19,16.5412,16.5975,16.2726,16.3592,2351833.0
2019-01-20,16.5412,16.5975,16.2726,16.3592,2351833.0
2019-01-21,16.5412,16.5975,16.2726,16.3592,2351833.0
2019-01-22,16.2379,16.3766,15.8653,15.9867,2333283.0
2019-01-23,16.03,16.1253,15.848,16.03,1152395.0
2019-01-24,16.0127,16.2553,15.9433,15.978,2874451.0
2019-01-25,16.1166,16.3592,16.0993,16.16,1809132.0
2019-01-26,16.1166,16.3592,16.0993,16.16,1809132.0
2019-01-27,16.1166,16.3592,16.0993,16.16,1809132.0
2019-01-28,16.0127,16.2293,15.861,15.9433,2069426.0
2019-01-29,15.926,16.082,15.926,15.978,1794948.0
2019-01-30,15.9953,16.1859,15.8653,16.0646,1709353.0
2019-01-31,15.9867,16.2206,15.8653,16.0646,1835751.0
2019-02-01,16.082,16.3072,15.952,16.0473,2558269.0
2019-02-02,16.082,16.3072,15.952,16.0473,2558269.0
2019-02-03,16.082,16.3072,15.952,16.0473,2558269.0
2019-02-04,15.9867,16.2119,15.9607,16.1253,1242491.0
2019-02-05,16.1513,16.2813,15.9347,16.1426,1501135.0
2019-02-06,16.082,16.2466,16.0213,16.0906,1243164.0
2019-02-07,15.9867,16.1253,15.6531,15.8653,1859770.0
2019-02-08,15.7614,15.9,15.5967,15.796,1377858.0
2019-02-09,15.7614,15.9,15.5967,15.796,1377858.0
2019-02-10,15.7614,15.9,15.5967,15.796,1377858.0
2019-02-11,15.8134,15.9173,15.7007,15.7527,2136179.0
2019-02-12,15.9607,16.2813,15.939,16.2293,4340224.0
2019-02-13,16.3073,16.5932,16.3073,16.4026,2487314.0
2019-02-14,16.4026,16.5412,16.0993,16.2379,1106565.0
2019-02-15,16.3939,16.7752,16.3766,16.7578,2433013.0
2019-02-16,16.3939,16.7752,16.3766,16.7578,2433013.0
2019-02-17,16.3939,16.7752,16.3766,16.7578,2433013.0
2019-02-18,16.3939,16.7752,16.3766,16.7578,2433013.0
2019-02-19,16.6885,16.9311,16.5932,16.8271,1310813.0
2019-02-20,16.7925,16.9831,16.7145,16.9051,1824783.0
2019-02-21,16.9051,17.0351,16.6712,16.7145,1765071.0
2019-02-22,16.7838,16.9181,16.6885,16.7578,1582290.0
2019-02-23,16.7838,16.9181,16.6885,16.7578,1582290.0
2019-02-24,16.7838,16.9181,16.6885,16.7578,1582290.0
2019-02-25,16.8791,16.9918,16.6365,16.6452,1805647.0
2019-02-26,16.5672,16.8012,16.4979,16.6192,1968333.0
2019-02-27,16.6019,16.7448,16.4979,16.6712,1383828.0
2019-02-28,16.7058,16.7578,16.4026,16.5672,2179243.0
2019-03-01,17.5463,17.5463,16.7058,17.503,5386732.0
2019-03-02,17.5463,17.5463,16.7058,17.503,5386732.0
2019-03-03,17.5463,17.5463,16.7058,17.503,5386732.0
2019-03-04,17.66,18.0699,17.4158,17.8257,2777134.0
2019-03-05,17.8082,17.8344,17.4332,17.5205,1172654.0
2019-03-06,17.5641,17.6338,17.2152,17.2763,1449768.0
2019-03-07,17.2414,17.2414,16.9623,17.1542,1931177.0
2019-03-08,17.0146,17.3504,17.0146,17.3199,1398950.0
2019-03-09,17.0146,17.3504,17.0146,17.3199,1398950.0
2019-03-10,17.0146,17.3504,17.0146,17.3199,1398950.0
2019-03-11,17.3635,17.7036,17.3635,17.6077,1381617.0
2019-03-12,17.66,17.7995,17.5728,17.5728,1723258.0
2019-03-13,17.7036,17.8257,17.6338,17.6338,1592182.0
2019-03-14,17.6338,17.9129,17.5815,17.9129,1489954.0
2019-03-15,17.9739,18.2094,17.9391,18.1048,4320906.0
2019-03-16,17.9739,18.2094,17.9391,18.1048,4320906.0
2019-03-17,17.9739,18.2094,17.9391,18.1048,4320906.0
2019-03-18,18.1135,18.5495,18.0263,18.2007,3047053.0
2019-03-19,18.0873,18.8242,17.9652,18.6542,3079878.0
2019-03-20,18.6193,18.6193,18.1135,18.1833,4708634.0
2019-03-21,18.0088,18.2879,17.9216,18.1309,19575107.0
2019-03-22,17.878,18.0263,17.0059,17.1978,9708608.0
2019-03-23,17.878,18.0263,17.0059,17.1978,9708608.0
2019-03-24,17.878,18.0263,17.0059,17.1978,9708608.0
2019-03-25,17.2501,17.3984,16.8533,16.8664,6580635.0
2019-03-26,16.9885,17.5553,16.9798,17.442,5818677.0
2019-03-27,17.3984,17.4681,17.1891,17.3373,1705002.0
2019-03-28,17.3199,17.4681,17.2065,17.4594,2018022.0
2019-03-29,17.5902,17.7036,17.3853,17.5641,2641323.0
2019-03-30,17.5902,17.7036,17.3853,17.5641,2641323.0
2019-03-31,17.5902,17.7036,17.3853,17.5641,2641323.0
2019-04-01,17.7821,18.2269,17.7821,18.2094,2889484.0
2019-04-02,18.1658,18.3489,17.8693,18.0088,3253141.0
2019-04-03,18.2007,18.4623,18.1396,18.3402,3139033.0
2019-04-04,18.3402,18.7196,18.301,18.6367,3147799.0
2019-04-05,18.7763,19.1382,18.6978,19.0466,6201344.0
2019-04-06,18.7763,19.1382,18.6978,19.0466,6201344.0
2019-04-07,18.7763,19.1382,18.6978,19.0466,6201344.0
2019-04-08,19.0728,19.1164,18.8373,19.1164,3806397.0
2019-04-09,19.0292,19.1077,18.7806,18.9071,2582079.0
2019-04-10,18.8984,19.1077,18.846,19.0553,2211486.0
2019-04-11,19.0117,19.3519,18.9856,19.0641,1824166.0
2019-04-12,19.3867,19.6135,19.2647,19.4216,3481424.0
2019-04-13,19.3867,19.6135,19.2647,19.4216,3481424.0
2019-04-14,19.3867,19.6135,19.2647,19.4216,3481424.0
2019-04-15,19.4827,19.6222,19.3257,19.4565,2211177.0
2019-04-16,19.5524,19.7094,19.4478,19.692,2825648.0
2019-04-17,19.8054,19.8402,19.6222,19.7007,2127258.0
2019-04-18,19.7356,19.7966,19.4304,19.7094,2274600.0
2019-04-19,19.7356,19.7966,19.4304,19.7094,2274600.0
