,PFSI US Equity,PFSI US Equity,PFSI US Equity,PFSI US Equity,PFSI US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,19.6005,20.0428,19.5064,20.0051,186879.0
2019-01-02,19.7887,20.2262,19.6758,20.1745,320048.0
2019-01-03,20.0522,20.3345,19.8075,19.9863,194068.0
2019-01-04,20.1745,20.3815,19.9863,19.9863,532246.0
2019-01-05,20.1745,20.3815,19.9863,19.9863,532246.0
2019-01-06,20.1745,20.3815,19.9863,19.9863,532246.0
2019-01-07,19.9298,19.9957,19.497,19.497,411545.0
2019-01-08,19.5534,19.7134,19.0641,19.6758,274699.0
2019-01-09,19.7605,19.8451,19.4876,19.6758,269855.0
2019-01-10,19.5911,19.8357,19.5346,19.5911,218184.0
2019-01-11,19.5346,19.911,19.4123,19.7887,283674.0
2019-01-12,19.5346,19.911,19.4123,19.7887,283674.0
2019-01-13,19.5346,19.911,19.4123,19.7887,283674.0
2019-01-14,19.7887,20.1651,19.657,19.8263,191753.0
2019-01-15,19.8357,19.8357,19.497,19.5346,158250.0
2019-01-16,19.5911,19.7416,19.3464,19.6287,410639.0
2019-01-17,19.6099,19.7511,19.5064,19.544,263927.0
2019-01-18,19.6475,19.6475,19.3653,19.4876,183420.0
2019-01-19,19.6475,19.6475,19.3653,19.4876,183420.0
2019-01-20,19.6475,19.6475,19.3653,19.4876,183420.0
2019-01-21,19.6475,19.6475,19.3653,19.4876,183420.0
2019-01-22,19.4123,19.544,19.2053,19.3464,198170.0
2019-01-23,19.3464,19.3841,19.1582,19.29,361071.0
2019-01-24,19.29,19.2994,19.0265,19.1394,204121.0
2019-01-25,19.2806,19.6664,19.1676,19.5252,338446.0
2019-01-26,19.2806,19.6664,19.1676,19.5252,338446.0
2019-01-27,19.2806,19.6664,19.1676,19.5252,338446.0
2019-01-28,19.337,19.8263,19.2335,19.8169,86381.0
2019-01-29,19.8075,19.8734,19.5817,19.6946,94525.0
2019-01-30,19.5629,19.6852,19.4029,19.4688,139685.0
2019-01-31,19.3653,19.5629,19.3464,19.4593,104389.0
2019-02-01,19.497,19.6711,19.3464,19.4217,54900.0
2019-02-02,19.497,19.6711,19.3464,19.4217,54900.0
2019-02-03,19.497,19.6711,19.3464,19.4217,54900.0
2019-02-04,19.4311,19.5723,19.3276,19.5252,123474.0
2019-02-05,19.5629,19.7134,19.4593,19.6381,114844.0
2019-02-06,19.5723,19.8451,19.5534,19.7511,95019.0
2019-02-07,19.6475,20.1369,19.6193,19.9298,419648.0
2019-02-08,20.325,21.4542,20.2215,20.7014,325486.0
2019-02-09,20.325,21.4542,20.2215,20.7014,325486.0
2019-02-10,20.325,21.4542,20.2215,20.7014,325486.0
2019-02-11,20.6167,20.899,20.2498,20.5603,395352.0
2019-02-12,20.7579,20.8238,20.485,20.6356,243465.0
2019-02-13,20.7297,20.9085,20.4474,20.8238,263767.0
2019-02-14,20.8238,21.3037,20.6356,21.1907,222711.0
2019-02-15,21.3601,21.5671,21.3178,21.5107,195431.0
2019-02-16,21.3601,21.5671,21.3178,21.5107,195431.0
2019-02-17,21.3601,21.5671,21.3178,21.5107,195431.0
2019-02-18,21.3601,21.5671,21.3178,21.5107,195431.0
2019-02-19,21.426,22.6775,21.426,22.5928,982170.0
2019-02-20,22.621,23.0162,22.3858,22.9127,421548.0
2019-02-21,22.9221,23.0539,22.2729,22.5646,481854.0
2019-02-22,22.6304,22.988,22.527,22.9598,435327.0
2019-02-23,22.6304,22.988,22.527,22.9598,435327.0
2019-02-24,22.6304,22.988,22.527,22.9598,435327.0
2019-02-25,23.0539,23.0539,22.6116,22.6775,709179.0
2019-02-26,22.7057,22.7057,22.0658,22.1129,293280.0
2019-02-27,22.1223,22.1223,21.7741,21.8682,263381.0
2019-02-28,21.8024,22.047,21.7459,21.9435,292712.0
2019-03-01,22.0847,22.0941,21.84,22.0753,217807.0
2019-03-02,22.0847,22.0941,21.84,22.0753,217807.0
2019-03-03,22.0847,22.0941,21.84,22.0753,217807.0
2019-03-04,22.0658,22.0658,21.5201,21.5483,322482.0
2019-03-05,21.5107,21.7459,21.3319,21.7365,208878.0
2019-03-06,21.7365,21.7741,21.5013,21.68,367134.0
2019-03-07,21.5954,21.5954,20.8144,20.8896,246476.0
2019-03-08,20.8144,21.1155,20.7297,21.012,233371.0
2019-03-09,20.8144,21.1155,20.7297,21.012,233371.0
2019-03-10,20.8144,21.1155,20.7297,21.012,233371.0
2019-03-11,21.059,21.1719,20.7767,21.0778,345313.0
2019-03-12,21.1061,21.219,20.8614,21.2096,132737.0
2019-03-13,21.3225,21.7365,21.1719,21.4636,365693.0
2019-03-14,21.4636,21.7365,21.3883,21.5577,239468.0
2019-03-15,21.5483,21.6895,21.4636,21.5671,463723.0
2019-03-16,21.5483,21.6895,21.4636,21.5671,463723.0
2019-03-17,21.5483,21.6895,21.4636,21.5671,463723.0
