,IP US Equity,IP US Equity,IP US Equity,IP US Equity,IP US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,29.6376,29.9264,29.0449,29.8968,3261150.0
2019-01-02,29.5635,30.4746,29.2746,30.3857,3107271.0
2019-01-03,30.119,30.645,29.6005,29.8968,3485169.0
2019-01-04,30.6079,31.445,30.445,31.3042,3018009.0
2019-01-05,30.6079,31.445,30.445,31.3042,3018009.0
2019-01-06,30.6079,31.445,30.445,31.3042,3018009.0
2019-01-07,31.3042,32.208,31.1339,31.682,3402624.0
2019-01-08,32.0302,32.2746,31.8376,32.1191,3413687.0
2019-01-09,31.5931,31.8463,31.0931,31.6376,4038333.0
2019-01-10,31.5561,33.3784,31.445,33.1932,6789930.0
2019-01-11,33.0376,33.5302,32.8672,33.5117,3805730.0
2019-01-12,33.0376,33.5302,32.8672,33.5117,3805730.0
2019-01-13,33.0376,33.5302,32.8672,33.5117,3805730.0
2019-01-14,33.2228,33.245,32.6969,32.7709,2552859.0
2019-01-15,32.7709,33.1784,32.645,33.1191,1581446.0
2019-01-16,33.0895,33.2635,32.8487,32.9117,2112206.0
2019-01-17,32.7043,33.5006,32.5191,33.3339,2121933.0
2019-01-18,33.5181,34.1776,33.4376,33.8376,3344382.0
2019-01-19,33.5181,34.1776,33.4376,33.8376,3344382.0
2019-01-20,33.5181,34.1776,33.4376,33.8376,3344382.0
2019-01-21,33.5181,34.1776,33.4376,33.8376,3344382.0
2019-01-22,33.7043,34.0006,33.5265,33.8821,2543066.0
2019-01-23,34.6302,34.7488,33.6598,33.9487,3250080.0
2019-01-24,33.9932,34.3562,33.8969,34.2747,2288593.0
2019-01-25,34.6525,35.2006,34.6525,34.7932,2692561.0
2019-01-26,34.6525,35.2006,34.6525,34.7932,2692561.0
2019-01-27,34.6525,35.2006,34.6525,34.7932,2692561.0
2019-01-28,34.5487,34.7117,34.208,34.7043,2578990.0
2019-01-29,34.8302,35.2525,34.7932,35.0599,2635726.0
2019-01-30,35.1858,35.4228,34.4969,35.0451,3546085.0
2019-01-31,35.4154,35.571,34.9191,35.1339,4163083.0
2019-02-01,35.2525,35.2525,34.2413,34.3265,3630201.0
2019-02-02,35.2525,35.2525,34.2413,34.3265,3630201.0
2019-02-03,35.2525,35.2525,34.2413,34.3265,3630201.0
2019-02-04,34.2673,34.3932,33.9265,34.3784,2480673.0
2019-02-05,34.4302,34.7784,34.3191,34.6525,2289573.0
2019-02-06,34.5191,35.1265,34.4969,34.9043,1936786.0
2019-02-07,34.7117,34.8228,34.0302,34.3043,2582966.0
2019-02-08,34.1932,34.3673,33.708,34.0673,2243855.0
2019-02-09,34.1932,34.3673,33.708,34.0673,2243855.0
2019-02-10,34.1932,34.3673,33.708,34.0673,2243855.0
2019-02-11,34.1858,34.208,33.608,33.7932,2254599.0
2019-02-12,34.0821,35.0228,34.0821,34.8376,3167882.0
2019-02-13,35.1043,35.1488,34.608,34.6376,2464614.0
2019-02-14,34.4599,34.7117,34.3043,34.445,2314253.0
2019-02-15,34.7562,35.0488,34.571,34.9265,2923202.0
2019-02-16,34.7562,35.0488,34.571,34.9265,2923202.0
2019-02-17,34.7562,35.0488,34.571,34.9265,2923202.0
2019-02-18,34.7562,35.0488,34.571,34.9265,2923202.0
2019-02-19,34.9265,35.3636,34.6856,35.1339,2931716.0
2019-02-20,35.1489,36.1147,35.1489,35.7404,4045787.0
2019-02-21,35.5457,35.6206,34.8366,34.9992,3156724.0
2019-02-22,35.1938,35.4484,34.6922,34.9917,3156918.0
2019-02-23,35.1938,35.4484,34.6922,34.9917,3156918.0
2019-02-24,35.1938,35.4484,34.6922,34.9917,3156918.0
2019-02-25,35.3436,35.7703,35.2987,35.6281,3022564.0
2019-02-26,35.5831,35.92,35.2762,35.2987,2243933.0
2019-02-27,35.1115,35.2761,34.7521,34.9243,1909867.0
2019-02-28,34.6848,34.8869,34.1532,34.303,3085581.0
2019-03-01,34.6398,34.7821,34.2805,34.6174,3033415.0
2019-03-02,34.6398,34.7821,34.2805,34.6174,3033415.0
2019-03-03,34.6398,34.7821,34.2805,34.6174,3033415.0
2019-03-04,34.7746,34.8466,33.7714,34.3928,2863804.0
2019-03-05,34.3479,34.7372,34.2955,34.4602,2193856.0
2019-03-06,34.4901,34.7297,34.2655,34.4227,1464379.0
2019-03-07,34.3741,34.4751,33.7939,34.3329,2107930.0
2019-03-08,34.026,34.2955,33.7864,34.2655,2266495.0
2019-03-09,34.026,34.2955,33.7864,34.2655,2266495.0
2019-03-10,34.026,34.2955,33.7864,34.2655,2266495.0
2019-03-11,34.4377,35.0553,34.4302,34.7971,3192127.0
2019-03-12,35.0516,35.265,34.9393,35.0741,3099777.0
2019-03-13,35.3061,35.7254,35.1115,35.4184,3166334.0
2019-03-14,35.4184,35.4184,34.826,35.1564,2889078.0
2019-03-15,34.812,35.0291,33.8987,34.0709,8421272.0
2019-03-16,34.812,35.0291,33.8987,34.0709,8421272.0
2019-03-17,34.812,35.0291,33.8987,34.0709,8421272.0
2019-03-18,34.1607,34.6174,33.9735,34.6099,3004956.0
2019-03-19,34.7709,35.1789,34.4415,34.565,2449850.0
2019-03-20,34.58,34.6249,33.5431,33.8163,3692122.0
2019-03-21,33.7115,34.3404,33.6441,34.2505,3309920.0
2019-03-22,34.1083,34.1981,33.2099,33.2399,2970795.0
2019-03-23,34.1083,34.1981,33.2099,33.2399,2970795.0
2019-03-24,34.1083,34.1981,33.2099,33.2399,2970795.0
2019-03-25,32.918,33.6142,32.7308,33.2099,2311285.0
2019-03-26,33.5318,33.8762,33.442,33.8463,2026461.0
2019-03-27,33.996,34.273,33.7939,34.0185,2187351.0
2019-03-28,34.1008,34.4602,34.0297,34.4377,2042216.0
2019-03-29,34.6024,34.812,34.1158,34.6398,2222988.0
2019-03-30,34.6024,34.812,34.1158,34.6398,2222988.0
2019-03-31,34.6024,34.812,34.1158,34.6398,2222988.0
2019-04-01,34.8195,35.7179,34.7278,35.673,3150152.0
2019-04-02,35.673,35.7254,35.119,35.2837,1979667.0
2019-04-03,35.5831,35.9051,35.396,35.7104,2937336.0
2019-04-04,35.5831,35.5831,34.857,35.4184,2409212.0
2019-04-05,34.827,35.7029,34.565,35.4634,2848736.0
2019-04-06,34.827,35.7029,34.565,35.4634,2848736.0
2019-04-07,34.827,35.7029,34.565,35.4634,2848736.0
2019-04-08,35.4634,35.5831,35.2388,35.4559,1507952.0
2019-04-09,35.2612,35.3585,34.9468,35.2837,1853248.0
2019-04-10,35.1489,35.4035,34.8195,35.1339,1898557.0
2019-04-11,35.2912,35.7404,35.119,35.2313,2157717.0
2019-04-12,35.5307,35.9051,35.5083,35.7553,1911487.0
2019-04-13,35.5307,35.9051,35.5083,35.7553,1911487.0
2019-04-14,35.5307,35.9051,35.5083,35.7553,1911487.0
2019-04-15,35.6954,35.8826,35.1864,35.2462,2449925.0
2019-04-16,33.6516,33.981,32.8431,33.6217,9640779.0
2019-04-17,33.7115,33.7639,32.7009,32.9105,4220592.0
2019-04-18,32.8955,33.4196,32.888,33.2623,2522756.0
2019-04-19,32.8955,33.4196,32.888,33.2623,2522756.0
2019-04-20,32.8955,33.4196,32.888,33.2623,2522756.0
2019-04-21,32.8955,33.4196,32.888,33.2623,2522756.0
2019-04-22,33.749,34.2505,32.9704,33.0827,2878378.0
2019-04-23,33.0827,33.6441,32.7683,33.457,3345331.0
2019-04-24,33.2998,33.6254,33.15,33.1575,3182903.0
2019-04-25,33.8762,34.7896,33.1051,34.0858,5155871.0
2019-04-26,34.2505,34.7521,34.0334,34.4302,2820872.0
2019-04-27,34.2505,34.7521,34.0334,34.4302,2820872.0
2019-04-28,34.2505,34.7521,34.0334,34.4302,2820872.0
2019-04-29,34.55,34.9243,34.3704,34.8045,2444633.0
2019-04-30,34.8045,35.2837,34.3729,35.0441,4122313.0
2019-05-01,35.0366,35.1789,34.3179,34.4527,2723900.0
2019-05-02,34.4602,34.9992,34.288,34.6922,2142012.0
2019-05-03,34.812,35.5345,34.7671,35.2612,2556159.0
2019-05-04,34.812,35.5345,34.7671,35.2612,2556159.0
2019-05-05,34.812,35.5345,34.7671,35.2612,2556159.0
2019-05-06,34.5949,35.0142,34.4527,34.857,2113569.0
2019-05-07,34.5051,34.5725,34.0971,34.4527,2864700.0
2019-05-08,34.2955,34.4677,34.1158,34.1532,1908783.0
2019-05-09,33.7639,34.4078,33.442,34.2206,2275981.0
2019-05-10,34.0484,34.2992,33.5992,34.1757,2131019.0
2019-05-11,34.0484,34.2992,33.5992,34.1757,2131019.0
2019-05-12,34.0484,34.2992,33.5992,34.1757,2131019.0
2019-05-13,33.4944,33.5543,32.7458,33.0602,3711587.0
2019-05-14,33.2099,33.8687,33.1575,33.4944,2390682.0
2019-05-15,33.2399,33.7789,33.0901,33.5543,2779964.0
2019-05-16,33.6816,34.3591,33.6666,33.9586,2656160.0
2019-05-17,33.6891,33.9361,33.3522,33.7415,2125943.0
