,GEF/B US Equity,GEF/B US Equity,GEF/B US Equity,GEF/B US Equity,GEF/B US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,42.227,42.5195,41.6745,42.0645,7796.0
2020-01-02,42.0645,42.0645,40.8944,41.2763,11162.0
2020-01-03,40.8294,41.1382,40.1469,40.1469,11483.0
2020-01-04,40.8294,41.1382,40.1469,40.1469,11483.0
2020-01-05,40.8294,41.1382,40.1469,40.1469,11483.0
2020-01-06,39.7325,40.3988,39.7119,39.8463,12246.0
2020-01-07,39.8544,40.9919,39.6838,40.2282,11430.0
2020-01-08,40.8294,40.9351,40.4719,40.4882,12523.0
2020-01-09,40.8538,41.3454,40.8213,41.0326,6890.0
2020-01-10,40.7401,41.1463,40.6669,40.6669,7249.0
2020-01-11,40.7401,41.1463,40.6669,40.6669,7249.0
2020-01-12,40.7401,41.1463,40.6669,40.6669,7249.0
2020-01-13,40.7644,42.0564,40.7644,42.0564,9846.0
2020-01-14,42.2676,42.5682,41.9264,41.9995,9851.0
2020-01-15,41.7798,42.3204,41.5607,41.9995,12840.0
2020-01-16,41.9995,42.7876,41.9995,42.7389,7603.0
2020-01-17,43.0558,43.0558,42.1701,42.2351,7767.0
2020-01-18,43.0558,43.0558,42.1701,42.2351,7767.0
2020-01-19,43.0558,43.0558,42.1701,42.2351,7767.0
2020-01-20,43.0558,43.0558,42.1701,42.2351,7767.0
2020-01-21,42.3895,42.3895,41.3413,41.642,7518.0
2020-01-22,41.8451,41.8451,41.2357,41.5282,4584.0
2020-01-23,41.3576,41.8045,41.0732,41.6826,6561.0
2020-01-24,41.8614,41.8614,41.0407,41.0407,4994.0
2020-01-25,41.8614,41.8614,41.0407,41.0407,4994.0
2020-01-26,41.8614,41.8614,41.0407,41.0407,4994.0
2020-01-27,40.6263,41.1301,40.6263,40.6263,6585.0
2020-01-28,41.2601,41.2601,40.6263,40.8944,5037.0
2020-01-29,40.7157,40.9351,40.4232,40.7807,15626.0
2020-01-30,40.4232,40.6263,39.4969,40.6263,5157.0
2020-01-31,40.1185,40.1185,38.5137,38.5137,11822.0
2020-02-01,40.1185,40.1185,38.5137,38.5137,11822.0
2020-02-02,40.1185,40.1185,38.5137,38.5137,11822.0
2020-02-03,39.0256,40.0575,39.0256,39.7163,10477.0
2020-02-04,40.4476,40.5044,40.0575,40.0575,5707.0
2020-02-05,40.9432,41.4226,40.3826,41.4226,6085.0
2020-02-06,41.2845,41.2845,40.3501,40.3501,3740.0
2020-02-07,39.9925,39.9925,39.3263,39.83,6646.0
2020-02-08,39.9925,39.9925,39.3263,39.83,6646.0
2020-02-09,39.9925,39.9925,39.3263,39.83,6646.0
2020-02-10,39.5782,39.8788,39.245,39.8788,6023.0
2020-02-11,40.1225,40.2607,39.9925,40.0169,5604.0
2020-02-12,40.4232,40.6994,39.8138,39.8869,6645.0
2020-02-13,39.6107,40.1469,39.6107,39.7732,5619.0
2020-02-14,39.7894,40.3988,39.6757,39.6757,4519.0
2020-02-15,39.7894,40.3988,39.6757,39.6757,4519.0
2020-02-16,39.7894,40.3988,39.6757,39.6757,4519.0
2020-02-17,39.7894,40.3988,39.6757,39.6757,4519.0
2020-02-18,39.6188,39.7894,38.7656,39.0013,9015.0
2020-02-19,39.2531,39.6025,39.0013,39.0013,11457.0
2020-02-20,39.0013,39.4319,38.7656,38.8794,5189.0
2020-02-21,38.7169,39.2531,38.7169,39.0013,5451.0
2020-02-22,38.7169,39.2531,38.7169,39.0013,5451.0
2020-02-23,38.7169,39.2531,38.7169,39.0013,5451.0
2020-02-24,38.3919,38.3919,35.8603,36.2305,11473.0
2020-02-25,36.263,36.4499,34.7274,34.8818,11831.0
2020-02-26,34.9386,35.2068,33.7523,34.2642,13942.0
2020-02-27,32.241,33.8458,30.8679,30.8679,27636.0
2020-02-28,30.8679,32.5092,30.2097,32.5092,30837.0
2020-02-29,30.8679,32.5092,30.2097,32.5092,30837.0
2020-03-01,30.8679,32.5092,30.2097,32.5092,30837.0
2020-03-02,32.1517,32.501,31.1198,31.9404,25527.0
2020-03-03,32.1923,32.8504,31.2985,31.4448,26291.0
2020-03-04,31.7779,32.0217,30.5347,32.0217,26000.0
2020-03-05,31.4854,31.5098,29.8197,30.4779,34078.0
2020-03-06,30.2666,30.421,29.2509,30.1203,32106.0
2020-03-07,30.2666,30.421,29.2509,30.1203,32106.0
2020-03-08,30.2666,30.421,29.2509,30.1203,32106.0
2020-03-09,28.5603,28.5603,26.8459,28.0484,36888.0
2020-03-10,28.8447,30.1041,28.6009,29.8441,41005.0
2020-03-11,28.9503,28.9503,26.8459,27.8209,31344.0
2020-03-12,27.6259,27.6664,25.0989,26.334,26572.0
2020-03-13,27.504,30.5429,25.9561,29.7628,39071.0
2020-03-14,27.504,30.5429,25.9561,29.7628,39071.0
2020-03-15,27.504,30.5429,25.9561,29.7628,39071.0
2020-03-16,27.5771,31.9729,27.5771,28.3409,86309.0
2020-03-17,29.459,32.3411,27.3199,32.2086,42180.0
