,PGR US Equity,PGR US Equity,PGR US Equity,PGR US Equity,PGR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,51.4658,51.6971,51.1317,51.6886,2420558.0
2019-01-02,50.789,51.1831,50.352,50.7461,4153239.0
2019-01-03,50.5148,50.986,49.778,49.8894,3889160.0
2019-01-04,50.5919,51.4401,50.3949,51.0289,2717774.0
2019-01-05,50.5919,51.4401,50.3949,51.0289,2717774.0
2019-01-06,50.5919,51.4401,50.3949,51.0289,2717774.0
2019-01-07,50.8918,51.937,50.7204,51.4401,3065337.0
2019-01-08,52.0313,52.5882,51.3707,52.0313,2822617.0
2019-01-09,52.6738,53.1879,52.4254,52.5196,4301697.0
2019-01-10,52.4168,53.1108,52.0356,53.0937,2039575.0
2019-01-11,52.751,52.9566,52.1255,52.8452,1773854.0
2019-01-12,52.751,52.9566,52.1255,52.8452,1773854.0
2019-01-13,52.751,52.9566,52.1255,52.8452,1773854.0
2019-01-14,52.5282,53.0851,52.374,52.7595,2112942.0
2019-01-15,52.6653,53.2907,52.6471,53.1451,1821217.0
2019-01-16,53.3593,53.6763,52.9823,53.6334,2555058.0
2019-01-17,53.4021,54.2374,53.3336,54.1903,2939481.0
2019-01-18,54.4902,55.3641,54.0275,55.1927,3817593.0
2019-01-19,54.4902,55.3641,54.0275,55.1927,3817593.0
2019-01-20,54.4902,55.3641,54.0275,55.1927,3817593.0
2019-01-21,54.4902,55.3641,54.0275,55.1927,3817593.0
2019-01-22,54.8929,55.2698,53.9419,54.2246,4355263.0
2019-01-23,53.8905,55.8781,53.6763,55.6811,5317730.0
2019-01-24,55.3298,55.9124,54.9528,55.8953,3964516.0
2019-01-25,56.3665,56.3922,55.544,55.9467,3193279.0
2019-01-26,56.3665,56.3922,55.544,55.9467,3193279.0
2019-01-27,56.3665,56.3922,55.544,55.9467,3193279.0
2019-01-28,55.7239,55.9295,55.4326,55.861,2943567.0
2019-01-29,55.8867,56.4222,55.861,56.3836,4549806.0
2019-01-30,56.5207,57.3646,56.1138,57.189,4128236.0
2019-01-31,57.0776,57.7159,56.9491,57.6516,5243781.0
2019-02-01,58.0824,58.6164,57.584,58.563,3895015.0
2019-02-02,58.0824,58.6164,57.584,58.563,3895015.0
2019-02-03,58.0824,58.6164,57.584,58.563,3895015.0
2019-02-04,58.385,58.7766,57.9934,58.7677,2550158.0
2019-02-05,58.8923,59.4086,58.7232,59.2128,3134786.0
2019-02-06,59.1772,60.2185,58.9457,60.1384,3163639.0
2019-02-07,59.8358,60.4143,59.6133,60.2719,3058563.0
2019-02-08,59.8981,60.8504,59.818,60.8415,2564102.0
2019-02-09,59.8981,60.8504,59.818,60.8415,2564102.0
2019-02-10,59.8981,60.8504,59.818,60.8415,2564102.0
2019-02-11,60.9305,61.6069,60.5389,61.5535,3861622.0
2019-02-12,61.9095,62.3189,61.6336,61.6781,4762717.0
2019-02-13,62.3011,63.1911,62.0208,63.0131,4510040.0
2019-02-14,62.577,63.2623,62.1355,62.933,5961959.0
2019-02-15,63.5471,63.8764,63.2356,63.4225,4789684.0
2019-02-16,63.5471,63.8764,63.2356,63.4225,4789684.0
2019-02-17,63.5471,63.8764,63.2356,63.4225,4789684.0
2019-02-18,63.5471,63.8764,63.2356,63.4225,4789684.0
2019-02-19,63.3869,64.1256,63.3452,63.912,3478498.0
2019-02-20,64.1256,64.5083,63.8008,64.5083,5379344.0
2019-02-21,64.5083,64.6952,63.9298,64.179,4250968.0
2019-02-22,64.2947,64.535,64.0455,64.3214,2749937.0
2019-02-23,64.2947,64.535,64.0455,64.3214,2749937.0
2019-02-24,64.2947,64.535,64.0455,64.3214,2749937.0
2019-02-25,64.5528,64.9089,64.1701,64.7309,2661005.0
2019-02-26,64.446,64.9267,64.2324,64.3659,2847116.0
2019-02-27,64.2235,64.9534,64.1434,64.7131,2498993.0
2019-02-28,64.7932,65.345,64.5973,64.8822,3639372.0
2019-03-01,65.3628,65.6609,64.6863,64.989,3265266.0
2019-03-02,65.3628,65.6609,64.6863,64.989,3265266.0
2019-03-03,65.3628,65.6609,64.6863,64.989,3265266.0
2019-03-04,65.0424,65.5853,64.1345,64.7131,2499747.0
2019-03-05,64.7665,64.9489,64.4282,64.5261,1722966.0
2019-03-06,64.5973,64.811,63.9298,64.001,2215298.0
2019-03-07,64.0099,64.5706,63.6272,64.2769,3048393.0
2019-03-08,63.8319,64.4638,63.8141,64.3214,2436553.0
