,BWA US Equity,BWA US Equity,BWA US Equity,BWA US Equity,BWA US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,27.9237,28.2063,27.4472,28.0529,1228189.0
2019-01-02,27.4957,28.5051,27.3222,28.3678,1297919.0
2019-01-03,28.2144,28.2224,27.3746,27.5118,1569634.0
2019-01-04,27.9721,28.6666,27.8268,28.5454,2524509.0
2019-01-05,27.9721,28.6666,27.8268,28.5454,2524509.0
2019-01-06,27.9721,28.6666,27.8268,28.5454,2524509.0
2019-01-07,28.6747,29.462,28.3516,29.2884,1612955.0
2019-01-08,29.9747,30.33,29.7648,30.2089,2043694.0
2019-01-09,30.5158,31.2587,30.4431,31.2506,2422957.0
2019-01-10,30.9841,31.7674,30.8792,31.727,2298667.0
2019-01-11,31.7674,31.9128,31.2425,31.6544,1698345.0
2019-01-12,31.7674,31.9128,31.2425,31.6544,1698345.0
2019-01-13,31.7674,31.9128,31.2425,31.6544,1698345.0
2019-01-14,31.4525,32.151,31.2849,31.8078,2202688.0
2019-01-15,31.9289,32.1227,31.3637,31.8966,1056580.0
2019-01-16,31.8724,32.3044,31.6947,32.0016,1695884.0
2019-01-17,32.0016,32.4699,31.7149,32.365,1418497.0
2019-01-18,32.5426,32.9544,32.1873,32.801,1585323.0
2019-01-19,32.5426,32.9544,32.1873,32.801,1585323.0
2019-01-20,32.5426,32.9544,32.1873,32.801,1585323.0
2019-01-21,32.5426,32.9544,32.1873,32.801,1585323.0
2019-01-22,32.4861,32.7445,32.0581,32.3165,1527656.0
2019-01-23,32.2761,32.4473,31.3233,31.6301,1137154.0
2019-01-24,31.7351,32.4053,31.5736,32.3892,1658046.0
2019-01-25,32.9221,33.4551,32.7203,33.0917,1508401.0
2019-01-26,32.9221,33.4551,32.7203,33.0917,1508401.0
2019-01-27,32.9221,33.4551,32.7203,33.0917,1508401.0
2019-01-28,32.688,32.9221,32.4215,32.7687,1183248.0
2019-01-29,32.5749,32.9787,32.4619,32.6234,1033982.0
2019-01-30,32.6557,32.8898,32.1792,32.688,1898200.0
2019-01-31,32.5991,33.0594,32.4296,33.0271,1741038.0
2019-02-01,32.9706,33.4309,32.7849,33.2775,1771026.0
2019-02-02,32.9706,33.4309,32.7849,33.2775,1771026.0
2019-02-03,32.9706,33.4309,32.7849,33.2775,1771026.0
2019-02-04,33.019,33.2855,32.8656,33.0917,1672340.0
2019-02-05,33.019,33.2129,32.8939,33.0594,841808.0
2019-02-06,33.0271,33.3744,33.0029,33.2613,1043959.0
2019-02-07,32.6637,32.9141,31.3798,31.6705,1839986.0
2019-02-08,31.3152,31.5978,30.3623,30.9115,2408459.0
2019-02-09,31.3152,31.5978,30.3623,30.9115,2408459.0
2019-02-10,31.3152,31.5978,30.3623,30.9115,2408459.0
2019-02-11,30.9518,31.5948,30.8792,31.3475,2158475.0
2019-02-12,31.6624,32.5991,31.4444,32.4134,2815248.0
2019-02-13,32.5103,32.7122,32.2035,32.6072,2356523.0
2019-02-14,30.33,33.77,30.2816,32.8979,3236306.0
2019-02-15,33.7216,34.4645,33.4067,33.8508,2522198.0
2019-02-16,33.7216,34.4645,33.4067,33.8508,2522198.0
2019-02-17,33.7216,34.4645,33.4067,33.8508,2522198.0
2019-02-18,33.7216,34.4645,33.4067,33.8508,2522198.0
2019-02-19,33.6974,34.1173,33.3744,33.7458,1714790.0
2019-02-20,33.9558,34.0527,33.7539,33.8023,1831294.0
2019-02-21,33.6489,33.9073,32.8091,32.9625,1700266.0
2019-02-22,33.1886,33.7297,33.1806,33.657,1137041.0
2019-02-23,33.1886,33.7297,33.1806,33.657,1137041.0
2019-02-24,33.1886,33.7297,33.1806,33.657,1137041.0
2019-02-25,33.9719,34.2545,33.7377,33.8831,1313060.0
2019-02-26,33.7781,34.093,33.6328,33.657,1078071.0
2019-02-27,33.5762,33.8104,33.3017,33.4067,948603.0
2019-02-28,33.3256,33.4066,32.7215,32.9282,1630276.0
2019-03-01,33.2445,33.5364,32.7336,33.1634,1233992.0
2019-03-02,33.2445,33.5364,32.7336,33.1634,1233992.0
2019-03-03,33.2445,33.5364,32.7336,33.1634,1233992.0
2019-03-04,33.2445,33.4553,32.7742,33.0337,1182349.0
2019-03-05,33.0661,33.1553,32.7904,32.8391,1014216.0
2019-03-06,32.7174,32.7661,32.0525,32.0769,1607372.0
2019-03-07,31.866,31.8673,31.116,31.3147,1564464.0
2019-03-08,30.966,31.2255,30.7876,30.9011,1155987.0
2019-03-09,30.966,31.2255,30.7876,30.9011,1155987.0
2019-03-10,30.966,31.2255,30.7876,30.9011,1155987.0
2019-03-11,30.9174,31.5336,30.7795,31.3228,1384253.0
2019-03-12,31.5498,31.7363,31.2336,31.5012,1825676.0
2019-03-13,31.6228,31.7444,31.2985,31.3228,998073.0
2019-03-14,31.3471,31.3471,30.4876,30.5201,1112910.0
2019-03-15,30.7309,30.8038,30.4552,30.6579,1705808.0
2019-03-16,30.7309,30.8038,30.4552,30.6579,1705808.0
2019-03-17,30.7309,30.8038,30.4552,30.6579,1705808.0
2019-03-18,30.7957,31.1768,30.5768,31.1687,1234051.0
2019-03-19,31.485,31.6066,30.8403,30.9417,2109045.0
2019-03-20,30.8282,30.8606,30.0781,30.1957,1770711.0
2019-03-21,30.139,30.7552,30.0173,30.6336,1149280.0
2019-03-22,30.2687,30.3336,29.3605,29.3849,1227963.0
2019-03-23,30.2687,30.3336,29.3605,29.3849,1227963.0
2019-03-24,30.2687,30.3336,29.3605,29.3849,1227963.0
2019-03-25,29.3687,30.2525,29.2024,29.5389,1431299.0
2019-03-26,29.6525,30.0335,29.5795,29.8389,1202988.0
2019-03-27,29.9606,30.3011,29.697,30.0984,2138866.0
2019-03-28,30.1552,30.893,30.0984,30.6579,1919487.0
2019-03-29,30.966,31.3309,30.966,31.1444,2053549.0
2019-03-30,30.966,31.3309,30.966,31.1444,2053549.0
2019-03-31,30.966,31.3309,30.966,31.1444,2053549.0
2019-04-01,31.7525,32.8715,31.7525,32.8553,2288562.0
2019-04-02,32.8715,33.1877,32.5472,33.0093,2158602.0
2019-04-03,33.5688,34.1607,33.4229,33.7553,1795367.0
2019-04-04,33.8769,34.3918,33.7837,34.3553,2505158.0
2019-04-05,34.3391,34.5986,34.1242,34.1769,2071912.0
2019-04-06,34.3391,34.5986,34.1242,34.1769,2071912.0
2019-04-07,34.3391,34.5986,34.1242,34.1769,2071912.0
2019-04-08,34.0715,34.5783,34.031,34.558,2811560.0
2019-04-09,34.3472,34.4753,33.8648,33.9094,1278389.0
2019-04-10,33.8769,34.9472,33.8769,34.6878,2049125.0
2019-04-11,34.6716,34.8905,34.3553,34.6797,1327430.0
2019-04-12,35.1581,35.9162,35.15,35.8635,1802600.0
2019-04-13,35.1581,35.9162,35.15,35.8635,1802600.0
2019-04-14,35.1581,35.9162,35.15,35.8635,1802600.0
2019-04-15,35.7419,36.0071,35.3532,35.5797,1062835.0
2019-04-16,35.6365,35.7986,35.4581,35.5716,1524728.0
2019-04-17,35.9203,36.3095,35.2391,35.2716,3005792.0
2019-04-18,35.2716,35.6932,35.0527,35.677,1198531.0
2019-04-19,35.2716,35.6932,35.0527,35.677,1198531.0
2019-04-20,35.2716,35.6932,35.0527,35.677,1198531.0
2019-04-21,35.2716,35.6932,35.0527,35.677,1198531.0
2019-04-22,35.4986,35.6932,35.3121,35.4419,1186831.0
2019-04-23,35.5067,35.6851,35.1256,35.377,1349232.0
2019-04-24,35.2391,35.454,35.1256,35.3121,1554150.0
2019-04-25,35.6851,36.0804,33.4877,33.7067,2660919.0
2019-04-26,34.0391,34.5702,33.6742,34.477,1852496.0
2019-04-27,34.0391,34.5702,33.6742,34.477,1852496.0
2019-04-28,34.0391,34.5702,33.6742,34.477,1852496.0
2019-04-29,34.3067,34.4851,34.0878,34.0878,904446.0
2019-04-30,33.9823,34.1283,33.4634,33.8688,1503721.0
2019-05-01,33.958,34.0878,33.2769,33.285,1872877.0
2019-05-02,33.2364,33.3742,32.7985,33.1147,1556997.0
2019-05-03,33.2769,33.5445,33.0337,33.4796,789768.0
2019-05-04,33.2769,33.5445,33.0337,33.4796,789768.0
2019-05-05,33.2769,33.5445,33.0337,33.4796,789768.0
2019-05-06,32.4336,33.1229,31.9715,33.0337,1172979.0
2019-05-07,32.5309,32.6607,31.9755,32.2471,1159069.0
2019-05-08,32.2553,32.4661,31.9309,31.939,1103343.0
2019-05-09,31.193,31.3714,30.6579,31.2822,1477544.0
2019-05-10,31.0552,31.2904,30.5119,31.2012,958515.0
2019-05-11,31.0552,31.2904,30.5119,31.2012,958515.0
2019-05-12,31.0552,31.2904,30.5119,31.2012,958515.0
2019-05-13,30.3417,30.4309,29.6565,29.6849,1684363.0
2019-05-14,29.8714,30.1714,29.5714,29.6281,1435914.0
2019-05-15,29.2227,30.1065,28.7524,29.993,2223599.0
2019-05-16,29.9849,30.139,29.5633,29.7173,1597209.0
2019-05-17,29.4497,29.8471,29.3038,29.4011,1415835.0
2019-05-18,29.4497,29.8471,29.3038,29.4011,1415835.0
2019-05-19,29.4497,29.8471,29.3038,29.4011,1415835.0
2019-05-20,28.9065,29.316,28.6551,29.1416,2216659.0
2019-05-21,29.3443,29.9444,29.247,29.8471,2133489.0
2019-05-22,29.5876,29.7092,28.6308,28.6308,1573229.0
2019-05-23,28.3308,28.8092,27.8848,28.7605,1977070.0
2019-05-24,29.0849,29.2957,28.8497,28.8984,1321928.0
2019-05-25,29.0849,29.2957,28.8497,28.8984,1321928.0
2019-05-26,29.0849,29.2957,28.8497,28.8984,1321928.0
2019-05-27,29.0849,29.2957,28.8497,28.8984,1321928.0
2019-05-28,29.0119,29.6119,28.9713,29.547,2454877.0
2019-05-29,29.32,29.397,28.7605,29.2632,1901747.0
2019-05-30,29.9525,30.1795,29.4903,29.8227,2103668.0
2019-05-31,28.9837,29.5295,28.609,28.9022,2497951.0
2019-06-01,28.9837,29.5295,28.609,28.9022,2497951.0
2019-06-02,28.9837,29.5295,28.609,28.9022,2497951.0
2019-06-03,28.9022,30.3033,28.78,30.1567,2669505.0
2019-06-04,31.0854,31.5904,30.5722,31.232,2162723.0
2019-06-05,31.2809,31.6393,30.6292,31.623,1862094.0
2019-06-06,31.5008,31.8633,30.9713,31.7289,1354893.0
2019-06-07,31.9407,32.5191,31.7696,32.3969,1575418.0
2019-06-08,31.9407,32.5191,31.7696,32.3969,1575418.0
2019-06-09,31.9407,32.5191,31.7696,32.3969,1575418.0
2019-06-10,32.8449,33.2359,32.5517,32.8531,1529316.0
2019-06-11,33.2115,33.5577,33.1463,33.3337,1287968.0
2019-06-12,33.2929,33.2929,32.7797,33.0567,1620730.0
2019-06-13,33.073,33.4966,32.9264,33.4885,1316131.0
2019-06-14,33.3581,33.4233,32.7227,33.3581,1267807.0
2019-06-15,33.3581,33.4233,32.7227,33.3581,1267807.0
2019-06-16,33.3581,33.4233,32.7227,33.3581,1267807.0
2019-06-17,33.2929,33.7491,33.2278,33.4233,1323940.0
2019-06-18,33.6269,34.3112,33.6269,33.7736,1395119.0
2019-06-19,33.9935,34.0179,33.5699,33.7573,1296443.0
2019-06-20,34.189,34.4823,34.0057,34.3927,1531637.0
2019-06-21,34.3764,34.4904,34.0424,34.2216,1972251.0
2019-06-22,34.3764,34.4904,34.0424,34.2216,1972251.0
2019-06-23,34.3764,34.4904,34.0424,34.2216,1972251.0
2019-06-24,34.0261,34.3194,33.741,33.9691,1092465.0
2019-06-25,34.1076,34.1809,33.7328,33.798,1162846.0
2019-06-26,33.8713,34.246,33.798,33.8795,1887326.0
2019-06-27,34.2705,34.5311,34.1646,34.3194,1290275.0
2019-06-28,34.3438,34.6859,34.1483,34.1972,2950059.0
2019-06-29,34.3438,34.6859,34.1483,34.1972,2950059.0
2019-06-30,34.3438,34.6859,34.1483,34.1972,2950059.0
2019-07-01,34.8651,35.1991,33.8632,34.1727,1853013.0
2019-07-02,34.0994,34.189,33.3174,33.4722,1714246.0
2019-07-03,33.6921,33.7084,33.1056,33.1463,762672.0
2019-07-04,33.6921,33.7084,33.1056,33.1463,762672.0
2019-07-05,32.8938,33.6758,32.8938,33.2115,1039601.0
2019-07-06,32.8938,33.6758,32.8938,33.2115,1039601.0
2019-07-07,32.8938,33.6758,32.8938,33.2115,1039601.0
2019-07-08,32.9834,33.2522,32.6005,32.796,1425012.0
2019-07-09,32.4295,32.6413,31.623,32.014,1595537.0
2019-07-10,32.0873,32.3887,31.566,31.957,1312318.0
2019-07-11,31.8918,31.9488,31.3786,31.7859,1340564.0
2019-07-12,32.014,32.7064,31.8022,32.5598,1103774.0
2019-07-13,32.014,32.7064,31.8022,32.5598,1103774.0
2019-07-14,32.014,32.7064,31.8022,32.5598,1103774.0
2019-07-15,32.682,32.8042,32.0996,32.3562,1318924.0
2019-07-16,31.4031,32.9915,31.1424,32.9019,2308801.0
2019-07-17,32.7635,32.8849,32.0344,32.1606,1422199.0
2019-07-18,32.0059,32.2503,31.8918,32.0547,1156165.0
2019-07-19,32.2421,33.2115,32.2014,32.6168,1910149.0
2019-07-20,32.2421,33.2115,32.2014,32.6168,1910149.0
2019-07-21,32.2421,33.2115,32.2014,32.6168,1910149.0
2019-07-22,32.7553,33.1789,32.4702,32.5679,2174403.0
2019-07-23,33.4477,34.2623,33.2196,33.9528,3197612.0
2019-07-24,33.855,34.6208,33.8306,34.6045,2380141.0
2019-07-25,34.1564,34.2542,32.462,33.0486,3449943.0
2019-07-26,32.625,32.625,31.513,31.9,2910113.0
2019-07-27,32.625,32.625,31.513,31.9,2910113.0
2019-07-28,32.625,32.625,31.513,31.9,2910113.0
2019-07-29,31.8104,32.0792,31.623,31.6474,1961009.0
2019-07-30,31.1913,31.3379,30.7188,31.0202,2874393.0
2019-07-31,31.1668,31.2809,30.3115,30.7921,2190188.0
2019-08-01,30.9143,31.0202,29.3543,29.5295,2114340.0
2019-08-02,29.3258,29.3991,28.6415,29.1955,2011841.0
2019-08-03,29.3258,29.3991,28.6415,29.1955,2011841.0
2019-08-04,29.3258,29.3991,28.6415,29.1955,2011841.0
2019-08-05,28.5194,28.7149,27.9573,28.0713,2384459.0
2019-08-06,28.4379,28.6171,27.7658,27.9899,2353996.0
2019-08-07,27.5826,28.0795,27.4522,28.0306,2222706.0
2019-08-08,28.1609,28.6456,27.9736,28.4949,1636261.0
2019-08-09,28.275,28.3076,27.5011,27.5418,1739870.0
2019-08-10,28.275,28.3076,27.5011,27.5418,1739870.0
2019-08-11,28.275,28.3076,27.5011,27.5418,1739870.0
2019-08-12,27.2649,27.5337,26.8413,26.8983,1312460.0
2019-08-13,26.8576,27.8758,26.6295,27.0775,1446875.0
2019-08-14,26.5562,26.5887,25.5623,25.6601,2236537.0
2019-08-15,25.6845,25.823,25.1184,25.318,1535715.0
2019-08-16,25.5623,26.1611,25.4646,26.0674,1391941.0
2019-08-17,25.5623,26.1611,25.4646,26.0674,1391941.0
2019-08-18,25.5623,26.1611,25.4646,26.0674,1391941.0
2019-08-19,26.5236,26.6621,26.3281,26.491,1527267.0
2019-08-20,26.3688,26.3688,25.6927,25.8637,1205635.0
2019-08-21,26.3036,26.4665,26.1081,26.1163,1070477.0
2019-08-22,26.2385,26.3932,25.8149,25.9045,985772.0
2019-08-23,25.7253,25.9289,25.018,25.155,2420459.0
2019-08-24,25.7253,25.9289,25.018,25.155,2420459.0
2019-08-25,25.7253,25.9289,25.018,25.155,2420459.0
2019-08-26,25.5216,25.6357,25.0654,25.3017,1232243.0
2019-08-27,25.7253,26.157,25.2691,25.3668,1875611.0
2019-08-28,25.2528,25.9696,25.1224,25.9208,1425414.0
2019-08-29,26.2303,26.7761,26.2303,26.6783,1590374.0
2019-08-30,27.0059,27.2188,26.6292,26.7193,1175832.0
2019-08-31,27.0059,27.2188,26.6292,26.7193,1175832.0
2019-09-01,27.0059,27.2188,26.6292,26.7193,1175832.0
2019-09-02,27.0059,27.2188,26.6292,26.7193,1175832.0
2019-09-03,26.4163,26.49,25.9987,26.4654,1447799.0
2019-09-04,26.9158,27.2434,26.8339,27.1942,1570333.0
2019-09-05,27.6855,28.9548,27.6528,28.7337,2203662.0
2019-09-06,28.8565,29.1513,28.6518,29.0039,1358029.0
2019-09-07,28.8565,29.1513,28.6518,29.0039,1358029.0
2019-09-08,28.8565,29.1513,28.6518,29.0039,1358029.0
2019-09-09,29.3069,30.1503,29.2004,30.0193,1480380.0
2019-09-10,29.921,31.4891,29.8842,31.4523,2163221.0
2019-09-11,31.4769,32.0501,30.6744,32.0337,2527910.0
2019-09-12,31.7471,32.1974,31.1411,32.1319,1730244.0
2019-09-13,32.4349,33.1228,32.3858,32.7543,2034862.0
2019-09-14,32.4349,33.1228,32.3858,32.7543,2034862.0
2019-09-15,32.4349,33.1228,32.3858,32.7543,2034862.0
2019-09-16,32.3367,32.9999,32.0664,32.3367,1379344.0
2019-09-17,31.9764,32.0746,31.1984,31.5587,2181854.0
2019-09-18,31.5587,31.657,30.5843,30.7644,2340104.0
2019-09-19,30.6989,30.8791,30.2813,30.3223,1506981.0
2019-09-20,30.396,30.8054,29.8842,30.1094,2880923.0
2019-09-21,30.396,30.8054,29.8842,30.1094,2880923.0
2019-09-22,30.396,30.8054,29.8842,30.1094,2880923.0
2019-09-23,29.7327,30.545,29.6754,30.1421,1046582.0
2019-09-24,30.2486,30.4041,29.5443,29.6672,1112062.0
2019-09-25,29.5935,30.2281,29.2823,30.1667,1123199.0
2019-09-26,30.2076,30.2076,29.6836,29.9456,1094492.0
2019-09-27,30.1012,30.3632,29.6017,29.7982,1314454.0
2019-09-28,30.1012,30.3632,29.6017,29.7982,1314454.0
2019-09-29,30.1012,30.3632,29.6017,29.7982,1314454.0
2019-09-30,29.921,30.1831,29.6099,30.0357,1282144.0
2019-10-01,30.1421,30.3223,29.2905,29.4215,1395905.0
2019-10-02,28.963,29.0162,28.1359,28.4143,1579194.0
2019-10-03,28.2751,28.5208,27.8493,28.5126,1348507.0
2019-10-04,28.5781,28.791,28.4061,28.7828,1293900.0
2019-10-05,28.5781,28.791,28.4061,28.7828,1293900.0
2019-10-06,28.5781,28.791,28.4061,28.7828,1293900.0
2019-10-07,28.6518,29.1267,28.3079,28.6272,973065.0
2019-10-08,28.1605,28.2587,27.7511,27.9394,1032238.0
2019-10-09,28.357,28.5576,28.0704,28.4225,1046996.0
2019-10-10,28.5945,29.1185,28.5945,28.9875,1013508.0
2019-10-11,29.5853,30.6171,29.5525,30.4615,1905941.0
2019-10-12,29.5853,30.6171,29.5525,30.4615,1905941.0
2019-10-13,29.5853,30.6171,29.5525,30.4615,1905941.0
2019-10-14,30.2977,30.3632,29.8801,30.355,968592.0
2019-10-15,30.3796,31.1329,30.1012,30.8955,1076784.0
2019-10-16,30.9773,31.4932,30.9118,31.3868,1894534.0
2019-10-17,31.5178,31.5178,30.9569,31.1329,2234429.0
2019-10-18,31.1657,31.9027,30.9937,31.7225,1885083.0
2019-10-19,31.1657,31.9027,30.9937,31.7225,1885083.0
2019-10-20,31.1657,31.9027,30.9937,31.7225,1885083.0
2019-10-21,31.9354,32.3858,31.7716,31.919,1301278.0
2019-10-22,31.7798,32.5496,31.5751,32.5414,1336974.0
2019-10-23,32.5414,32.7543,32.0746,32.7379,1087564.0
2019-10-24,32.8198,33.1637,32.1351,32.1811,949302.0
2019-10-25,32.0337,32.6642,31.9272,32.525,1400784.0
2019-10-26,32.0337,32.6642,31.9272,32.525,1400784.0
2019-10-27,32.0337,32.6642,31.9272,32.525,1400784.0
2019-10-28,32.8198,33.2538,32.7625,33.09,1363959.0
2019-10-29,32.7051,33.0245,32.3612,32.5004,1066571.0
2019-10-30,32.3448,32.484,31.5424,32.1237,1698927.0
2019-10-31,33.9826,35.7022,33.4094,34.1299,4320474.0
2019-11-01,34.5312,35.7718,34.4902,35.7431,2442693.0
2019-11-02,34.5312,35.7718,34.4902,35.7431,2442693.0
2019-11-03,34.5312,35.7718,34.4902,35.7431,2442693.0
2019-11-04,36.218,37.2007,36.0297,37.0942,3027978.0
2019-11-05,37.1188,37.4136,36.6275,36.8977,2054232.0
2019-11-06,36.8486,36.9714,36.3327,36.7012,1196953.0
2019-11-07,37.0942,37.9008,37.0205,37.6428,1404743.0
2019-11-08,37.6756,37.9376,37.0778,37.9213,1051449.0
2019-11-09,37.6756,37.9376,37.0778,37.9213,1051449.0
2019-11-10,37.6756,37.9376,37.0778,37.9213,1051449.0
2019-11-11,37.6592,38.1587,37.5773,37.8721,1035440.0
2019-11-12,37.9049,37.9622,37.3153,37.4381,1283837.0
2019-11-13,37.1433,37.2252,36.4883,36.6029,1593243.0
2019-11-14,36.6766,36.8076,36.218,36.3081,1078832.0
2019-11-15,36.6275,36.7912,36.3859,36.5128,1015414.0
2019-11-16,36.6275,36.7912,36.3859,36.5128,1015414.0
2019-11-17,36.6275,36.7912,36.3859,36.5128,1015414.0
2019-11-18,36.1525,36.269,35.7431,35.8332,1593843.0
2019-11-19,35.9888,36.0461,35.4483,35.6285,1604967.0
2019-11-20,35.3992,35.6203,34.3674,34.4084,2061517.0
2019-11-21,34.7277,34.9979,34.4616,34.7277,1568487.0
2019-11-22,34.916,35.1617,34.6295,35.0389,1375475.0
2019-11-23,34.916,35.1617,34.6295,35.0389,1375475.0
2019-11-24,34.916,35.1617,34.6295,35.0389,1375475.0
2019-11-25,34.9406,35.6571,34.7932,35.5957,1341749.0
2019-11-26,35.5138,35.5957,35.0634,35.0798,2011711.0
2019-11-27,35.1699,35.305,34.5476,34.8014,1142060.0
2019-11-28,35.1699,35.305,34.5476,34.8014,1142060.0
2019-11-29,34.5548,34.8754,34.5548,34.5712,792713.0
2019-11-30,34.5548,34.8754,34.5548,34.5712,792713.0
2019-12-01,34.5548,34.8754,34.5548,34.5712,792713.0
2019-12-02,34.785,35.4262,34.5465,34.9165,1492676.0
