,CINF US Equity,CINF US Equity,CINF US Equity,CINF US Equity,CINF US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,67.1775,67.535,66.7067,67.5089,582285.0
2019-01-02,66.7939,66.8375,65.5644,65.9393,671025.0
2019-01-03,65.7649,66.2707,64.7534,64.8755,525744.0
2019-01-04,65.7388,66.4625,65.6254,66.1748,483632.0
2019-01-05,65.7388,66.4625,65.6254,66.1748,483632.0
2019-01-06,65.7388,66.4625,65.6254,66.1748,483632.0
2019-01-07,65.9916,66.7241,65.7082,65.8783,469952.0
2019-01-08,66.3056,66.3143,64.7534,65.8172,653663.0
2019-01-09,66.1922,66.5235,65.7039,66.4799,672474.0
2019-01-10,66.3666,67.4566,65.233,67.4043,479407.0
2019-01-11,67.1252,67.6048,66.8562,67.1863,421094.0
2019-01-12,67.1252,67.6048,66.8562,67.1863,421094.0
2019-01-13,67.1252,67.6048,66.8562,67.1863,421094.0
2019-01-14,66.759,67.7618,66.7154,67.6658,553518.0
2019-01-15,67.8402,68.1367,67.3127,67.7007,519940.0
2019-01-16,68.1193,68.2065,67.2124,67.9623,738580.0
2019-01-17,67.631,68.1978,67.6222,68.1716,557973.0
2019-01-18,68.564,70.1161,68.1542,70.0638,1396449.0
2019-01-19,68.564,70.1161,68.1542,70.0638,1396449.0
2019-01-20,68.564,70.1161,68.1542,70.0638,1396449.0
2019-01-21,68.564,70.1161,68.1542,70.0638,1396449.0
2019-01-22,69.8022,70.7265,68.9564,69.3226,842644.0
2019-01-23,69.2005,69.6714,68.5509,69.4621,324184.0
2019-01-24,69.1744,69.4098,68.4245,68.9913,431794.0
2019-01-25,69.5144,69.872,68.9825,69.1918,642867.0
2019-01-26,69.5144,69.872,68.9825,69.1918,642867.0
2019-01-27,69.5144,69.872,68.9825,69.1918,642867.0
2019-01-28,68.9302,69.1942,68.1367,68.8779,457674.0
2019-01-29,69.0174,69.3052,68.5117,69.2267,628060.0
2019-01-30,69.4883,70.2556,68.7994,69.9243,718792.0
2019-01-31,69.654,71.0012,69.4883,70.7352,3190486.0
2019-02-01,70.7788,71.1712,70.0289,71.1189,751469.0
2019-02-02,70.7788,71.1712,70.0289,71.1189,751469.0
2019-02-03,70.7788,71.1712,70.0289,71.1189,751469.0
2019-02-04,71.084,71.9211,70.5957,71.9124,766627.0
2019-02-05,71.9734,72.0432,71.2235,72.0083,761629.0
2019-02-06,71.956,71.9909,70.8486,71.3718,936603.0
2019-02-07,70.2208,74.912,68.6686,73.5081,1461361.0
2019-02-08,73.0896,73.2901,72.4618,73.264,895616.0
2019-02-09,73.0896,73.2901,72.4618,73.264,895616.0
2019-02-10,73.0896,73.2901,72.4618,73.264,895616.0
2019-02-11,73.5081,73.6389,72.5664,73.2989,957370.0
2019-02-12,73.761,74.2232,73.6128,73.8744,605076.0
2019-02-13,74.1447,74.5894,73.2814,73.6825,582689.0
2019-02-14,73.3512,73.7261,72.8803,73.2378,524098.0
2019-02-15,73.6825,74.5719,73.4645,74.5371,665609.0
2019-02-16,73.6825,74.5719,73.4645,74.5371,665609.0
2019-02-17,73.6825,74.5719,73.4645,74.5371,665609.0
2019-02-18,73.6825,74.5719,73.4645,74.5371,665609.0
2019-02-19,74.4586,74.7987,74.0924,74.6504,632727.0
2019-02-20,74.7899,74.9818,74.5632,74.9469,530046.0
2019-02-21,75.0515,75.1213,74.2842,74.5894,672572.0
2019-02-22,74.851,75.1736,74.4673,75.0951,573889.0
2019-02-23,74.851,75.1736,74.4673,75.0951,573889.0
2019-02-24,74.851,75.1736,74.4673,75.0951,573889.0
2019-02-25,75.2957,75.7404,74.7115,74.8684,571616.0
2019-02-26,74.7638,75.1213,74.5458,74.6504,599224.0
2019-02-27,74.6591,75.4091,74.4847,74.9818,719192.0
2019-02-28,75.2434,76.002,74.8466,75.7055,1059285.0
2019-03-01,76.1677,76.2636,75.6358,75.8538,572197.0
2019-03-02,76.1677,76.2636,75.6358,75.8538,572197.0
2019-03-03,76.1677,76.2636,75.6358,75.8538,572197.0
2019-03-04,76.0107,76.1066,74.3365,74.8161,864371.0
2019-03-05,74.9731,75.3916,74.415,74.6068,421882.0
2019-03-06,74.5632,74.8423,73.8133,73.9092,461135.0
2019-03-07,73.918,73.979,73.3076,73.761,571105.0
2019-03-08,73.3425,73.7436,72.3746,73.6738,416294.0
2019-03-09,73.3425,73.7436,72.3746,73.6738,416294.0
2019-03-10,73.3425,73.7436,72.3746,73.6738,416294.0
2019-03-11,73.8744,74.6591,73.8744,74.5109,577733.0
2019-03-12,74.6417,74.8596,74.4847,74.7202,577211.0
2019-03-13,74.7725,75.0079,74.1185,74.1534,619767.0
2019-03-14,74.2057,74.5719,73.8046,74.3976,508384.0
2019-03-15,74.4063,75.3219,74.2275,74.6591,2022363.0
2019-03-16,74.4063,75.3219,74.2275,74.6591,2022363.0
2019-03-17,74.4063,75.3219,74.2275,74.6591,2022363.0
2019-03-18,74.7638,75.1911,74.5632,74.9207,524800.0
2019-03-19,75.2982,75.2982,73.8851,74.2362,647391.0
2019-03-20,74.3064,74.8857,73.6218,73.7534,562565.0
2019-03-21,73.4638,74.7101,73.3585,74.5258,384246.0
2019-03-22,74.1572,74.9822,74.1572,74.2888,543996.0
2019-03-23,74.1572,74.9822,74.1572,74.2888,543996.0
2019-03-24,74.1572,74.9822,74.1572,74.2888,543996.0
2019-03-25,74.3766,74.9998,73.929,74.3064,406585.0
2019-03-26,74.675,74.8944,74.1747,74.6399,489651.0
2019-03-27,74.833,75.2104,74.4293,74.9295,398181.0
2019-03-28,75.07,75.3772,74.3065,74.991,364123.0
2019-03-29,75.4211,75.4825,74.9734,75.3947,532237.0
2019-03-30,75.4211,75.4825,74.9734,75.3947,532237.0
