,D US Equity,D US Equity,D US Equity,D US Equity,D US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,68.7905,69.2839,68.615,69.2504,2856581.0
2020-01-02,69.3006,69.3508,68.1551,68.5313,2766731.0
2020-01-03,68.4059,69.0247,68.339,68.3641,2840761.0
2020-01-04,68.4059,69.0247,68.339,68.3641,2840761.0
2020-01-05,68.4059,69.0247,68.339,68.3641,2840761.0
2020-01-06,68.4394,69.1083,68.4393,68.8909,2164927.0
2020-01-07,68.7153,68.9661,68.5275,68.7404,2561058.0
2020-01-08,68.916,68.9661,68.1969,68.3056,2591089.0
2020-01-09,68.1718,68.615,68.152,68.4979,2206473.0
2020-01-10,68.615,69.0916,68.5397,68.6233,2420204.0
2020-01-11,68.615,69.0916,68.5397,68.6233,2420204.0
2020-01-12,68.615,69.0916,68.5397,68.6233,2420204.0
2020-01-13,68.6317,68.9037,68.5163,68.6066,1726664.0
2020-01-14,68.5481,68.7237,67.946,68.523,2871958.0
2020-01-15,68.6986,69.3926,68.6735,69.3926,2749416.0
2020-01-16,69.4009,70.0197,69.2421,69.8274,2657680.0
2020-01-17,70.0197,70.3082,69.2672,70.2789,3610853.0
2020-01-18,70.0197,70.3082,69.2672,70.2789,3610853.0
2020-01-19,70.0197,70.3082,69.2672,70.2789,3610853.0
2020-01-20,70.0197,70.3082,69.2672,70.2789,3610853.0
2020-01-21,70.2371,70.4841,69.4344,70.2622,4519983.0
2020-01-22,70.4545,70.5883,69.9612,69.9779,2279415.0
2020-01-23,69.9779,70.3542,69.7377,70.2956,2270945.0
2020-01-24,70.2705,70.5214,69.7939,70.2371,2640830.0
2020-01-25,70.2705,70.5214,69.7939,70.2371,2640830.0
2020-01-26,70.2705,70.5214,69.7939,70.2371,2640830.0
2020-01-27,70.1953,70.4043,69.5618,69.6685,2225981.0
2020-01-28,69.7772,70.7513,69.7633,70.6719,2718831.0
2020-01-29,70.7304,71.4537,70.605,71.3993,2973062.0
2020-01-30,71.3575,72.4864,71.0147,72.3108,3380539.0
2020-01-31,72.2104,72.4195,71.2656,71.7004,3968293.0
2020-02-01,72.2104,72.4195,71.2656,71.7004,3968293.0
2020-02-02,72.2104,72.4195,71.2656,71.7004,3968293.0
2020-02-03,71.8676,72.0265,71.6,71.7756,2030830.0
2020-02-04,71.901,71.9512,70.6803,70.7053,3025798.0
2020-02-05,70.605,71.2572,70.3374,71.0064,2604617.0
2020-02-06,71.1569,71.6502,70.8809,71.299,1594294.0
2020-02-07,71.4412,71.5959,70.8726,70.9144,2276698.0
2020-02-08,71.4412,71.5959,70.8726,70.9144,2276698.0
2020-02-09,71.4412,71.5959,70.8726,70.9144,2276698.0
2020-02-10,70.9144,71.0732,70.4127,70.7304,2329792.0
2020-02-11,71.2823,72.0934,70.9562,71.2572,3759894.0
2020-02-12,71.0732,72.0599,70.9478,71.7255,3463901.0
2020-02-13,71.7004,72.6703,71.7004,72.1101,3571435.0
2020-02-14,72.2355,73.2556,72.0766,73.1302,2881297.0
2020-02-15,72.2355,73.2556,72.0766,73.1302,2881297.0
2020-02-16,72.2355,73.2556,72.0766,73.1302,2881297.0
2020-02-17,72.2355,73.2556,72.0766,73.1302,2881297.0
2020-02-18,73.4897,74.4262,73.0048,74.4011,3419502.0
2020-02-19,74.4011,74.5851,73.2974,73.4479,2665841.0
2020-02-20,73.4145,74.6854,73.3476,74.6269,3034908.0
2020-02-21,74.4597,75.045,74.34,74.7356,3126384.0
2020-02-22,74.4597,75.045,74.34,74.7356,3126384.0
2020-02-23,74.4597,75.045,74.34,74.7356,3126384.0
2020-02-24,74.4513,75.9982,74.2924,75.0868,4665593.0
2020-02-25,75.0868,75.3711,73.2013,73.4061,3880015.0
2020-02-26,73.7489,74.2506,72.5073,72.5532,3902616.0
