,KNX US Equity,KNX US Equity,KNX US Equity,KNX US Equity,KNX US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,34.0743,34.8686,34.0743,34.5076,1090562.0
2020-01-02,34.8542,35.6244,34.575,35.6148,2444110.0
2020-01-03,35.0853,35.3356,34.7194,35.2586,1127062.0
2020-01-04,35.0853,35.3356,34.7194,35.2586,1127062.0
2020-01-05,35.0853,35.3356,34.7194,35.2586,1127062.0
2020-01-06,34.8157,35.3693,34.4594,35.3067,903500.0
2020-01-07,35.557,36.1732,35.3934,35.9325,1876938.0
2020-01-08,35.8459,36.0673,35.3934,35.7111,1104957.0
2020-01-09,36.0577,36.0577,35.3067,35.6437,2969105.0
2020-01-10,35.6437,36.1973,35.5378,35.8651,2083984.0
2020-01-11,35.6437,36.1973,35.5378,35.8651,2083984.0
2020-01-12,35.6437,36.1973,35.5378,35.8651,2083984.0
2020-01-13,35.9999,36.3369,35.4704,36.0577,1315035.0
2020-01-14,36.0481,36.9531,35.9133,36.5776,1142577.0
2020-01-15,36.5873,37.0879,36.3466,36.5584,1664394.0
2020-01-16,36.8857,37.0109,36.491,36.645,1524577.0
2020-01-17,36.4139,37.0398,36.0288,36.1251,6862322.0
2020-01-18,36.4139,37.0398,36.0288,36.1251,6862322.0
2020-01-19,36.4139,37.0398,36.0288,36.1251,6862322.0
2020-01-20,36.4139,37.0398,36.0288,36.1251,6862322.0
2020-01-21,36.1058,36.3947,35.6822,35.8363,1609927.0
2020-01-22,35.8074,35.9807,35.3356,35.5378,1218486.0
2020-01-23,35.3741,36.1636,34.8927,36.1058,1235486.0
2020-01-24,36.231,36.3369,35.3356,35.6822,1810505.0
2020-01-25,36.231,36.3369,35.3356,35.6822,1810505.0
2020-01-26,36.231,36.3369,35.3356,35.6822,1810505.0
2020-01-27,34.9023,35.3163,34.6616,35.0564,1053275.0
2020-01-28,35.2586,35.6341,34.6905,34.8157,2222017.0
2020-01-29,37.2612,38.0315,35.3837,36.0577,4742421.0
2020-01-30,35.6244,36.6739,35.3067,36.6161,2032471.0
2020-01-31,36.4525,36.5356,35.4367,35.7015,1722931.0
2020-02-01,36.4525,36.5356,35.4367,35.7015,1722931.0
2020-02-02,36.4525,36.5356,35.4367,35.7015,1722931.0
2020-02-03,35.9325,36.2021,35.5955,35.9133,1213065.0
2020-02-04,36.3754,36.8857,35.9711,35.9903,1591006.0
2020-02-05,36.5969,37.4057,36.4621,36.8761,2381724.0
2020-02-06,37.059,37.3479,36.568,36.7413,992304.0
2020-02-07,36.7317,36.8713,36.3562,36.6354,1755394.0
2020-02-08,36.7317,36.8713,36.3562,36.6354,1755394.0
2020-02-09,36.7317,36.8713,36.3562,36.6354,1755394.0
2020-02-10,36.4813,37.2709,36.4139,37.0013,756424.0
2020-02-11,37.3094,37.5501,36.6643,36.7894,1033047.0
2020-02-12,37.165,38.0315,37.0783,37.916,2414337.0
2020-02-13,37.7138,38.484,37.579,38.1278,1291601.0
2020-02-14,38.1278,38.2144,37.4249,37.6078,1113790.0
2020-02-15,38.1278,38.2144,37.4249,37.6078,1113790.0
2020-02-16,38.1278,38.2144,37.4249,37.6078,1113790.0
2020-02-17,38.1278,38.2144,37.4249,37.6078,1113790.0
2020-02-18,37.5501,38.0989,37.4827,37.9063,818363.0
2020-02-19,38.0315,38.5996,38.0315,38.2818,1804621.0
2020-02-20,38.2818,38.9558,38.0255,38.1855,1277008.0
2020-02-21,38.0507,38.1374,37.3383,37.7812,1319995.0
2020-02-22,38.0507,38.1374,37.3383,37.7812,1319995.0
2020-02-23,38.0507,38.1374,37.3383,37.7812,1319995.0
2020-02-24,36.3273,36.8857,36.1732,36.3658,1721518.0
2020-02-25,36.491,36.6643,34.5942,34.6424,2170084.0
2020-02-26,34.8734,35.066,32.6204,32.7167,2762435.0
2020-02-27,31.8405,33.3714,31.0125,31.8405,2576797.0
2020-02-28,31.051,31.7635,30.1557,30.7526,4057900.0
2020-02-29,31.051,31.7635,30.1557,30.7526,4057900.0
2020-03-01,31.051,31.7635,30.1557,30.7526,4057900.0
2020-03-02,31.0614,32.1329,30.4678,32.0846,2647177.0
2020-03-03,32.017,32.4002,30.7043,31.1676,2966158.0
2020-03-04,31.5827,32.0556,31.0614,31.9784,2138492.0
2020-03-05,30.7333,31.7081,30.5209,30.8587,2716578.0
2020-03-06,29.7777,32.0846,29.768,31.8433,2925452.0
2020-03-07,29.7777,32.0846,29.768,31.8433,2925452.0
2020-03-08,29.7777,32.0846,29.768,31.8433,2925452.0
2020-03-09,31.795,31.795,30.6367,30.8008,4478161.0
2020-03-10,31.6888,31.7564,29.8645,31.4089,3840973.0
2020-03-11,30.434,31.0228,29.6136,29.8066,2821664.0
2020-03-12,28.0885,29.0344,27.0653,27.5962,3715425.0
2020-03-13,29.0055,29.9128,28.0788,29.9128,5028861.0
2020-03-14,29.0055,29.9128,28.0788,29.9128,5028861.0
2020-03-15,29.0055,29.9128,28.0788,29.9128,5028861.0
2020-03-16,26.6599,28.7835,26.5827,27.7796,3495801.0
2020-03-17,28.2719,31.8626,27.9534,31.602,3771677.0
2020-03-18,29.6811,33.7352,29.1503,32.2004,4865665.0
2020-03-19,32.1522,32.6155,28.9283,29.7391,2701193.0
2020-03-20,29.7873,31.1773,29.102,29.3047,3867571.0
2020-03-21,29.7873,31.1773,29.102,29.3047,3867571.0
2020-03-22,29.7873,31.1773,29.102,29.3047,3867571.0
2020-03-23,29.1213,29.6618,27.7796,28.3588,3041071.0
2020-03-24,29.6715,30.9022,29.0537,30.1059,3605873.0
2020-03-25,30.3086,32.3742,29.9514,30.9553,4454312.0
2020-03-26,31.38,31.8336,30.0769,30.212,2577277.0
2020-03-27,29.4881,31.8819,29.3337,30.8587,2687092.0
2020-03-28,29.4881,31.8819,29.3337,30.8587,2687092.0
2020-03-29,29.4881,31.8819,29.3337,30.8587,2687092.0
2020-03-30,30.9456,32.3742,30.656,32.1329,2863178.0
2020-03-31,31.9398,32.2004,31.0904,31.6599,2608821.0
2020-04-01,30.4051,31.5923,29.8935,30.1059,2823369.0
2020-04-02,29.7391,30.4051,29.102,29.8066,2080378.0
2020-04-03,29.8066,30.0335,28.2912,28.4842,2344064.0
2020-04-04,29.8066,30.0335,28.2912,28.4842,2344064.0
2020-04-05,29.8066,30.0335,28.2912,28.4842,2344064.0
2020-04-06,29.2564,31.7178,28.9572,31.4572,4000515.0
2020-04-07,32.4707,33.0402,31.2738,31.7661,2594393.0
2020-04-08,32.239,33.0305,31.6502,32.6637,2016032.0
2020-04-09,32.905,33.9475,32.6637,33.8124,2205290.0
2020-04-10,32.905,33.9475,32.6637,33.8124,2205290.0
2020-04-11,32.905,33.9475,32.6637,33.8124,2205290.0
2020-04-12,32.905,33.9475,32.6637,33.8124,2205290.0
2020-04-13,33.5518,33.8413,32.6444,32.7217,1702351.0
2020-04-14,33.5421,34.0923,32.9919,33.5228,2375488.0
2020-04-15,33.0595,33.629,32.5479,33.0595,1885092.0
2020-04-16,33.0595,34.4205,33.0595,34.2081,2792258.0
2020-04-17,35.0189,35.4822,34.517,35.3181,2958160.0
2020-04-18,35.0189,35.4822,34.517,35.3181,2958160.0
2020-04-19,35.0189,35.4822,34.517,35.3181,2958160.0
2020-04-20,34.8162,35.5305,34.546,34.8162,2141629.0
2020-04-21,34.3336,34.8162,33.6965,33.9668,3807164.0
2020-04-22,34.8355,35.1734,33.378,34.0247,2636226.0
2020-04-23,34.1792,34.3819,33.407,34.0923,2774236.0
2020-04-24,34.3915,34.8645,34.0827,34.6328,1866430.0
2020-04-25,34.3915,34.8645,34.0827,34.6328,1866430.0
2020-04-26,34.3915,34.8645,34.0827,34.6328,1866430.0
2020-04-27,35.0189,36.351,34.8452,36.0807,2047319.0
2020-04-28,36.3992,37.0556,36.0614,36.322,2192561.0
2020-04-29,36.7081,38.0305,36.7081,37.7216,2964858.0
2020-04-30,37.2486,37.3548,35.8297,35.8876,2655693.0
2020-05-01,35.3568,36.8432,35.2602,36.6019,2524667.0
2020-05-02,35.3568,36.8432,35.2602,36.6019,2524667.0
2020-05-03,35.3568,36.8432,35.2602,36.6019,2524667.0
2020-05-04,36.3413,37.21,36.1483,36.5344,1954514.0
2020-05-05,37.0073,37.2776,36.6598,36.7467,1333601.0
2020-05-06,36.9494,37.1618,36.2544,36.3606,1519606.0
2020-05-07,36.8529,37.1714,35.8635,36.0035,1695170.0
2020-05-08,36.5923,36.8239,36.0566,36.4185,2718146.0
2020-05-09,36.5923,36.8239,36.0566,36.4185,2718146.0
2020-05-10,36.5923,36.8239,36.0566,36.4185,2718146.0
2020-05-11,36.0614,37.5575,36.0324,37.1521,1842918.0
2020-05-12,37.2486,37.4031,36.5247,36.544,1269198.0
2020-05-13,36.3896,36.6782,35.5498,36.1676,1827835.0
2020-05-14,35.7042,36.4282,35.5015,36.351,1804138.0
2020-05-15,35.8683,36.6888,35.6946,36.4475,1046305.0
2020-05-16,35.8683,36.6888,35.6946,36.4475,1046305.0
2020-05-17,35.8683,36.6888,35.6946,36.4475,1046305.0
2020-05-18,37.2583,37.9822,37.0556,37.6926,2948662.0
2020-05-19,37.7119,38.9137,37.2197,37.8953,1999624.0
2020-05-20,38.4262,38.9571,37.2872,37.4899,2970392.0
2020-05-21,37.2969,37.8664,37.1425,37.2197,1860797.0
2020-05-22,37.2583,38.5662,37.1714,38.5131,1334742.0
2020-05-23,37.2583,38.5662,37.1714,38.5131,1334742.0
2020-05-24,37.2583,38.5662,37.1714,38.5131,1334742.0
2020-05-25,37.2583,38.5662,37.1714,38.5131,1334742.0
