,CLR US Equity,CLR US Equity,CLR US Equity,CLR US Equity,CLR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,32.5929,33.5563,32.408,33.3812,1338610.0
2020-01-02,33.5855,33.7461,32.9578,33.2352,1208623.0
2020-01-03,34.6171,34.9772,33.7607,34.3933,3374853.0
2020-01-04,34.6171,34.9772,33.7607,34.3933,3374853.0
2020-01-05,34.6171,34.9772,33.7607,34.3933,3374853.0
2020-01-06,34.7826,35.2303,34.5101,35.0551,1822355.0
2020-01-07,34.7339,34.9642,34.2571,34.7534,1683191.0
2020-01-08,34.7047,35.0843,32.9043,33.2644,1929603.0
2020-01-09,33.0989,33.2255,32.1744,33.0989,1775875.0
2020-01-10,33.0016,33.0016,32.2912,32.4469,1480017.0
2020-01-11,33.0016,33.0016,32.2912,32.4469,1480017.0
2020-01-12,33.0016,33.0016,32.2912,32.4469,1480017.0
2020-01-13,32.369,32.7307,31.8435,32.5053,1529290.0
2020-01-14,32.661,33.4882,32.3885,33.3714,1404471.0
2020-01-15,33.3033,33.5661,32.8946,33.4104,1169700.0
2020-01-16,33.6537,33.6731,32.3106,32.4858,2716512.0
2020-01-17,32.6999,32.8459,31.7462,31.7851,2430352.0
2020-01-18,32.6999,32.8459,31.7462,31.7851,2430352.0
2020-01-19,32.6999,32.8459,31.7462,31.7851,2430352.0
2020-01-20,32.6999,32.8459,31.7462,31.7851,2430352.0
2020-01-21,31.4639,31.4639,30.481,30.5005,2360928.0
2020-01-22,30.0236,30.1501,29.5078,29.5856,2225575.0
2020-01-23,29.3618,30.0577,28.6708,29.7219,3560503.0
2020-01-24,29.7122,29.8581,28.2572,28.6708,4014543.0
2020-01-25,29.7122,29.8581,28.2572,28.6708,4014543.0
2020-01-26,29.7122,29.8581,28.2572,28.6708,4014543.0
2020-01-27,27.7949,28.5443,27.756,27.902,4174762.0
2020-01-28,28.1356,28.7973,27.902,28.4275,8207856.0
2020-01-29,28.6903,29.2353,27.9312,27.9409,7647621.0
2020-01-30,27.464,27.9312,26.9093,27.4543,2558839.0
2020-01-31,26.958,27.1721,26.3157,26.4908,3202848.0
2020-02-01,26.958,27.1721,26.3157,26.4908,3202848.0
2020-02-02,26.958,27.1721,26.3157,26.4908,3202848.0
2020-02-03,26.3643,26.812,25.868,25.9458,2360925.0
2020-02-04,26.5784,26.7147,25.7561,25.829,3061350.0
2020-02-05,26.6368,28.1842,26.6368,27.6392,3368181.0
2020-02-06,27.7269,27.8049,26.6252,26.6545,2561427.0
2020-02-07,26.1086,26.4888,25.9136,26.1866,2391534.0
2020-02-08,26.1086,26.4888,25.9136,26.1866,2391534.0
2020-02-09,26.1086,26.4888,25.9136,26.1866,2391534.0
2020-02-10,25.7868,25.9526,24.8655,25.0069,2381582.0
2020-02-11,25.3774,25.8258,25.2116,25.2506,1683024.0
2020-02-12,25.9428,26.7618,25.6991,25.8843,3524065.0
2020-02-13,25.7576,26.3233,25.6406,26.1183,5808130.0
2020-02-14,26.4205,26.5236,25.3774,25.5431,6291456.0
2020-02-15,26.4205,26.5236,25.3774,25.5431,6291456.0
2020-02-16,26.4205,26.5236,25.3774,25.5431,6291456.0
2020-02-17,26.4205,26.5236,25.3774,25.5431,6291456.0
2020-02-18,25.1824,25.4651,24.9582,25.3676,2403201.0
2020-02-19,25.5041,25.7381,25.2311,25.4164,2569225.0
2020-02-20,25.6991,25.7576,25.0556,25.1044,2365163.0
2020-02-21,24.7047,24.9777,24.2182,24.6657,2215736.0
2020-02-22,24.7047,24.9777,24.2182,24.6657,2215736.0
2020-02-23,24.7047,24.9777,24.2182,24.6657,2215736.0
2020-02-24,23.2618,23.2618,22.555,22.8328,2769374.0
2020-02-25,22.9206,23.0863,20.9512,21.3509,3109153.0
2020-02-26,21.2924,21.6044,20.142,20.259,4361006.0
2020-02-27,15.1114,17.8217,14.3997,17.0222,12048999.0
2020-02-28,16.4568,18.8064,16.213,18.4749,8821632.0
2020-02-29,16.4568,18.8064,16.213,18.4749,8821632.0
2020-03-01,16.4568,18.8064,16.213,18.4749,8821632.0
