,NOC US Equity,NOC US Equity,NOC US Equity,NOC US Equity,NOC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,223.466,226.782,222.004,224.927,1111662.0
2019-01-02,221.501,226.451,217.745,226.277,1637890.0
2019-01-03,224.807,225.074,218.865,220.353,1703883.0
2019-01-04,223.521,227.728,222.74,227.682,1127779.0
2019-01-05,223.521,227.728,222.74,227.682,1127779.0
2019-01-06,223.521,227.728,222.74,227.682,1127779.0
2019-01-07,227.406,230.855,225.028,229.455,1388494.0
2019-01-08,230.897,232.724,227.783,230.492,1082429.0
2019-01-09,230.446,232.545,229.133,231.585,727697.0
2019-01-10,230.603,236.82,229.932,236.646,1063726.0
2019-01-11,234.423,235.314,231.852,235.167,668181.0
2019-01-12,234.423,235.314,231.852,235.167,668181.0
2019-01-13,234.423,235.314,231.852,235.167,668181.0
2019-01-14,235.581,241.417,234.102,238.758,982719.0
2019-01-15,239.052,240.559,234.552,237.822,965363.0
2019-01-16,238.042,238.042,234.763,234.883,668665.0
2019-01-17,234.093,245.105,233.799,242.542,1438578.0
2019-01-18,244.591,248.439,243.932,245.913,1507006.0
2019-01-19,244.591,248.439,243.932,245.913,1507006.0
2019-01-20,244.591,248.439,243.932,245.913,1507006.0
2019-01-21,244.591,248.439,243.932,245.913,1507006.0
2019-01-22,245.142,246.391,241.339,243.139,531424.0
2019-01-23,245.151,251.084,244.306,248.191,1027434.0
2019-01-24,248.586,249.541,245.137,247.814,858413.0
2019-01-25,250.992,251.883,248.897,250.588,966338.0
2019-01-26,250.992,251.883,248.897,250.588,966338.0
2019-01-27,250.992,251.883,248.897,250.588,966338.0
2019-01-28,247.823,252.113,246.028,251.929,761900.0
2019-01-29,251.865,258.532,251.066,257.283,1555077.0
2019-01-30,257.651,260.075,253.61,257.917,1346912.0
2019-01-31,249.513,261.343,247.52,253.077,2021797.0
2019-02-01,254.326,256.218,250.312,250.698,1581287.0
2019-02-02,254.326,256.218,250.312,250.698,1581287.0
2019-02-03,254.326,256.218,250.312,250.698,1581287.0
2019-02-04,250.717,256.163,250.395,255.998,1316030.0
2019-02-05,257.164,258.266,252.26,255.75,841361.0
2019-02-06,255.694,258.67,255.515,257.541,888540.0
2019-02-07,256.714,258.229,253.28,255.814,872414.0
2019-02-08,254.813,257.816,253.986,257.733,726464.0
2019-02-09,254.813,257.816,253.986,257.733,726464.0
2019-02-10,254.813,257.816,253.986,257.733,726464.0
2019-02-11,258.0,260.02,257.586,258.514,1190904.0
2019-02-12,259.708,261.692,258.578,260.911,680015.0
2019-02-13,262.629,262.748,259.703,260.195,1254044.0
