,WBS US Equity,WBS US Equity,WBS US Equity,WBS US Equity,WBS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,45.1691,45.6545,45.1691,45.4331,395554.0
2020-01-02,45.5693,45.7311,44.769,45.4331,372212.0
2020-01-03,44.7094,45.4671,44.3773,45.2628,475296.0
2020-01-04,44.7094,45.4671,44.3773,45.2628,475296.0
2020-01-05,44.7094,45.4671,44.3773,45.2628,475296.0
2020-01-06,44.7094,44.7945,44.0537,44.7434,375291.0
2020-01-07,44.6072,44.8711,44.2325,44.4114,381433.0
2020-01-08,44.5561,45.5267,44.5348,45.2543,311723.0
2020-01-09,45.5353,45.6374,45.084,45.6374,271429.0
2020-01-10,45.5608,45.5608,44.6498,44.7434,331579.0
2020-01-11,45.5608,45.5608,44.6498,44.7434,331579.0
2020-01-12,45.5608,45.5608,44.6498,44.7434,331579.0
2020-01-13,44.9818,45.2032,44.4284,45.0925,341112.0
2020-01-14,45.0159,45.3139,44.9052,45.0499,346444.0
2020-01-15,44.6583,44.8456,43.9643,44.2411,607625.0
2020-01-16,44.5646,45.0414,44.4199,44.9648,564918.0
2020-01-17,45.3054,45.5693,44.8711,44.9137,398766.0
2020-01-18,45.3054,45.5693,44.8711,44.9137,398766.0
2020-01-19,45.3054,45.5693,44.8711,44.9137,398766.0
2020-01-20,45.3054,45.5693,44.8711,44.9137,398766.0
2020-01-21,44.522,44.7094,43.9175,43.9431,303603.0
2020-01-22,44.0537,44.4454,43.7047,43.9345,630829.0
2020-01-23,42.1976,42.3338,40.5713,41.6101,1415849.0
2020-01-24,42.2572,42.3764,41.1205,41.6356,646928.0
2020-01-25,42.2572,42.3764,41.1205,41.6356,646928.0
2020-01-26,42.2572,42.3764,41.1205,41.6356,646928.0
2020-01-27,40.5969,40.963,39.9668,40.103,647610.0
2020-01-28,40.4266,40.8523,40.086,40.367,343053.0
2020-01-29,40.3755,40.5501,39.1324,39.1324,652053.0
2020-01-30,38.7407,39.2942,38.5619,39.2601,542500.0
2020-01-31,38.8174,38.9195,38.1617,38.1958,741838.0
2020-02-01,38.8174,38.9195,38.1617,38.1958,741838.0
2020-02-02,38.8174,38.9195,38.1617,38.1958,741838.0
2020-02-03,38.5279,39.2686,38.5279,38.6215,970219.0
2020-02-04,39.3623,39.8221,39.2175,39.6007,814910.0
2020-02-05,40.6054,41.7123,40.6054,41.5931,689147.0
2020-02-06,41.6952,41.9507,40.8693,40.8779,404870.0
2020-02-07,40.5373,40.6151,39.8902,40.0094,251247.0
2020-02-08,40.5373,40.6151,39.8902,40.0094,251247.0
2020-02-09,40.5373,40.6151,39.8902,40.0094,251247.0
2020-02-10,39.8548,40.1554,39.7432,40.0867,336417.0
2020-02-11,40.3529,41.0055,40.2412,40.2584,301836.0
2020-02-12,40.7565,41.0313,40.3013,40.6277,232035.0
2020-02-13,40.2928,40.8853,40.2631,40.8595,164146.0
2020-02-14,40.7994,40.7994,39.9664,40.121,638332.0
2020-02-15,40.7994,40.7994,39.9664,40.121,638332.0
2020-02-16,40.7994,40.7994,39.9664,40.121,638332.0
2020-02-17,40.7994,40.7994,39.9664,40.121,638332.0
2020-02-18,40.0265,40.1897,39.288,39.5027,706952.0
2020-02-19,39.8548,40.3615,39.8033,40.1639,275036.0
2020-02-20,39.9836,41.2073,39.9836,41.1515,376211.0
2020-02-21,40.8509,40.8821,39.58,39.6745,467620.0
2020-02-22,40.8509,40.8821,39.58,39.6745,467620.0
2020-02-23,40.8509,40.8821,39.58,39.6745,467620.0
2020-02-24,38.1716,38.8415,37.6821,38.0342,945248.0
2020-02-25,38.06,38.06,36.0505,36.1793,960701.0
2020-02-26,36.4112,36.8749,35.4494,35.6812,951280.0
2020-02-27,34.3931,35.4494,33.646,34.2042,1121710.0
2020-02-28,33.0277,33.4742,31.9113,32.6069,1112789.0
2020-02-29,33.0277,33.4742,31.9113,32.6069,1112789.0
2020-03-01,33.0277,33.4742,31.9113,32.6069,1112789.0
2020-03-02,32.6498,34.874,32.2806,34.8311,1439939.0
2020-03-03,34.6422,34.9427,31.4905,31.8855,1277919.0
2020-03-04,32.2205,32.7357,30.971,32.6241,1191476.0
2020-03-05,31.1728,31.5936,29.9534,30.5287,1059100.0
2020-03-06,28.8198,30.752,28.8112,29.4295,855660.0
2020-03-07,28.8198,30.752,28.8112,29.4295,855660.0
2020-03-08,28.8198,30.752,28.8112,29.4295,855660.0
2020-03-09,27.0937,27.0937,24.4485,24.6806,807440.0
2020-03-10,26.2435,28.6566,25.3118,28.6566,1946340.0
2020-03-11,27.6261,27.7721,25.7712,26.3723,1320709.0
2020-03-12,21.8982,26.0632,21.8982,23.1177,1040509.0
2020-03-13,25.2817,25.6682,23.4612,25.651,1323794.0
2020-03-14,25.2817,25.6682,23.4612,25.651,1323794.0
2020-03-15,25.2817,25.6682,23.4612,25.651,1323794.0
2020-03-16,21.8124,22.8515,20.0133,20.3611,1138323.0
