,KOP US Equity,KOP US Equity,KOP US Equity,KOP US Equity,KOP US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,17.2537,17.4605,16.5742,16.781,236221.0
2019-01-02,16.4462,18.3961,16.2591,18.0514,295834.0
2019-01-03,17.8544,18.1696,17.3128,17.6181,243851.0
2019-01-04,17.9037,19.3415,17.84,19.3415,417014.0
2019-01-05,17.9037,19.3415,17.84,19.3415,417014.0
2019-01-06,17.9037,19.3415,17.84,19.3415,417014.0
2019-01-07,19.3317,20.5036,18.9574,19.8437,520984.0
2019-01-08,20.0309,20.2377,19.2332,19.3809,204624.0
2019-01-09,19.6271,19.893,19.1248,19.7453,151179.0
2019-01-10,19.5779,20.4543,19.3612,20.4149,171168.0
2019-01-11,20.2869,20.9467,20.0309,20.5725,160466.0
2019-01-12,20.2869,20.9467,20.0309,20.5725,160466.0
2019-01-13,20.2869,20.9467,20.0309,20.5725,160466.0
2019-01-14,20.4248,20.8975,20.1096,20.3657,148704.0
2019-01-15,20.3657,20.3657,19.8241,20.1096,101241.0
2019-01-16,20.1786,20.7695,20.0506,20.2377,150902.0
2019-01-17,20.0309,20.9861,19.9422,20.8089,180167.0
2019-01-18,20.9566,21.8232,20.6808,21.2225,228882.0
2019-01-19,20.9566,21.8232,20.6808,21.2225,228882.0
2019-01-20,20.9566,21.8232,20.6808,21.2225,228882.0
2019-01-21,20.9566,21.8232,20.6808,21.2225,228882.0
2019-01-22,21.0058,21.4391,20.2869,20.9664,182757.0
2019-01-23,20.996,21.1141,20.4543,20.799,157375.0
2019-01-24,20.7793,21.2225,20.6857,20.9763,71812.0
2019-01-25,21.2126,22.0989,21.2126,21.6262,284363.0
2019-01-26,21.2126,22.0989,21.2126,21.6262,284363.0
2019-01-27,21.2126,22.0989,21.2126,21.6262,284363.0
2019-01-28,21.3702,21.7247,21.0255,21.4391,95264.0
2019-01-29,21.4391,22.8079,21.4194,22.7883,400503.0
2019-01-30,23.0444,23.0444,22.2171,22.7686,209957.0
2019-01-31,22.7194,22.936,22.1679,22.4436,161157.0
2019-02-01,22.4436,22.5418,21.9118,22.4042,348054.0
2019-02-02,22.4436,22.5418,21.9118,22.4042,348054.0
2019-02-03,22.4436,22.5418,21.9118,22.4042,348054.0
2019-02-04,22.3845,22.9459,22.0792,22.8671,154143.0
2019-02-05,22.6012,23.2512,22.3845,22.611,142892.0
2019-02-06,22.4042,22.7046,22.1679,22.2368,102483.0
2019-02-07,22.0694,22.1285,20.9369,21.38,166887.0
2019-02-08,21.1732,21.4293,20.7498,21.2126,94221.0
2019-02-09,21.1732,21.4293,20.7498,21.2126,94221.0
2019-02-10,21.1732,21.4293,20.7498,21.2126,94221.0
2019-02-11,21.1732,21.8429,21.1732,21.8134,139817.0
2019-02-12,22.1482,23.1034,22.1482,22.9065,128940.0
2019-02-13,23.0837,23.842,23.0739,23.4875,132874.0
2019-02-14,23.3201,23.7337,23.0936,23.2315,118650.0
2019-02-15,23.5171,24.2754,23.3595,23.9799,160155.0
2019-02-16,23.5171,24.2754,23.3595,23.9799,160155.0
2019-02-17,23.5171,24.2754,23.3595,23.9799,160155.0
2019-02-18,23.5171,24.2754,23.3595,23.9799,160155.0
2019-02-19,23.6845,24.3049,23.6254,24.1867,157043.0
2019-02-20,24.1572,25.2306,24.1572,24.9647,238582.0
2019-02-21,24.945,24.9943,24.1867,24.4526,142205.0
2019-02-22,24.6496,24.9844,24.2754,24.7185,118542.0
2019-02-23,24.6496,24.9844,24.2754,24.7185,118542.0
2019-02-24,24.6496,24.9844,24.2754,24.7185,118542.0
2019-02-25,24.6594,25.3291,24.6594,24.8367,167898.0
2019-02-26,24.5511,24.9943,24.4132,24.8859,128185.0
2019-02-27,24.8465,25.0533,24.5806,24.7284,146145.0
2019-02-28,24.7284,24.7284,24.1079,24.2163,202353.0
2019-03-01,23.6451,26.2253,22.2171,25.7624,347816.0
2019-03-02,23.6451,26.2253,22.2171,25.7624,347816.0
2019-03-03,23.6451,26.2253,22.2171,25.7624,347816.0
2019-03-04,26.0086,27.2987,25.7033,26.1465,280778.0
2019-03-05,26.2154,26.826,26.0578,26.4321,242079.0
2019-03-06,26.2942,26.826,25.7427,26.2253,393733.0
2019-03-07,26.304,26.304,25.2405,26.0283,149059.0
2019-03-08,25.8609,25.8954,25.1469,25.3389,137869.0
2019-03-09,25.8609,25.8954,25.1469,25.3389,137869.0
2019-03-10,25.8609,25.8954,25.1469,25.3389,137869.0
2019-03-11,25.5851,26.0972,25.0041,25.8904,220599.0
2019-03-12,26.1957,26.2351,25.27,25.3783,161158.0
2019-03-13,25.7329,25.9594,24.945,25.2208,220346.0
2019-03-14,25.2208,25.2602,24.9352,25.0435,247985.0
2019-03-15,25.1026,25.8018,24.7382,25.6639,432097.0
2019-03-16,25.1026,25.8018,24.7382,25.6639,432097.0
2019-03-17,25.1026,25.8018,24.7382,25.6639,432097.0
2019-03-18,25.851,26.1859,25.1961,26.1859,193456.0
2019-03-19,26.4715,26.712,25.5359,25.9397,183758.0
2019-03-20,25.7526,25.8116,25.0238,25.1518,177942.0
2019-03-21,25.0238,25.8313,24.8392,25.6245,117804.0
2019-03-22,25.3586,25.4128,24.0636,24.3344,233878.0
