,SPGI US Equity,SPGI US Equity,SPGI US Equity,SPGI US Equity,SPGI US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,161.407,162.934,160.729,162.189,944822.0
2019-01-02,161.55,163.459,159.383,162.103,1362231.0
2019-01-03,161.569,161.674,156.511,156.873,1569497.0
2019-01-04,159.412,165.033,159.04,164.403,1946771.0
2019-01-05,159.412,165.033,159.04,164.403,1946771.0
2019-01-06,159.412,165.033,159.04,164.403,1946771.0
2019-01-07,164.069,167.324,164.069,165.72,1820516.0
2019-01-08,166.789,167.257,165.157,167.238,1426664.0
2019-01-09,167.152,168.245,165.377,165.74,1280085.0
2019-01-10,165.511,169.214,165.014,169.07,1406091.0
2019-01-11,168.841,169.614,167.181,167.954,1018802.0
2019-01-12,168.841,169.614,167.181,167.954,1018802.0
2019-01-13,168.841,169.614,167.181,167.954,1018802.0
2019-01-14,166.379,169.481,166.074,168.946,1396919.0
2019-01-15,168.374,173.48,168.087,173.337,1454973.0
2019-01-16,174.081,177.269,173.699,176.562,1995328.0
2019-01-17,175.36,177.517,174.988,176.868,1178585.0
2019-01-18,178.003,180.199,177.147,180.036,1424163.0
2019-01-19,178.003,180.199,177.147,180.036,1424163.0
2019-01-20,178.003,180.199,177.147,180.036,1424163.0
2019-01-21,178.003,180.199,177.147,180.036,1424163.0
2019-01-22,179.359,179.874,177.765,178.748,4011417.0
2019-01-23,178.987,180.113,178.242,179.044,2519269.0
2019-01-24,178.948,180.914,178.681,179.97,1684785.0
2019-01-25,181.229,181.869,179.922,180.676,1070849.0
2019-01-26,181.229,181.869,179.922,180.676,1070849.0
2019-01-27,181.229,181.869,179.922,180.676,1070849.0
2019-01-28,179.492,179.76,176.639,179.578,1763755.0
2019-01-29,179.168,179.55,177.288,177.851,1220821.0
2019-01-30,178.462,180.762,177.125,180.389,1215559.0
2019-01-31,180.036,183.1,178.967,182.909,1623954.0
2019-02-01,183.339,186.259,182.441,184.99,1147280.0
2019-02-02,183.339,186.259,182.441,184.99,1147280.0
2019-02-03,183.339,186.259,182.441,184.99,1147280.0
2019-02-04,185.238,186.001,183.348,185.543,1502732.0
2019-02-05,185.725,186.66,185.056,186.011,1420652.0
2019-02-06,185.839,186.192,184.054,184.15,1721267.0
2019-02-07,182.289,188.044,178.767,186.106,2398522.0
2019-02-08,181.115,184.885,180.58,184.761,1845236.0
2019-02-09,181.115,184.885,180.58,184.761,1845236.0
2019-02-10,181.115,184.885,180.58,184.761,1845236.0
2019-02-11,184.894,186.555,184.045,185.276,1519912.0
2019-02-12,186.813,187.357,185.801,186.345,1136749.0
2019-02-13,187.061,188.779,186.421,188.187,1410853.0
2019-02-14,187.013,187.767,185.925,186.937,1032986.0
2019-02-15,188.454,189.914,187.643,189.275,1106784.0
2019-02-16,188.454,189.914,187.643,189.275,1106784.0
2019-02-17,188.454,189.914,187.643,189.275,1106784.0
2019-02-18,188.454,189.914,187.643,189.275,1106784.0
2019-02-19,188.864,189.265,188.349,188.635,1013626.0
2019-02-20,189.103,189.408,188.13,188.989,1266899.0
2019-02-21,188.511,189.485,188.015,189.113,1100042.0
2019-02-22,190.067,192.787,189.828,192.672,987631.0
2019-02-23,190.067,192.787,189.828,192.672,987631.0
2019-02-24,190.067,192.787,189.828,192.672,987631.0
2019-02-25,194.261,195.505,192.893,193.275,1166759.0
2019-02-26,192.854,193.926,192.395,192.835,1054035.0
2019-02-27,192.491,193.61,191.648,193.065,1054906.0
2019-02-28,193.237,194.271,191.62,191.773,1329947.0
2019-03-01,193.457,194.759,192.735,193.18,1098422.0
2019-03-02,193.457,194.759,192.735,193.18,1098422.0
2019-03-03,193.457,194.759,192.735,193.18,1098422.0
2019-03-04,194.271,194.759,189.868,191.313,1019126.0
2019-03-05,191.792,192.304,189.399,189.466,938387.0
2019-03-06,189.524,190.174,187.695,188.854,890084.0
2019-03-07,188.117,188.471,186.585,188.05,1103010.0
2019-03-08,186.671,188.164,186.624,187.906,664438.0
2019-03-09,186.671,188.164,186.624,187.906,664438.0
2019-03-10,186.671,188.164,186.624,187.906,664438.0
2019-03-11,188.681,190.117,188.193,188.777,856063.0
2019-03-12,189.313,189.897,188.72,189.026,1050374.0
2019-03-13,188.423,191.553,188.174,191.131,1115545.0
2019-03-14,191.218,192.998,190.442,192.95,1424021.0
2019-03-15,192.998,194.539,191.792,194.462,2047748.0
2019-03-16,192.998,194.539,191.792,194.462,2047748.0
2019-03-17,192.998,194.539,191.792,194.462,2047748.0
2019-03-18,194.711,197.86,194.711,196.893,1778441.0
2019-03-19,198.511,199.755,197.467,198.941,2051023.0
2019-03-20,197.984,199.152,195.955,197.429,1534833.0
2019-03-21,196.51,201.506,195.745,200.769,1275592.0
2019-03-22,198.425,199.846,196.415,196.673,882685.0
2019-03-23,198.425,199.846,196.415,196.673,882685.0
2019-03-24,198.425,199.846,196.415,196.673,882685.0
2019-03-25,197.19,197.247,195.113,196.214,760869.0
2019-03-26,197.305,197.936,195.85,197.286,815049.0
2019-03-27,196.97,197.793,195.477,196.376,1095770.0
2019-03-28,197.046,198.999,196.683,198.75,716401.0
2019-03-29,200.023,202.205,199.152,201.516,1400155.0
2019-03-30,200.023,202.205,199.152,201.516,1400155.0
2019-03-31,200.023,202.205,199.152,201.516,1400155.0
2019-04-01,202.923,204.454,202.262,203.765,1135966.0
2019-04-02,203.87,204.339,201.143,204.071,719883.0
2019-04-03,205.296,205.708,203.861,204.435,896437.0
2019-04-04,204.827,205.076,203.344,203.526,605215.0
2019-04-05,204.435,205.765,203.928,205.325,743472.0
2019-04-06,204.435,205.765,203.928,205.325,743472.0
2019-04-07,204.435,205.765,203.928,205.325,743472.0
2019-04-08,205.095,205.296,203.574,204.483,634292.0
2019-04-09,203.306,206.014,202.913,205.593,990080.0
2019-04-10,206.12,206.445,203.315,203.555,850218.0
2019-04-11,204.952,204.952,203.526,203.985,1403658.0
2019-04-12,205.488,205.708,204.071,205.708,793052.0
2019-04-13,205.488,205.708,204.071,205.708,793052.0
2019-04-14,205.488,205.708,204.071,205.708,793052.0
2019-04-15,206.187,207.239,205.363,207.182,667148.0
2019-04-16,207.833,208.589,207.421,207.641,607431.0
2019-04-17,208.33,208.33,205.105,206.148,716482.0
2019-04-18,205.842,208.216,204.894,207.881,758691.0
2019-04-19,205.842,208.216,204.894,207.881,758691.0
2019-04-20,205.842,208.216,204.894,207.881,758691.0
2019-04-21,205.842,208.216,204.894,207.881,758691.0
2019-04-22,207.134,208.426,206.79,207.842,872899.0
2019-04-23,207.68,208.694,206.636,208.637,1059042.0
2019-04-24,206.904,209.795,206.904,209.01,861517.0
2019-04-25,208.531,210.426,207.383,209.795,651036.0
2019-04-26,209.795,210.848,208.201,210.819,565178.0
2019-04-27,209.795,210.848,208.201,210.819,565178.0
2019-04-28,209.795,210.848,208.201,210.819,565178.0
2019-04-29,210.733,211.441,210.048,210.273,1016097.0
2019-04-30,210.56,211.393,209.307,211.192,1066164.0
2019-05-01,211.508,212.475,209.89,210.034,1113928.0
2019-05-02,206.723,210.379,203.612,207.852,1373589.0
2019-05-03,207.718,209.23,206.177,208.531,1128985.0
2019-05-04,207.718,209.23,206.177,208.531,1128985.0
2019-05-05,207.718,209.23,206.177,208.531,1128985.0
2019-05-06,205.239,210.594,204.425,210.187,973056.0
2019-05-07,208.235,208.235,203.468,205.392,1078589.0
2019-05-08,204.215,207.373,204.196,205.517,1242114.0
2019-05-09,203.459,204.569,201.468,203.976,1331311.0
2019-05-10,203.277,205.469,200.425,205.134,900201.0
2019-05-11,203.277,205.469,200.425,205.134,900201.0
2019-05-12,203.277,205.469,200.425,205.134,900201.0
2019-05-13,202.109,202.607,197.094,199.726,1538223.0
2019-05-14,200.291,205.411,200.291,202.741,1117629.0
2019-05-15,201.631,204.186,200.846,202.636,1232544.0
2019-05-16,203.746,207.105,199.764,206.053,885272.0
2019-05-17,204.081,206.072,203.392,203.803,1686721.0
2019-05-18,204.081,206.072,203.392,203.803,1686721.0
2019-05-19,204.081,206.072,203.392,203.803,1686721.0
2019-05-20,202.827,204.205,201.564,202.741,1067487.0
2019-05-21,207.287,207.9,204.569,207.622,1696771.0
2019-05-22,207.469,210.886,207.412,208.263,1288293.0
2019-05-23,206.885,207.182,203.449,204.808,1046544.0
2019-05-24,206.091,206.091,202.794,205.134,1275478.0
2019-05-25,206.091,206.091,202.794,205.134,1275478.0
2019-05-26,206.091,206.091,202.794,205.134,1275478.0
2019-05-27,206.091,206.091,202.794,205.134,1275478.0
2019-05-28,205.719,208.531,205.47,205.863,1593566.0
2019-05-29,205.585,209.164,205.546,207.801,1237945.0
2019-05-30,207.811,210.767,207.485,208.396,733769.0
2019-05-31,207.063,207.158,204.683,205.249,1095507.0
2019-06-01,207.063,207.158,204.683,205.249,1095507.0
2019-06-02,207.063,207.158,204.683,205.249,1095507.0
2019-06-03,205.738,207.312,202.821,204.376,849831.0
2019-06-04,206.688,207.034,201.996,206.16,1254198.0
2019-06-05,207.629,211.976,207.446,211.381,1313044.0
2019-06-06,212.446,213.473,211.477,213.051,763678.0
2019-06-07,213.521,216.131,213.08,215.603,948869.0
2019-06-08,213.521,216.131,213.08,215.603,948869.0
2019-06-09,213.521,216.131,213.08,215.603,948869.0
2019-06-10,216.784,218.454,215.968,217.964,833956.0
2019-06-11,219.452,219.759,212.437,213.703,839636.0
2019-06-12,213.742,215.445,213.156,215.152,530501.0
2019-06-13,215.565,216.414,213.886,215.392,559682.0
