,INTU US Equity,INTU US Equity,INTU US Equity,INTU US Equity,INTU US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,190.167,191.506,188.297,189.666,1074167.0
2019-01-02,184.511,188.664,184.135,187.372,1485776.0
2019-01-03,184.27,186.187,181.341,181.64,2016129.0
2019-01-04,184.81,191.043,182.834,188.847,1736376.0
2019-01-05,184.81,191.043,182.834,188.847,1736376.0
2019-01-06,184.81,191.043,182.834,188.847,1736376.0
2019-01-07,188.201,193.096,188.201,191.728,1175424.0
2019-01-08,193.5,196.42,190.851,196.323,1654048.0
2019-01-09,197.067,197.975,193.475,195.715,1643215.0
2019-01-10,194.836,200.186,194.213,198.999,1507701.0
2019-01-11,198.4,199.906,197.067,199.085,1479582.0
2019-01-12,198.4,199.906,197.067,199.085,1479582.0
2019-01-13,198.4,199.906,197.067,199.085,1479582.0
2019-01-14,196.768,199.264,195.957,198.12,1058036.0
2019-01-15,198.342,203.045,198.342,202.62,1559923.0
2019-01-16,203.76,207.033,202.079,202.794,1340700.0
2019-01-17,201.365,204.841,201.365,204.474,1106376.0
2019-01-18,206.84,207.941,203.663,206.541,1622569.0
2019-01-19,206.84,207.941,203.663,206.541,1622569.0
2019-01-20,206.84,207.941,203.663,206.541,1622569.0
2019-01-21,206.84,207.941,203.663,206.541,1622569.0
2019-01-22,205.546,208.424,203.644,205.063,1656479.0
2019-01-23,205.701,209.071,202.702,204.967,1454721.0
2019-01-24,205.063,206.251,203.059,204.89,966155.0
2019-01-25,207.246,208.125,205.469,206.956,1127456.0
2019-01-26,207.246,208.125,205.469,206.956,1127456.0
2019-01-27,207.246,208.125,205.469,206.956,1127456.0
2019-01-28,205.537,205.604,202.562,203.818,972488.0
2019-01-29,203.972,204.605,200.573,201.191,995655.0
2019-01-30,202.533,207.294,202.417,206.763,1251485.0
2019-01-31,206.28,209.95,205.99,208.424,2792264.0
2019-02-01,208.347,209.428,205.382,207.101,1934978.0
2019-02-02,208.347,209.428,205.382,207.101,1934978.0
2019-02-03,208.347,209.428,205.382,207.101,1934978.0
2019-02-04,209.448,214.74,208.173,213.34,2256024.0
2019-02-05,213.842,217.743,213.61,216.797,1818218.0
2019-02-06,216.469,217.147,213.504,216.884,915885.0
2019-02-07,214.547,215.783,212.944,213.398,1166408.0
