,TDS US Equity,TDS US Equity,TDS US Equity,TDS US Equity,TDS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,20.5394,21.0425,20.4651,20.9766,621258.0
2020-01-02,21.059,21.059,20.4156,20.8528,745006.0
2020-01-03,20.6548,20.7951,20.4074,20.6548,583506.0
2020-01-04,20.6548,20.7951,20.4074,20.6548,583506.0
2020-01-05,20.6548,20.7951,20.4074,20.6548,583506.0
2020-01-06,20.4486,20.6301,20.2754,20.5641,985953.0
2020-01-07,20.5476,20.6466,20.0279,20.1929,634311.0
2020-01-08,20.1847,20.3991,20.1352,20.3496,404352.0
2020-01-09,20.3496,20.3744,20.0898,20.3084,403326.0
2020-01-10,20.3084,20.4486,20.0444,20.0692,435073.0
2020-01-11,20.3084,20.4486,20.0444,20.0692,435073.0
2020-01-12,20.3084,20.4486,20.0444,20.0692,435073.0
2020-01-13,20.0857,20.4486,19.8547,20.3826,430802.0
2020-01-14,20.3744,20.4321,20.2342,20.3909,595607.0
2020-01-15,20.3991,20.6961,20.2919,20.4734,662356.0
2020-01-16,20.5724,21.1498,20.4404,20.993,607547.0
2020-01-17,21.0838,21.0838,20.8157,20.9188,399265.0
2020-01-18,21.0838,21.0838,20.8157,20.9188,399265.0
2020-01-19,21.0838,21.0838,20.8157,20.9188,399265.0
2020-01-20,21.0838,21.0838,20.8157,20.9188,399265.0
2020-01-21,20.9188,20.9518,20.7208,20.7373,446444.0
2020-01-22,20.8281,21.0508,20.7786,20.9023,665130.0
2020-01-23,20.7951,20.9023,20.4816,20.8033,898698.0
2020-01-24,20.8528,20.8987,20.3414,20.3909,472002.0
2020-01-25,20.8528,20.8987,20.3414,20.3909,472002.0
2020-01-26,20.8528,20.8987,20.3414,20.3909,472002.0
2020-01-27,20.0032,20.0651,19.7475,19.7805,945550.0
2020-01-28,19.8795,20.1517,19.8712,20.0444,703773.0
2020-01-29,20.0444,20.0939,19.3103,19.3433,1052901.0
2020-01-30,19.1371,19.3268,18.8979,19.3186,854849.0
2020-01-31,19.1783,19.1866,18.5516,18.7081,1877104.0
2020-02-01,19.1783,19.1866,18.5516,18.7081,1877104.0
2020-02-02,19.1783,19.1866,18.5516,18.7081,1877104.0
2020-02-03,18.8154,19.2031,18.6339,19.1618,656517.0
2020-02-04,19.401,19.5371,19.2773,19.3763,664115.0
2020-02-05,19.5743,19.896,19.5743,19.7227,707247.0
2020-02-06,19.7887,20.0857,19.7145,19.9042,861338.0
2020-02-07,19.8465,19.9867,19.6485,19.8547,497864.0
2020-02-08,19.8465,19.9867,19.6485,19.8547,497864.0
2020-02-09,19.8465,19.9867,19.6485,19.8547,497864.0
2020-02-10,19.6815,19.7887,19.434,19.533,353402.0
2020-02-11,19.6815,20.4418,19.5908,20.2094,755564.0
2020-02-12,20.4156,20.5971,20.3002,20.4569,832425.0
2020-02-13,20.2837,20.3991,20.0073,20.0609,443016.0
2020-02-14,20.0774,20.0774,19.6939,19.8465,435668.0
2020-02-15,20.0774,20.0774,19.6939,19.8465,435668.0
2020-02-16,20.0774,20.0774,19.6939,19.8465,435668.0
2020-02-17,20.0774,20.0774,19.6939,19.8465,435668.0
2020-02-18,19.7227,20.4816,19.632,20.4734,1047585.0
2020-02-19,20.5229,20.8446,20.3661,20.7621,706096.0
2020-02-20,20.6878,21.0508,20.6301,20.8033,762726.0
2020-02-21,20.5229,21.1219,18.2792,18.3287,2230610.0
2020-02-22,20.5229,21.1219,18.2792,18.3287,2230610.0
2020-02-23,20.5229,21.1219,18.2792,18.3287,2230610.0
2020-02-24,17.7843,18.2297,17.5863,17.908,1070077.0
2020-02-25,17.8915,17.908,17.0337,17.0501,1257643.0
2020-02-26,17.1244,17.8255,17.0914,17.5946,1008170.0
2020-02-27,17.0996,17.2481,16.3985,16.4232,1739935.0
