,HUBG US Equity,HUBG US Equity,HUBG US Equity,HUBG US Equity,HUBG US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,25.4999,25.7891,25.4326,25.5697,360644.0
2020-01-02,26.3076,26.5219,25.7293,26.168,622676.0
2020-01-03,25.8489,26.153,25.6694,26.0832,472000.0
2020-01-04,25.8489,26.153,25.6694,26.0832,472000.0
2020-01-05,25.8489,26.153,25.6694,26.0832,472000.0
2020-01-06,26.0583,26.2228,25.4351,26.1829,727628.0
2020-01-07,26.1381,26.3115,25.9386,26.0359,210372.0
2020-01-08,26.0234,26.7064,26.0234,26.5169,495508.0
2020-01-09,26.5518,26.6815,26.1331,26.2826,493018.0
2020-01-10,26.3076,26.3724,25.9735,26.0882,353872.0
2020-01-11,26.3076,26.3724,25.9735,26.0882,353872.0
2020-01-12,26.3076,26.3724,25.9735,26.0882,353872.0
2020-01-13,26.9307,27.0753,26.4546,26.8061,361720.0
2020-01-14,26.8859,27.3096,26.8061,27.175,412432.0
2020-01-15,27.3196,27.5265,26.5917,26.6316,420828.0
2020-01-16,26.8958,27.4392,26.6466,27.4392,355620.0
2020-01-17,27.4442,27.4642,26.9257,27.4342,503918.0
2020-01-18,27.4442,27.4642,26.9257,27.4342,503918.0
2020-01-19,27.4442,27.4642,26.9257,27.4342,503918.0
2020-01-20,27.4442,27.4642,26.9257,27.4342,503918.0
2020-01-21,27.3246,27.4642,26.7413,27.1974,284958.0
2020-01-22,27.2448,27.3844,26.7812,26.9806,572252.0
2020-01-23,26.9407,27.2647,26.5668,27.1252,341584.0
2020-01-24,27.165,27.2747,26.7712,26.9955,279798.0
2020-01-25,27.165,27.2747,26.7712,26.9955,279798.0
2020-01-26,27.165,27.2747,26.7712,26.9955,279798.0
2020-01-27,26.3823,27.0315,26.3823,26.6815,342716.0
2020-01-28,26.8609,26.9706,26.7089,26.7463,476432.0
2020-01-29,26.8908,27.0304,26.6765,26.9557,295782.0
2020-01-30,26.7213,26.9208,26.4521,26.8659,427040.0
2020-01-31,26.7762,26.7762,26.1032,26.3574,550428.0
2020-02-01,26.7762,26.7762,26.1032,26.3574,550428.0
2020-02-02,26.7762,26.7762,26.1032,26.3574,550428.0
2020-02-03,26.512,26.6765,26.1181,26.2079,425046.0
2020-02-04,26.5618,26.9058,26.3026,26.7463,407274.0
2020-02-05,27.0454,27.6885,26.7612,27.5938,363956.0
2020-02-06,27.7583,27.8929,27.4243,27.6087,497708.0
2020-02-07,27.9228,30.1188,27.9228,29.7574,1418064.0
2020-02-08,27.9228,30.1188,27.9228,29.7574,1418064.0
2020-02-09,27.9228,30.1188,27.9228,29.7574,1418064.0
2020-02-10,29.7076,29.9593,28.0125,28.2543,1107070.0
2020-02-11,28.2817,28.5285,27.5539,27.6586,628194.0
2020-02-12,27.863,28.1621,27.6087,28.0375,636044.0
2020-02-13,27.9477,28.4562,27.9178,28.4014,535126.0
2020-02-14,28.3914,28.5335,27.6013,27.6735,480868.0
2020-02-15,28.3914,28.5335,27.6013,27.6735,480868.0
2020-02-16,28.3914,28.5335,27.6013,27.6735,480868.0
2020-02-17,28.3914,28.5335,27.6013,27.6735,480868.0
2020-02-18,27.6735,27.9776,27.5938,27.671,424658.0
2020-02-19,27.8081,28.0076,27.3046,27.6586,502008.0
2020-02-20,27.6486,27.7832,27.4492,27.7832,398166.0
2020-02-21,27.7134,27.7134,27.3196,27.4243,278682.0
2020-02-22,27.7134,27.7134,27.3196,27.4243,278682.0
2020-02-23,27.7134,27.7134,27.3196,27.4243,278682.0
2020-02-24,26.492,26.7213,25.9386,26.3774,419942.0
2020-02-25,26.4172,26.4172,25.0463,25.0712,511970.0
2020-02-26,25.0712,25.1908,23.9844,24.0791,562808.0
2020-02-27,23.5407,23.785,22.9126,23.097,716160.0
2020-02-28,22.5885,23.1743,22.4988,23.0472,704410.0
2020-02-29,22.5885,23.1743,22.4988,23.0472,704410.0
2020-03-01,22.5885,23.1743,22.4988,23.0472,704410.0
2020-03-02,23.1867,24.3184,22.8178,24.3184,559390.0
2020-03-03,24.3982,24.9765,23.4834,23.8548,683370.0
2020-03-04,24.3284,24.8219,23.8498,24.7422,445438.0
2020-03-05,23.9994,24.3384,23.0073,23.3014,400870.0
2020-03-06,22.434,23.1917,21.8058,22.8178,255858.0
2020-03-07,22.434,23.1917,21.8058,22.8178,255858.0
2020-03-08,22.434,23.1917,21.8058,22.8178,255858.0
2020-03-09,20.8736,21.751,20.7589,20.8287,467052.0
2020-03-10,21.6214,21.8706,20.6243,21.5266,326392.0
2020-03-11,20.7888,21.1926,20.2255,20.5645,315400.0
2020-03-12,19.2832,20.3302,18.4806,20.0236,621378.0
2020-03-13,20.8636,21.0082,19.1337,20.3999,693384.0
2020-03-14,20.8636,21.0082,19.1337,20.3999,693384.0
2020-03-15,20.8636,21.0082,19.1337,20.3999,693384.0
2020-03-16,18.4457,19.4179,18.2662,18.5703,569936.0
2020-03-17,19.039,21.0082,18.2014,20.8237,840686.0
2020-03-18,19.5873,21.3671,18.8271,20.8736,997766.0
2020-03-19,20.7738,22.3268,19.9862,22.1897,931116.0
2020-03-20,22.1249,23.0771,20.9957,21.3172,967062.0
2020-03-21,22.1249,23.0771,20.9957,21.3172,967062.0
2020-03-22,22.1249,23.0771,20.9957,21.3172,967062.0
2020-03-23,21.8008,22.257,20.9184,22.0152,732072.0
2020-03-24,22.9275,23.7451,21.0829,21.9604,893202.0
2020-03-25,21.9105,22.4489,21.078,21.2873,857676.0
2020-03-26,21.3821,22.4589,21.3821,22.4589,746080.0
2020-03-27,21.746,23.1843,21.1677,21.2325,874202.0
2020-03-28,21.746,23.1843,21.1677,21.2325,874202.0
2020-03-29,21.746,23.1843,21.1677,21.2325,874202.0
2020-03-30,21.4967,22.4888,21.4444,21.8457,611528.0
2020-03-31,21.6862,22.8677,21.4419,22.6683,762678.0
2020-04-01,21.8108,22.7231,21.5715,22.0551,526228.0
2020-04-02,21.9703,22.5785,21.392,21.8856,618342.0
2020-04-03,21.746,22.5636,20.9334,21.7111,506202.0
2020-04-04,21.746,22.5636,20.9334,21.7111,506202.0
2020-04-05,21.746,22.5636,20.9334,21.7111,506202.0
2020-04-06,22.2545,22.5536,21.8382,22.2894,818032.0
2020-04-07,22.7879,23.5606,21.8357,23.3562,686560.0
2020-04-08,23.6055,24.0941,22.9475,23.9645,1030650.0
2020-04-09,24.4181,24.5627,23.8747,24.119,634090.0
2020-04-10,24.4181,24.5627,23.8747,24.119,634090.0
2020-04-11,24.4181,24.5627,23.8747,24.119,634090.0
2020-04-12,24.4181,24.5627,23.8747,24.119,634090.0
2020-04-13,23.9545,24.3658,23.426,23.6903,340122.0
2020-04-14,24.2985,24.9216,24.1788,24.6325,397498.0
2020-04-15,24.2038,24.2287,23.4809,24.0243,613820.0
2020-04-16,24.0343,24.5627,23.5257,24.5278,956708.0
2020-04-17,25.146,25.4202,24.6275,24.8867,553826.0
2020-04-18,25.146,25.4202,24.6275,24.8867,553826.0
2020-04-19,25.146,25.4202,24.6275,24.8867,553826.0
2020-04-20,24.6076,24.8419,23.5307,23.5756,565800.0
2020-04-21,23.097,23.451,22.768,22.9225,379328.0
2020-04-22,23.3612,23.3612,22.4788,22.6583,333246.0
2020-04-23,22.8428,24.448,22.4389,22.8328,429788.0
