,SYY US Equity,SYY US Equity,SYY US Equity,SYY US Equity,SYY US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,54.1895,54.5279,53.851,54.3804,1947352.0
2019-01-02,53.9465,54.0246,53.3207,53.851,2221582.0
2019-01-03,53.7898,54.1043,53.2571,53.5977,3554706.0
2019-01-04,53.7636,54.6632,53.685,54.0169,3017056.0
2019-01-05,53.7636,54.6632,53.685,54.0169,3017056.0
2019-01-06,53.7636,54.6632,53.685,54.0169,3017056.0
2019-01-07,54.0344,54.5497,53.8597,53.9733,3021670.0
2019-01-08,54.2091,54.9951,54.0955,54.8291,2739490.0
2019-01-09,54.6719,54.816,54.1916,54.5671,4280452.0
2019-01-10,54.4536,55.2658,54.1654,55.2483,2033114.0
2019-01-11,54.9863,55.1348,54.6195,55.0562,2151141.0
2019-01-12,54.9863,55.1348,54.6195,55.0562,2151141.0
2019-01-13,54.9863,55.1348,54.6195,55.0562,2151141.0
2019-01-14,54.6894,55.327,54.1479,54.9776,3873601.0
2019-01-15,54.8641,55.0562,54.5366,54.7767,2415284.0
2019-01-16,54.1217,54.4361,53.5637,54.3663,2832504.0
2019-01-17,54.1829,54.5322,54.1217,54.3575,2910615.0
2019-01-18,54.7069,55.2658,54.2615,54.7418,2600254.0
2019-01-19,54.7069,55.2658,54.2615,54.7418,2600254.0
2019-01-20,54.7069,55.2658,54.2615,54.7418,2600254.0
2019-01-21,54.7069,55.2658,54.2615,54.7418,2600254.0
2019-01-22,54.8117,54.9034,54.161,54.7243,3276974.0
2019-01-23,54.7505,55.2396,54.7505,54.9252,3308578.0
2019-01-24,54.6719,54.6719,53.9907,54.6108,3109511.0
2019-01-25,54.6981,55.2047,54.0475,54.1654,2271598.0
2019-01-26,54.6981,55.2047,54.0475,54.1654,2271598.0
2019-01-27,54.6981,55.2047,54.0475,54.1654,2271598.0
2019-01-28,54.113,54.4012,53.7025,54.3837,2233762.0
2019-01-29,54.2178,54.6195,53.9733,54.1916,2447019.0
2019-01-30,54.3139,55.0999,54.2615,54.9339,2756318.0
2019-01-31,54.768,55.7898,54.5497,55.7636,6043770.0
2019-02-01,55.6326,55.9034,55.2571,55.5191,6437228.0
2019-02-02,55.6326,55.9034,55.2571,55.5191,6437228.0
2019-02-03,55.6326,55.9034,55.2571,55.5191,6437228.0
2019-02-04,57.5278,58.8116,57.3357,58.2003,9543893.0
2019-02-05,57.03,57.4055,56.6894,57.0737,8140558.0
2019-02-06,57.1785,57.4055,56.5671,57.0562,5278707.0
2019-02-07,56.6632,57.0038,56.5584,56.8641,6167033.0
2019-02-08,56.7942,57.8422,56.7331,57.816,6063095.0
2019-02-09,56.7942,57.8422,56.7331,57.816,6063095.0
2019-02-10,56.7942,57.8422,56.7331,57.816,6063095.0
2019-02-11,57.9295,58.0867,57.6588,57.8946,3605341.0
2019-02-12,57.8946,58.506,57.8073,58.4623,4097936.0
2019-02-13,58.4972,58.4972,57.8247,58.1042,3369858.0
2019-02-14,57.8422,58.4623,57.3706,58.1304,2800083.0
2019-02-15,58.5496,58.995,58.244,58.9863,4517291.0
2019-02-16,58.5496,58.995,58.244,58.9863,4517291.0
2019-02-17,58.5496,58.995,58.244,58.9863,4517291.0
2019-02-18,58.5496,58.995,58.244,58.9863,4517291.0
2019-02-19,59.0824,59.0824,58.34,58.5234,3169810.0
2019-02-20,58.602,58.9776,58.2789,58.8204,2774460.0
2019-02-21,58.8728,58.9426,58.2265,58.7243,1975730.0
2019-02-22,58.2352,58.8553,58.078,58.8029,1942011.0
2019-02-23,58.2352,58.8553,58.078,58.8029,1942011.0
2019-02-24,58.2352,58.8553,58.078,58.8029,1942011.0
2019-02-25,59.126,59.257,58.5234,58.7418,2995134.0
2019-02-26,58.8029,59.0125,58.3313,58.8728,2625312.0
2019-02-27,58.5584,58.8204,58.3313,58.6108,2105468.0
2019-02-28,58.8291,59.292,58.7068,58.995,2546314.0
2019-03-01,59.1872,59.2658,58.6457,59.0212,2061584.0
2019-03-02,59.1872,59.2658,58.6457,59.0212,2061584.0
2019-03-03,59.1872,59.2658,58.6457,59.0212,2061584.0
2019-03-04,59.0387,59.161,58.1391,58.6108,3198007.0
2019-03-05,58.5147,58.6195,57.9033,58.1479,2295558.0
2019-03-06,58.1828,58.1828,57.4405,57.8859,1928669.0
2019-03-07,57.6675,58.0081,57.2833,57.5278,1686784.0
2019-03-08,57.4055,57.5627,56.9776,57.4492,2190642.0
2019-03-09,57.4055,57.5627,56.9776,57.4492,2190642.0
2019-03-10,57.4055,57.5627,56.9776,57.4492,2190642.0
2019-03-11,57.5278,58.0693,57.3619,58.0431,1955322.0
2019-03-12,58.0693,58.0693,57.7287,57.7985,2800464.0
2019-03-13,57.8946,58.2527,57.7636,58.0343,2084018.0
2019-03-14,58.1916,58.2003,57.6719,57.7461,2253937.0
2019-03-15,57.6326,58.209,57.4841,57.8771,7788636.0
2019-03-16,57.6326,58.209,57.4841,57.8771,7788636.0
2019-03-17,57.6326,58.209,57.4841,57.8771,7788636.0
2019-03-18,57.816,58.1042,57.7461,58.0431,2387642.0
2019-03-19,58.2527,58.3287,57.637,57.7985,2730822.0
2019-03-20,57.7723,57.9033,57.0911,57.1261,1878513.0
2019-03-21,57.0649,57.7461,57.0213,57.5627,1947990.0
2019-03-22,57.7199,58.1217,57.2483,57.2571,1668776.0
2019-03-23,57.7199,58.1217,57.2483,57.2571,1668776.0
2019-03-24,57.7199,58.1217,57.2483,57.2571,1668776.0
2019-03-25,57.1086,57.9121,57.1086,57.816,3695640.0
2019-03-26,57.9907,58.1479,57.5977,57.8859,2637967.0
2019-03-27,57.816,57.9863,57.0911,57.3269,2266581.0
2019-03-28,57.5365,57.9819,57.2483,57.8684,1737008.0
2019-03-29,57.9033,58.3488,57.6937,58.3051,2309452.0
2019-03-30,57.9033,58.3488,57.6937,58.3051,2309452.0
2019-03-31,57.9033,58.3488,57.6937,58.3051,2309452.0
2019-04-01,58.6457,58.6457,58.1129,58.3226,1774065.0
2019-04-02,58.375,58.4623,57.8859,57.9295,1859678.0
2019-04-03,58.1828,58.3313,57.7811,58.0518,1845822.0
2019-04-04,58.1836,58.8117,57.9552,58.737,2490546.0
2019-04-05,58.8161,59.0753,58.6316,58.983,1781720.0
2019-04-06,58.8161,59.0753,58.6316,58.983,1781720.0
2019-04-07,58.8161,59.0753,58.6316,58.983,1781720.0
2019-04-08,58.983,59.2466,58.8161,59.0709,3677108.0
2019-04-09,58.9391,59.1675,58.7195,58.8249,1366972.0
2019-04-10,58.7546,59.3344,58.7107,59.229,1533624.0
2019-04-11,59.3871,59.923,59.229,59.844,1963535.0
2019-04-12,59.8967,60.6258,59.677,60.6258,2615730.0
2019-04-13,59.8967,60.6258,59.677,60.6258,2615730.0
2019-04-14,59.8967,60.6258,59.677,60.6258,2615730.0
2019-04-15,60.6961,61.4165,60.6961,61.1705,3194491.0
2019-04-16,61.2583,61.6625,61.1266,61.5834,2142992.0
2019-04-17,61.8382,62.2774,61.7635,62.0578,2547967.0
2019-04-18,62.1105,63.2526,62.0227,62.3653,2410455.0
2019-04-19,62.1105,63.2526,62.0227,62.3653,2410455.0
2019-04-20,62.1105,63.2526,62.0227,62.3653,2410455.0
2019-04-21,62.1105,63.2526,62.0227,62.3653,2410455.0
2019-04-22,62.2335,62.4004,61.7768,62.0051,2023409.0
2019-04-23,62.0666,62.1456,61.6625,61.8469,2020043.0
2019-04-24,61.9436,62.1281,61.478,61.557,2588907.0
2019-04-25,61.3462,61.4516,60.784,60.9421,1473080.0
2019-04-26,61.1354,61.3462,60.5468,60.7049,1715143.0
2019-04-27,61.1354,61.3462,60.5468,60.7049,1715143.0
2019-04-28,61.1354,61.3462,60.5468,60.7049,1715143.0
2019-04-29,60.7752,61.3462,60.6216,61.2496,2194849.0
2019-04-30,61.3111,61.9524,61.109,61.8206,2444149.0
2019-05-01,62.0666,62.3126,61.4692,61.4692,2263574.0
2019-05-02,61.5834,62.3477,61.5131,62.2247,2516689.0
2019-05-03,62.295,62.5234,61.8382,61.9524,3076583.0
2019-05-04,62.295,62.5234,61.8382,61.9524,3076583.0
2019-05-05,62.295,62.5234,61.8382,61.9524,3076583.0
