,DFS US Equity,DFS US Equity,DFS US Equity,DFS US Equity,DFS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,51.8387,52.2405,51.2825,52.0771,2202050.0
2019-01-02,51.1412,52.8806,51.0264,52.4568,2096660.0
2019-01-03,52.1301,52.4568,51.3531,51.5738,2363391.0
2019-01-04,52.6511,54.2845,52.4833,54.1168,2093033.0
2019-01-05,52.6511,54.2845,52.4833,54.1168,2093033.0
2019-01-06,52.6511,54.2845,52.4833,54.1168,2093033.0
2019-01-07,53.9313,54.8408,53.6929,54.2051,2460924.0
2019-01-08,54.8673,55.3353,54.0991,54.3022,2688928.0
2019-01-09,54.5671,55.1322,54.0815,54.8585,1863417.0
2019-01-10,54.6289,55.3706,54.4346,55.1763,1935700.0
2019-01-11,54.832,55.4059,54.47,55.2205,1721172.0
2019-01-12,54.832,55.4059,54.47,55.2205,1721172.0
2019-01-13,54.832,55.4059,54.47,55.2205,1721172.0
2019-01-14,54.8761,55.8739,54.7613,55.7944,2531165.0
2019-01-15,55.556,55.6973,54.8408,55.5737,1913081.0
2019-01-16,55.7061,57.0835,55.6884,56.8275,2757056.0
2019-01-17,56.5096,57.5515,56.2271,56.9864,1925790.0
2019-01-18,57.0482,58.8053,56.695,58.6022,2852181.0
2019-01-19,57.0482,58.8053,56.695,58.6022,2852181.0
2019-01-20,57.0482,58.8053,56.695,58.6022,2852181.0
2019-01-21,57.0482,58.8053,56.695,58.6022,2852181.0
2019-01-22,58.2844,58.6817,57.8782,58.3815,3955973.0
2019-01-23,58.6552,58.7965,57.4367,58.4168,2221729.0
2019-01-24,58.4256,59.3881,58.2844,58.4345,4666672.0
2019-01-25,57.5162,59.5205,57.2689,58.9201,6524030.0
2019-01-26,57.5162,59.5205,57.2689,58.9201,6524030.0
2019-01-27,57.5162,59.5205,57.2689,58.9201,6524030.0
2019-01-28,58.4874,59.4764,58.1078,59.4764,2209158.0
2019-01-29,59.3792,59.5028,58.7788,58.9642,2166526.0
2019-01-30,59.7148,60.0414,58.7523,59.7942,2678331.0
2019-01-31,59.3263,59.7766,59.1143,59.5911,2680675.0
2019-02-01,59.6794,60.4476,59.5293,60.3946,1957784.0
2019-02-02,59.6794,60.4476,59.5293,60.3946,1957784.0
2019-02-03,59.6794,60.4476,59.5293,60.3946,1957784.0
2019-02-04,60.5712,61.0392,60.2357,61.0304,2136136.0
2019-02-05,61.0833,61.1452,60.5801,61.0833,2331132.0
2019-02-06,61.0745,61.4454,60.5359,60.9421,2372779.0
2019-02-07,60.8096,60.8626,60.0768,60.8538,2760545.0
2019-02-08,60.3505,60.5182,59.547,60.0503,2204081.0
2019-02-09,60.3505,60.5182,59.547,60.0503,2204081.0
2019-02-10,60.3505,60.5182,59.547,60.0503,2204081.0
2019-02-11,60.2004,60.5624,59.7324,59.9355,1813538.0
2019-02-12,60.5094,61.8074,60.4741,61.5601,2903447.0
2019-02-13,61.8074,62.4078,61.7367,61.9663,1661358.0
2019-02-14,61.4895,62.0016,60.686,61.5337,2156327.0
2019-02-15,62.0281,63.07,61.878,62.9464,2387073.0
2019-02-16,62.0281,63.07,61.878,62.9464,2387073.0
2019-02-17,62.0281,63.07,61.878,62.9464,2387073.0
2019-02-18,62.0281,63.07,61.878,62.9464,2387073.0
