,WBA US Equity,WBA US Equity,WBA US Equity,WBA US Equity,WBA US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,54.0456,54.1876,53.4128,53.88,4870858.0
2019-01-02,52.989,53.9826,52.5869,53.6514,5528141.0
2019-01-03,53.4621,53.6908,52.6105,53.0915,5853235.0
2019-01-04,53.9589,55.3073,53.6198,54.8578,6868575.0
2019-01-05,53.9589,55.3073,53.6198,54.8578,6868575.0
2019-01-06,53.9589,55.3073,53.6198,54.8578,6868575.0
2019-01-07,54.5266,55.6227,54.2664,55.1732,6192472.0
2019-01-08,55.6069,56.5137,55.3073,56.2772,6548096.0
2019-01-09,56.632,57.2865,56.4033,56.9553,6317999.0
2019-01-10,56.7976,57.3653,56.1825,57.1524,5130543.0
2019-01-11,57.2471,57.2628,56.0879,56.5453,5684660.0
2019-01-12,57.2471,57.2628,56.0879,56.5453,5684660.0
2019-01-13,57.2471,57.2628,56.0879,56.5453,5684660.0
2019-01-14,56.3008,56.3797,55.4729,55.7094,5997658.0
2019-01-15,55.9618,56.7582,55.8277,56.6084,4259874.0
2019-01-16,56.7818,57.2359,56.6478,56.7739,3785442.0
2019-01-17,56.2535,56.9868,56.2141,56.7661,3625470.0
2019-01-18,57.1051,57.4678,56.7424,57.113,5539866.0
2019-01-19,57.1051,57.4678,56.7424,57.113,5539866.0
2019-01-20,57.1051,57.4678,56.7424,57.113,5539866.0
2019-01-21,57.1051,57.4678,56.7424,57.113,5539866.0
2019-01-22,56.8686,57.0263,56.0643,56.4506,5578261.0
2019-01-23,56.8528,57.0894,55.9933,56.5453,4187719.0
2019-01-24,56.561,56.6162,55.875,56.2377,4152741.0
2019-01-25,56.703,57.105,56.4428,56.6872,5221801.0
2019-01-26,56.703,57.105,56.4428,56.6872,5221801.0
2019-01-27,56.703,57.105,56.4428,56.6872,5221801.0
2019-01-28,56.2772,56.5137,55.5675,56.4428,4088558.0
2019-01-29,56.4191,56.6162,55.8909,56.3797,3367103.0
2019-01-30,56.3087,56.7976,56.1274,56.4664,4122089.0
2019-01-31,56.3797,57.2392,56.3797,56.979,8390779.0
2019-02-01,57.0736,57.2076,56.3994,56.6793,4642537.0
2019-02-02,57.0736,57.2076,56.3994,56.6793,4642537.0
2019-02-03,57.0736,57.2076,56.3994,56.6793,4642537.0
