,FHB US Equity,FHB US Equity,FHB US Equity,FHB US Equity,FHB US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,23.7527,23.8927,23.7032,23.7691,317059.0
2020-01-02,23.8598,23.8598,23.5055,23.6703,266463.0
2020-01-03,23.4808,23.7362,23.2666,23.6538,545810.0
2020-01-04,23.4808,23.7362,23.2666,23.6538,545810.0
2020-01-05,23.4808,23.7362,23.2666,23.6538,545810.0
2020-01-06,23.4561,23.6291,23.316,23.4767,528403.0
2020-01-07,23.4478,23.4725,23.1718,23.2171,853972.0
2020-01-08,23.2007,23.3902,23.1757,23.2913,677482.0
2020-01-09,23.4396,23.5055,23.2666,23.3696,643846.0
2020-01-10,23.2419,23.4066,23.2171,23.3737,585575.0
2020-01-11,23.2419,23.4066,23.2171,23.3737,585575.0
2020-01-12,23.2419,23.4066,23.2171,23.3737,585575.0
2020-01-13,23.3819,23.5313,23.3242,23.4396,474838.0
2020-01-14,23.3984,23.6538,23.3572,23.522,429740.0
2020-01-15,23.3325,23.5796,23.3325,23.5385,850423.0
2020-01-16,23.662,23.8598,23.6538,23.8103,387826.0
2020-01-17,23.868,23.9586,23.6373,23.8351,401458.0
2020-01-18,23.868,23.9586,23.6373,23.8351,401458.0
2020-01-19,23.868,23.9586,23.6373,23.8351,401458.0
2020-01-20,23.868,23.9586,23.6373,23.8351,401458.0
2020-01-21,23.7362,23.8433,23.5961,23.6497,800408.0
2020-01-22,23.7197,23.868,23.5879,23.7444,357121.0
2020-01-23,23.6126,23.9257,23.522,23.8268,785218.0
2020-01-24,23.8103,23.868,23.3654,23.5714,390087.0
2020-01-25,23.8103,23.868,23.3654,23.5714,390087.0
2020-01-26,23.8103,23.868,23.3654,23.5714,390087.0
2020-01-27,23.2254,23.6044,23.1842,23.5055,482212.0
2020-01-28,23.5549,23.8021,23.5137,23.7362,673745.0
2020-01-29,23.7115,24.4282,23.7115,23.9834,1106042.0
2020-01-30,23.8598,24.1234,23.6456,24.0987,786829.0
2020-01-31,23.8927,24.0987,23.8186,23.9422,1177191.0
2020-02-01,23.8927,24.0987,23.8186,23.9422,1177191.0
2020-02-02,23.8927,24.0987,23.8186,23.9422,1177191.0
2020-02-03,24.1399,24.5889,24.0575,24.5354,646138.0
2020-02-04,24.7166,24.8237,24.5354,24.6919,732061.0
2020-02-05,24.8814,25.4581,24.8814,25.4334,970417.0
2020-02-06,25.5735,25.7465,24.9226,24.9761,821132.0
2020-02-07,24.9226,24.9555,24.4612,24.4694,402581.0
2020-02-08,24.9226,24.9555,24.4612,24.4694,402581.0
2020-02-09,24.9226,24.9555,24.4612,24.4694,402581.0
2020-02-10,24.4118,24.5601,24.2552,24.2964,449987.0
2020-02-11,24.3706,24.5601,24.2552,24.2635,339208.0
2020-02-12,24.3376,24.5354,24.1399,24.247,294882.0
2020-02-13,24.1481,24.3953,24.0245,24.3788,331762.0
2020-02-14,24.3623,24.6754,24.2717,24.4035,453172.0
2020-02-15,24.3623,24.6754,24.2717,24.4035,453172.0
2020-02-16,24.3623,24.6754,24.2717,24.4035,453172.0
2020-02-17,24.3623,24.6754,24.2717,24.4035,453172.0
2020-02-18,24.2964,24.5425,23.7115,23.7362,420597.0
2020-02-19,23.7691,23.9092,23.7362,23.8351,580936.0
2020-02-20,23.8515,24.2717,23.7774,24.0657,694419.0
2020-02-21,23.941,24.0491,23.4922,23.5254,472950.0
2020-02-22,23.941,24.0491,23.4922,23.5254,472950.0
2020-02-23,23.941,24.0491,23.4922,23.5254,472950.0
2020-02-24,22.9851,23.01,22.744,22.9352,687224.0
2020-02-25,22.9269,22.9684,21.9709,22.0125,982451.0
2020-02-26,22.0291,22.2286,21.4181,21.576,812562.0
2020-02-27,21.1562,21.8711,20.7655,20.7905,1133532.0
2020-02-28,20.1919,20.5494,19.5519,19.9093,1393631.0
2020-02-29,20.1919,20.5494,19.5519,19.9093,1393631.0
2020-03-01,20.1919,20.5494,19.5519,19.9093,1393631.0
2020-03-02,19.9758,20.7157,19.8511,20.7157,2039916.0
2020-03-03,20.6907,20.8902,20.0174,20.1171,1548197.0
2020-03-04,19.5186,19.9924,19.2775,19.8761,1799657.0
2020-03-05,19.3274,19.4937,18.7704,18.9949,2472891.0
2020-03-06,18.2883,18.6624,18.0181,18.3049,2433415.0
2020-03-07,18.2883,18.6624,18.0181,18.3049,2433415.0
2020-03-08,18.2883,18.6624,18.0181,18.3049,2433415.0
2020-03-09,17.0247,17.6066,16.0854,16.1851,1740600.0
2020-03-10,16.8917,17.5152,15.8028,16.6008,1169906.0
2020-03-11,16.1768,16.3265,15.3954,15.5451,1118460.0
2020-03-12,14.4976,15.5617,14.1984,14.6888,3007937.0
2020-03-13,15.6199,15.9191,14.9632,15.9108,1888624.0
2020-03-14,15.6199,15.9191,14.9632,15.9108,1888624.0
2020-03-15,15.6199,15.9191,14.9632,15.9108,1888624.0
2020-03-16,14.4893,15.254,14.1837,14.9632,2334193.0
2020-03-17,15.1793,16.4013,14.9548,16.368,1583566.0
2020-03-18,15.412,16.0521,15.1898,15.9939,1484378.0
2020-03-19,15.6864,16.2766,14.7636,15.8942,1186304.0
2020-03-20,15.9773,16.0771,14.3147,14.4561,1889285.0
2020-03-21,15.9773,16.0771,14.3147,14.4561,1889285.0
2020-03-22,15.9773,16.0771,14.3147,14.4561,1889285.0
2020-03-23,14.4644,14.7387,12.8184,13.0346,1147650.0
2020-03-24,13.683,14.0571,13.1343,13.7079,1544157.0
2020-03-25,13.8243,14.37,13.1177,13.6082,1557486.0
2020-03-26,13.7245,14.7138,13.6913,14.5724,1844257.0
2020-03-27,14.0072,14.0487,13.3172,13.6082,2181096.0
2020-03-28,14.0072,14.0487,13.3172,13.6082,2181096.0
2020-03-29,14.0072,14.0487,13.3172,13.6082,2181096.0
2020-03-30,13.6331,13.9656,13.3006,13.8659,1253630.0
2020-03-31,13.7162,13.949,13.3754,13.7412,836229.0
2020-04-01,13.4835,13.525,12.3695,12.4942,1273012.0
2020-04-02,12.3612,13.0969,12.3197,12.4693,1557261.0
2020-04-03,12.4111,12.4194,11.796,11.9206,1651449.0
2020-04-04,12.4111,12.4194,11.796,11.9206,1651449.0
2020-04-05,12.4111,12.4194,11.796,11.9206,1651449.0
2020-04-06,12.2282,12.8434,12.2282,12.6023,1281542.0
2020-04-07,13.0346,13.3421,12.5483,12.6106,1604218.0
2020-04-08,12.8018,13.4627,12.5441,13.4003,2040793.0
2020-04-09,13.6663,14.6556,13.525,14.6473,1814232.0
2020-04-10,13.6663,14.6556,13.525,14.6473,1814232.0
2020-04-11,13.6663,14.6556,13.525,14.6473,1814232.0
2020-04-12,13.6663,14.6556,13.525,14.6473,1814232.0
2020-04-13,14.6223,14.8301,13.6747,13.7162,1246746.0
2020-04-14,14.1485,14.1984,13.1509,13.3172,1588471.0
2020-04-15,12.86,13.0678,12.303,12.5192,1643670.0
2020-04-16,12.569,12.86,12.2033,12.8101,1414361.0
2020-04-17,13.3255,13.7412,13.3255,13.6248,1105610.0
2020-04-18,13.3255,13.7412,13.3255,13.6248,1105610.0
2020-04-19,13.3255,13.7412,13.3255,13.6248,1105610.0
2020-04-20,13.2258,13.9739,13.1343,13.6663,838964.0
2020-04-21,13.2673,13.6954,13.1426,13.4585,1174680.0
2020-04-22,13.7578,13.924,13.1177,13.2258,892820.0
2020-04-23,13.3338,13.658,13.3089,13.5666,892714.0
2020-04-24,13.5084,14.1693,13.2424,13.8825,1180589.0
2020-04-25,13.5084,14.1693,13.2424,13.8825,1180589.0
2020-04-26,13.5084,14.1693,13.2424,13.8825,1180589.0
2020-04-27,13.9822,15.2624,13.9573,15.0629,1178578.0
2020-04-28,15.4536,15.6947,14.5808,14.639,2239373.0
2020-04-29,15.1543,15.5617,14.8634,15.1959,1209646.0
2020-04-30,14.8135,15.1128,14.4644,14.6223,1108751.0
2020-05-01,14.3896,14.6805,14.0155,14.1817,1344266.0
2020-05-02,14.3896,14.6805,14.0155,14.1817,1344266.0
2020-05-03,14.3896,14.6805,14.0155,14.1817,1344266.0
2020-05-04,13.9989,14.2316,13.8243,14.1069,1090314.0
2020-05-05,14.3729,14.5641,13.6248,13.6331,756496.0
2020-05-06,13.8077,13.9989,13.1011,13.284,1089395.0
2020-05-07,13.4253,13.791,13.2507,13.3006,1061945.0
2020-05-08,13.5749,13.9407,13.4585,13.7287,930971.0
2020-05-09,13.5749,13.9407,13.4585,13.7287,930971.0
2020-05-10,13.5749,13.9407,13.4585,13.7287,930971.0
2020-05-11,13.525,13.5666,13.0595,13.2341,1325210.0
2020-05-12,13.126,13.4502,12.328,12.3363,930200.0
2020-05-13,12.2532,12.3779,11.6131,11.7876,1181096.0
2020-05-14,11.638,12.0703,11.2681,11.8043,1761414.0
2020-05-15,11.6463,11.888,11.5549,11.6214,959758.0
2020-05-16,11.6463,11.888,11.5549,11.6214,959758.0
2020-05-17,11.6463,11.888,11.5549,11.6214,959758.0
2020-05-18,12.0038,13.0595,12.0038,12.8517,1341114.0
2020-05-19,12.8933,12.8933,12.2864,12.3612,1065166.0
2020-05-20,13.0013,13.1759,12.727,13.1509,982319.0
2020-05-21,13.2673,13.6248,13.1593,13.525,1541696.0
2020-05-22,13.5757,13.7447,13.3012,13.4236,1147130.0
2020-05-23,13.5757,13.7447,13.3012,13.4236,1147130.0
2020-05-24,13.5757,13.7447,13.3012,13.4236,1147130.0
2020-05-25,13.5757,13.7447,13.3012,13.4236,1147130.0
2020-05-26,13.7531,14.7162,13.7531,14.4712,1182892.0
2020-05-27,15.0203,15.3075,14.7584,15.147,1675602.0
2020-05-28,15.3329,15.3329,14.6908,14.7162,758950.0
2020-05-29,14.4965,14.6908,14.26,14.5726,1511495.0
2020-05-30,14.4965,14.6908,14.26,14.5726,1511495.0
2020-05-31,14.4965,14.6908,14.26,14.5726,1511495.0
2020-06-01,14.6063,14.8598,14.4289,14.5303,868100.0
2020-06-02,14.6486,14.8936,14.4374,14.5641,904941.0
2020-06-03,14.8429,15.5018,14.8429,15.2061,1789606.0
2020-06-04,15.1217,15.8397,14.8513,15.8186,1169675.0
2020-06-05,16.2537,17.0393,16.2537,16.938,1603061.0
2020-06-06,16.2537,17.0393,16.2537,16.938,1603061.0
2020-06-07,16.2537,17.0393,16.2537,16.938,1603061.0
2020-06-08,17.9517,18.1629,17.335,17.8883,1743074.0
2020-06-09,17.4786,17.5631,17.0393,17.259,1087661.0
2020-06-10,17.0647,17.6112,15.8524,15.882,1164202.0
2020-06-11,15.0034,15.223,14.6063,14.7162,1196905.0
2020-06-12,15.3244,15.9665,14.5895,15.0118,1088689.0
2020-06-13,15.3244,15.9665,14.5895,15.0118,1088689.0
2020-06-14,15.3244,15.9665,14.5895,15.0118,1088689.0
2020-06-15,14.3867,15.1217,14.2938,14.9274,1034778.0
