,STEL US Equity,STEL US Equity,STEL US Equity,STEL US Equity,STEL US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,28.4996,28.7113,28.242,28.6377,38081.0
2020-01-02,28.8861,28.8861,28.3756,28.7757,54541.0
2020-01-03,28.4812,28.9874,28.3507,28.7021,46644.0
2020-01-04,28.4812,28.9874,28.3507,28.7021,46644.0
2020-01-05,28.4812,28.9874,28.3507,28.7021,46644.0
2020-01-06,28.5457,28.9782,28.4454,28.7205,50480.0
2020-01-07,28.6285,28.8585,28.3994,28.6009,54863.0
2020-01-08,28.6837,29.015,28.6837,28.8953,37074.0
2020-01-09,28.9874,29.1622,28.7113,28.8079,28619.0
2020-01-10,28.8585,28.969,28.4812,28.7205,44799.0
2020-01-11,28.8585,28.969,28.4812,28.7205,44799.0
2020-01-12,28.8585,28.969,28.4812,28.7205,44799.0
2020-01-13,28.7665,28.9322,28.6193,28.8861,51290.0
2020-01-14,28.7941,29.061,28.5181,28.6009,52448.0
2020-01-15,28.5733,28.6653,28.4812,28.6561,32250.0
2020-01-16,28.7573,29.0518,28.6745,29.0058,71546.0
2020-01-17,29.199,29.199,28.5917,28.7389,29571.0
2020-01-18,29.199,29.199,28.5917,28.7389,29571.0
2020-01-19,29.199,29.199,28.5917,28.7389,29571.0
2020-01-20,29.199,29.199,28.5917,28.7389,29571.0
2020-01-21,28.5917,28.7205,28.4812,28.6469,43301.0
2020-01-22,27.8555,28.7329,27.8555,28.5641,71352.0
2020-01-23,28.472,28.9414,28.472,28.8217,36267.0
2020-01-24,28.9874,28.9874,28.4628,28.5273,37330.0
2020-01-25,28.9874,28.9874,28.4628,28.5273,37330.0
2020-01-26,28.9874,28.9874,28.4628,28.5273,37330.0
2020-01-27,28.0763,28.6009,27.9291,28.4904,34224.0
2020-01-28,28.6561,28.7941,28.5049,28.5733,26822.0
2020-01-29,28.6101,28.6193,28.1868,28.3432,47444.0
2020-01-30,28.0395,28.4628,26.9445,27.5426,47947.0
2020-01-31,27.2941,27.7635,27.1745,27.1929,88850.0
2020-02-01,27.2941,27.7635,27.1745,27.1929,88850.0
2020-02-02,27.2941,27.7635,27.1745,27.1929,88850.0
2020-02-03,27.3494,27.5702,27.2021,27.3862,32456.0
2020-02-04,27.7266,27.7266,27.2849,27.3586,40980.0
2020-02-05,27.7082,28.8401,27.4874,27.653,51644.0
2020-02-06,27.8371,27.8371,27.4874,27.6346,38130.0
2020-02-07,27.5426,27.607,27.2527,27.4138,54101.0
2020-02-08,27.5426,27.607,27.2527,27.4138,54101.0
2020-02-09,27.5426,27.607,27.2527,27.4138,54101.0
2020-02-10,27.3954,27.5058,27.1193,27.2205,37486.0
2020-02-11,27.3954,27.6567,27.2481,27.2481,24292.0
2020-02-12,27.5058,27.5058,27.0917,27.1561,21028.0
2020-02-13,27.0181,27.5058,27.0181,27.423,16492.0
2020-02-14,27.3309,27.607,26.9997,27.1193,19967.0
