,LSTR US Equity,LSTR US Equity,LSTR US Equity,LSTR US Equity,LSTR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,86.4576,86.7015,85.2653,86.4124,273559.0
2019-01-02,85.4099,87.9479,84.5247,87.3337,320483.0
2019-01-03,86.8731,87.4196,85.3105,85.6086,234309.0
2019-01-04,86.9092,89.3389,86.3131,88.8512,685412.0
2019-01-05,86.9092,89.3389,86.3131,88.8512,685412.0
2019-01-06,86.9092,89.3389,86.3131,88.8512,685412.0
2019-01-07,89.5467,91.6512,88.9189,90.5041,378118.0
2019-01-08,91.5428,92.8028,90.4228,91.7415,352121.0
2019-01-09,91.7415,93.2039,90.2602,91.1183,419474.0
2019-01-10,91.0189,91.1183,89.7725,90.8835,225545.0
2019-01-11,90.7931,91.6467,90.1067,90.7841,273403.0
2019-01-12,90.7931,91.6467,90.1067,90.7841,273403.0
2019-01-13,90.7931,91.6467,90.1067,90.7841,273403.0
2019-01-14,89.8989,90.4228,89.1131,89.926,366250.0
2019-01-15,90.1789,90.3325,88.2731,89.4563,325637.0
2019-01-16,89.6822,90.7118,89.1944,89.7183,307475.0
2019-01-17,89.7905,91.8951,89.7905,91.5157,412129.0
2019-01-18,92.428,94.8487,92.1299,94.4061,449807.0
2019-01-19,92.428,94.8487,92.1299,94.4061,449807.0
2019-01-20,92.428,94.8487,92.1299,94.4061,449807.0
2019-01-21,92.428,94.8487,92.1299,94.4061,449807.0
2019-01-22,94.0538,94.6003,91.6602,92.0306,313802.0
2019-01-23,92.1751,92.3196,90.0976,91.3531,413505.0
2019-01-24,91.7686,92.0215,90.4228,91.0822,298089.0
2019-01-25,91.6964,93.6088,91.5338,93.0964,318024.0
2019-01-26,91.6964,93.6088,91.5338,93.0964,318024.0
2019-01-27,91.6964,93.6088,91.5338,93.0964,318024.0
2019-01-28,92.5273,93.4486,91.4615,92.6719,341209.0
2019-01-29,92.6357,93.8009,91.7596,93.2228,309877.0
2019-01-30,93.7738,94.957,91.7054,94.2435,298176.0
2019-01-31,93.9364,93.9364,88.1686,91.7506,822849.0
2019-02-01,92.2383,93.9364,91.8138,92.997,437961.0
2019-02-02,92.2383,93.9364,91.8138,92.997,437961.0
2019-02-03,92.2383,93.9364,91.8138,92.997,437961.0
2019-02-04,93.0241,94.5145,92.0757,94.4151,448159.0
2019-02-05,94.4332,95.4448,94.2345,94.5777,382557.0
2019-02-06,94.6048,95.1106,92.708,93.4757,232525.0
2019-02-07,93.0964,94.6951,92.988,93.9816,289397.0
2019-02-08,93.6835,94.4603,92.7712,93.8009,240231.0
2019-02-09,93.6835,94.4603,92.7712,93.8009,240231.0
2019-02-10,93.6835,94.4603,92.7712,93.8009,240231.0
2019-02-11,94.3428,94.7854,93.2409,94.2525,305462.0
2019-02-12,94.7854,96.059,94.4603,95.9687,297943.0
2019-02-13,96.3029,97.6803,95.5261,97.5945,421360.0
2019-02-14,97.0472,99.3178,95.7355,98.5308,490281.0
2019-02-15,98.6665,99.562,98.3227,98.9469,338636.0
2019-02-16,98.6665,99.562,98.3227,98.9469,338636.0
2019-02-17,98.6665,99.562,98.3227,98.9469,338636.0
2019-02-18,98.6665,99.562,98.3227,98.9469,338636.0
2019-02-19,98.7207,101.5024,98.377,100.8104,462432.0
2019-02-20,100.928,101.5522,99.9691,100.8556,256234.0
2019-02-21,100.9823,101.7602,98.4674,101.127,219446.0
2019-02-22,100.8647,100.9913,99.2545,99.5801,286155.0
2019-02-23,100.8647,100.9913,99.2545,99.5801,286155.0
2019-02-24,100.8647,100.9913,99.2545,99.5801,286155.0
2019-02-25,100.0686,100.8013,99.1871,100.1048,353993.0
2019-02-26,99.9872,100.141,99.0193,99.0464,211402.0
2019-02-27,98.9469,99.1549,97.5266,97.8161,276667.0
2019-02-28,97.8161,98.4901,96.8934,98.3137,326882.0
2019-03-01,99.0012,99.3992,98.2051,98.8836,304488.0
2019-03-02,99.0012,99.3992,98.2051,98.8836,304488.0
2019-03-03,99.0012,99.3992,98.2051,98.8836,304488.0
2019-03-04,99.0464,99.5213,96.8753,97.201,275021.0
2019-03-05,97.2372,97.2372,95.2651,95.4551,420504.0
2019-03-06,95.5274,95.636,94.6319,95.2651,288567.0
2019-03-07,95.0842,95.8169,94.4509,95.5274,312076.0
2019-03-08,94.8761,96.233,94.1886,95.9888,339869.0
2019-03-09,94.8761,96.233,94.1886,95.9888,339869.0
2019-03-10,94.8761,96.233,94.1886,95.9888,339869.0
2019-03-11,95.9707,99.1549,95.437,99.0916,414383.0
2019-03-12,99.4173,99.9058,97.8659,99.4535,386015.0
2019-03-13,99.8696,101.6879,99.7882,99.8696,437053.0
2019-03-14,100.0505,100.6023,99.173,100.4305,253070.0
2019-03-15,100.4576,101.0546,98.766,98.8474,553620.0
2019-03-16,100.4576,101.0546,98.766,98.8474,553620.0
2019-03-17,100.4576,101.0546,98.766,98.8474,553620.0
2019-03-18,99.1188,100.7471,98.8383,100.7199,282341.0
2019-03-19,100.8013,101.5793,96.9386,97.2462,429877.0
2019-03-20,96.9025,97.9156,95.4551,96.8572,304650.0
2019-03-21,96.4411,98.6574,96.4411,98.1508,226715.0
