,ITW US Equity,ITW US Equity,ITW US Equity,ITW US Equity,ITW US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,110.4914,111.8322,110.0063,111.7528,1189438.0
2019-01-02,110.121,111.7969,109.38,111.6735,1905571.0
2019-01-03,110.9942,111.4265,108.1296,108.8948,2191446.0
2019-01-04,110.5532,112.5114,110.0116,112.1851,1419067.0
2019-01-05,110.5532,112.5114,110.0116,112.1851,1419067.0
2019-01-06,110.5532,112.5114,110.0116,112.1851,1419067.0
2019-01-07,112.1233,113.4994,110.9854,112.2115,1669454.0
2019-01-08,113.7552,114.6814,112.6173,114.6814,1309868.0
2019-01-09,115.1489,115.6076,114.2933,114.6638,1152654.0
2019-01-10,112.9084,115.9604,112.3086,115.9428,2390350.0
2019-01-11,115.1048,115.3694,113.8434,114.946,1120641.0
2019-01-12,115.1048,115.3694,113.8434,114.946,1120641.0
2019-01-13,115.1048,115.3694,113.8434,114.946,1120641.0
2019-01-14,114.0639,115.5018,113.5347,114.8225,1032600.0
2019-01-15,115.343,115.343,113.7993,114.752,973875.0
2019-01-16,114.7696,115.44,114.355,114.6461,1407182.0
2019-01-17,114.1786,117.0807,114.1786,117.0278,1281284.0
2019-01-18,117.9452,121.2883,117.7687,120.5562,1777005.0
2019-01-19,117.9452,121.2883,117.7687,120.5562,1777005.0
2019-01-20,117.9452,121.2883,117.7687,120.5562,1777005.0
2019-01-21,117.9452,121.2883,117.7687,120.5562,1777005.0
2019-01-22,119.0654,119.6741,115.7752,116.5867,1555346.0
2019-01-23,117.0454,117.5394,114.7255,115.6517,1116091.0
2019-01-24,115.8281,116.3309,114.752,115.4929,1105816.0
2019-01-25,116.8778,118.1216,115.9075,117.5394,1269662.0
2019-01-26,116.8778,118.1216,115.9075,117.5394,1269662.0
2019-01-27,116.8778,118.1216,115.9075,117.5394,1269662.0
2019-01-28,116.1369,116.1369,114.4256,115.5988,1538845.0
2019-01-29,116.0487,119.6483,115.9428,119.0301,1622503.0
2019-01-30,119.8152,120.1769,117.954,119.6211,1381207.0
2019-01-31,119.3036,121.4912,118.0598,121.1207,2584849.0
2019-02-01,116.9837,120.9445,114.6726,118.5803,3388940.0
2019-02-02,116.9837,120.9445,114.6726,118.5803,3388940.0
2019-02-03,116.9837,120.9445,114.6726,118.5803,3388940.0
2019-02-04,119.3742,122.1175,119.0566,122.091,2285508.0
2019-02-05,120.0093,121.6588,120.0093,121.5882,2300223.0
2019-02-06,121.6764,121.9234,120.565,121.3501,1554332.0
2019-02-07,120.3709,121.2883,118.5979,119.1007,1438025.0
2019-02-08,118.5362,119.727,117.46,119.7182,1739491.0
2019-02-09,118.5362,119.727,117.46,119.7182,1739491.0
2019-02-10,118.5362,119.727,117.46,119.7182,1739491.0
2019-02-11,120.3533,120.4944,119.6564,120.168,898957.0
2019-02-12,120.9796,122.6423,120.9575,122.2939,1295253.0
