,EXPR US Equity,EXPR US Equity,EXPR US Equity,EXPR US Equity,EXPR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,103.8,104.6,100.0,102.2,83017.0
2019-01-02,101.4,108.8,100.0,107.0,97446.0
2019-01-03,106.2,108.0,102.2,107.0,115587.0
2019-01-04,108.8,111.3,106.3,108.6,105127.0
2019-01-05,108.8,111.3,106.3,108.6,105127.0
2019-01-06,108.8,111.3,106.3,108.6,105127.0
2019-01-07,109.4,115.0,108.8,112.2,95134.0
2019-01-08,111.4,113.0,106.6,111.4,122799.0
2019-01-09,111.8,113.3,109.9,112.0,147336.0
2019-01-10,108.6,108.6,99.0,102.6,225606.0
2019-01-11,100.4,109.4,100.4,107.0,102907.0
2019-01-12,100.4,109.4,100.4,107.0,102907.0
2019-01-13,100.4,109.4,100.4,107.0,102907.0
2019-01-14,106.2,107.8,103.2,103.2,88543.0
2019-01-15,104.2,104.7,102.0,103.2,76587.0
2019-01-16,102.8,106.2,102.8,104.8,83850.0
2019-01-17,103.4,107.0,103.0,106.0,91987.0
2019-01-18,106.2,109.4,104.8,108.0,68125.0
2019-01-19,106.2,109.4,104.8,108.0,68125.0
2019-01-20,106.2,109.4,104.8,108.0,68125.0
2019-01-21,106.2,109.4,104.8,108.0,68125.0
2019-01-22,107.6,110.4,104.0,105.0,113622.0
2019-01-23,105.2,105.7,101.8,104.0,83823.0
2019-01-24,104.4,105.0,101.3,102.2,48873.0
2019-01-25,103.6,107.8,102.946,107.4,128242.0
2019-01-26,103.6,107.8,102.946,107.4,128242.0
2019-01-27,103.6,107.8,102.946,107.4,128242.0
2019-01-28,106.6,112.8,105.5,112.0,135304.0
2019-01-29,111.8,111.8,106.8,108.2,91887.0
2019-01-30,107.8,108.6,105.026,107.4,73578.0
2019-01-31,107.6,109.8,104.4,106.0,144023.0
2019-02-01,107.0,107.8,104.0,105.6,118485.0
2019-02-02,107.0,107.8,104.0,105.6,118485.0
2019-02-03,107.0,107.8,104.0,105.6,118485.0
2019-02-04,106.0,108.0,105.0,107.4,46552.0
2019-02-05,108.0,110.0,106.4,108.6,34311.0
2019-02-06,108.6,109.598,105.4,106.4,40392.0
2019-02-07,105.6,107.8,101.4,103.6,80587.0
2019-02-08,103.4,106.4,103.1,104.0,54265.0
2019-02-09,103.4,106.4,103.1,104.0,54265.0
2019-02-10,103.4,106.4,103.1,104.0,54265.0
2019-02-11,104.0,109.0,102.8,108.2,64812.0
2019-02-12,108.8,111.4,107.2,107.8,43172.0
2019-02-13,107.8,109.6,105.6,106.8,44050.0
2019-02-14,105.8,107.0,103.2,104.0,81614.0
2019-02-15,104.6,106.4,104.0,105.8,82211.0
2019-02-16,104.6,106.4,104.0,105.8,82211.0
2019-02-17,104.6,106.4,104.0,105.8,82211.0
2019-02-18,104.6,106.4,104.0,105.8,82211.0
2019-02-19,105.8,107.8,104.2,106.6,46321.0
2019-02-20,107.0,108.0,105.8,107.2,44637.0
2019-02-21,107.0,107.9,101.2,102.2,77334.0
2019-02-22,102.6,104.4,100.6,104.2,57213.0
2019-02-23,102.6,104.4,100.6,104.2,57213.0
2019-02-24,102.6,104.4,100.6,104.2,57213.0
2019-02-25,105.0,106.0,102.2,103.0,52776.0
2019-02-26,102.4,104.4,100.8,103.4,71027.0
2019-02-27,103.4,106.2,103.0,104.4,62529.0
2019-02-28,104.4,106.2,102.2,104.0,71533.0
2019-03-01,106.0,110.8,103.8,106.2,158920.0
2019-03-02,106.0,110.8,103.8,106.2,158920.0
2019-03-03,106.0,110.8,103.8,106.2,158920.0
2019-03-04,107.2,108.8,101.8,103.0,92085.0
2019-03-05,103.4,103.9,101.4,101.6,51618.0
2019-03-06,102.6,104.0,98.7,99.4,103252.0
2019-03-07,99.2,99.8,96.408,99.4,59646.0
2019-03-08,99.0,99.9,96.2,97.8,74510.0
2019-03-09,99.0,99.9,96.2,97.8,74510.0
2019-03-10,99.0,99.9,96.2,97.8,74510.0
2019-03-11,97.8,100.7,97.282,99.6,88551.0
2019-03-12,101.2,101.4,96.8,100.8,163029.0
2019-03-13,86.6,99.2,85.6,90.6,405900.0
2019-03-14,90.6,91.8,89.8,89.8,82906.0
2019-03-15,91.0,91.0,84.4,86.0,350302.0
2019-03-16,91.0,91.0,84.4,86.0,350302.0
2019-03-17,91.0,91.0,84.4,86.0,350302.0
2019-03-18,85.4,87.4,83.2,85.8,158166.0
2019-03-19,86.2,87.4,83.8,83.8,127659.0
2019-03-20,83.6,83.9,79.8,81.6,137511.0
2019-03-21,80.8,82.778,79.6,82.4,104336.0
2019-03-22,82.2,82.4,78.4,78.6,94681.0
2019-03-23,82.2,82.4,78.4,78.6,94681.0
2019-03-24,82.2,82.4,78.4,78.6,94681.0
2019-03-25,79.0,82.0,77.5,80.0,77723.0
2019-03-26,80.6,83.4,80.0,80.8,68949.0
2019-03-27,81.0,83.7,80.0,82.8,102881.0
2019-03-28,83.6,86.4,83.4,84.6,72754.0
2019-03-29,85.4,86.8,84.1,85.6,103093.0
2019-03-30,85.4,86.8,84.1,85.6,103093.0
2019-03-31,85.4,86.8,84.1,85.6,103093.0
2019-04-01,86.4,88.6,85.0,87.0,100004.0
2019-04-02,86.8,88.4,84.6,85.6,88916.0
2019-04-03,86.2,87.7,84.6,84.8,71494.0
2019-04-04,84.6,86.6,84.0,86.2,58303.0
2019-04-05,86.6,87.2,85.0,85.8,77869.0
2019-04-06,86.6,87.2,85.0,85.8,77869.0
2019-04-07,86.6,87.2,85.0,85.8,77869.0
2019-04-08,85.2,86.8,84.8,86.0,113080.0
2019-04-09,85.4,85.8,80.8,82.0,83634.0
2019-04-10,82.0,82.8,80.2,82.4,56710.0
2019-04-11,82.0,82.2,78.2,78.8,87261.0
2019-04-12,79.0,79.8,77.0,77.4,49527.0
2019-04-13,79.0,79.8,77.0,77.4,49527.0
2019-04-14,79.0,79.8,77.0,77.4,49527.0
2019-04-15,77.4,78.0,73.8,75.4,71639.0
2019-04-16,75.6,78.6,74.2,77.2,94570.0
2019-04-17,77.4,81.2,77.4,80.2,79703.0
2019-04-18,80.4,82.8,78.8,79.0,82246.0
2019-04-19,80.4,82.8,78.8,79.0,82246.0
2019-04-20,80.4,82.8,78.8,79.0,82246.0
2019-04-21,80.4,82.8,78.8,79.0,82246.0
2019-04-22,78.6,79.4,72.0,73.4,127393.0
2019-04-23,74.0,74.8,70.4,71.0,87802.0
2019-04-24,71.4,75.4,69.6,74.0,89413.0
2019-04-25,73.6,74.2,70.8,71.2,64672.0
2019-04-26,71.2,73.0,70.0,71.8,85793.0
2019-04-27,71.2,73.0,70.0,71.8,85793.0
