,WD US Equity,WD US Equity,WD US Equity,WD US Equity,WD US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,38.0451,38.0451,37.1336,37.9049,159045.0
2019-01-02,37.23,38.5096,37.046,37.975,212511.0
2019-01-03,37.7208,38.0714,37.0811,37.5456,111450.0
2019-01-04,38.124,39.0705,37.9487,38.8164,103268.0
2019-01-05,38.124,39.0705,37.9487,38.8164,103268.0
2019-01-06,38.124,39.0705,37.9487,38.8164,103268.0
2019-01-07,38.755,39.4298,38.2642,38.9478,118351.0
2019-01-08,39.2896,40.131,38.7638,39.982,151056.0
2019-01-09,40.2011,40.7532,39.6314,40.2361,333828.0
2019-01-10,39.8155,40.9811,39.8155,40.8146,99369.0
2019-01-11,40.5516,41.5771,40.2975,41.5771,124144.0
2019-01-12,40.5516,41.5771,40.2975,41.5771,124144.0
2019-01-13,40.5516,41.5771,40.2975,41.5771,124144.0
2019-01-14,41.2878,41.9539,41.1038,41.3842,170135.0
2019-01-15,41.4193,41.9364,41.2353,41.875,148236.0
2019-01-16,41.9189,42.4885,41.2966,41.9714,206533.0
2019-01-17,41.9451,42.8654,41.9057,42.8391,164805.0
2019-01-18,43.0582,44.0398,42.3395,42.6287,371996.0
2019-01-19,43.0582,44.0398,42.3395,42.6287,371996.0
2019-01-20,43.0582,44.0398,42.3395,42.6287,371996.0
2019-01-21,43.0582,44.0398,42.3395,42.6287,371996.0
2019-01-22,42.3132,43.733,42.0065,43.3299,374105.0
2019-01-23,43.4789,43.5227,42.2869,42.655,181071.0
2019-01-24,42.6726,42.9311,41.8926,42.1993,97492.0
2019-01-25,42.6025,42.8654,42.1029,42.2782,88746.0
2019-01-26,42.6025,42.8654,42.1029,42.2782,88746.0
2019-01-27,42.6025,42.8654,42.1029,42.2782,88746.0
2019-01-28,41.875,42.6726,41.875,42.138,73313.0
2019-01-29,42.2256,42.2957,41.7173,42.0591,81795.0
2019-01-30,42.2782,42.3308,41.6647,42.0591,68636.0
2019-01-31,41.8312,42.4184,41.8312,42.1292,108632.0
2019-02-01,42.1292,42.8303,41.9101,42.3483,136114.0
2019-02-02,42.1292,42.8303,41.9101,42.3483,136114.0
2019-02-03,42.1292,42.8303,41.9101,42.3483,136114.0
2019-02-04,42.1029,42.6989,42.1029,42.5762,117660.0
2019-02-05,42.6901,42.8566,42.2431,42.5411,118992.0
2019-02-06,43.8207,45.556,42.861,45.4596,342216.0
2019-02-07,45.3719,45.8101,44.5481,44.8811,160996.0
2019-02-08,44.925,44.925,44.0135,44.513,171320.0
2019-02-09,44.925,44.925,44.0135,44.513,171320.0
2019-02-10,44.925,44.925,44.0135,44.513,171320.0
2019-02-11,44.6357,45.5998,44.3378,45.4683,137387.0
2019-02-12,45.854,46.1256,45.5998,45.8802,136448.0
2019-02-13,45.8978,46.4806,45.8277,45.9328,102907.0
2019-02-14,45.4508,46.5901,45.3544,45.9679,160210.0
2019-02-15,46.371,47.8785,46.371,47.7558,220044.0
2019-02-16,46.371,47.8785,46.371,47.7558,220044.0
2019-02-17,46.371,47.8785,46.371,47.7558,220044.0
2019-02-18,46.371,47.8785,46.371,47.7558,220044.0
2019-02-19,47.5542,48.0099,46.7742,48.0099,156492.0
2019-02-20,47.9311,49.1843,47.6769,49.0704,233326.0
2019-02-21,49.421,49.9468,48.9126,49.903,284891.0
2019-02-22,49.9556,50.4814,49.4472,50.4639,138646.0
2019-02-23,49.9556,50.4814,49.4472,50.4639,138646.0
2019-02-24,49.9556,50.4814,49.4472,50.4639,138646.0
2019-02-25,51.0365,51.5123,50.1555,50.182,150818.0
2019-02-26,50.2084,50.2084,49.1336,49.2657,110935.0
2019-02-27,49.1952,49.1952,48.2261,48.9309,119546.0
2019-02-28,48.7812,49.4067,48.627,49.16,228892.0
2019-03-01,49.16,49.16,48.2526,48.5873,179070.0
2019-03-02,49.16,49.16,48.2526,48.5873,179070.0
2019-03-03,49.16,49.16,48.2526,48.5873,179070.0
2019-03-04,48.5962,48.6931,47.8473,48.2085,142988.0
2019-03-05,48.1204,48.4288,47.398,48.3583,145023.0
2019-03-06,48.3319,48.4023,46.9473,47.0896,170768.0
2019-03-07,47.0015,47.7151,46.7549,46.9134,145663.0
2019-03-08,46.5522,47.1865,46.1734,46.6139,154143.0
2019-03-09,46.5522,47.1865,46.1734,46.6139,154143.0
2019-03-10,46.5522,47.1865,46.1734,46.6139,154143.0
2019-03-11,46.6756,46.7813,45.9267,46.1998,160809.0
2019-03-12,46.4906,46.4906,45.1338,45.6712,206114.0
2019-03-13,45.7946,45.9179,45.0501,45.3629,160432.0
2019-03-14,45.636,46.5875,45.169,46.3584,177067.0
2019-03-15,46.4729,46.8249,45.9267,46.2703,446775.0
2019-03-16,46.4729,46.8249,45.9267,46.2703,446775.0
2019-03-17,46.4729,46.8249,45.9267,46.2703,446775.0
2019-03-18,46.2086,46.9575,46.2086,46.8694,151709.0
2019-03-19,47.0896,47.3539,46.5522,46.6668,137473.0
2019-03-20,46.7108,46.9222,44.8255,44.8871,192378.0
2019-03-21,44.7638,45.7153,44.7638,45.31,222448.0
2019-03-22,44.9136,44.9488,44.0061,44.3145,176836.0
2019-03-23,44.9136,44.9488,44.0061,44.3145,176836.0
2019-03-24,44.9136,44.9488,44.0061,44.3145,176836.0
2019-03-25,44.3233,44.8607,44.1911,44.4026,127688.0
2019-03-26,44.7462,45.1162,44.2132,44.7462,132821.0
2019-03-27,44.5612,44.8078,44.1295,44.4202,115773.0
2019-03-28,44.5523,44.9488,44.1735,44.8255,92408.0
2019-03-29,45.2924,45.5038,44.2528,44.8519,183423.0
2019-03-30,45.2924,45.5038,44.2528,44.8519,183423.0
2019-03-31,45.2924,45.5038,44.2528,44.8519,183423.0
2019-04-01,44.94,45.495,44.7814,45.2131,160894.0
2019-04-02,45.1867,45.495,44.7285,44.7374,177103.0
2019-04-03,45.1338,45.7946,44.8343,45.1162,92497.0
2019-04-04,45.1162,45.7417,44.9312,45.1602,122719.0
2019-04-05,45.1162,45.4598,45.0193,45.2483,272710.0
2019-04-06,45.1162,45.4598,45.0193,45.2483,272710.0
2019-04-07,45.1162,45.4598,45.0193,45.2483,272710.0
2019-04-08,45.0898,45.6976,44.799,45.3364,181394.0
2019-04-09,45.1514,45.5347,44.429,44.5171,128253.0
2019-04-10,44.57,45.2395,44.4114,45.0017,195228.0
2019-04-11,45.125,45.7946,44.8078,45.2483,157602.0
2019-04-12,45.5303,45.9884,45.0457,45.865,169622.0
2019-04-13,45.5303,45.9884,45.0457,45.865,169622.0
2019-04-14,45.5303,45.9884,45.0457,45.865,169622.0
2019-04-15,46.006,46.4021,45.843,46.2439,202591.0
2019-04-16,46.2791,47.072,46.2791,47.0368,153587.0
2019-04-17,47.2394,47.4156,46.3584,47.0808,182826.0
2019-04-18,47.2306,47.3363,46.7637,46.8165,175895.0
2019-04-19,47.2306,47.3363,46.7637,46.8165,175895.0
2019-04-20,47.2306,47.3363,46.7637,46.8165,175895.0
2019-04-21,47.2306,47.3363,46.7637,46.8165,175895.0
2019-04-22,46.8606,47.3539,46.7284,47.1601,152480.0
2019-04-23,47.2746,48.4111,47.2746,48.1821,145636.0
2019-04-24,48.2878,48.79,46.8694,46.9751,594304.0
2019-04-25,46.9575,47.213,46.1624,47.072,142255.0
2019-04-26,47.3716,48.0852,46.9575,47.9002,120497.0
2019-04-27,47.3716,48.0852,46.9575,47.9002,120497.0
2019-04-28,47.3716,48.0852,46.9575,47.9002,120497.0
2019-04-29,48.1821,49.0278,48.1645,48.4288,143214.0
2019-04-30,48.4992,48.6931,48.1204,48.4111,169180.0
2019-05-01,52.2435,52.2435,48.5785,50.5255,589429.0
2019-05-02,50.2965,50.4066,48.6501,48.8516,172112.0
2019-05-03,48.8957,49.715,48.5257,49.301,247617.0
2019-05-04,48.8957,49.715,48.5257,49.301,247617.0
2019-05-05,48.8957,49.715,48.5257,49.301,247617.0
2019-05-06,48.7635,49.1864,48.4288,48.7107,283318.0
2019-05-07,48.1909,48.4552,47.4685,48.2261,269486.0
2019-05-08,48.1116,48.2614,47.6094,47.7328,209844.0
2019-05-09,47.398,48.3054,47.1337,48.0852,161997.0
2019-05-10,48.0675,48.4376,47.5566,48.4111,180827.0
2019-05-11,48.0675,48.4376,47.5566,48.4111,180827.0
2019-05-12,48.0675,48.4376,47.5566,48.4111,180827.0
2019-05-13,47.724,47.953,47.1337,47.3804,224511.0
2019-05-14,47.4156,48.1468,47.2306,47.6535,191086.0
2019-05-15,47.2306,47.7944,47.0632,47.6182,218160.0
2019-05-16,47.6625,48.1941,47.4322,47.6094,108379.0
