,AA US Equity,AA US Equity,AA US Equity,AA US Equity,AA US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,20.8419,21.1345,20.7346,20.9785,2288530.0
2020-01-02,21.3198,21.3198,20.7883,20.8907,3062541.0
2020-01-03,20.6469,21.076,20.6274,20.9687,3011847.0
2020-01-04,20.6469,21.076,20.6274,20.9687,3011847.0
2020-01-05,20.6469,21.076,20.6274,20.9687,3011847.0
2020-01-06,20.8127,20.92,20.3835,20.4811,3060430.0
2020-01-07,20.5396,21.0126,20.4713,20.7932,4988044.0
2020-01-08,20.7737,20.8614,19.8959,19.9544,3710929.0
2020-01-09,19.9544,20.0129,19.2425,19.3205,5701298.0
2020-01-10,19.4083,19.4473,18.8621,18.9694,5061663.0
2020-01-11,19.4083,19.4473,18.8621,18.9694,5061663.0
2020-01-12,19.4083,19.4473,18.8621,18.9694,5061663.0
2020-01-13,18.9109,19.3692,18.677,19.1254,6207202.0
2020-01-14,19.2425,20.0324,19.1937,19.8666,4225186.0
2020-01-15,19.8276,19.9739,19.5497,19.6813,5699400.0
2020-01-16,18.9401,19.1254,17.2919,17.3406,22033253.0
2020-01-17,17.6137,17.799,17.0773,17.2529,9067027.0
2020-01-18,17.6137,17.799,17.0773,17.2529,9067027.0
2020-01-19,17.6137,17.799,17.0773,17.2529,9067027.0
2020-01-20,17.6137,17.799,17.0773,17.2529,9067027.0
2020-01-21,17.1456,17.1846,16.6774,16.697,6603348.0
2020-01-22,16.6482,16.697,16.0923,16.18,12843139.0
2020-01-23,15.9655,16.0045,15.5462,15.8875,7362856.0
2020-01-24,15.8972,15.9167,14.9756,15.1267,7815114.0
2020-01-25,15.8972,15.9167,14.9756,15.1267,7815114.0
2020-01-26,15.8972,15.9167,14.9756,15.1267,7815114.0
2020-01-27,14.6391,14.9463,14.4343,14.5025,6596079.0
2020-01-28,14.7269,14.8732,14.288,14.3465,7371948.0
2020-01-29,14.4635,14.5068,13.9954,14.1417,5281370.0
2020-01-30,13.9271,14.0539,13.4687,13.9369,10570747.0
2020-01-31,13.6638,13.8881,13.2834,13.6053,9964128.0
2020-02-01,13.6638,13.8881,13.2834,13.6053,9964128.0
2020-02-02,13.6638,13.8881,13.2834,13.6053,9964128.0
2020-02-03,13.6638,14.0637,13.5663,13.8881,7227874.0
2020-02-04,14.1027,14.5757,13.8881,14.3368,7443209.0
2020-02-05,14.9317,15.4973,14.8,15.4193,8183030.0
2020-02-06,15.7022,15.7022,15.2534,15.5266,6281612.0
2020-02-07,15.2438,15.312,14.9804,15.1657,5058736.0
2020-02-08,15.2438,15.312,14.9804,15.1657,5058736.0
2020-02-09,15.2438,15.312,14.9804,15.1657,5058736.0
2020-02-10,14.9317,15.2048,14.7756,15.039,4009112.0
2020-02-11,15.1853,15.8094,15.156,15.3511,4580466.0
2020-02-12,15.5656,15.8046,15.2243,15.3706,3894749.0
2020-02-13,15.1755,15.3852,15.0682,15.3608,2810355.0
2020-02-14,15.4096,15.5364,15.039,15.2828,4292120.0
2020-02-15,15.4096,15.5364,15.039,15.2828,4292120.0
2020-02-16,15.4096,15.5364,15.039,15.2828,4292120.0
2020-02-17,15.4096,15.5364,15.039,15.2828,4292120.0
2020-02-18,15.156,15.5851,15.078,15.5851,3166404.0
2020-02-19,15.6436,16.3849,15.6436,16.2873,8725463.0
2020-02-20,16.2386,16.3068,15.6729,15.7022,7682007.0
2020-02-21,15.6144,15.8964,15.5266,15.7022,5528628.0
2020-02-22,15.6144,15.8964,15.5266,15.7022,5528628.0
2020-02-23,15.6144,15.8964,15.5266,15.7022,5528628.0
2020-02-24,14.8341,15.039,14.6082,14.9804,5465689.0
2020-02-25,15.0975,15.1365,13.9466,14.1417,6280464.0
2020-02-26,14.2782,14.4733,13.7613,13.7711,4797497.0
2020-02-27,13.42,13.7613,12.7763,13.1274,7007429.0
2020-02-28,12.5227,13.5663,12.513,13.5273,6827178.0
2020-02-29,12.5227,13.5663,12.513,13.5273,6827178.0
2020-03-01,12.5227,13.5663,12.513,13.5273,6827178.0
2020-03-02,13.6736,13.6833,12.786,13.3907,6784807.0
2020-03-03,13.3322,13.6931,12.391,12.6202,10024705.0
2020-03-04,12.8446,12.8641,12.2691,12.5617,7371269.0
2020-03-05,12.1619,12.2984,11.3865,11.5962,12865882.0
2020-03-06,11.0793,11.4792,10.5331,10.7379,10566407.0
2020-03-07,11.0793,11.4792,10.5331,10.7379,10566407.0
2020-03-08,11.0793,11.4792,10.5331,10.7379,10566407.0
2020-03-09,9.3823,9.8601,8.3972,8.4753,10033959.0
2020-03-10,9.0994,9.1872,8.3387,9.0312,10358291.0
2020-03-11,8.6313,9.0019,8.0949,8.9727,9451032.0
2020-03-12,8.1437,8.1437,7.0611,7.3244,12676874.0
2020-03-13,7.8803,8.1437,6.9831,7.8023,7316234.0
2020-03-14,7.8803,8.1437,6.9831,7.8023,7316234.0
2020-03-15,7.8803,8.1437,6.9831,7.8023,7316234.0
2020-03-16,6.7685,7.4805,6.5637,6.6515,7319004.0
2020-03-17,6.9441,7.0708,6.4467,6.827,8065675.0
2020-03-18,6.3686,6.5149,5.1398,5.6079,9287137.0
2020-03-19,5.6177,5.998,5.0715,5.6859,6174466.0
2020-03-20,5.92,6.0175,5.2958,5.3446,9957204.0
2020-03-21,5.92,6.0175,5.2958,5.3446,9957204.0
2020-03-22,5.92,6.0175,5.2958,5.3446,9957204.0
2020-03-23,5.3641,5.7981,5.0325,5.5299,7018502.0
2020-03-24,6.0858,7.2952,6.0468,7.0904,15142976.0
2020-03-25,7.734,7.7926,6.8368,6.9148,12619262.0
2020-03-26,7.0904,7.2038,6.5637,6.671,11935680.0
2020-03-27,6.3491,6.6222,5.9005,6.3881,10075437.0
2020-03-28,6.3491,6.6222,5.9005,6.3881,10075437.0
2020-03-29,6.3491,6.6222,5.9005,6.3881,10075437.0
2020-03-30,6.3881,6.4369,5.8517,5.92,9615589.0
2020-03-31,6.0078,6.4564,5.9103,6.0078,12501980.0
2020-04-01,5.8127,6.4467,5.5689,6.0956,10452219.0
2020-04-02,6.1346,6.5198,5.7737,5.9298,10277718.0
2020-04-03,5.9005,6.1248,5.6372,5.8225,7951856.0
2020-04-04,5.9005,6.1248,5.6372,5.8225,7951856.0
2020-04-05,5.9005,6.1248,5.6372,5.8225,7951856.0
2020-04-06,6.2126,6.671,6.0956,6.3881,9900312.0
2020-04-07,6.9636,7.5585,6.788,6.8563,16045956.0
2020-04-08,6.9928,7.2757,6.8465,7.0806,7510393.0
2020-04-09,7.461,7.8218,7.0416,7.2269,13298826.0
2020-04-10,7.461,7.8218,7.0416,7.2269,13298826.0
2020-04-11,7.461,7.8218,7.0416,7.2269,13298826.0
2020-04-12,7.461,7.8218,7.0416,7.2269,13298826.0
2020-04-13,7.2952,7.5585,6.9441,7.3634,9563893.0
2020-04-14,7.6755,8.1729,7.4317,7.5292,10641726.0
2020-04-15,7.0513,7.2366,6.8368,7.0806,8642557.0
2020-04-16,7.0318,7.2171,6.6222,6.788,7963282.0
2020-04-17,7.0708,7.4317,7.0513,7.4024,10114431.0
2020-04-18,7.0708,7.4317,7.0513,7.4024,10114431.0
2020-04-19,7.0708,7.4317,7.0513,7.4024,10114431.0
2020-04-20,7.0904,7.6745,7.0806,7.2659,7393599.0
2020-04-21,6.9246,7.2074,6.8855,7.1391,6156406.0
2020-04-22,7.4415,7.6073,7.1489,7.3634,8457907.0
2020-04-23,7.7145,7.8803,7.0562,7.1099,20737032.0
2020-04-24,7.1099,7.2659,6.8417,6.9733,11296625.0
2020-04-25,7.1099,7.2659,6.8417,6.9733,11296625.0
2020-04-26,7.1099,7.2659,6.8417,6.9733,11296625.0
2020-04-27,7.0318,7.3049,6.8173,7.1879,9549425.0
2020-04-28,7.3634,7.9096,7.1976,7.6463,12227856.0
2020-04-29,7.9486,8.6752,7.9486,8.4558,12389233.0
2020-04-30,8.3972,8.4167,7.8608,7.9486,10728634.0
2020-05-01,7.6658,7.9681,7.3878,7.5,9065295.0
2020-05-02,7.6658,7.9681,7.3878,7.5,9065295.0
2020-05-03,7.6658,7.9681,7.3878,7.5,9065295.0
2020-05-04,7.3342,7.7048,7.1586,7.6073,6870657.0
2020-05-05,7.8218,8.0656,7.5292,7.617,8138913.0
2020-05-06,7.695,7.7438,7.3976,7.5195,6236778.0
2020-05-07,7.6463,7.8121,7.1781,7.3049,10984191.0
2020-05-08,7.4512,7.8803,7.2952,7.8706,11312884.0
2020-05-09,7.4512,7.8803,7.2952,7.8706,11312884.0
2020-05-10,7.4512,7.8803,7.2952,7.8706,11312884.0
2020-05-11,7.5877,7.7145,7.4707,7.578,8314493.0
2020-05-12,7.617,7.7634,7.0904,7.1099,8639747.0
2020-05-13,7.1294,7.1586,6.7002,6.8075,8751348.0
2020-05-14,6.5734,6.8709,6.2223,6.6417,8896376.0
2020-05-15,6.5344,6.7588,6.4564,6.4954,6718477.0
2020-05-16,6.5344,6.7588,6.4564,6.4954,6718477.0
2020-05-17,6.5344,6.7588,6.4564,6.4954,6718477.0
2020-05-18,6.8953,7.6804,6.8368,7.6073,12922291.0
2020-05-19,7.6073,7.9925,7.4707,7.5487,10589639.0
2020-05-20,7.8608,8.2312,7.856,8.1437,10545711.0
2020-05-21,8.0559,8.1924,7.8316,8.0754,9117452.0
2020-05-22,8.0949,8.1615,7.8218,8.0071,4414816.0
2020-05-23,8.0949,8.1615,7.8218,8.0071,4414816.0
2020-05-24,8.0949,8.1615,7.8218,8.0071,4414816.0
2020-05-25,8.0949,8.1615,7.8218,8.0071,4414816.0
2020-05-26,8.485,8.7678,8.4021,8.5435,8563675.0
2020-05-27,8.8946,9.5481,8.7045,9.5188,11370364.0
