,TPX US Equity,TPX US Equity,TPX US Equity,TPX US Equity,TPX US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,20.9095,21.2257,20.9095,21.0133,2563432.0
2020-01-02,21.146,21.2063,20.6826,20.936,1758968.0
2020-01-03,20.6222,20.8636,20.5378,20.6512,1878956.0
2020-01-04,20.6222,20.8636,20.5378,20.6512,1878956.0
2020-01-05,20.6222,20.8636,20.5378,20.6512,1878956.0
2020-01-06,20.4943,20.9939,20.2998,20.9215,2768344.0
2020-01-07,20.8757,20.9964,20.3567,20.4243,1967856.0
2020-01-08,20.4605,20.7574,20.4147,20.5788,1940420.0
2020-01-09,20.6391,20.8057,20.5064,20.5884,1702916.0
2020-01-10,20.6247,20.7091,20.3712,20.6247,1817904.0
2020-01-11,20.6247,20.7091,20.3712,20.6247,1817904.0
2020-01-12,20.6247,20.7091,20.3712,20.6247,1817904.0
2020-01-13,20.6802,21.0736,20.6802,21.0591,1879956.0
2020-01-14,21.0591,21.4718,20.9384,21.1557,2141348.0
2020-01-15,21.1195,21.5732,21.068,21.2063,1759852.0
2020-01-16,21.3946,21.578,21.0434,21.1243,2794984.0
2020-01-17,21.2377,21.3174,21.0567,21.2063,2391408.0
2020-01-18,21.2377,21.3174,21.0567,21.2063,2391408.0
2020-01-19,21.2377,21.3174,21.0567,21.2063,2391408.0
2020-01-20,21.2377,21.3174,21.0567,21.2063,2391408.0
2020-01-21,21.1195,21.4284,21.0905,21.3487,3715620.0
2020-01-22,21.4308,21.5998,21.2305,21.3415,2984784.0
2020-01-23,21.2594,21.4622,20.8781,21.2667,3706432.0
2020-01-24,21.3246,21.3343,20.7574,21.0664,1789668.0
2020-01-25,21.3246,21.3343,20.7574,21.0664,1789668.0
2020-01-26,21.3246,21.3343,20.7574,21.0664,1789668.0
2020-01-27,20.5788,21.4187,20.475,21.3536,3472860.0
2020-01-28,21.5974,22.488,21.5105,22.2949,8117736.0
2020-01-29,22.5652,22.8742,22.4783,22.4976,3784040.0
2020-01-30,22.2901,22.7752,22.1477,22.5266,3784328.0
2020-01-31,22.5725,22.587,21.9739,22.1139,3035432.0
2020-02-01,22.5725,22.587,21.9739,22.1139,3035432.0
2020-02-02,22.5725,22.587,21.9739,22.1139,3035432.0
2020-02-03,22.2321,22.4735,22.0584,22.2201,3715632.0
2020-02-04,22.5145,22.7873,22.447,22.6545,2288728.0
2020-02-05,22.8645,22.8669,22.2225,22.3335,3221048.0
2020-02-06,22.4277,22.5532,22.1887,22.3625,2195304.0
2020-02-07,22.3335,22.3335,21.7567,21.8411,3154516.0
2020-02-08,22.3335,22.3335,21.7567,21.8411,3154516.0
2020-02-09,22.3335,22.3335,21.7567,21.8411,3154516.0
2020-02-10,21.8073,22.167,21.5925,21.8098,3732848.0
2020-02-11,21.9329,22.5073,21.8267,22.2973,3735064.0
2020-02-12,22.3842,22.8693,22.2997,22.8452,5490392.0
2020-02-13,23.9555,24.2306,22.6014,22.809,18593488.0
2020-02-14,22.6763,23.2338,22.4566,23.1493,5287044.0
2020-02-15,22.6763,23.2338,22.4566,23.1493,5287044.0
2020-02-16,22.6763,23.2338,22.4566,23.1493,5287044.0
2020-02-17,22.6763,23.2338,22.4566,23.1493,5287044.0
2020-02-18,23.0986,23.2411,22.8114,22.8356,4235568.0
2020-02-19,22.9442,23.0673,22.7294,22.7728,4756884.0
2020-02-20,22.7487,22.9924,22.2201,22.7197,6111000.0
2020-02-21,22.6497,22.6594,21.8882,21.957,5409524.0
2020-02-22,22.6497,22.6594,21.8882,21.957,5409524.0
2020-02-23,22.6497,22.6594,21.8882,21.957,5409524.0
2020-02-24,21.0736,21.2937,20.6029,20.8612,5697388.0
2020-02-25,21.0422,21.0422,19.7195,19.7678,5143104.0
2020-02-26,19.7944,20.0357,19.1451,19.3044,4956216.0
2020-02-27,18.7686,19.4347,18.0758,18.701,6792092.0
2020-02-28,17.9962,18.4765,17.6366,18.042,8760556.0
2020-02-29,17.9962,18.4765,17.6366,18.042,8760556.0
2020-03-01,17.9962,18.4765,17.6366,18.042,8760556.0
2020-03-02,18.1676,18.8023,17.7331,18.713,6878748.0
2020-03-03,19.2802,19.5747,18.5779,18.8265,8373356.0
2020-03-04,19.3165,19.8487,19.0292,19.7726,5783908.0
2020-03-05,19.2271,19.302,17.61,17.7983,4833640.0
2020-03-06,16.9487,17.9588,16.8906,17.861,6156364.0
2020-03-07,16.9487,17.9588,16.8906,17.861,6156364.0
2020-03-08,16.9487,17.9588,16.8906,17.861,6156364.0
2020-03-09,16.4201,16.8642,15.2736,15.3098,6408816.0
2020-03-10,15.8891,16.4394,15.4474,16.3042,6355372.0
2020-03-11,15.7491,15.807,14.1766,14.2574,6896448.0
2020-03-12,12.9879,13.8206,12.4569,12.8092,6715760.0
2020-03-13,13.3982,13.6323,11.9958,13.3016,4533760.0
2020-03-14,13.3982,13.6323,11.9958,13.3016,4533760.0
2020-03-15,13.3982,13.6323,11.9958,13.3016,4533760.0
2020-03-16,11.4624,11.4624,8.9909,9.5001,10493076.0
2020-03-17,9.6546,9.7101,7.8275,8.0713,12730540.0
2020-03-18,7.1758,7.2096,5.3535,5.8072,16308848.0
2020-03-19,5.7807,8.2209,5.31,8.064,13589796.0
2020-03-20,8.1992,8.7133,7.603,7.9892,16593924.0
2020-03-21,8.1992,8.7133,7.603,7.9892,16593924.0
2020-03-22,8.1992,8.7133,7.603,7.9892,16593924.0
2020-03-23,7.9216,8.8509,7.3399,8.7398,7821500.0
2020-03-24,9.587,10.7335,9.4857,10.4366,14659052.0
2020-03-25,10.5863,12.0321,9.7125,11.8197,6873968.0
2020-03-26,11.9114,12.8648,10.818,11.6073,9797252.0
2020-03-27,11.0087,11.571,10.3232,11.1535,7131740.0
2020-03-28,11.0087,11.571,10.3232,11.1535,7131740.0
2020-03-29,11.0087,11.571,10.3232,11.1535,7131740.0
2020-03-30,11.2476,11.25,10.4752,10.8228,4339484.0
2020-03-31,10.6442,11.0497,10.2423,10.5501,3805376.0
2020-04-01,9.8549,9.9177,8.7905,9.0391,5760088.0
2020-04-02,8.7205,9.2491,8.5998,8.8822,4511084.0
2020-04-03,8.945,9.0259,7.603,8.2378,11231612.0
2020-04-04,8.945,9.0259,7.603,8.2378,11231612.0
2020-04-05,8.945,9.0259,7.603,8.2378,11231612.0
2020-04-06,8.9136,9.8018,8.6891,9.756,9261564.0
2020-04-07,10.7311,10.9773,10.0239,10.1373,5718312.0
2020-04-08,10.3835,11.4407,10.3835,11.3224,3230376.0
2020-04-09,11.8245,12.7417,11.0714,11.4238,5384904.0
2020-04-10,11.8245,12.7417,11.0714,11.4238,5384904.0
2020-04-11,11.8245,12.7417,11.0714,11.4238,5384904.0
2020-04-12,11.8245,12.7417,11.0714,11.4238,5384904.0
2020-04-13,11.3731,11.4697,10.6297,10.9507,2957544.0
2020-04-14,11.0473,11.6193,10.9242,10.9628,4731556.0
2020-04-15,10.3497,10.5537,9.9756,10.0529,4500696.0
2020-04-16,10.0167,10.0529,9.6208,9.8501,4471744.0
2020-04-17,10.3859,11.0038,10.1929,10.608,5367084.0
2020-04-18,10.3859,11.0038,10.1929,10.608,5367084.0
2020-04-19,10.3859,11.0038,10.1929,10.608,5367084.0
2020-04-20,10.2242,10.6297,10.1035,10.2797,3181504.0
2020-04-21,9.9636,10.1277,9.6281,9.9225,3983988.0
2020-04-22,10.2701,10.2701,9.803,10.036,4396352.0
2020-04-23,10.6514,10.9314,10.3063,10.4632,4818656.0
