,DUK US Equity,DUK US Equity,DUK US Equity,DUK US Equity,DUK US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,76.3371,76.6311,76.1104,76.6059,2540809.0
2020-01-02,76.6647,77.0846,75.6106,75.8752,3809879.0
2020-01-03,75.7828,76.4883,75.7156,75.9256,2825431.0
2020-01-04,75.7828,76.4883,75.7156,75.9256,2825431.0
2020-01-05,75.7828,76.4883,75.7156,75.9256,2825431.0
2020-01-06,75.9256,76.4631,75.8416,76.2951,2410279.0
2020-01-07,76.3371,76.3371,75.4553,75.8164,3983865.0
2020-01-08,75.976,76.3203,75.556,75.9256,2583273.0
2020-01-09,75.8248,76.2448,75.6568,76.1104,2377171.0
2020-01-10,76.3287,76.6226,75.9004,75.9592,3224998.0
2020-01-11,76.3287,76.6226,75.9004,75.9592,3224998.0
2020-01-12,76.3287,76.6226,75.9004,75.9592,3224998.0
2020-01-13,76.0096,76.8915,76.0096,76.6311,2979024.0
2020-01-14,76.5639,76.7991,76.0096,76.6815,3009768.0
2020-01-15,76.8831,77.7565,76.7319,77.681,2357284.0
2020-01-16,77.9161,78.462,77.8321,78.2605,3244169.0
2020-01-17,78.2269,78.882,78.0925,78.714,3053495.0
2020-01-18,78.2269,78.882,78.0925,78.714,3053495.0
2020-01-19,78.2269,78.882,78.0925,78.714,3053495.0
2020-01-20,78.2269,78.882,78.0925,78.714,3053495.0
2020-01-21,78.9492,79.6715,78.5628,79.6127,3429161.0
2020-01-22,79.7891,80.2888,79.6799,80.0494,3638746.0
2020-01-23,80.0242,80.7633,79.9738,80.6961,3824880.0
2020-01-24,80.5702,81.1413,80.4694,80.8641,2218964.0
2020-01-25,80.5702,81.1413,80.4694,80.8641,2218964.0
2020-01-26,80.5702,81.1413,80.4694,80.8641,2218964.0
2020-01-27,80.7381,81.1833,80.3938,80.7129,2481109.0
2020-01-28,80.8809,81.5408,80.6541,80.8053,3696496.0
2020-01-29,80.9229,81.5444,80.7591,81.2589,2335700.0
2020-01-30,81.0657,81.9308,80.9733,81.8636,3273072.0
2020-01-31,81.7796,82.3507,81.4436,81.998,3175413.0
