,RSG US Equity,RSG US Equity,RSG US Equity,RSG US Equity,RSG US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,83.979,84.2131,83.5201,83.9415,1123706.0
2020-01-02,84.0258,84.1382,83.1361,84.1288,1595717.0
2020-01-03,83.5294,84.6627,83.4077,84.4847,1362449.0
2020-01-04,83.5294,84.6627,83.4077,84.4847,1362449.0
2020-01-05,83.5294,84.6627,83.4077,84.4847,1362449.0
2020-01-06,84.288,84.8874,84.0352,84.85,989353.0
2020-01-07,84.6907,84.7095,84.2225,84.4098,784920.0
2020-01-08,84.4941,84.7376,84.1382,84.4847,1337389.0
2020-01-09,84.6533,85.6086,84.6111,85.1871,1672522.0
2020-01-10,84.9811,85.3931,84.8406,85.1216,1118858.0
2020-01-11,84.9811,85.3931,84.8406,85.1216,1118858.0
2020-01-12,84.9811,85.3931,84.8406,85.1216,1118858.0
2020-01-13,85.2995,86.133,85.2995,86.0019,926022.0
2020-01-14,85.9551,86.3671,85.8708,86.2922,1293990.0
2020-01-15,86.414,87.0414,86.414,86.6856,1717695.0
2020-01-16,86.901,87.6502,86.8167,87.5846,1131550.0
2020-01-17,87.9405,87.9405,87.4723,87.5284,832751.0
2020-01-18,87.9405,87.9405,87.4723,87.5284,832751.0
2020-01-19,87.9405,87.9405,87.4723,87.5284,832751.0
2020-01-20,87.9405,87.9405,87.4723,87.5284,832751.0
2020-01-21,87.2943,87.8937,87.1445,87.8562,802531.0
2020-01-22,88.1559,88.6055,88.1278,88.3432,669005.0
2020-01-23,88.1559,88.5118,87.9031,88.4182,932232.0
2020-01-24,88.5024,88.9051,88.2121,88.6336,760670.0
2020-01-25,88.5024,88.9051,88.2121,88.6336,760670.0
2020-01-26,88.5024,88.9051,88.2121,88.6336,760670.0
2020-01-27,88.2027,88.7459,88.0435,88.6336,867004.0
2020-01-28,88.7178,89.1393,88.362,88.3713,1010669.0
2020-01-29,88.5212,88.6617,88.0529,88.4743,1800741.0
2020-01-30,88.3151,89.7668,88.0997,89.6544,1212237.0
2020-01-31,89.6918,90.2819,88.5586,89.0175,1324682.0
2020-02-01,89.6918,90.2819,88.5586,89.0175,1324682.0
2020-02-02,89.6918,90.2819,88.5586,89.0175,1324682.0
2020-02-03,89.336,90.1648,89.261,89.7574,1019656.0
2020-02-04,90.2163,90.6939,90.0852,90.1226,861910.0
2020-02-05,90.4692,90.9187,90.1226,90.7408,1058945.0
2020-02-06,90.7876,91.0124,90.3942,90.4692,1023298.0
2020-02-07,90.7782,91.3495,90.4411,90.9749,1100309.0
2020-02-08,90.7782,91.3495,90.4411,90.9749,1100309.0
2020-02-09,90.7782,91.3495,90.4411,90.9749,1100309.0
2020-02-10,90.9749,91.8178,90.8531,91.6211,1248577.0
2020-02-11,91.8646,92.1924,91.6305,91.8271,956602.0
2020-02-12,91.5274,92.5342,91.1341,92.2205,1101529.0
2020-02-13,92.0051,93.0446,91.9302,92.7262,1080663.0
2020-02-14,92.8948,94.2715,92.774,94.0561,1450893.0
2020-02-15,92.8948,94.2715,92.774,94.0561,1450893.0
2020-02-16,92.8948,94.2715,92.774,94.0561,1450893.0
2020-02-17,92.8948,94.2715,92.774,94.0561,1450893.0
2020-02-18,94.0842,94.0842,93.4754,93.9062,1133022.0
2020-02-19,94.1123,94.5056,93.6065,93.6908,704799.0
2020-02-20,93.2319,93.5597,92.2205,92.8292,1171913.0
2020-02-21,92.8199,93.3818,92.5483,93.1196,1226516.0
2020-02-22,92.8199,93.3818,92.5483,93.1196,1226516.0
2020-02-23,92.8199,93.3818,92.5483,93.1196,1226516.0
2020-02-24,92.2392,93.1757,91.8646,92.6513,1288526.0
2020-02-25,92.8011,93.4848,90.7829,90.8906,1384282.0
2020-02-26,91.1716,92.0894,90.6939,90.7501,1490637.0
2020-02-27,90.0571,91.0685,85.5336,85.543,1922558.0
2020-02-28,84.3349,84.8968,81.441,84.5315,3320406.0
2020-02-29,84.3349,84.8968,81.441,84.5315,3320406.0
2020-03-01,84.3349,84.8968,81.441,84.5315,3320406.0
2020-03-02,85.1309,88.3058,84.6533,88.1091,1857393.0
2020-03-03,88.0904,89.6169,85.0326,85.5149,2056102.0
2020-03-04,87.6877,90.4879,87.5846,90.4317,1543078.0
2020-03-05,88.8771,90.2819,88.0997,88.8958,1681777.0
2020-03-06,87.004,89.7855,86.1611,89.4577,1577739.0
2020-03-07,87.004,89.7855,86.1611,89.4577,1577739.0
2020-03-08,87.004,89.7855,86.1611,89.4577,1577739.0
2020-03-09,85.6647,88.8209,84.288,86.1986,1966380.0
2020-03-10,87.8562,88.1325,84.288,87.4161,1925912.0
2020-03-11,86.0206,86.9665,84.2225,85.4868,1971541.0
2020-03-12,79.596,80.9624,74.5294,74.5387,2767651.0
2020-03-13,77.6012,79.596,73.7989,79.5866,2672452.0
2020-03-14,77.6012,79.596,73.7989,79.5866,2672452.0
2020-03-15,77.6012,79.596,73.7989,79.5866,2672452.0
2020-03-16,71.6448,75.7562,70.8769,71.2889,2481894.0
2020-03-17,72.7031,77.0767,71.8321,76.4586,2568942.0
2020-03-18,73.4242,74.904,69.1256,71.0735,1888766.0
2020-03-19,70.521,70.5865,67.3461,69.3035,2460558.0
2020-03-20,68.9663,69.7718,66.0398,66.9996,2674195.0
2020-03-21,68.9663,69.7718,66.0398,66.9996,2674195.0
2020-03-22,68.9663,69.7718,66.0398,66.9996,2674195.0
2020-03-23,66.2036,67.2993,61.2212,62.0547,2274355.0
2020-03-24,64.3867,67.702,64.087,66.9528,2055180.0
2020-03-25,66.4939,68.573,63.806,67.1869,2745392.0
2020-03-26,67.8612,73.0169,67.4304,72.4877,1959542.0
2020-03-27,70.0808,73.8644,69.2379,70.802,1612740.0
2020-03-28,70.0808,73.8644,69.2379,70.802,1612740.0
2020-03-29,70.0808,73.8644,69.2379,70.802,1612740.0
2020-03-30,72.2629,73.162,70.3337,71.7853,1776377.0
2020-03-31,70.9427,71.6771,69.8734,70.6696,2442902.0
2020-04-01,68.6077,68.6548,67.1484,68.4571,1627301.0
2020-04-02,67.6568,71.2345,67.6003,70.8297,1691104.0
2020-04-03,69.7658,70.9803,67.5062,68.2876,2923918.0
2020-04-04,69.7658,70.9803,67.5062,68.2876,2923918.0
2020-04-05,69.7658,70.9803,67.5062,68.2876,2923918.0
2020-04-06,70.5943,71.0839,69.4316,69.7752,2269505.0
2020-04-07,72.0537,72.8963,70.3966,70.5755,2041234.0
2020-04-08,71.3005,73.9838,70.4437,73.6636,1294767.0
2020-04-09,74.3039,78.0699,74.3039,77.0342,1667859.0
2020-04-10,74.3039,78.0699,74.3039,77.0342,1667859.0
2020-04-11,74.3039,78.0699,74.3039,77.0342,1667859.0
2020-04-12,74.3039,78.0699,74.3039,77.0342,1667859.0
2020-04-13,76.733,77.0342,73.1364,74.2756,931729.0
2020-04-14,74.5298,75.2171,73.7295,74.5487,1501543.0
2020-04-15,72.9669,73.4,71.3381,72.4962,1748270.0
2020-04-16,72.6186,73.2023,71.1922,72.8351,1390708.0
2020-04-17,75.1136,75.8668,73.6825,75.5843,1333091.0
2020-04-18,75.1136,75.8668,73.6825,75.5843,1333091.0
2020-04-19,75.1136,75.8668,73.6825,75.5843,1333091.0
2020-04-20,75.1795,75.4054,73.3435,73.7107,998084.0
2020-04-21,72.2043,73.3059,71.7618,72.0913,1210970.0
2020-04-22,73.0234,74.3509,72.6562,73.3153,1740001.0
2020-04-23,73.2965,73.6919,71.8842,72.0254,1435436.0
2020-04-24,72.3173,72.4679,70.9333,71.6488,1332218.0
2020-04-25,72.3173,72.4679,70.9333,71.6488,1332218.0
2020-04-26,72.3173,72.4679,70.9333,71.6488,1332218.0
2020-04-27,72.3738,74.5204,72.0537,74.0214,976828.0
