,ZBH US Equity,ZBH US Equity,ZBH US Equity,ZBH US Equity,ZBH US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,139.2841,140.6179,139.2841,140.5897,612400.0
2020-01-02,140.8715,140.9373,138.5139,140.1389,1046052.0
2020-01-03,138.467,140.5897,137.0956,139.7726,963465.0
2020-01-04,138.467,140.5897,137.0956,139.7726,963465.0
2020-01-05,138.467,140.5897,137.0956,139.7726,963465.0
2020-01-06,139.5471,139.7914,138.2885,138.9648,944767.0
2020-01-07,139.5284,140.0825,137.7813,138.8427,907279.0
2020-01-08,139.3405,140.8245,138.4858,140.5052,908796.0
2020-01-09,140.9373,141.2519,139.3029,139.5753,1007653.0
2020-01-10,140.5428,141.9798,139.6692,140.8809,1159737.0
2020-01-11,140.5428,141.9798,139.6692,140.8809,1159737.0
2020-01-12,140.5428,141.9798,139.6692,140.8809,1159737.0
2020-01-13,140.5803,141.3975,139.8853,139.9698,635840.0
2020-01-14,139.1245,140.0825,138.3368,139.3311,1009535.0
2020-01-15,139.2372,140.477,138.3026,139.1526,654676.0
2020-01-16,139.8195,140.1577,138.9178,139.735,664893.0
2020-01-17,139.8947,140.8433,139.5565,140.3079,852286.0
2020-01-18,139.8947,140.8433,139.5565,140.3079,852286.0
2020-01-19,139.8947,140.8433,139.5565,140.3079,852286.0
2020-01-20,139.8947,140.8433,139.5565,140.3079,852286.0
2020-01-21,140.0074,141.0453,138.8803,140.4019,926558.0
2020-01-22,140.8903,142.4824,140.8529,141.8108,851478.0
2020-01-23,141.7075,141.7826,140.0919,140.4301,796692.0
2020-01-24,140.4019,140.4019,137.8095,138.8239,737851.0
2020-01-25,140.4019,140.4019,137.8095,138.8239,737851.0
2020-01-26,140.4019,140.4019,137.8095,138.8239,737851.0
2020-01-27,137.1802,139.5847,136.2221,139.0493,678673.0
2020-01-28,139.1433,140.7964,139.1433,140.1389,829221.0
2020-01-29,140.6555,143.1727,140.3549,141.5947,1197402.0
2020-01-30,140.2516,142.0456,139.1057,141.9986,720189.0
2020-01-31,141.0969,142.3837,137.8658,138.9178,1407669.0
2020-02-01,141.0969,142.3837,137.8658,138.9178,1407669.0
2020-02-02,141.0969,142.3837,137.8658,138.9178,1407669.0
2020-02-03,139.7444,141.1157,139.4063,139.4908,1905707.0
2020-02-04,143.6142,149.8979,143.1821,147.2491,3068347.0
2020-02-05,147.2961,149.5222,145.9905,148.1227,1364147.0
2020-02-06,148.4138,150.0857,147.6155,149.3531,1185696.0
2020-02-07,148.6674,149.0901,146.6386,146.8922,889335.0
2020-02-08,148.6674,149.0901,146.6386,146.8922,889335.0
2020-02-09,148.6674,149.0901,146.6386,146.8922,889335.0
2020-02-10,146.0375,148.9398,145.7275,148.6111,1079949.0
2020-02-11,149.1559,149.9448,148.2448,149.6161,886811.0
2020-02-12,149.5316,149.9918,148.6111,149.0619,743656.0
2020-02-13,149.3437,150.1233,147.8315,149.0901,743162.0
2020-02-14,148.9868,150.6869,148.0287,150.6587,621681.0
2020-02-15,148.9868,150.6869,148.0287,150.6587,621681.0
2020-02-16,148.9868,150.6869,148.0287,150.6587,621681.0
2020-02-17,148.9868,150.6869,148.0287,150.6587,621681.0
2020-02-18,150.236,150.3675,148.2542,149.5785,771367.0
2020-02-19,149.9918,151.3256,148.9774,150.3018,961245.0
2020-02-20,150.283,150.3065,147.747,148.7708,950927.0
2020-02-21,148.9304,149.4376,146.5071,147.8315,1020381.0
2020-02-22,148.9304,149.4376,146.5071,147.8315,1020381.0
2020-02-23,148.9304,149.4376,146.5071,147.8315,1020381.0
2020-02-24,144.2529,145.6806,143.7081,144.9573,1917904.0
2020-02-25,144.1871,145.1828,140.4488,140.6367,2300037.0
2020-02-26,141.7356,143.4263,137.6122,137.6592,1273097.0
2020-02-27,134.4563,136.8608,131.3943,131.4506,2046383.0
2020-02-28,127.872,129.0931,124.4625,127.8814,2473689.0
2020-02-29,127.872,129.0931,124.4625,127.8814,2473689.0
2020-03-01,127.872,129.0931,124.4625,127.8814,2473689.0
2020-03-02,128.4732,130.8213,126.5664,130.7932,1712362.0
2020-03-03,130.5302,133.7988,122.49,125.7305,1933286.0
2020-03-04,128.1914,130.7932,125.9371,129.6848,2008977.0
2020-03-05,127.0643,127.609,119.691,121.3441,2104085.0
2020-03-06,117.6528,118.3009,114.356,116.5632,2800644.0
2020-03-07,117.6528,118.3009,114.356,116.5632,2800644.0
2020-03-08,117.6528,118.3009,114.356,116.5632,2800644.0
2020-03-09,108.0159,111.773,104.2776,104.503,2380483.0
2020-03-10,108.0159,111.4348,103.4041,111.1249,2649880.0
2020-03-11,107.7717,109.5563,102.2119,104.4373,2330814.0
2020-03-12,97.327,100.3421,93.2318,95.8336,3323566.0
2020-03-13,100.0321,101.5349,88.2349,91.8605,4476817.0
2020-03-14,100.0321,101.5349,88.2349,91.8605,4476817.0
2020-03-15,100.0321,101.5349,88.2349,91.8605,4476817.0
2020-03-16,78.5698,89.3198,74.2304,86.4127,4818587.0
2020-03-17,88.1222,88.2913,78.6168,80.9274,3774800.0
2020-03-18,77.3112,78.6356,69.8534,75.7332,3902843.0
2020-03-19,75.7144,85.7834,72.0043,83.7264,3113869.0
2020-03-20,85.0696,87.5023,78.645,80.7583,3012721.0
2020-03-21,85.0696,87.5023,78.645,80.7583,3012721.0
2020-03-22,85.0696,87.5023,78.645,80.7583,3012721.0
2020-03-23,79.5654,80.0069,73.9204,75.9023,2487070.0
2020-03-24,80.4296,88.2255,79.8378,87.7277,2339346.0
2020-03-25,87.2017,95.7772,86.4879,90.9494,2313501.0
2020-03-26,92.5031,98.7176,90.8741,94.9606,2254072.0
2020-03-27,91.6839,92.6732,87.07,89.3958,1822070.0
2020-03-28,91.6839,92.6732,87.07,89.3958,1822070.0
2020-03-29,91.6839,92.6732,87.07,89.3958,1822070.0
2020-03-30,89.4429,93.0492,86.2367,92.5407,2024774.0
2020-03-31,92.4183,96.0812,90.3939,95.1772,1923742.0
2020-04-01,91.3826,91.3826,83.313,84.3959,1713846.0
2020-04-02,82.8611,89.4334,82.8611,87.296,1633663.0
2020-04-03,86.8064,87.4561,84.0004,86.6369,2557780.0
2020-04-04,86.8064,87.4561,84.0004,86.6369,2557780.0
2020-04-05,86.8064,87.4561,84.0004,86.6369,2557780.0
2020-04-06,94.1603,94.7347,89.8572,92.2206,2632006.0
2020-04-07,97.0698,102.1168,95.0077,95.9587,3021396.0
2020-04-08,97.2111,105.4595,96.6885,104.7816,2937236.0
2020-04-09,105.4219,108.0583,101.9521,103.9153,2060190.0
2020-04-10,105.4219,108.0583,101.9521,103.9153,2060190.0
2020-04-11,105.4219,108.0583,101.9521,103.9153,2060190.0
2020-04-12,105.4219,108.0583,101.9521,103.9153,2060190.0
2020-04-13,102.0698,102.6347,98.0585,101.7119,1133248.0
2020-04-14,103.4822,107.9642,102.8466,106.9567,2305167.0
2020-04-15,102.7195,105.855,102.3334,103.6893,1599536.0
2020-04-16,104.4614,105.4595,100.9492,102.936,1446427.0
2020-04-17,107.2109,111.7777,106.8719,111.6553,1908282.0
2020-04-18,107.2109,111.7777,106.8719,111.6553,1908282.0
2020-04-19,107.2109,111.7777,106.8719,111.6553,1908282.0
2020-04-20,109.6591,112.0696,108.6516,110.1675,1097050.0
2020-04-21,106.9002,109.0282,105.064,105.5913,1502830.0
2020-04-22,106.8625,107.5593,102.7006,102.8795,1602500.0
2020-04-23,103.4257,107.2486,103.2091,106.3917,3186328.0
2020-04-24,107.8229,110.2523,106.5047,109.6497,1475924.0
2020-04-25,107.8229,110.2523,106.5047,109.6497,1475924.0
2020-04-26,107.8229,110.2523,106.5047,109.6497,1475924.0
2020-04-27,110.3559,111.6176,109.612,110.6289,1468919.0
2020-04-28,111.8624,112.5215,107.8418,108.0395,1210141.0
2020-04-29,109.951,115.8283,109.8427,113.8021,1383254.0
2020-04-30,112.9923,115.9113,111.2315,112.7099,1713732.0
2020-05-01,110.7325,111.4293,108.8493,109.4613,1507282.0
2020-05-02,110.7325,111.4293,108.8493,109.4613,1507282.0
2020-05-03,110.7325,111.4293,108.8493,109.4613,1507282.0
