,CC US Equity,CC US Equity,CC US Equity,CC US Equity,CC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,22.1892,22.7241,22.0215,22.5325,1337274.0
2019-01-02,22.0933,23.4747,21.9257,23.4108,2017925.0
2019-01-03,23.3709,23.5944,22.8279,22.9956,1975487.0
2019-01-04,23.7302,24.9758,23.6982,24.8081,2028292.0
2019-01-05,23.7302,24.9758,23.6982,24.8081,2028292.0
2019-01-06,23.7302,24.9758,23.6982,24.8081,2028292.0
2019-01-07,24.88,25.902,24.2891,25.4549,2046197.0
2019-01-08,26.0058,26.8442,26.0058,26.5008,2624795.0
2019-01-09,26.7723,26.9119,26.1335,26.2533,2229012.0
2019-01-10,26.0457,26.8841,25.7024,26.8202,1221189.0
2019-01-11,26.6925,27.443,26.6286,27.0198,1332173.0
2019-01-12,26.6925,27.443,26.6286,27.0198,1332173.0
2019-01-13,26.6925,27.443,26.6286,27.0198,1332173.0
2019-01-14,26.6925,26.7484,26.1814,26.429,1448609.0
2019-01-15,26.2773,26.5687,25.7024,26.0856,1714624.0
2019-01-16,26.0377,27.1795,26.0377,26.8681,1654516.0
2019-01-17,26.8761,27.5867,26.8761,27.2434,1718015.0
2019-01-18,27.5708,28.2654,27.4989,27.9061,1076320.0
2019-01-19,27.5708,28.2654,27.4989,27.9061,1076320.0
2019-01-20,27.5708,28.2654,27.4989,27.9061,1076320.0
2019-01-21,27.5708,28.2654,27.4989,27.9061,1076320.0
2019-01-22,27.5628,27.7225,26.7963,27.0039,1486554.0
2019-01-23,27.0438,27.5468,26.3651,26.7404,1216885.0
2019-01-24,26.6605,27.2674,26.6605,27.0837,1003233.0
2019-01-25,27.4031,28.6726,27.3552,28.5289,1596999.0
2019-01-26,27.4031,28.6726,27.3552,28.5289,1596999.0
2019-01-27,27.4031,28.6726,27.3552,28.5289,1596999.0
2019-01-28,28.1057,28.2734,27.6027,27.7784,1176056.0
2019-01-29,27.8103,28.3453,27.6426,27.7863,1445688.0
2019-01-30,28.1137,29.016,27.97,28.9441,1686872.0
2019-01-31,28.4171,29.1757,27.986,28.5449,1796987.0
2019-02-01,28.5609,29.6468,28.4251,29.511,1574298.0
2019-02-02,28.5609,29.6468,28.4251,29.511,1574298.0
2019-02-03,28.5609,29.6468,28.4251,29.511,1574298.0
2019-02-04,29.4392,29.8943,29.3194,29.7665,1050383.0
2019-02-05,29.7985,30.0859,29.6148,30.0061,1189641.0
2019-02-06,29.8144,30.2536,29.7585,30.1258,1267207.0
2019-02-07,29.7745,30.054,28.6517,29.1357,1274582.0
2019-02-08,28.8882,29.511,28.7365,29.0319,1372808.0
2019-02-09,28.8882,29.511,28.7365,29.0319,1372808.0
2019-02-10,28.8882,29.511,28.7365,29.0319,1372808.0
2019-02-11,29.0639,29.5669,29.0639,29.4551,1073130.0
2019-02-12,29.9342,31.1878,29.8304,30.7566,2082191.0
2019-02-13,30.9323,31.4513,30.9083,30.9403,1303018.0
2019-02-14,30.7886,31.3634,30.7406,30.8924,2449218.0
2019-02-15,31.4672,31.4752,29.9821,30.1418,2988843.0
2019-02-16,31.4672,31.4752,29.9821,30.1418,2988843.0
2019-02-17,31.4672,31.4752,29.9821,30.1418,2988843.0
2019-02-18,31.4672,31.4752,29.9821,30.1418,2988843.0
2019-02-19,29.7665,30.1658,28.8004,30.022,2881959.0
2019-02-20,29.9821,30.7087,29.8943,30.4851,2425728.0
2019-02-21,30.557,30.9163,29.9941,30.038,1665108.0
2019-02-22,30.4452,31.7707,30.3893,31.3155,1571499.0
2019-02-23,30.4452,31.7707,30.3893,31.3155,1571499.0
2019-02-24,30.4452,31.7707,30.3893,31.3155,1571499.0
2019-02-25,31.3954,31.4912,30.6927,31.0121,1236169.0
2019-02-26,30.8514,31.1568,30.6103,30.7389,928849.0
2019-02-27,30.4094,31.2773,30.4014,31.2532,1006575.0
2019-02-28,31.1166,31.2854,30.53,30.5621,1653462.0
2019-03-01,30.9237,31.4541,30.5139,30.5541,1143259.0
2019-03-02,30.9237,31.4541,30.5139,30.5541,1143259.0
2019-03-03,30.9237,31.4541,30.5139,30.5541,1143259.0
2019-03-04,30.7309,30.8675,29.8308,30.4657,1309677.0
2019-03-05,30.313,30.5942,30.0719,30.2808,1070518.0
2019-03-06,30.2728,30.5621,30.1,30.1683,778765.0
2019-03-07,30.096,30.7871,29.4692,30.6826,2600012.0
2019-03-08,30.3371,30.8193,29.9353,30.5621,1930919.0
2019-03-09,30.3371,30.8193,29.9353,30.5621,1930919.0
2019-03-10,30.3371,30.8193,29.9353,30.5621,1930919.0
2019-03-11,30.6826,31.2211,30.3612,30.8273,1092443.0
2019-03-12,30.9077,31.1206,30.7389,31.0121,972830.0
2019-03-13,31.1166,31.655,30.9318,31.3175,1824061.0
2019-03-14,31.2452,31.3657,30.538,31.0282,2598128.0
2019-03-15,30.6023,31.4863,30.3331,30.4496,2267866.0
2019-03-16,30.6023,31.4863,30.3331,30.4496,2267866.0
2019-03-17,30.6023,31.4863,30.3331,30.4496,2267866.0
2019-03-18,30.3612,31.4863,29.9353,31.3577,1519991.0
2019-03-19,31.6872,32.6998,31.5345,31.655,1628910.0
2019-03-20,31.647,32.3301,31.4782,32.1372,2329422.0
2019-03-21,32.0167,33.0132,31.8827,32.6114,2119703.0
2019-03-22,32.3542,32.4988,30.771,30.7791,2135824.0
2019-03-23,32.3542,32.4988,30.771,30.7791,2135824.0
2019-03-24,32.3542,32.4988,30.771,30.7791,2135824.0
2019-03-25,30.7791,31.2773,29.1959,29.3808,2903685.0
2019-03-26,29.1557,29.6379,28.0708,28.4646,3406978.0
2019-03-27,28.5932,28.8532,28.2155,28.553,1947768.0
2019-03-28,28.6736,29.658,28.6736,29.4772,2096185.0
2019-03-29,29.7344,30.4174,29.5334,29.8629,2551843.0
2019-03-30,29.7344,30.4174,29.5334,29.8629,2551843.0
2019-03-31,29.7344,30.4174,29.5334,29.8629,2551843.0
2019-04-01,30.0237,30.5782,29.3888,30.1924,1429559.0
