,BERY US Equity,BERY US Equity,BERY US Equity,BERY US Equity,BERY US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,45.8402,46.3373,45.3333,46.3275,1289585.0
2019-01-02,45.8109,46.2301,45.4308,45.5673,1378527.0
2019-01-03,45.3626,45.9961,44.8557,45.6842,1154900.0
2019-01-04,46.1326,47.3997,46.0059,46.6687,977323.0
2019-01-05,46.1326,47.3997,46.0059,46.6687,977323.0
2019-01-06,46.1326,47.3997,46.0059,46.6687,977323.0
2019-01-07,46.464,47.8091,46.4445,47.4192,1004789.0
2019-01-08,47.9943,48.0625,47.4874,47.7896,919192.0
2019-01-09,47.7896,48.3939,47.5264,47.6336,925596.0
2019-01-10,47.3997,49.1103,47.2827,48.8325,1388148.0
2019-01-11,48.6083,49.4759,48.5729,49.4368,820937.0
2019-01-12,48.6083,49.4759,48.5729,49.4368,820937.0
2019-01-13,48.6083,49.4759,48.5729,49.4368,820937.0
2019-01-14,48.9495,49.5343,48.8715,49.0274,1050657.0
2019-01-15,49.1152,49.2906,48.7838,48.9202,779340.0
2019-01-16,48.9885,49.3686,48.6668,48.9202,659582.0
2019-01-17,48.8228,49.3199,48.4719,49.0859,996072.0
2019-01-18,49.2809,50.0509,49.0177,49.1444,1491879.0
2019-01-19,49.2809,50.0509,49.0177,49.1444,1491879.0
2019-01-20,49.2809,50.0509,49.0177,49.1444,1491879.0
2019-01-21,49.2809,50.0509,49.0177,49.1444,1491879.0
2019-01-22,48.9592,49.3686,48.6376,49.3491,1610775.0
2019-01-23,49.4173,49.583,48.3646,49.0177,658806.0
2019-01-24,48.969,49.3491,48.7448,49.3101,841604.0
2019-01-25,49.7195,50.4213,49.4079,49.739,1200830.0
2019-01-26,49.7195,50.4213,49.4079,49.739,1200830.0
2019-01-27,49.7195,50.4213,49.4079,49.739,1200830.0
2019-01-28,49.622,49.7975,49.1347,49.5148,1020012.0
2019-01-29,49.4661,49.9534,49.0518,49.1054,1178862.0
2019-01-30,49.7975,49.8559,49.0664,49.4173,1708817.0
2019-01-31,47.8968,48.1015,46.8344,48.004,5664553.0
2019-02-01,49.7,51.0256,46.9123,47.0391,3439248.0
2019-02-02,49.7,51.0256,46.9123,47.0391,3439248.0
2019-02-03,49.7,51.0256,46.9123,47.0391,3439248.0
2019-02-04,47.1073,48.1892,46.9026,48.121,3064051.0
2019-02-05,48.1795,49.3101,48.1795,48.6376,2022731.0
2019-02-06,48.3939,49.4173,48.2307,49.2809,1494053.0
2019-02-07,48.9787,49.4661,48.9105,49.3393,1692792.0
2019-02-08,49.1736,49.4076,48.3549,48.4426,1677431.0
2019-02-09,49.1736,49.4076,48.3549,48.4426,1677431.0
2019-02-10,49.1736,49.4076,48.3549,48.4426,1677431.0
2019-02-11,48.7253,48.9787,48.5791,48.735,1330432.0
2019-02-12,49.1054,49.7682,49.0859,49.7,1343769.0
2019-02-13,49.7,50.2653,49.622,50.1386,966581.0
2019-02-14,50.0606,50.4992,50.0214,50.2556,1562552.0
2019-02-15,50.6065,50.6844,49.9534,50.2458,1203981.0
2019-02-16,50.6065,50.6844,49.9534,50.2458,1203981.0
2019-02-17,50.6065,50.6844,49.9534,50.2458,1203981.0
2019-02-18,50.6065,50.6844,49.9534,50.2458,1203981.0
2019-02-19,50.314,50.7819,50.046,50.626,847603.0
2019-02-20,50.8696,51.1815,50.6649,51.0743,1063229.0
2019-02-21,51.0061,51.1815,50.7819,51.0256,982078.0
2019-02-22,51.123,51.162,50.7039,51.1036,905236.0
2019-02-23,51.123,51.162,50.7039,51.1036,905236.0
2019-02-24,51.123,51.162,50.7039,51.1036,905236.0
2019-02-25,51.1718,51.8151,51.123,51.6299,1965332.0
2019-02-26,51.5812,51.8053,51.1328,51.2108,1819260.0
2019-02-27,51.162,51.2887,50.5821,51.201,1069485.0
2019-02-28,51.0548,51.3277,50.4408,51.1425,1751176.0
2019-03-01,51.357,51.9515,51.2985,51.9028,1454246.0
2019-03-02,51.357,51.9515,51.2985,51.9028,1454246.0
2019-03-03,51.357,51.9515,51.2985,51.9028,1454246.0
2019-03-04,51.9028,52.088,50.9379,51.5519,1433435.0
2019-03-05,51.5129,51.8443,51.2498,51.6494,1986627.0
2019-03-06,51.5812,51.7079,50.8794,51.0158,709071.0
2019-03-07,50.9573,51.0451,50.0216,50.4115,2210237.0
2019-03-08,49.8852,52.5461,49.7097,50.8209,8042592.0
2019-03-09,49.8852,52.5461,49.7097,50.8209,8042592.0
2019-03-10,49.8852,52.5461,49.7097,50.8209,8042592.0
2019-03-11,51.1425,53.9594,50.9963,53.3356,3011503.0
2019-03-12,53.4818,53.6475,52.4681,53.5988,1792689.0
2019-03-13,53.5695,54.1836,53.5695,54.1739,2462387.0
2019-03-14,54.2908,54.3298,53.5598,53.667,1109900.0
2019-03-15,53.6085,54.2811,53.1017,54.2323,1934754.0
2019-03-16,53.6085,54.2811,53.1017,54.2323,1934754.0
2019-03-17,53.6085,54.2811,53.1017,54.2323,1934754.0
2019-03-18,54.2323,54.4565,53.784,54.1739,809138.0
2019-03-19,54.1836,54.2811,52.9847,53.1407,1285673.0
2019-03-20,53.2284,53.2966,52.3804,52.5754,1986236.0
2019-03-21,52.4876,52.7094,52.166,52.4876,1467646.0
2019-03-22,52.3512,52.3902,51.7858,52.2342,1234947.0
2019-03-23,52.3512,52.3902,51.7858,52.2342,1234947.0
