,ROP US Equity,ROP US Equity,ROP US Equity,ROP US Equity,ROP US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,346.665,347.328,343.633,345.349,410469.0
2020-01-02,345.056,356.014,345.056,356.014,704273.0
2020-01-03,350.418,354.25,349.473,353.928,479253.0
2020-01-04,350.418,354.25,349.473,353.928,479253.0
2020-01-05,350.418,354.25,349.473,353.928,479253.0
2020-01-06,350.408,350.964,347.181,350.594,587963.0
2020-01-07,349.716,352.661,347.64,352.378,404562.0
2020-01-08,353.21,357.33,350.877,356.227,453342.0
2020-01-09,358.258,361.694,356.412,361.343,541773.0
2020-01-10,362.544,363.891,360.772,361.577,352949.0
2020-01-11,362.544,363.891,360.772,361.577,352949.0
2020-01-12,362.544,363.891,360.772,361.577,352949.0
2020-01-13,362.173,365.775,361.597,365.229,308752.0
2020-01-14,364.672,366.0,363.139,363.774,356259.0
2020-01-15,365.19,368.724,364.077,364.682,360844.0
2020-01-16,366.39,367.181,362.602,366.8,412809.0
2020-01-17,367.591,371.35,367.093,370.745,513459.0
2020-01-18,367.591,371.35,367.093,370.745,513459.0
2020-01-19,367.591,371.35,367.093,370.745,513459.0
2020-01-20,367.591,371.35,367.093,370.745,513459.0
2020-01-21,369.046,371.194,367.367,369.3,419269.0
2020-01-22,370.354,371.638,365.678,366.761,373524.0
2020-01-23,367.064,369.876,363.793,369.495,431449.0
2020-01-24,370.881,371.819,366.42,367.913,366617.0
2020-01-25,370.881,371.819,366.42,367.913,366617.0
2020-01-26,370.881,371.819,366.42,367.913,366617.0
2020-01-27,363.198,367.084,362.007,363.657,374437.0
2020-01-28,364.164,370.852,362.431,368.948,469374.0
2020-01-29,371.731,372.151,367.791,369.495,428454.0
2020-01-30,374.377,383.691,368.958,380.156,808801.0
2020-01-31,377.442,378.956,370.681,372.619,630594.0
2020-02-01,377.442,378.956,370.681,372.619,630594.0
2020-02-02,377.442,378.956,370.681,372.619,630594.0
2020-02-03,375.548,377.178,369.446,370.715,460888.0
2020-02-04,376.407,380.488,375.285,377.042,420389.0
2020-02-05,381.523,381.582,375.353,376.612,470584.0
2020-02-06,377.608,378.214,375.343,375.919,311528.0
2020-02-07,376.241,379.058,374.455,376.31,303195.0
2020-02-08,376.241,379.058,374.455,376.31,303195.0
2020-02-09,376.241,379.058,374.455,376.31,303195.0
2020-02-10,374.904,382.5,374.66,382.5,373381.0
2020-02-11,384.931,385.643,380.391,380.537,310438.0
2020-02-12,380.479,382.871,376.359,381.797,301673.0
2020-02-13,379.912,382.285,377.13,379.19,270439.0
2020-02-14,379.014,383.466,379.014,383.427,279232.0
2020-02-15,379.014,383.466,379.014,383.427,279232.0
2020-02-16,379.014,383.466,379.014,383.427,279232.0
2020-02-17,379.014,383.466,379.014,383.427,279232.0
2020-02-18,381.562,382.924,379.307,380.108,319480.0
2020-02-19,380.996,385.048,378.682,378.78,297662.0
2020-02-20,378.008,381.621,374.65,374.914,432218.0
2020-02-21,373.586,380.852,372.717,378.077,955356.0
2020-02-22,373.586,380.852,372.717,378.077,955356.0
2020-02-23,373.586,380.852,372.717,378.077,955356.0
2020-02-24,369.7,373.459,364.467,366.137,468852.0
2020-02-25,366.888,366.888,355.299,357.242,478713.0
2020-02-26,359.849,365.795,355.221,356.354,528070.0
2020-02-27,350.154,357.125,346.093,346.591,786500.0
2020-02-28,338.341,345.673,333.049,343.369,1086520.0
2020-02-29,338.341,345.673,333.049,343.369,1086520.0
2020-03-01,338.341,345.673,333.049,343.369,1086520.0
2020-03-02,345.702,353.093,338.746,352.468,781462.0
2020-03-03,352.702,362.309,340.44,344.199,631327.0
2020-03-04,350.574,358.697,345.614,358.267,552538.0
2020-03-05,351.072,356.617,341.67,343.213,554292.0
2020-03-06,334.358,343.877,332.922,342.031,670659.0
2020-03-07,334.358,343.877,332.922,342.031,670659.0
2020-03-08,334.358,343.877,332.922,342.031,670659.0
2020-03-09,319.566,321.871,292.903,307.851,1142362.0
2020-03-10,317.087,333.869,316.276,333.459,1103456.0
2020-03-11,323.686,325.541,311.815,315.437,774444.0
2020-03-12,292.942,303.179,283.599,284.048,973842.0
2020-03-13,300.499,306.093,285.093,306.093,756396.0
2020-03-14,300.499,306.093,285.093,306.093,756396.0
2020-03-15,300.499,306.093,285.093,306.093,756396.0
2020-03-16,234.315,296.76,234.315,276.55,868191.0
2020-03-17,281.354,304.453,281.354,302.061,776879.0
2020-03-18,282.34,291.966,259.638,280.465,683088.0
2020-03-19,277.653,302.11,270.097,292.903,645610.0
2020-03-20,296.809,296.906,274.178,276.443,934777.0
2020-03-21,296.809,296.906,274.178,276.443,934777.0
2020-03-22,296.809,296.906,274.178,276.443,934777.0
2020-03-23,273.67,275.1,240.036,248.276,979368.0
2020-03-24,256.78,280.294,256.78,276.179,1256989.0
2020-03-25,276.892,289.867,265.088,278.425,1003471.0
2020-03-26,286.831,299.064,281.207,299.064,820149.0
2020-03-27,285.064,305.771,282.73,298.546,1191949.0
2020-03-28,285.064,305.771,282.73,298.546,1191949.0
2020-03-29,285.064,305.771,282.73,298.546,1191949.0
2020-03-30,300.841,312.107,298.068,309.94,741429.0
2020-03-31,306.562,310.35,301.456,304.424,704450.0
2020-04-01,291.097,295.627,283.13,286.704,556072.0
2020-04-02,283.541,297.844,283.541,297.844,479101.0
2020-04-03,297.521,300.704,286.084,292.581,458762.0
2020-04-04,297.521,300.704,286.084,292.581,458762.0
2020-04-05,297.521,300.704,286.084,292.581,458762.0
2020-04-06,305.371,309.755,296.106,305.215,660286.0
2020-04-07,315.876,319.925,300.249,301.305,663292.0
2020-04-08,304.865,313.676,300.132,311.055,482591.0
2020-04-09,312.297,320.355,307.349,308.483,605598.0
2020-04-10,312.297,320.355,307.349,308.483,605598.0
2020-04-11,312.297,320.355,307.349,308.483,605598.0
2020-04-12,312.297,320.355,307.349,308.483,605598.0
2020-04-13,306.381,309.618,301.208,307.769,357483.0
2020-04-14,313.236,317.754,305.638,312.6,622697.0
2020-04-15,307.466,310.498,303.975,307.153,483029.0
2020-04-16,307.887,309.647,300.073,303.251,867653.0
2020-04-17,311.554,317.089,307.046,314.859,613414.0
2020-04-18,311.554,317.089,307.046,314.859,613414.0
2020-04-19,311.554,317.089,307.046,314.859,613414.0
2020-04-20,311.945,317.773,307.76,313.246,475541.0
2020-04-21,307.388,308.332,301.882,303.721,466196.0
2020-04-22,308.786,311.485,303.574,306.713,416702.0
2020-04-23,308.151,315.104,306.019,307.075,401163.0
2020-04-24,308.317,310.263,297.824,299.643,955349.0
2020-04-25,308.317,310.263,297.824,299.643,955349.0
2020-04-26,308.317,310.263,297.824,299.643,955349.0
2020-04-27,302.684,310.42,301.359,307.603,929769.0
2020-04-28,337.381,347.096,316.189,329.352,1144828.0
2020-04-29,334.476,337.361,324.531,333.195,779827.0
2020-04-30,329.89,334.76,325.411,333.498,804872.0
2020-05-01,328.413,332.931,325.861,331.885,741252.0
2020-05-02,328.413,332.931,325.861,331.885,741252.0
2020-05-03,328.413,332.931,325.861,331.885,741252.0
2020-05-04,329.997,335.249,326.301,333.547,600074.0
2020-05-05,337.244,344.451,335.659,338.231,570696.0
2020-05-06,339.415,345.957,339.415,343.405,697661.0
2020-05-07,347.434,352.929,345.976,348.323,691714.0
2020-05-08,351.668,354.318,349.385,350.446,573589.0
2020-05-09,351.668,354.318,349.385,350.446,573589.0
2020-05-10,351.668,354.318,349.385,350.446,573589.0
2020-05-11,348.011,360.411,347.16,356.078,569718.0
2020-05-12,356.078,360.303,349.057,349.116,751088.0
2020-05-13,348.568,352.954,339.611,344.803,765317.0
2020-05-14,342.202,349.937,337.146,349.595,692510.0
2020-05-15,345.693,355.1,344.461,353.516,1201663.0
2020-05-16,345.693,355.1,344.461,353.516,1201663.0
2020-05-17,345.693,355.1,344.461,353.516,1201663.0
2020-05-18,364.567,366.107,357.731,358.249,699787.0
2020-05-19,357.193,359.085,349.849,349.849,536912.0
2020-05-20,355.99,362.767,353.673,359.755,447711.0
2020-05-21,358.924,362.22,355.589,356.998,290016.0
2020-05-22,356.558,358.993,354.924,358.953,322000.0
2020-05-23,356.558,358.993,354.924,358.953,322000.0
2020-05-24,356.558,358.993,354.924,358.953,322000.0
2020-05-25,356.558,358.993,354.924,358.953,322000.0
2020-05-26,369.358,369.55,360.86,362.112,559920.0
2020-05-27,366.718,371.608,360.821,370.825,571678.0
2020-05-28,371.608,379.959,368.439,373.299,567370.0
2020-05-29,372.126,386.227,370.776,385.103,1057220.0
2020-05-30,372.126,386.227,370.776,385.103,1057220.0
2020-05-31,372.126,386.227,370.776,385.103,1057220.0
2020-06-01,384.252,384.624,378.913,379.206,412663.0
2020-06-02,381.074,387.861,380.761,386.883,358708.0
2020-06-03,391.166,395.303,387.156,392.603,500750.0
2020-06-04,388.672,395.703,386.276,393.356,437903.0
2020-06-05,399.967,401.346,392.838,396.867,660425.0
2020-06-06,399.967,401.346,392.838,396.867,660425.0
2020-06-07,399.967,401.346,392.838,396.867,660425.0
2020-06-08,395.322,397.806,389.816,393.024,697994.0
2020-06-09,389.171,397.136,385.406,393.249,645131.0
2020-06-10,395.694,396.153,388.711,392.359,491134.0
2020-06-11,384.633,392.359,381.837,383.636,903220.0
2020-06-12,392.3,393.188,373.788,381.201,752825.0
2020-06-13,392.3,393.188,373.788,381.201,752825.0
2020-06-14,392.3,393.188,373.788,381.201,752825.0
2020-06-15,373.867,388.535,372.566,385.338,444635.0
2020-06-16,394.862,396.711,383.812,389.846,484338.0
2020-06-17,392.985,396.065,387.821,393.347,386592.0
2020-06-18,391.811,395.586,389.797,393.249,261166.0
2020-06-19,397.874,397.874,381.299,381.934,1141819.0
2020-06-20,397.874,397.874,381.299,381.934,1141819.0
2020-06-21,397.874,397.874,381.299,381.934,1141819.0
2020-06-22,384.262,391.908,380.78,391.205,413094.0
2020-06-23,392.33,394.1,388.134,388.662,385727.0
2020-06-24,385.044,389.856,374.111,378.385,590303.0
2020-06-25,378.257,384.917,372.898,384.663,410970.0
2020-06-26,384.017,384.594,375.285,378.658,745166.0
2020-06-27,384.017,384.594,375.285,378.658,745166.0
