,HE US Equity,HE US Equity,HE US Equity,HE US Equity,HE US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,40.4937,40.8312,40.2687,40.5543,379399.0
2020-01-02,40.6668,40.6668,39.6326,39.8273,444393.0
2020-01-03,39.7581,39.9918,39.6733,39.7668,305951.0
2020-01-04,39.7581,39.9918,39.6733,39.7668,305951.0
2020-01-05,39.7581,39.9918,39.6733,39.7668,305951.0
2020-01-06,39.7581,39.8966,39.5071,39.6629,399646.0
2020-01-07,39.5764,39.6369,39.36,39.4292,275687.0
2020-01-08,39.4292,39.8014,39.3081,39.5158,349475.0
2020-01-09,39.0831,39.4898,38.9792,39.3254,377660.0
2020-01-10,39.2908,39.5071,39.1004,39.3687,260055.0
2020-01-11,39.2908,39.5071,39.1004,39.3687,260055.0
2020-01-12,39.2908,39.5071,39.1004,39.3687,260055.0
2020-01-13,39.3687,39.9572,39.3687,39.9139,427915.0
2020-01-14,39.8273,40.1389,39.5937,40.0956,344567.0
2020-01-15,40.1302,40.6752,40.1302,40.6582,341316.0
2020-01-16,40.7187,40.9005,40.4331,40.9005,307036.0
2020-01-17,40.8572,41.2164,40.5976,41.0909,331840.0
2020-01-18,40.8572,41.2164,40.5976,41.0909,331840.0
2020-01-19,40.8572,41.2164,40.5976,41.0909,331840.0
2020-01-20,40.8572,41.2164,40.5976,41.0909,331840.0
2020-01-21,41.0822,41.4457,40.9697,41.264,348026.0
2020-01-22,41.3418,41.5582,41.3332,41.4111,258078.0
2020-01-23,41.4024,41.8611,41.2034,41.7832,347939.0
2020-01-24,41.7573,42.2679,41.7573,41.9303,327734.0
2020-01-25,41.7573,42.2679,41.7573,41.9303,327734.0
2020-01-26,41.7573,42.2679,41.7573,41.9303,327734.0
2020-01-27,41.8351,42.19,41.6447,41.7659,273538.0
2020-01-28,41.8005,42.1813,41.7053,42.138,306484.0
2020-01-29,42.1034,42.4063,41.8265,42.2679,359452.0
2020-01-30,42.1554,42.7958,42.1554,42.7006,367887.0
2020-01-31,42.64,42.9516,42.2808,42.3284,577415.0
2020-02-01,42.64,42.9516,42.2808,42.3284,577415.0
2020-02-02,42.64,42.9516,42.2808,42.3284,577415.0
2020-02-03,42.4756,42.5664,42.1554,42.3025,597511.0
2020-02-04,42.2332,42.3025,41.8525,41.8698,437682.0
2020-02-05,41.8698,42.1554,41.7919,41.8611,647112.0
2020-02-06,41.9303,41.9996,41.6967,41.714,340760.0
2020-02-07,41.8351,41.8827,41.6274,41.6621,210094.0
2020-02-08,41.8351,41.8827,41.6274,41.6621,210094.0
2020-02-09,41.8351,41.8827,41.6274,41.6621,210094.0
2020-02-10,41.7486,41.8784,41.5582,41.8351,272023.0
2020-02-11,41.8525,42.0342,41.6447,41.6621,377985.0
2020-02-12,41.8265,42.0602,41.4024,42.0169,516375.0
2020-02-13,42.1727,43.1852,41.7832,43.0468,666143.0
2020-02-14,42.9862,43.6612,42.4063,43.6179,445688.0
2020-02-15,42.9862,43.6612,42.4063,43.6179,445688.0
2020-02-16,42.9862,43.6612,42.4063,43.6179,445688.0
2020-02-17,42.9862,43.6612,42.4063,43.6179,445688.0
2020-02-18,43.7478,43.7478,43.367,43.5314,389535.0
2020-02-19,43.4795,43.5798,42.9429,42.9689,552793.0
2020-02-20,42.8477,43.142,42.6746,43.1073,347994.0
2020-02-21,43.1073,43.5054,42.9775,43.0554,658998.0
2020-02-22,43.1073,43.5054,42.9775,43.0554,658998.0
2020-02-23,43.1073,43.5054,42.9775,43.0554,658998.0
2020-02-24,42.7525,43.1246,42.6062,42.6833,395201.0
2020-02-25,42.6658,43.0231,41.8207,41.8817,509295.0
2020-02-26,42.0124,42.3609,40.9669,40.9756,670055.0
2020-02-27,40.7665,41.1063,39.0327,39.0849,608349.0
2020-02-28,38.3966,38.4054,36.6193,37.325,1511192.0
2020-02-29,38.3966,38.4054,36.6193,37.325,1511192.0
2020-03-01,38.3966,38.4054,36.6193,37.325,1511192.0
2020-03-02,37.3947,39.3115,37.386,39.2853,859565.0
2020-03-03,39.2244,40.174,38.963,39.1459,763107.0
2020-03-04,39.7471,40.9233,39.5816,40.8536,553015.0
2020-03-05,40.1392,40.4441,39.782,40.3396,591086.0
2020-03-06,39.4683,40.8188,38.7713,40.7229,709114.0
2020-03-07,39.4683,40.8188,38.7713,40.7229,709114.0
2020-03-08,39.4683,40.8188,38.7713,40.7229,709114.0
2020-03-09,37.8042,39.2505,37.5254,37.6909,1094779.0
2020-03-10,38.2921,38.5448,36.1575,37.6735,668984.0
2020-03-11,37.0288,37.142,35.7916,36.5931,1529717.0
2020-03-12,34.746,35.87,33.3259,34.7635,1653229.0
2020-03-13,35.7393,38.1963,35.4431,38.0656,1745023.0
2020-03-14,35.7393,38.1963,35.4431,38.0656,1745023.0
2020-03-15,35.7393,38.1963,35.4431,38.0656,1745023.0
2020-03-16,35.3559,39.0806,34.4934,38.2398,1538434.0
2020-03-17,38.7626,46.1422,38.7626,42.9621,2541197.0
2020-03-18,40.8536,48.0503,39.9039,46.4558,1921723.0
2020-03-19,46.177,47.3184,40.0957,42.2651,1823156.0
2020-03-20,42.1779,42.2389,33.4522,34.3888,1643319.0
2020-03-21,42.1779,42.2389,33.4522,34.3888,1643319.0
2020-03-22,42.1779,42.2389,33.4522,34.3888,1643319.0
2020-03-23,33.8748,33.8748,29.1961,29.9105,1459592.0
2020-03-24,30.9735,34.3366,30.1371,33.9619,1021377.0
2020-03-25,33.8574,34.8942,31.7228,33.1865,993240.0
2020-03-26,33.2213,35.87,33.2126,35.504,645023.0
2020-03-27,34.6851,37.8565,34.5892,36.3405,736230.0
2020-03-28,34.6851,37.8565,34.5892,36.3405,736230.0
2020-03-29,34.6851,37.8565,34.5892,36.3405,736230.0
2020-03-30,36.9416,38.5883,36.1488,38.5273,611210.0
2020-03-31,37.9872,38.2137,36.7761,37.508,738997.0
2020-04-01,36.4537,37.1246,34.6066,35.1468,938847.0
2020-04-02,34.7199,36.9765,34.7025,35.931,663679.0
2020-04-03,35.5563,36.0704,34.3714,34.8506,862905.0
2020-04-04,35.5563,36.0704,34.3714,34.8506,862905.0
2020-04-05,35.5563,36.0704,34.3714,34.8506,862905.0
2020-04-06,36.1923,37.6996,35.809,37.3773,541168.0
2020-04-07,37.8652,38.2834,36.6106,36.8197,646491.0
2020-04-08,36.7935,38.3008,36.0355,37.9872,584029.0
2020-04-09,38.3444,40.6532,37.9959,39.7297,625247.0
2020-04-10,38.3444,40.6532,37.9959,39.7297,625247.0
2020-04-11,38.3444,40.6532,37.9959,39.7297,625247.0
2020-04-12,38.3444,40.6532,37.9959,39.7297,625247.0
2020-04-13,39.538,39.6861,37.2553,37.839,593574.0
2020-04-14,38.6929,38.6929,37.5341,37.9262,664546.0
2020-04-15,37.325,37.6735,35.687,35.8787,601553.0
2020-04-16,35.7393,36.4712,35.3864,35.87,532757.0
2020-04-17,36.75,36.8981,35.9179,36.5757,625188.0
2020-04-18,36.75,36.8981,35.9179,36.5757,625188.0
2020-04-19,36.75,36.8981,35.9179,36.5757,625188.0
2020-04-20,36.2969,36.2969,34.8506,34.868,535650.0
2020-04-21,34.8419,34.8623,33.7964,34.0577,416913.0
2020-04-22,34.5718,35.1643,34.1362,34.7112,598806.0
2020-04-23,34.6938,34.9116,33.8835,34.3801,385116.0
2020-04-24,34.7025,34.7025,33.8486,34.4324,400981.0
2020-04-25,34.7025,34.7025,33.8486,34.4324,400981.0
2020-04-26,34.7025,34.7025,33.8486,34.4324,400981.0
2020-04-27,34.4237,35.1294,34.415,34.8419,326888.0
2020-04-28,35.4431,35.5999,34.8942,35.3124,348206.0
2020-04-29,35.8264,36.0791,34.5979,35.5737,523955.0
2020-04-30,35.2514,35.6435,34.3366,34.3888,473929.0
2020-05-01,34.11,34.1231,32.9948,33.1952,616591.0
2020-05-02,34.11,34.1231,32.9948,33.1952,616591.0
2020-05-03,34.11,34.1231,32.9948,33.1952,616591.0
2020-05-04,33.0471,33.4914,32.6986,33.3869,342644.0
2020-05-05,32.96,34.1275,31.5921,33.1516,873698.0
2020-05-06,33.0906,33.0906,31.714,31.7489,774037.0
2020-05-07,31.9929,32.5592,31.7576,31.8273,495543.0
2020-05-08,32.2455,33.291,32.2455,33.2736,508823.0
2020-05-09,32.2455,33.291,32.2455,33.2736,508823.0
2020-05-10,32.2455,33.291,32.2455,33.2736,508823.0
2020-05-11,32.9861,33.6548,32.5766,33.0209,923237.0
2020-05-12,33.2039,33.4217,32.0538,32.0713,484075.0
2020-05-13,31.8099,31.9293,31.2436,31.6618,400291.0
2020-05-14,31.1913,31.7663,30.4333,31.7402,511193.0
2020-05-15,31.6879,31.714,30.7731,31.4614,939307.0
2020-05-16,31.6879,31.714,30.7731,31.4614,939307.0
2020-05-17,31.6879,31.714,30.7731,31.4614,939307.0
2020-05-18,33.352,33.6744,32.5817,33.352,505567.0
2020-05-19,33.352,33.4043,32.4285,32.472,475151.0
2020-05-20,32.6812,33.5423,32.5853,33.3085,623018.0
2020-05-21,33.1151,33.5809,32.9306,32.9921,410167.0
2020-05-22,32.8778,32.8778,32.5439,32.7548,263393.0
2020-05-23,32.8778,32.8778,32.5439,32.7548,263393.0
2020-05-24,32.8778,32.8778,32.5439,32.7548,263393.0
2020-05-25,32.8778,32.8778,32.5439,32.7548,263393.0
2020-05-26,32.9921,33.7127,32.9657,33.5897,389393.0
2020-05-27,34.2225,34.5037,33.4974,33.7303,444294.0
2020-05-28,34.1522,34.6092,33.8094,34.4685,630433.0
2020-05-29,34.2488,35.0837,33.9149,34.6795,1022119.0
2020-05-30,34.2488,35.0837,33.9149,34.6795,1022119.0
2020-05-31,34.2488,35.0837,33.9149,34.6795,1022119.0
2020-06-01,34.7322,34.7322,33.8797,34.2664,520950.0
2020-06-02,34.3455,34.4334,33.7171,33.9061,377374.0
2020-06-03,34.1785,34.9431,34.1522,34.6795,359095.0
2020-06-04,34.5389,34.5476,33.6776,34.1873,509498.0
2020-06-05,34.6004,35.822,34.6004,34.864,463559.0
2020-06-06,34.6004,35.822,34.6004,34.864,463559.0
2020-06-07,34.6004,35.822,34.6004,34.864,463559.0
2020-06-08,35.1892,35.778,35.1409,35.6286,407426.0
2020-06-09,35.3122,35.4968,34.7937,35.2331,459451.0
2020-06-10,35.3298,35.5126,34.8201,34.8377,576467.0
2020-06-11,34.1082,34.3807,32.2011,32.5263,513404.0
2020-06-12,33.2733,33.2733,32.0078,32.5527,623752.0
2020-06-13,33.2733,33.2733,32.0078,32.5527,623752.0
2020-06-14,33.2733,33.2733,32.0078,32.5527,623752.0
2020-06-15,31.8496,32.869,31.4365,32.5263,557112.0
2020-06-16,33.3348,33.6512,32.412,32.5614,390458.0
2020-06-17,32.5966,32.6757,31.5903,31.9814,453146.0
2020-06-18,31.6738,31.955,31.4189,31.7529,436511.0
2020-06-19,31.8496,32.2714,31.3838,31.4805,1243418.0
2020-06-20,31.8496,32.2714,31.3838,31.4805,1243418.0
2020-06-21,31.8496,32.2714,31.3838,31.4805,1243418.0
2020-06-22,31.4014,32.1879,30.9883,31.7968,467191.0
2020-06-23,32.2187,32.2187,31.1289,31.331,476235.0
2020-06-24,31.1025,31.4365,30.8609,31.1992,437515.0
2020-06-25,31.1641,31.1641,30.5752,31.1377,400389.0
2020-06-26,30.9971,31.2783,30.6104,30.8477,761218.0
2020-06-27,30.9971,31.2783,30.6104,30.8477,761218.0
2020-06-28,30.9971,31.2783,30.6104,30.8477,761218.0
2020-06-29,31.1992,31.7529,30.9619,31.542,383792.0
2020-06-30,31.6035,31.9175,31.4277,31.6914,345357.0
2020-07-01,31.6386,32.1484,31.6035,31.7617,397039.0
2020-07-02,32.1132,32.4999,31.6474,31.7441,257350.0
2020-07-03,32.1132,32.4999,31.6474,31.7441,257350.0
2020-07-04,32.1132,32.4999,31.6474,31.7441,257350.0
2020-07-05,32.1132,32.4999,31.6474,31.7441,257350.0
2020-07-06,32.122,32.1879,31.1992,31.3926,513624.0
2020-07-07,31.0674,31.6826,30.8389,31.3926,670002.0
2020-07-08,31.4541,31.7617,31.1729,31.5156,398095.0
2020-07-09,31.4014,31.4541,30.7422,31.2344,320512.0
2020-07-10,31.3574,32.166,31.3398,32.0253,236114.0
2020-07-11,31.3574,32.166,31.3398,32.0253,236114.0
2020-07-12,31.3574,32.166,31.3398,32.0253,236114.0
2020-07-13,32.0429,32.8602,31.8584,32.5527,445035.0
2020-07-14,32.6493,33.1151,32.122,32.456,474680.0
2020-07-15,32.8339,33.0712,32.2978,32.4736,415906.0
2020-07-16,32.4472,32.9745,32.4208,32.5175,257142.0
2020-07-17,32.6142,33.1371,32.5878,32.9306,311535.0
2020-07-18,32.6142,33.1371,32.5878,32.9306,311535.0
2020-07-19,32.6142,33.1371,32.5878,32.9306,311535.0
2020-07-20,32.7372,32.9306,32.0083,32.0693,271818.0
2020-07-21,32.3417,32.9306,32.0693,32.7196,385987.0
2020-07-22,32.5439,32.9218,32.3505,32.913,546529.0
2020-07-23,32.8602,33.1942,32.5351,32.6933,377129.0
2020-07-24,32.7724,33.0887,32.4384,32.4911,245865.0
2020-07-25,32.7724,33.0887,32.4384,32.4911,245865.0
2020-07-26,32.7724,33.0887,32.4384,32.4911,245865.0
2020-07-27,32.3681,32.3681,31.5156,31.832,257876.0
2020-07-28,31.8671,32.7812,31.7529,32.5263,233657.0
2020-07-29,32.5175,32.7548,32.2802,32.6493,398654.0
2020-07-30,32.2626,32.3681,31.9375,32.1572,292441.0
2020-07-31,31.8935,32.1396,31.3486,31.8671,428300.0
2020-08-01,31.8935,32.1396,31.3486,31.8671,428300.0
2020-08-02,31.8935,32.1396,31.3486,31.8671,428300.0
2020-08-03,31.788,31.788,31.1465,31.6562,392388.0
2020-08-04,31.665,31.7265,31.2563,31.3047,419853.0
2020-08-05,31.498,31.498,30.5664,30.6983,441423.0
2020-08-06,31.1904,31.3134,30.5401,30.7949,500532.0
2020-08-07,30.7774,31.8496,30.7642,31.832,505324.0
2020-08-08,30.7774,31.8496,30.7642,31.832,505324.0
2020-08-09,30.7774,31.8496,30.7642,31.832,505324.0
2020-08-10,31.9902,32.1396,31.6914,31.7529,311634.0
2020-08-11,31.9638,32.122,31.1201,31.2168,430141.0
2020-08-12,31.4805,31.8144,31.2607,31.6386,284069.0
2020-08-13,31.542,31.542,30.9487,31.3047,303902.0
2020-08-14,31.1729,31.4365,30.9707,31.3486,329123.0
2020-08-15,31.1729,31.4365,30.9707,31.3486,329123.0
2020-08-16,31.1729,31.4365,30.9707,31.3486,329123.0
2020-08-17,31.208,31.6211,31.041,31.0762,395401.0
2020-08-18,31.1377,31.2322,30.7686,30.9268,308198.0
2020-08-19,30.9268,31.3398,30.7774,31.1377,323252.0
2020-08-20,31.0845,31.253,30.6675,30.6764,287160.0
2020-08-21,30.6941,30.7562,30.2328,30.499,588522.0
2020-08-22,30.6941,30.7562,30.2328,30.499,588522.0
2020-08-23,30.6941,30.7562,30.2328,30.499,588522.0
2020-08-24,30.6232,31.1022,30.5078,31.0845,462830.0
2020-08-25,31.1732,31.1732,30.7385,30.9337,289822.0
2020-08-26,30.8272,30.8272,30.1707,30.2861,369293.0
2020-08-27,30.3836,30.8538,30.2151,30.5167,280983.0
2020-08-28,30.6764,30.6764,30.1086,30.5345,214392.0
2020-08-29,30.6764,30.6764,30.1086,30.5345,214392.0
2020-08-30,30.6764,30.6764,30.1086,30.5345,214392.0
2020-08-31,30.428,30.8893,30.428,30.703,479132.0
2020-09-01,30.6498,30.6498,30.0998,30.1441,316652.0
2020-09-02,30.1353,30.907,30.0643,30.4724,404716.0
2020-09-03,30.5167,31.0845,30.1441,30.3748,316154.0
2020-09-04,30.5167,30.5877,29.9933,30.4369,297512.0
2020-09-05,30.5167,30.5877,29.9933,30.4369,297512.0
2020-09-06,30.5167,30.5877,29.9933,30.4369,297512.0
2020-09-07,30.5167,30.5877,29.9933,30.4369,297512.0
2020-09-08,30.4724,30.4724,29.7006,29.9135,474698.0
2020-09-09,30.0022,30.499,29.7715,29.9401,504176.0
2020-09-10,29.9223,29.949,29.3635,29.5409,522663.0
2020-09-11,29.6651,29.6651,28.9909,29.2393,503736.0
2020-09-12,29.6651,29.6651,28.9909,29.2393,503736.0
2020-09-13,29.6651,29.6651,28.9909,29.2393,503736.0
2020-09-14,29.3014,29.7094,29.2038,29.4078,312197.0
2020-09-15,29.5231,29.6917,29.2748,29.3635,436595.0
2020-09-16,29.2127,29.7272,29.1949,29.5852,566712.0
2020-09-17,29.399,29.5409,29.0618,29.4965,479687.0
2020-09-18,29.5764,29.5764,28.9288,28.9909,1263892.0
2020-09-19,29.5764,29.5764,28.9288,28.9909,1263892.0
2020-09-20,29.5764,29.5764,28.9288,28.9909,1263892.0
2020-09-21,28.7602,28.9022,28.4054,28.778,508481.0
2020-09-22,28.8135,29.4256,28.7868,29.2215,475754.0
2020-09-23,29.2925,29.532,28.9199,28.9199,554660.0
2020-09-24,28.8401,29.1727,28.6675,28.9998,316982.0
2020-09-25,28.8578,29.4256,28.7159,29.4167,310051.0
2020-09-26,28.8578,29.4256,28.7159,29.4167,310051.0
2020-09-27,28.8578,29.4256,28.7159,29.4167,310051.0
2020-09-28,29.532,29.7405,29.4078,29.4344,295262.0
2020-09-29,29.4788,29.5764,29.0441,29.2925,276158.0
2020-09-30,29.5143,29.6207,29.2304,29.4877,514592.0
2020-10-01,29.4699,29.7361,29.3635,29.4788,304553.0
2020-10-02,29.2748,30.2062,29.2748,30.0643,276600.0
2020-10-03,29.2748,30.2062,29.2748,30.0643,276600.0
2020-10-04,29.2748,30.2062,29.2748,30.0643,276600.0
2020-10-05,30.1796,30.4768,29.9135,30.428,282409.0
2020-10-06,30.428,31.2619,30.2949,30.8361,421905.0
2020-10-07,30.8804,31.0579,30.4457,30.6853,294933.0
2020-10-08,30.7385,30.9958,30.5345,30.7651,213658.0
2020-10-09,30.8716,30.907,30.4103,30.5788,342619.0
2020-10-10,30.8716,30.907,30.4103,30.5788,342619.0
2020-10-11,30.8716,30.907,30.4103,30.5788,342619.0
2020-10-12,30.5699,31.0845,30.4901,30.9425,252747.0
2020-10-13,30.7119,30.8716,30.0909,30.4369,340455.0
2020-10-14,30.3393,30.5611,29.9844,30.1175,231741.0
2020-10-15,29.8425,30.4429,29.7272,30.2861,195483.0
2020-10-16,30.2772,30.4768,30.0288,30.2595,195802.0
2020-10-17,30.2772,30.4768,30.0288,30.2595,195802.0
2020-10-18,30.2772,30.4768,30.0288,30.2595,195802.0
2020-10-19,30.082,30.3659,29.7804,29.8514,392616.0
2020-10-20,29.8514,30.3216,29.807,30.2062,310999.0
2020-10-21,30.0111,30.703,30.0111,30.3216,255319.0
2020-10-22,30.3925,30.9958,30.3127,30.8982,401401.0
2020-10-23,31.049,31.1909,30.4635,30.9603,335379.0
2020-10-24,31.049,31.1909,30.4635,30.9603,335379.0
2020-10-25,31.049,31.1909,30.4635,30.9603,335379.0
2020-10-26,30.7385,30.8139,30.3393,30.6232,328710.0
2020-10-27,30.6232,30.8804,30.4212,30.5699,360099.0
2020-10-28,30.0022,30.3038,28.9731,28.982,754941.0
2020-10-29,28.8578,29.0086,28.2368,28.8401,585220.0
2020-10-30,28.7602,29.3635,28.7292,29.3102,374450.0
2020-10-31,28.7602,29.3635,28.7292,29.3102,374450.0
2020-11-01,28.7602,29.3635,28.7292,29.3102,374450.0
2020-11-02,29.4256,29.8957,29.2526,29.8425,346163.0
2020-11-03,30.2595,30.7474,30.1175,30.5611,329460.0
2020-11-04,30.3659,30.6853,29.6385,29.7094,451372.0
2020-11-05,29.9578,30.051,29.3191,29.3191,306458.0
2020-11-06,29.3191,30.153,29.2659,29.4256,235342.0
2020-11-07,29.3191,30.153,29.2659,29.4256,235342.0
2020-11-08,29.3191,30.153,29.2659,29.4256,235342.0
2020-11-09,30.7208,32.0159,30.4635,31.599,588891.0
2020-11-10,31.8474,33.6305,31.0667,33.32,658441.0
