,RTN US Equity,RTN US Equity,RTN US Equity,RTN US Equity,RTN US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,150.0112,151.3643,148.7855,150.3642,1845884.0
2019-01-02,148.0501,151.178,146.7166,151.1388,1395305.0
2019-01-03,150.1288,150.727,146.3538,146.8735,2837982.0
2019-01-04,148.7169,150.8446,147.8491,150.7466,1979280.0
2019-01-05,148.7169,150.8446,147.8491,150.7466,1979280.0
2019-01-06,148.7169,150.8446,147.8491,150.7466,1979280.0
2019-01-07,151.0211,152.8645,149.64,152.335,1583833.0
2019-01-08,153.8745,154.7667,152.7567,154.149,1693261.0
2019-01-09,155.2766,155.8649,154.1588,154.855,1529853.0
2019-01-10,154.4334,156.6298,153.3156,156.4729,1876061.0
2019-01-11,155.5218,156.2081,153.5411,156.0709,1513876.0
2019-01-12,155.5218,156.2081,153.5411,156.0709,1513876.0
2019-01-13,155.5218,156.2081,153.5411,156.0709,1513876.0
2019-01-14,154.9825,158.2574,154.502,157.3848,1999595.0
2019-01-15,158.0711,158.0711,155.5414,157.022,1229241.0
2019-01-16,157.1985,157.1985,155.0805,156.2768,1837070.0
2019-01-17,155.6296,160.1989,155.4698,159.6694,2328551.0
2019-01-18,161.3069,164.1896,161.1304,162.1894,3099159.0
2019-01-19,161.3069,164.1896,161.1304,162.1894,3099159.0
2019-01-20,161.3069,164.1896,161.1304,162.1894,3099159.0
2019-01-21,161.3069,164.1896,161.1304,162.1894,3099159.0
2019-01-22,161.4245,162.5914,159.5027,160.5225,1698626.0
2019-01-23,161.4442,163.8268,160.3754,161.9834,1665022.0
2019-01-24,163.2483,164.17,162.1109,163.0816,2344408.0
2019-01-25,164.7289,165.1604,163.6994,164.3465,1359168.0
2019-01-26,164.7289,165.1604,163.6994,164.3465,1359168.0
2019-01-27,164.7289,165.1604,163.6994,164.3465,1359168.0
2019-01-28,163.0326,165.9643,162.0178,165.3663,1598628.0
2019-01-29,165.4937,168.7197,165.1015,167.896,1935639.0
2019-01-30,168.0431,169.4355,164.9446,168.1216,2066021.0
2019-01-31,165.0427,165.5918,161.4937,161.552,4724357.0
2019-02-01,162.7581,166.3076,162.1501,162.7286,3137960.0
2019-02-02,162.7581,166.3076,162.1501,162.7286,3137960.0
2019-02-03,162.7581,166.3076,162.1501,162.7286,3137960.0
2019-02-04,162.9248,171.3475,162.7679,171.2494,2880795.0
2019-02-05,172.3084,172.9458,170.8872,172.5536,2869782.0
2019-02-06,172.1613,173.1713,171.0631,171.6613,1773153.0
2019-02-07,169.9061,172.8281,169.7002,172.6516,1930674.0
2019-02-08,171.8868,172.9556,170.5925,172.4947,1972721.0
2019-02-09,171.8868,172.9556,170.5925,172.4947,1972721.0
2019-02-10,171.8868,172.9556,170.5925,172.4947,1972721.0
2019-02-11,172.7006,175.0294,172.5928,174.3675,2394702.0
2019-02-12,175.4461,178.27,175.299,177.5935,2315839.0
2019-02-13,178.1916,178.8976,176.9659,177.417,1999124.0
2019-02-14,177.0248,178.1426,176.5835,177.6033,1297784.0
2019-02-15,178.8878,181.3979,178.8289,181.0155,2973612.0
2019-02-16,178.8878,181.3979,178.8289,181.0155,2973612.0
2019-02-17,178.8878,181.3979,178.8289,181.0155,2973612.0
2019-02-18,178.8878,181.3979,178.8289,181.0155,2973612.0
2019-02-19,180.6135,181.6921,179.4467,181.0253,1561448.0
2019-02-20,181.3489,184.2415,180.4762,183.6433,2538524.0
2019-02-21,183.2217,183.359,181.2508,181.7705,1549356.0
2019-02-22,182.6138,183.0256,181.594,182.9766,1165670.0
2019-02-23,182.6138,183.0256,181.594,182.9766,1165670.0
2019-02-24,182.6138,183.0256,181.594,182.9766,1165670.0
2019-02-25,184.2611,184.6729,182.4569,182.6236,1754084.0
2019-02-26,182.1333,182.7805,181.2313,181.6333,1571535.0
2019-02-27,181.4175,182.5213,180.1036,181.7509,1509836.0
2019-02-28,181.594,184.4376,181.545,182.8687,2759920.0
2019-03-01,183.9179,183.9277,181.7019,182.5648,1588590.0
2019-03-02,183.9179,183.9277,181.7019,182.5648,1588590.0
2019-03-03,183.9179,183.9277,181.7019,182.5648,1588590.0
2019-03-04,182.8589,183.81,178.4563,180.1232,2547900.0
2019-03-05,180.1723,180.9567,178.92,179.0643,2687787.0
2019-03-06,179.4369,180.6331,177.8876,178.0543,1961510.0
2019-03-07,177.4954,177.9661,173.6517,176.711,2393892.0
2019-03-08,175.3677,177.3974,174.3246,177.2405,1107599.0
2019-03-09,175.3677,177.3974,174.3246,177.2405,1107599.0
2019-03-10,175.3677,177.3974,174.3246,177.2405,1107599.0
2019-03-11,175.8383,178.8682,175.3383,178.5936,1391632.0
2019-03-12,178.6524,178.6524,176.2992,176.4659,1166967.0
2019-03-13,177.4464,179.4859,176.7551,178.0543,1494083.0
2019-03-14,178.1426,178.6917,176.5933,176.7404,1174708.0
2019-03-15,176.5639,176.8973,174.142,174.4852,3628165.0
2019-03-16,176.5639,176.8973,174.142,174.4852,3628165.0
2019-03-17,176.5639,176.8973,174.142,174.4852,3628165.0
2019-03-18,174.8382,177.2307,174.6421,176.7208,1921818.0
2019-03-19,177.4562,179.5398,175.9462,176.662,2010994.0
2019-03-20,176.0344,178.172,175.2892,176.5149,2085422.0
2019-03-21,176.1717,178.927,175.5344,178.3877,1101705.0
2019-03-22,177.6033,178.0886,176.4463,176.4855,1791063.0
2019-03-23,177.6033,178.0886,176.4463,176.4855,1791063.0
2019-03-24,177.6033,178.0886,176.4463,176.4855,1791063.0
2019-03-25,176.5933,178.2504,176.0831,177.1032,1021341.0
2019-03-26,177.9857,179.025,176.2207,177.3876,1088464.0
2019-03-27,177.9857,178.7358,175.7501,176.3188,1232425.0
2019-03-28,177.015,177.4758,175.6716,177.4366,1014772.0
2019-03-29,178.3289,178.927,177.2111,178.5348,1296731.0
2019-03-30,178.3289,178.927,177.2111,178.5348,1296731.0
2019-03-31,178.3289,178.927,177.2111,178.5348,1296731.0
2019-04-01,179.9762,181.4666,179.4369,181.1626,1291789.0
2019-04-02,181.9568,183.761,181.5156,182.1922,3128818.0
2019-04-03,180.437,181.3685,173.5145,173.9165,4727992.0
2019-04-04,174.1224,176.3972,172.9997,173.5047,2572500.0
2019-04-05,173.7204,176.2207,172.6908,176.1325,2395845.0
2019-04-06,173.7204,176.2207,172.6908,176.1325,2395845.0
2019-04-07,173.7204,176.2207,172.6908,176.1325,2395845.0
2019-04-08,176.0246,178.2504,175.1912,178.0935,1793813.0
2019-04-09,177.4947,177.9481,176.2923,176.4697,1498411.0
2019-04-10,176.4697,177.0118,175.0901,176.036,1470222.0
2019-04-11,176.4302,179.2393,176.174,178.8549,1376813.0
2019-04-12,180.1856,182.0681,179.4956,181.7626,1373030.0
2019-04-13,180.1856,182.0681,179.4956,181.7626,1373030.0
2019-04-14,180.1856,182.0681,179.4956,181.7626,1373030.0
2019-04-15,181.7133,181.9893,179.7026,180.1363,1198438.0
2019-04-16,180.2151,181.388,179.6632,179.742,996434.0
2019-04-17,180.6882,181.0528,177.0877,178.0861,1991641.0
2019-04-18,178.5297,180.7868,177.9087,179.8701,1198353.0
2019-04-19,178.5297,180.7868,177.9087,179.8701,1198353.0
2019-04-20,178.5297,180.7868,177.9087,179.8701,1198353.0
2019-04-21,178.5297,180.7868,177.9087,179.8701,1198353.0
2019-04-22,179.2098,180.8952,178.8254,179.88,933574.0
2019-04-23,182.4032,185.7939,182.3441,184.8871,2442608.0
2019-04-24,186.0896,186.0896,182.6004,182.7876,1941045.0
2019-04-25,178.7958,179.3872,171.7189,174.8236,4058727.0
2019-04-26,175.4742,177.544,174.2125,174.8828,2170506.0
2019-04-27,175.4742,177.544,174.2125,174.8828,2170506.0
2019-04-28,175.4742,177.544,174.2125,174.8828,2170506.0
2019-04-29,174.7547,176.1346,172.8918,172.9115,1352231.0
2019-04-30,173.0593,175.5037,172.9805,175.0405,1381119.0
2019-05-01,175.8684,178.0368,173.6704,173.8084,1358084.0
