,TNET US Equity,TNET US Equity,TNET US Equity,TNET US Equity,TNET US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,41.5912,41.9705,40.9724,41.8707,194179.0
2019-01-02,41.1321,41.6911,40.643,40.9025,366646.0
2019-01-03,40.3835,40.8027,39.4453,39.6849,196315.0
2019-01-04,40.2139,42.0005,40.2039,41.9406,309824.0
2019-01-05,40.2139,42.0005,40.2039,41.9406,309824.0
2019-01-06,40.2139,42.0005,40.2039,41.9406,309824.0
2019-01-07,41.8208,42.3598,41.192,41.5513,289980.0
2019-01-08,42.0903,43.318,41.9918,43.2182,326060.0
2019-01-09,43.4577,43.8869,42.8389,43.4477,508068.0
2019-01-10,43.1084,43.3679,42.759,43.308,302497.0
2019-01-11,42.9786,43.3579,42.7291,43.0585,174976.0
2019-01-12,42.9786,43.3579,42.7291,43.0585,174976.0
2019-01-13,42.9786,43.3579,42.7291,43.0585,174976.0
2019-01-14,42.5594,43.4377,42.5594,42.9587,143530.0
2019-01-15,42.9686,44.0266,42.809,43.5974,194945.0
2019-01-16,43.6274,44.5357,43.4677,44.1564,205382.0
2019-01-17,44.0067,45.1246,44.0067,44.905,213464.0
2019-01-18,45.2543,45.5937,44.9549,45.3242,184216.0
2019-01-19,45.2543,45.5937,44.9549,45.3242,184216.0
2019-01-20,45.2543,45.5937,44.9549,45.3242,184216.0
2019-01-21,45.2543,45.5937,44.9549,45.3242,184216.0
2019-01-22,45.0247,45.394,44.2263,44.6954,186177.0
2019-01-23,44.7752,45.3042,44.3061,44.5057,185672.0
2019-01-24,44.4658,44.9449,44.1564,44.4159,193737.0
2019-01-25,44.8551,45.3242,44.7203,45.2044,174384.0
2019-01-26,44.8551,45.3242,44.7203,45.2044,174384.0
2019-01-27,44.8551,45.3242,44.7203,45.2044,174384.0
2019-01-28,44.6954,44.9249,44.1664,44.5756,136766.0
2019-01-29,44.875,44.9249,44.346,44.4758,111168.0
2019-01-30,44.7553,45.5937,44.5226,45.4739,157000.0
2019-01-31,45.6036,46.2225,45.2843,45.5737,255237.0
2019-02-01,45.7534,47.2605,45.7534,46.8213,328726.0
