,AEP US Equity,AEP US Equity,AEP US Equity,AEP US Equity,AEP US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,80.8469,81.1645,80.6065,81.1388,1366925.0
2020-01-02,81.1302,81.1817,79.8252,80.2373,1627113.0
2020-01-03,80.0828,80.7353,79.9315,80.1515,1939441.0
2020-01-04,80.0828,80.7353,79.9315,80.1515,1939441.0
2020-01-05,80.0828,80.7353,79.9315,80.1515,1939441.0
2020-01-06,80.1429,80.6923,80.0742,80.4176,1253886.0
2020-01-07,80.0828,80.555,79.7888,80.4348,2608662.0
2020-01-08,80.1944,80.7181,79.9969,80.1944,2245365.0
2020-01-09,80.0742,80.8168,80.0656,80.5979,2141864.0
2020-01-10,80.8726,81.2676,80.7175,80.9928,1452847.0
2020-01-11,80.8726,81.2676,80.7175,80.9928,1452847.0
2020-01-12,80.8726,81.2676,80.7175,80.9928,1452847.0
2020-01-13,81.0358,81.6495,81.0358,81.2418,2383759.0
2020-01-14,81.1731,81.5423,80.7439,81.5423,2717505.0
2020-01-15,82.1604,82.9932,82.0059,82.9331,4114385.0
2020-01-16,83.0104,83.7315,82.9674,83.5426,2175892.0
2020-01-17,83.6371,84.7016,83.328,84.6158,4554779.0
2020-01-18,83.6371,84.7016,83.328,84.6158,4554779.0
2020-01-19,83.6371,84.7016,83.328,84.6158,4554779.0
2020-01-20,83.6371,84.7016,83.328,84.6158,4554779.0
2020-01-21,84.8304,85.7233,84.5729,85.2854,4731352.0
2020-01-22,85.8521,86.1955,85.6803,85.8521,2985088.0
2020-01-23,85.8778,86.7363,85.8606,86.6848,2402205.0
2020-01-24,86.6848,87.8782,86.5284,87.7065,3189174.0
2020-01-25,86.6848,87.8782,86.5284,87.7065,3189174.0
2020-01-26,86.6848,87.8782,86.5284,87.7065,3189174.0
2020-01-27,87.6807,88.213,87.2171,87.3802,2295042.0
2020-01-28,87.4231,88.0413,87.3158,87.7322,1572417.0
2020-01-29,87.861,88.5478,87.4489,88.2645,1643627.0
2020-01-30,88.1958,89.3977,87.9168,89.372,1952870.0
2020-01-31,89.2861,89.6553,88.9513,89.475,2457818.0
2020-02-01,89.2861,89.6553,88.9513,89.475,2457818.0
2020-02-02,89.2861,89.6553,88.9513,89.475,2457818.0
2020-02-03,89.6896,89.8871,89.1659,89.475,3671534.0
2020-02-04,89.1316,90.1189,88.2988,88.316,3203280.0
2020-02-05,88.1958,88.5135,87.5433,87.6721,4064644.0
2020-02-06,87.5519,88.1872,87.5519,87.7837,2752689.0
2020-02-07,88.2073,88.337,87.5158,87.6022,2260943.0
2020-02-08,88.2073,88.337,87.5158,87.6022,2260943.0
2020-02-09,88.2073,88.337,87.5158,87.6022,2260943.0
2020-02-10,87.8875,88.1554,87.4898,88.1036,1541038.0
