,RHI US Equity,RHI US Equity,RHI US Equity,RHI US Equity,RHI US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,50.2187,50.9189,49.8464,50.6973,679280.0
2019-01-02,49.9173,50.5023,49.3944,50.1123,1127152.0
2019-01-03,49.2349,49.2792,46.7886,46.8861,1622122.0
2019-01-04,47.7902,50.0769,47.7902,49.7135,1576102.0
2019-01-05,47.7902,50.0769,47.7902,49.7135,1576102.0
2019-01-06,47.7902,50.0769,47.7902,49.7135,1576102.0
2019-01-07,49.5539,49.9882,48.8892,49.5451,1113675.0
2019-01-08,50.2896,50.8568,49.5539,50.8214,1303519.0
2019-01-09,51.1759,52.0888,50.6929,51.6988,1262435.0
2019-01-10,51.3709,51.8406,50.8391,51.5747,976548.0
2019-01-11,51.2291,52.2129,50.7771,51.7431,894757.0
2019-01-12,51.2291,52.2129,50.7771,51.7431,894757.0
2019-01-13,51.2291,52.2129,50.7771,51.7431,894757.0
2019-01-14,51.2911,52.2129,51.105,51.6722,697710.0
2019-01-15,51.7697,52.1597,51.4507,51.947,652079.0
2019-01-16,51.947,52.5763,51.5659,52.1065,932944.0
2019-01-17,51.885,53.5069,51.6988,53.3385,1232487.0
2019-01-18,53.6753,54.1716,53.2499,53.9501,1104193.0
2019-01-19,53.6753,54.1716,53.2499,53.9501,1104193.0
2019-01-20,53.6753,54.1716,53.2499,53.9501,1104193.0
2019-01-21,53.6753,54.1716,53.2499,53.9501,1104193.0
2019-01-22,53.6221,53.6664,52.4433,52.9663,950887.0
2019-01-23,53.1612,53.7108,52.009,52.6472,843604.0
2019-01-24,52.594,53.5069,52.3636,53.4803,1095053.0
2019-01-25,53.9323,54.4464,53.9058,54.0564,841816.0
2019-01-26,53.9323,54.4464,53.9058,54.0564,841816.0
2019-01-27,53.9323,54.4464,53.9058,54.0564,841816.0
2019-01-28,53.6133,53.9146,53.0638,53.8703,1036271.0
2019-01-29,54.0387,54.1628,53.4094,53.8171,1419950.0
2019-01-30,57.7346,60.1809,55.6961,57.779,3046512.0
2019-01-31,57.8853,57.8853,56.6533,57.1054,1708904.0
2019-02-01,57.0788,57.2427,55.9088,56.2811,1924183.0
2019-02-02,57.0788,57.2427,55.9088,56.2811,1924183.0
2019-02-03,57.0788,57.2427,55.9088,56.2811,1924183.0
2019-02-04,56.3963,57.0167,55.6784,56.9281,1308402.0
2019-02-05,57.0788,57.0965,56.0285,56.3786,1207294.0
2019-02-06,56.2811,56.7863,56.1924,56.4229,742988.0
2019-02-07,55.7493,56.5381,55.5454,55.8911,1074300.0
2019-02-08,55.377,56.2456,55.253,56.1924,713753.0
2019-02-09,55.377,56.2456,55.253,56.1924,713753.0
