,OGE US Equity,OGE US Equity,OGE US Equity,OGE US Equity,OGE US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,35.9078,36.1431,35.8267,36.0782,1138684.0
2020-01-02,36.1025,36.135,35.4941,35.7456,800519.0
2020-01-03,35.6807,35.8835,35.5833,35.7537,1160822.0
2020-01-04,35.6807,35.8835,35.5833,35.7537,1160822.0
2020-01-05,35.6807,35.8835,35.5833,35.7537,1160822.0
2020-01-06,35.705,35.808,35.4373,35.632,838907.0
2020-01-07,35.6239,35.7861,35.4048,35.7375,971208.0
2020-01-08,35.8024,35.851,35.5428,35.5914,1325954.0
2020-01-09,35.6467,35.8349,35.3766,35.7531,1380812.0
2020-01-10,35.8104,36.1951,35.7531,36.1869,1590915.0
2020-01-11,35.8104,36.1951,35.7531,36.1869,1590915.0
2020-01-12,35.8104,36.1951,35.7531,36.1869,1590915.0
2020-01-13,36.1705,36.6289,36.1705,36.5798,1087602.0
2020-01-14,36.5798,36.899,36.4693,36.8827,1417155.0
2020-01-15,37.0054,37.2428,36.8908,37.0955,1201206.0
2020-01-16,37.1528,37.3901,37.0955,37.3083,947279.0
2020-01-17,37.3083,37.4802,37.2019,37.3574,866863.0
2020-01-18,37.3083,37.4802,37.2019,37.3574,866863.0
2020-01-19,37.3083,37.4802,37.2019,37.3574,866863.0
2020-01-20,37.3083,37.4802,37.2019,37.3574,866863.0
2020-01-21,37.382,37.5129,37.1528,37.3165,993524.0
2020-01-22,37.4311,37.5047,37.1037,37.1691,1081731.0
2020-01-23,37.0955,37.5047,37.03,37.4965,981773.0
2020-01-24,37.4638,37.7257,37.0791,37.2592,1085445.0
2020-01-25,37.4638,37.7257,37.0791,37.2592,1085445.0
2020-01-26,37.4638,37.7257,37.0791,37.2592,1085445.0
2020-01-27,37.1364,37.4474,36.9399,37.2346,1234388.0
2020-01-28,37.3247,37.6275,37.3247,37.4802,673967.0
2020-01-29,37.5211,37.6275,37.3901,37.5129,978188.0
2020-01-30,37.5702,37.914,37.3738,37.8813,1317164.0
2020-01-31,37.7667,37.9222,37.4147,37.5293,1045445.0
2020-02-01,37.7667,37.9222,37.4147,37.5293,1045445.0
2020-02-02,37.7667,37.9222,37.4147,37.5293,1045445.0
2020-02-03,37.5948,37.7094,37.5129,37.5948,779778.0
2020-02-04,37.603,37.7421,37.4433,37.4474,937102.0
2020-02-05,37.4474,37.7789,37.3247,37.6439,1004544.0
2020-02-06,37.6275,37.8731,37.562,37.6602,937150.0
2020-02-07,37.693,37.7175,37.5129,37.6111,733436.0
2020-02-08,37.693,37.7175,37.5129,37.6111,733436.0
2020-02-09,37.693,37.7175,37.5129,37.6111,733436.0
2020-02-10,37.693,37.7912,37.5293,37.7585,813525.0
2020-02-11,37.8567,38.004,37.5538,37.6193,754025.0
2020-02-12,37.6848,37.7094,37.2919,37.5129,985085.0
2020-02-13,37.472,37.6357,37.2592,37.4638,959051.0
2020-02-14,37.5047,37.7585,37.3533,37.7503,1675998.0
2020-02-15,37.5047,37.7585,37.3533,37.7503,1675998.0
2020-02-16,37.5047,37.7585,37.3533,37.7503,1675998.0
2020-02-17,37.5047,37.7585,37.3533,37.7503,1675998.0
2020-02-18,37.7667,37.9999,37.603,37.6848,748492.0
