,USNA US Equity,USNA US Equity,USNA US Equity,USNA US Equity,USNA US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,116.02,118.18,115.39,117.73,102229.0
2019-01-02,117.0,117.74,115.58,116.55,83079.0
2019-01-03,115.97,116.6335,112.18,112.35,93588.0
2019-01-04,114.07,116.4,112.67,116.4,110961.0
2019-01-05,114.07,116.4,112.67,116.4,110961.0
2019-01-06,114.07,116.4,112.67,116.4,110961.0
2019-01-07,116.33,117.08,115.11,116.25,137696.0
2019-01-08,117.01,117.45,112.06,114.12,124777.0
2019-01-09,114.38,115.97,113.05,114.8,187541.0
2019-01-10,113.89,116.08,112.05,115.24,59001.0
2019-01-11,114.63,116.67,114.41,114.93,90437.0
2019-01-12,114.63,116.67,114.41,114.93,90437.0
2019-01-13,114.63,116.67,114.41,114.93,90437.0
2019-01-14,114.47,115.545,113.07,114.1,75943.0
2019-01-15,113.99,118.4,113.95,118.01,103690.0
2019-01-16,118.0,118.14,115.94,117.0,71595.0
2019-01-17,116.55,117.95,115.62,116.63,69000.0
2019-01-18,117.35,119.37,117.21,118.97,115544.0
2019-01-19,117.35,119.37,117.21,118.97,115544.0
2019-01-20,117.35,119.37,117.21,118.97,115544.0
2019-01-21,117.35,119.37,117.21,118.97,115544.0
2019-01-22,118.5,118.88,114.23,115.53,73219.0
2019-01-23,116.28,117.23,113.45,115.85,92366.0
2019-01-24,115.6,115.745,113.28,114.84,61697.0
2019-01-25,115.21,116.0398,114.28,114.45,64353.0
2019-01-26,115.21,116.0398,114.28,114.45,64353.0
2019-01-27,115.21,116.0398,114.28,114.45,64353.0
2019-01-28,113.68,115.41,113.26,114.64,104594.0
2019-01-29,114.64,116.66,113.73,115.46,114885.0
2019-01-30,115.68,116.22,114.58,114.91,104444.0
2019-01-31,114.62,118.57,114.0,117.1,155826.0
2019-02-01,116.94,117.1,113.84,114.21,157884.0
2019-02-02,116.94,117.1,113.84,114.21,157884.0
2019-02-03,116.94,117.1,113.84,114.21,157884.0
2019-02-04,114.22,117.05,113.665,116.06,136021.0
2019-02-05,116.65,119.19,116.65,117.19,106276.0
2019-02-06,104.51,106.96,100.22,102.81,518001.0
2019-02-07,101.54,106.13,100.7,103.75,212662.0
2019-02-08,103.14,108.8,103.14,108.51,162868.0
2019-02-09,103.14,108.8,103.14,108.51,162868.0
2019-02-10,103.14,108.8,103.14,108.51,162868.0
2019-02-11,108.51,112.39,108.255,110.6,193195.0
2019-02-12,111.52,113.63,110.9605,113.4,203926.0
2019-02-13,113.04,113.73,108.25,109.02,182191.0
2019-02-14,108.64,108.9,106.46,106.86,170837.0
2019-02-15,107.4,107.4,104.67,105.04,241105.0
2019-02-16,107.4,107.4,104.67,105.04,241105.0
2019-02-17,107.4,107.4,104.67,105.04,241105.0
2019-02-18,107.4,107.4,104.67,105.04,241105.0
2019-02-19,105.03,106.34,104.4,105.74,210920.0
2019-02-20,105.76,106.28,98.86,99.47,437388.0
2019-02-21,99.71,103.45,99.71,103.39,250599.0
2019-02-22,102.8,105.605,102.7,103.56,185138.0
2019-02-23,102.8,105.605,102.7,103.56,185138.0
2019-02-24,102.8,105.605,102.7,103.56,185138.0
2019-02-25,103.84,103.84,100.82,100.9,167578.0
2019-02-26,100.78,102.01,99.225,99.88,335814.0
2019-02-27,99.29,101.1452,97.84,98.32,248385.0
2019-02-28,98.15,100.53,98.15,98.5,307390.0
2019-03-01,98.72,99.46,96.74,98.09,287559.0
2019-03-02,98.72,99.46,96.74,98.09,287559.0
2019-03-03,98.72,99.46,96.74,98.09,287559.0
2019-03-04,98.32,101.04,98.32,99.82,286977.0
2019-03-05,99.66,100.2009,97.86,99.02,139013.0
2019-03-06,99.18,100.36,96.85,97.46,250139.0
2019-03-07,97.46,97.53,94.81,95.0,234548.0
2019-03-08,95.05,95.59,93.22,94.99,274462.0
2019-03-09,95.05,95.59,93.22,94.99,274462.0
2019-03-10,95.05,95.59,93.22,94.99,274462.0
2019-03-11,94.75,96.02,94.33,95.6,117393.0
2019-03-12,95.68,96.5445,93.67,93.95,159294.0
2019-03-13,93.94,94.65,93.055,94.0,212245.0
2019-03-14,93.77,94.385,92.1,92.38,185828.0
2019-03-15,92.41,93.635,91.44,92.02,269906.0
2019-03-16,92.41,93.635,91.44,92.02,269906.0
2019-03-17,92.41,93.635,91.44,92.02,269906.0
2019-03-18,92.0,92.545,89.75,91.31,248488.0
2019-03-19,91.27,92.625,90.08,91.41,158054.0
2019-03-20,91.24,91.69,85.89,87.24,454853.0
2019-03-21,87.2,89.85,86.43,88.4,206763.0
2019-03-22,88.09,89.11,85.78,86.2,175857.0
2019-03-23,88.09,89.11,85.78,86.2,175857.0
2019-03-24,88.09,89.11,85.78,86.2,175857.0
2019-03-25,85.87,87.52,84.34,86.94,161028.0
2019-03-26,85.73,88.6,85.61,86.68,177369.0
2019-03-27,86.13,86.61,83.89,84.13,153284.0
2019-03-28,84.16,85.32,83.05,83.3,184303.0
2019-03-29,83.6,84.2,83.0,83.87,153319.0
2019-03-30,83.6,84.2,83.0,83.87,153319.0
2019-03-31,83.6,84.2,83.0,83.87,153319.0
2019-04-01,84.0,84.7,83.295,84.48,155876.0
2019-04-02,84.68,85.0199,83.7,84.15,186461.0
2019-04-03,76.68,82.6,75.27,81.25,919189.0
2019-04-04,81.56,83.19,81.26,82.67,194041.0
2019-04-05,82.71,84.96,82.71,84.2,278191.0
2019-04-06,82.71,84.96,82.71,84.2,278191.0
2019-04-07,82.71,84.96,82.71,84.2,278191.0
2019-04-08,83.87,86.05,83.76,85.59,194687.0
2019-04-09,85.24,87.44,85.24,85.52,217523.0
2019-04-10,85.74,87.72,85.31,87.49,227972.0
2019-04-11,87.6,88.15,85.58,86.72,219834.0
2019-04-12,86.93,87.17,84.54,85.08,162993.0
2019-04-13,86.93,87.17,84.54,85.08,162993.0
2019-04-14,86.93,87.17,84.54,85.08,162993.0
2019-04-15,84.9,86.4501,84.5,84.72,185030.0
2019-04-16,85.12,85.97,82.75,84.38,179923.0
2019-04-17,84.33,84.33,82.0,83.32,198222.0
2019-04-18,83.19,83.4,81.7,82.36,129618.0
2019-04-19,83.19,83.4,81.7,82.36,129618.0
2019-04-20,83.19,83.4,81.7,82.36,129618.0
2019-04-21,83.19,83.4,81.7,82.36,129618.0
2019-04-22,82.31,82.31,80.26,81.79,106277.0
2019-04-23,81.81,83.45,81.2,82.39,135214.0
2019-04-24,82.49,83.07,81.39,81.62,138763.0
2019-04-25,81.46,82.24,80.66,80.85,115044.0
2019-04-26,80.89,83.21,80.74,82.92,104250.0
2019-04-27,80.89,83.21,80.74,82.92,104250.0
2019-04-28,80.89,83.21,80.74,82.92,104250.0
2019-04-29,83.06,83.99,82.21,83.52,148118.0
2019-04-30,83.98,85.29,83.3,83.46,242458.0
2019-05-01,86.5,93.43,86.01,91.34,635428.0
2019-05-02,91.58,92.5875,86.5,86.84,287635.0
2019-05-03,87.51,88.83,85.0,85.33,191493.0
2019-05-04,87.51,88.83,85.0,85.33,191493.0
2019-05-05,87.51,88.83,85.0,85.33,191493.0
2019-05-06,84.3,87.23,84.11,86.65,245024.0
2019-05-07,85.57,86.6292,84.2,85.65,242710.0
2019-05-08,85.55,86.14,84.9625,85.92,286598.0
2019-05-09,85.23,85.935,84.61,85.04,462778.0
2019-05-10,84.67,84.67,79.9,81.52,346314.0
2019-05-11,84.67,84.67,79.9,81.52,346314.0
2019-05-12,84.67,84.67,79.9,81.52,346314.0
2019-05-13,80.42,80.72,78.67,79.72,214036.0
2019-05-14,79.86,80.19,78.36,79.12,225548.0
2019-05-15,78.56,80.03,78.43,79.5,205623.0
2019-05-16,79.77,80.36,79.36,79.54,174414.0
2019-05-17,79.22,80.12,75.4,75.53,507111.0
2019-05-18,79.22,80.12,75.4,75.53,507111.0
2019-05-19,79.22,80.12,75.4,75.53,507111.0
2019-05-20,75.15,77.05,75.09,75.79,154388.0
2019-05-21,76.26,77.09,75.58,75.78,274653.0
2019-05-22,75.78,76.4,75.11,75.63,268732.0
2019-05-23,75.15,76.04,73.38,73.7,179236.0
2019-05-24,73.9,75.06,73.385,73.92,245050.0
2019-05-25,73.9,75.06,73.385,73.92,245050.0
2019-05-26,73.9,75.06,73.385,73.92,245050.0
2019-05-27,73.9,75.06,73.385,73.92,245050.0
2019-05-28,73.78,74.98,72.8,72.84,210853.0
2019-05-29,72.22,74.2487,71.53,73.3,376879.0
2019-05-30,73.09,74.22,71.94,72.75,183879.0
2019-05-31,72.19,72.38,69.58,70.78,276303.0
2019-06-01,72.19,72.38,69.58,70.78,276303.0
2019-06-02,72.19,72.38,69.58,70.78,276303.0
2019-06-03,70.47,73.96,70.1016,73.22,232246.0
2019-06-04,73.58,76.23,73.49,75.5,265557.0
2019-06-05,75.97,76.3,74.22,74.62,352826.0
2019-06-06,74.62,75.33,73.72,74.49,303896.0
2019-06-07,74.9,76.0,73.82,74.08,170354.0
2019-06-08,74.9,76.0,73.82,74.08,170354.0
2019-06-09,74.9,76.0,73.82,74.08,170354.0
2019-06-10,74.11,75.505,74.11,75.03,139783.0
2019-06-11,75.65,76.91,75.09,75.47,170427.0
2019-06-12,75.3,76.56,72.35,73.72,157247.0
2019-06-13,73.73,74.8,72.86,73.88,218315.0
2019-06-14,74.19,75.12,73.475,74.45,109728.0
2019-06-15,74.19,75.12,73.475,74.45,109728.0
2019-06-16,74.19,75.12,73.475,74.45,109728.0
2019-06-17,74.32,74.82,71.84,72.28,117959.0
2019-06-18,72.78,74.88,72.025,74.46,154883.0
2019-06-19,74.28,74.465,71.35,72.03,215943.0
2019-06-20,72.52,72.88,71.61,71.65,105885.0
2019-06-21,71.48,73.59,70.02,72.95,206651.0
2019-06-22,71.48,73.59,70.02,72.95,206651.0
2019-06-23,71.48,73.59,70.02,72.95,206651.0
2019-06-24,72.96,74.37,72.16,72.34,129353.0
2019-06-25,77.65,81.19,76.7805,77.82,1064089.0
2019-06-26,77.83,78.86,76.34,77.36,586926.0
2019-06-27,77.09,77.61,75.21,76.68,580445.0
2019-06-28,76.83,80.5,76.31,79.43,2963941.0
2019-06-29,76.83,80.5,76.31,79.43,2963941.0
2019-06-30,76.83,80.5,76.31,79.43,2963941.0
2019-07-01,79.95,80.51,75.93,76.74,736348.0
2019-07-02,76.83,78.4998,76.14,76.72,265012.0
2019-07-03,63.39,64.99,61.26,61.8,1988413.0
2019-07-04,63.39,64.99,61.26,61.8,1988413.0
2019-07-05,61.85,62.95,61.31,61.53,674321.0
2019-07-06,61.85,62.95,61.31,61.53,674321.0
2019-07-07,61.85,62.95,61.31,61.53,674321.0
2019-07-08,61.6,62.98,60.96,62.03,471634.0
2019-07-09,61.67,62.31,59.75,60.03,508200.0
2019-07-10,59.92,60.97,59.92,60.68,303531.0
2019-07-11,60.83,60.83,58.3,58.92,355018.0
2019-07-12,58.91,60.08,58.7238,59.73,264908.0
2019-07-13,58.91,60.08,58.7238,59.73,264908.0
2019-07-14,58.91,60.08,58.7238,59.73,264908.0
2019-07-15,59.71,60.08,58.7,59.46,240467.0
2019-07-16,59.46,62.71,59.44,61.95,363814.0
2019-07-17,60.96,62.45,59.175,60.51,420343.0
2019-07-18,60.37,63.2,60.21,62.62,341587.0
2019-07-19,62.63,64.31,62.58,62.65,261130.0
2019-07-20,62.63,64.31,62.58,62.65,261130.0
2019-07-21,62.63,64.31,62.58,62.65,261130.0
2019-07-22,62.81,63.02,61.61,62.82,188077.0
2019-07-23,62.75,64.7,62.59,63.05,306686.0
2019-07-24,62.75,65.48,60.45,63.0,492882.0
2019-07-25,63.75,66.31,63.2038,65.45,342913.0
2019-07-26,65.54,67.88,65.41,66.68,385616.0
2019-07-27,65.54,67.88,65.41,66.68,385616.0
2019-07-28,65.54,67.88,65.41,66.68,385616.0
2019-07-29,66.47,67.5,65.49,67.02,305056.0
2019-07-30,66.92,69.8864,66.92,69.18,396946.0
2019-07-31,69.04,70.65,67.27,68.05,373235.0
