,WM US Equity,WM US Equity,WM US Equity,WM US Equity,WM US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,105.7717,106.1996,105.2945,106.0229,1248587.0
2020-01-02,106.1438,106.2648,104.6646,106.2648,2071652.0
2020-01-03,105.2693,107.4277,105.2228,107.2975,1424903.0
2020-01-04,105.2693,107.4277,105.2228,107.2975,1424903.0
2020-01-05,105.2693,107.4277,105.2228,107.2975,1424903.0
2020-01-06,106.6183,107.8743,106.5346,107.8557,1840720.0
2020-01-07,107.4835,108.1069,106.8788,107.9301,2325695.0
2020-01-08,108.0138,108.3674,107.6231,107.9952,1824585.0
2020-01-09,108.0883,108.9628,107.958,108.0417,1634190.0
2020-01-10,108.1999,108.4377,107.7347,108.1069,1289590.0
2020-01-11,108.1999,108.4377,107.7347,108.1069,1289590.0
2020-01-12,108.1999,108.4377,107.7347,108.1069,1289590.0
2020-01-13,108.3488,109.7815,108.2464,109.4652,1341141.0
2020-01-14,109.4838,110.0792,109.1861,109.8466,1625209.0
2020-01-15,109.9769,110.856,109.6419,109.9862,1273011.0
2020-01-16,110.442,111.4189,110.2746,111.1677,1725955.0
2020-01-17,111.3817,111.8376,111.1026,111.3166,1988018.0
2020-01-18,111.3817,111.8376,111.1026,111.3166,1988018.0
2020-01-19,111.3817,111.8376,111.1026,111.3166,1988018.0
2020-01-20,111.3817,111.8376,111.1026,111.3166,1988018.0
2020-01-21,111.0468,112.1353,110.963,112.0236,1642197.0
2020-01-22,112.3865,112.847,111.8655,111.9399,1378247.0
2020-01-23,111.8469,112.7121,111.2514,112.7028,1740849.0
2020-01-24,112.8703,113.4378,112.0888,112.5725,1052962.0
2020-01-25,112.8703,113.4378,112.0888,112.5725,1052962.0
2020-01-26,112.8703,113.4378,112.0888,112.5725,1052962.0
2020-01-27,111.8934,112.8639,111.484,112.7493,1191235.0
2020-01-28,112.8144,113.382,112.1446,112.6191,1395807.0
2020-01-29,112.8517,113.3726,112.3958,113.0098,1641411.0
2020-01-30,112.6191,114.2844,112.1818,114.21,1155811.0
2020-01-31,113.9309,114.6193,112.6563,113.2238,1657741.0
2020-02-01,113.9309,114.6193,112.6563,113.2238,1657741.0
2020-02-02,113.9309,114.6193,112.6563,113.2238,1657741.0
2020-02-03,113.6518,114.6426,113.5866,114.1448,1246512.0
2020-02-04,114.7217,115.1471,114.2379,114.303,1145299.0
2020-02-05,114.3216,115.1217,113.9309,115.0008,1601300.0
2020-02-06,114.7403,115.4939,114.6286,115.1217,1171735.0
2020-02-07,115.4845,115.7078,115.0194,115.2799,1292500.0
2020-02-08,115.4845,115.7078,115.0194,115.2799,1292500.0
2020-02-09,115.4845,115.7078,115.0194,115.2799,1292500.0
2020-02-10,115.5869,116.5638,115.4659,116.3312,1233957.0
2020-02-11,116.6568,116.7312,116.0614,116.2753,1504743.0
2020-02-12,115.8753,116.8894,114.6937,116.8615,2028451.0
2020-02-13,116.294,116.4893,114.3495,115.5776,2107125.0
2020-02-14,115.9218,116.9917,115.3729,116.9917,1299951.0
2020-02-15,115.9218,116.9917,115.3729,116.9917,1299951.0
2020-02-16,115.9218,116.9917,115.3729,116.9917,1299951.0
2020-02-17,115.9218,116.9917,115.3729,116.9917,1299951.0
2020-02-18,116.9824,117.6523,116.5451,117.429,2094260.0
2020-02-19,117.4569,117.9593,116.4986,116.5079,1431842.0
2020-02-20,116.0521,116.5545,114.61,115.4101,2352774.0
2020-02-21,115.3264,116.1544,115.0566,115.8846,2057994.0
2020-02-22,115.3264,116.1544,115.0566,115.8846,2057994.0
2020-02-23,115.3264,116.1544,115.0566,115.8846,2057994.0
2020-02-24,113.4285,115.9032,113.187,115.3543,2324925.0
2020-02-25,115.7171,117.001,113.3168,113.4564,3080322.0
2020-02-26,113.1401,114.7589,112.4888,112.5074,2695171.0
2020-02-27,111.8376,112.8144,105.6135,105.7066,4280291.0
2020-02-28,103.39,104.1798,99.1848,103.0923,6445291.0
2020-02-29,103.39,104.1798,99.1848,103.0923,6445291.0
2020-03-01,103.39,104.1798,99.1848,103.0923,6445291.0
2020-03-02,104.0505,109.0372,104.0319,108.8791,4006632.0
2020-03-03,109.3907,110.7211,104.5157,104.8599,4321545.0
2020-03-04,108.8325,112.1539,108.0324,111.912,3474838.0
2020-03-05,110.2438,112.2418,109.169,110.0101,3226230.0
2020-03-06,106.9447,109.9167,106.5709,109.4681,2701830.0
2020-03-07,106.9447,109.9167,106.5709,109.4681,2701830.0
2020-03-08,106.9447,109.9167,106.5709,109.4681,2701830.0
2020-03-09,102.954,107.7484,102.1222,104.7391,3516282.0
2020-03-10,106.9447,107.6363,102.2157,106.0382,4783362.0
2020-03-11,103.3092,106.2625,101.6269,102.7764,2750986.0
2020-03-12,96.2157,97.5708,91.253,91.3465,5118724.0
2020-03-13,94.496,98.4306,90.9913,98.4306,5971363.0
2020-03-14,94.496,98.4306,90.9913,98.4306,5971363.0
2020-03-15,94.496,98.4306,90.9913,98.4306,5971363.0
2020-03-16,84.1128,98.7764,79.9071,93.3558,5166046.0
2020-03-17,94.1315,103.5988,94.1315,101.8045,5104314.0
2020-03-18,95.9353,99.0568,92.3932,95.7577,4560197.0
2020-03-19,95.197,95.9259,91.51,93.3184,4052497.0
2020-03-20,93.5521,93.9726,90.2904,91.8792,6880206.0
2020-03-21,93.5521,93.9726,90.2904,91.8792,6880206.0
2020-03-22,93.5521,93.9726,90.2904,91.8792,6880206.0
2020-03-23,92.2343,92.9913,81.3838,82.1221,6777364.0
2020-03-24,85.2249,87.4492,84.1128,86.0474,4782880.0
2020-03-25,85.8511,87.5707,79.7576,84.9913,6434487.0
2020-03-26,84.9539,91.7951,84.8137,91.2904,5057208.0
