,GNRC US Equity,GNRC US Equity,GNRC US Equity,GNRC US Equity,GNRC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,49.3,49.89,48.9001,49.7,322330.0
2019-01-02,48.74,51.2,48.42,50.99,434554.0
2019-01-03,50.81,50.95,49.1,49.15,282271.0
2019-01-04,50.12,51.44,49.4,51.14,291929.0
2019-01-05,50.12,51.44,49.4,51.14,291929.0
2019-01-06,50.12,51.44,49.4,51.14,291929.0
2019-01-07,51.42,51.97,50.76,51.07,358735.0
2019-01-08,51.72,52.0,50.79,51.97,360820.0
2019-01-09,52.65,53.06,52.01,52.77,258944.0
2019-01-10,52.48,53.39,52.38,53.26,176343.0
2019-01-11,52.77,53.69,52.72,53.54,140396.0
2019-01-12,52.77,53.69,52.72,53.54,140396.0
2019-01-13,52.77,53.69,52.72,53.54,140396.0
2019-01-14,53.2,53.7,52.605,52.89,253570.0
2019-01-15,52.95,53.62,52.855,53.44,249647.0
2019-01-16,53.42,54.36,53.2,53.57,384112.0
2019-01-17,53.29,54.66,53.145,54.13,378290.0
2019-01-18,54.62,54.98,54.08,54.74,513877.0
2019-01-19,54.62,54.98,54.08,54.74,513877.0
2019-01-20,54.62,54.98,54.08,54.74,513877.0
2019-01-21,54.62,54.98,54.08,54.74,513877.0
2019-01-22,54.27,54.62,53.52,54.08,433820.0
2019-01-23,54.25,54.59,52.29,52.85,330606.0
2019-01-24,52.79,53.76,52.15,53.46,209021.0
2019-01-25,53.96,54.22,53.5005,53.62,293217.0
2019-01-26,53.96,54.22,53.5005,53.62,293217.0
2019-01-27,53.96,54.22,53.5005,53.62,293217.0
2019-01-28,53.05,53.88,52.89,53.07,426001.0
2019-01-29,53.16,53.62,52.71,52.75,347444.0
2019-01-30,53.1,53.1,51.96,52.94,378676.0
2019-01-31,52.93,53.23,52.77,52.93,322339.0
2019-02-01,52.93,53.85,52.525,52.98,344680.0
2019-02-02,52.93,53.85,52.525,52.98,344680.0
2019-02-03,52.93,53.85,52.525,52.98,344680.0
2019-02-04,52.94,53.21,51.96,52.79,354776.0
2019-02-05,53.28,53.56,52.79,52.83,273890.0
2019-02-06,52.15,52.38,50.23,50.78,600813.0
2019-02-07,50.25,51.05,49.36,49.81,534968.0
2019-02-08,49.45,50.0,49.145,49.99,401471.0
