,ANF US Equity,ANF US Equity,ANF US Equity,ANF US Equity,ANF US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,18.4176,18.8884,18.4176,18.879,2660389.0
2019-01-02,18.4929,19.604,18.2952,19.4345,2336118.0
2019-01-03,19.1709,19.2462,18.5683,18.6153,2196883.0
2019-01-04,18.992,19.1379,18.6718,18.8037,1964148.0
2019-01-05,18.992,19.1379,18.6718,18.8037,1964148.0
2019-01-06,18.992,19.1379,18.6718,18.8037,1964148.0
2019-01-07,18.9072,20.2631,18.8601,19.6982,3272013.0
2019-01-08,20.1219,20.2066,19.1615,19.717,2074118.0
2019-01-09,19.8394,20.2914,19.5475,19.7641,2842209.0
2019-01-10,18.3799,18.4364,17.4478,18.1351,3778320.0
2019-01-11,18.201,19.1332,18.1257,18.9355,2039661.0
2019-01-12,18.201,19.1332,18.1257,18.9355,2039661.0
2019-01-13,18.201,19.1332,18.1257,18.9355,2039661.0
2019-01-14,18.6342,19.604,17.9562,18.041,3550240.0
2019-01-15,17.9845,18.2858,17.8338,18.041,1820191.0
2019-01-16,18.0504,18.6436,17.9845,18.2481,1931140.0
2019-01-17,18.1916,18.8601,18.1728,18.6059,1709627.0
2019-01-18,18.7001,19.5287,18.54,19.5098,1775312.0
2019-01-19,18.7001,19.5287,18.54,19.5098,1775312.0
2019-01-20,18.7001,19.5287,18.54,19.5098,1775312.0
2019-01-21,18.7001,19.5287,18.54,19.5098,1775312.0
2019-01-22,19.4439,19.6793,18.8225,18.8978,1783345.0
2019-01-23,19.0202,19.1709,18.5306,18.9072,1624215.0
2019-01-24,18.9166,19.2368,18.7283,19.1991,1426139.0
2019-01-25,19.2933,20.0371,19.1615,20.0277,1866593.0
2019-01-26,19.2933,20.0371,19.1615,20.0277,1866593.0
2019-01-27,19.2933,20.0371,19.1615,20.0277,1866593.0
2019-01-28,19.8582,20.442,19.7735,20.2443,1771222.0
2019-01-29,19.9806,20.0277,19.6134,19.9901,1585103.0
2019-01-30,20.2914,20.3855,19.8112,20.329,1486496.0
2019-01-31,20.1595,20.4985,20.0936,20.4044,1598107.0
2019-02-01,20.5268,20.5389,19.7829,20.1219,1557081.0
2019-02-02,20.5268,20.5389,19.7829,20.1219,1557081.0
2019-02-03,20.5268,20.5389,19.7829,20.1219,1557081.0
2019-02-04,20.1878,20.7151,19.9053,20.6398,1072125.0
2019-02-05,20.7151,21.1011,20.5456,20.9411,1300275.0
2019-02-06,20.9976,21.1482,20.5079,20.5644,879258.0
2019-02-07,20.4797,20.7904,20.2725,20.6303,1609034.0
2019-02-08,20.4891,20.894,20.4703,20.5927,1065490.0
2019-02-09,20.4891,20.894,20.4703,20.5927,1065490.0
2019-02-10,20.4891,20.894,20.4703,20.5927,1065490.0
2019-02-11,20.668,20.9787,20.442,20.8281,1211458.0
2019-02-12,20.8092,21.346,20.668,20.6963,1347262.0
2019-02-13,20.7151,20.8281,19.9147,20.2066,1554793.0
2019-02-14,19.8394,20.1031,19.5475,19.7829,2006017.0
2019-02-15,19.8959,20.0654,19.6511,19.6982,1667135.0
2019-02-16,19.8959,20.0654,19.6511,19.6982,1667135.0
2019-02-17,19.8959,20.0654,19.6511,19.6982,1667135.0
2019-02-18,19.8959,20.0654,19.6511,19.6982,1667135.0
2019-02-19,19.6417,19.8112,19.1144,19.4816,1533851.0
2019-02-20,19.3874,19.7264,19.1803,19.3309,1370819.0
2019-02-21,19.3027,19.5569,18.7754,18.8601,1709579.0
2019-02-22,19.0861,19.491,18.7848,19.4251,1545876.0
2019-02-23,19.0861,19.491,18.7848,19.4251,1545876.0
2019-02-24,19.0861,19.491,18.7848,19.4251,1545876.0
2019-02-25,19.5287,20.282,19.5287,20.0371,3032819.0
2019-02-26,20.0371,20.263,19.7311,19.7547,1625105.0
2019-02-27,19.7452,20.4985,19.5588,20.3949,2115213.0
2019-02-28,20.3573,20.8469,20.0718,20.668,1784090.0
2019-03-01,21.28,21.4213,20.7151,21.0917,3270257.0
2019-03-02,21.28,21.4213,20.7151,21.0917,3270257.0
2019-03-03,21.28,21.4213,20.7151,21.0917,3270257.0
2019-03-04,21.0729,21.1576,20.169,20.329,2266550.0
2019-03-05,20.329,20.4891,19.8865,20.1031,3749380.0
2019-03-06,22.7489,25.037,22.5512,24.199,20632291.0
2019-03-07,24.4362,25.148,24.0472,24.4457,6174979.0
2019-03-08,24.3888,24.6545,23.9617,24.3224,3250024.0
2019-03-09,24.3888,24.6545,23.9617,24.3224,3250024.0
2019-03-10,24.3888,24.6545,23.9617,24.3224,3250024.0
2019-03-11,24.5501,25.3852,24.3318,25.2808,4203301.0
2019-03-12,25.0056,25.5228,24.9474,25.3473,2313058.0
2019-03-13,25.4422,25.7174,25.3235,25.3662,2302819.0
2019-03-14,25.3188,25.3947,24.6545,25.1005,2044029.0
2019-03-15,25.091,25.3093,24.7209,25.0436,1819574.0
2019-03-16,25.091,25.3093,24.7209,25.0436,1819574.0
2019-03-17,25.091,25.3093,24.7209,25.0436,1819574.0
2019-03-18,25.1005,25.2903,24.7019,24.9487,1841516.0
2019-03-19,24.9772,25.0151,24.5881,24.683,1380757.0
2019-03-20,24.7874,24.8443,24.0092,24.1895,1832358.0
2019-03-21,24.0946,24.3888,23.9902,24.1041,973575.0
2019-03-22,24.0661,24.2939,23.3544,23.4018,2346362.0
2019-03-23,24.0661,24.2939,23.3544,23.4018,2346362.0
2019-03-24,24.0661,24.2939,23.3544,23.4018,2346362.0
2019-03-25,23.3259,24.4552,23.1836,23.5822,3748697.0
2019-03-26,23.5632,24.5216,23.4967,24.0472,2374660.0
2019-03-27,24.0851,25.0436,23.9617,24.9297,2724696.0
2019-03-28,25.1859,25.4706,24.8538,25.4516,1509100.0
2019-03-29,25.4896,26.1207,25.3218,26.0115,2273339.0
2019-03-30,25.4896,26.1207,25.3218,26.0115,2273339.0
2019-03-31,25.4896,26.1207,25.3218,26.0115,2273339.0
2019-04-01,26.1064,26.1444,25.2334,25.8787,2698504.0
2019-04-02,25.6984,25.6984,25.1385,25.3473,2106064.0
2019-04-03,25.4042,25.7174,24.8206,24.9012,2106756.0
2019-04-04,24.7968,25.3235,24.4932,25.2808,2153954.0
2019-04-05,25.2334,25.3947,24.4837,24.5596,2836839.0
2019-04-06,25.2334,25.3947,24.4837,24.5596,2836839.0
2019-04-07,25.2334,25.3947,24.4837,24.5596,2836839.0
2019-04-08,24.5406,24.75,23.7625,23.8099,1866876.0
2019-04-09,23.6296,23.8194,23.4303,23.4778,1583089.0
2019-04-10,23.5537,24.3224,23.5537,24.199,2216610.0
