,AWI US Equity,AWI US Equity,AWI US Equity,AWI US Equity,AWI US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,54.8112,54.9528,54.0467,54.9433,302878.0
2019-01-02,54.1599,56.6895,54.1599,56.4724,529326.0
2019-01-03,56.0477,56.6329,55.0283,56.0666,631925.0
2019-01-04,57.388,59.7099,57.0671,59.3041,859066.0
2019-01-05,57.388,59.7099,57.0671,59.3041,859066.0
2019-01-06,57.388,59.7099,57.0671,59.3041,859066.0
2019-01-07,59.323,60.4084,58.8133,59.6911,486793.0
2019-01-08,60.2668,60.7671,59.6061,60.7482,368483.0
2019-01-09,61.0503,61.6355,60.3801,60.8992,598025.0
2019-01-10,60.8332,61.1824,60.2952,61.1635,174895.0
2019-01-11,60.8332,61.324,60.2008,60.8049,337784.0
2019-01-12,60.8332,61.324,60.2008,60.8049,337784.0
2019-01-13,60.8332,61.324,60.2008,60.8049,337784.0
2019-01-14,60.5028,61.4278,60.3754,61.0219,464128.0
2019-01-15,60.8426,61.076,59.8043,60.3329,237574.0
2019-01-16,60.163,61.0408,59.5023,59.5023,203425.0
2019-01-17,59.1531,60.7105,59.0587,60.5028,229863.0
2019-01-18,61.0691,61.7582,60.6444,61.2674,230720.0
2019-01-19,61.0691,61.7582,60.6444,61.2674,230720.0
2019-01-20,61.0691,61.7582,60.6444,61.2674,230720.0
2019-01-21,61.0691,61.7582,60.6444,61.2674,230720.0
2019-01-22,60.7671,61.5222,59.9837,61.475,493712.0
2019-01-23,61.9186,62.4378,60.5406,60.9653,342468.0
2019-01-24,60.8237,61.7487,60.6955,61.626,176222.0
2019-01-25,62.249,63.1929,61.9469,62.3528,236452.0
2019-01-26,62.249,63.1929,61.9469,62.3528,236452.0
2019-01-27,62.249,63.1929,61.9469,62.3528,236452.0
2019-01-28,61.8526,62.8861,61.7299,62.6549,402059.0
2019-01-29,62.7587,63.1362,62.4095,62.9191,228398.0
2019-01-30,63.1362,63.174,62.1263,62.8248,281177.0
2019-01-31,62.7304,64.5615,62.6358,64.2217,366321.0
2019-02-01,64.2028,65.0995,64.1084,64.6559,181421.0
2019-02-02,64.2028,65.0995,64.1084,64.6559,181421.0
2019-02-03,64.2028,65.0995,64.1084,64.6559,181421.0
2019-02-04,64.7314,65.4676,64.1273,64.9296,208871.0
2019-02-05,65.024,65.5054,64.2217,64.3161,256437.0
2019-02-06,64.3538,64.6559,63.8442,64.1084,213146.0
2019-02-07,64.099,64.4907,63.4005,63.8536,290210.0
2019-02-08,63.6176,64.2028,63.2495,64.1368,135011.0
2019-02-09,63.6176,64.2028,63.2495,64.1368,135011.0
2019-02-10,63.6176,64.2028,63.2495,64.1368,135011.0
2019-02-11,64.0235,64.335,63.6837,63.797,280447.0
2019-02-12,64.3822,65.0806,64.1839,65.0429,562524.0
2019-02-13,65.2222,65.7083,64.8824,65.4676,590787.0
2019-02-14,65.0712,65.8735,64.722,64.7692,336538.0
2019-02-15,65.2033,66.185,64.9768,65.8074,313916.0
2019-02-16,65.2033,66.185,64.9768,65.8074,313916.0
2019-02-17,65.2033,66.185,64.9768,65.8074,313916.0
2019-02-18,65.2033,66.185,64.9768,65.8074,313916.0
2019-02-19,65.6375,66.2699,65.6281,65.9773,369732.0
2019-02-20,65.8074,65.9254,65.3072,65.7036,304439.0
2019-02-21,65.411,67.4687,65.0995,67.3554,712074.0
2019-02-22,67.3743,69.0166,66.9778,68.9977,875702.0
2019-02-23,67.3743,69.0166,66.9778,68.9977,875702.0
2019-02-24,67.3743,69.0166,66.9778,68.9977,875702.0
2019-02-25,68.0727,71.4235,66.8174,69.6207,1160715.0
2019-02-26,69.8944,70.6779,69.5169,70.1493,495802.0
2019-02-27,70.1021,71.1026,69.9765,70.961,689090.0
2019-02-28,70.1965,70.8949,68.9411,69.0733,840134.0
2019-03-01,69.885,70.003,68.7618,69.7623,779436.0
2019-03-02,69.885,70.003,68.7618,69.7623,779436.0
2019-03-03,69.885,70.003,68.7618,69.7623,779436.0
2019-03-04,68.8871,71.541,68.8871,70.9118,668989.0
2019-03-05,71.0443,71.1105,69.5021,69.54,300023.0
2019-03-06,69.5967,70.1928,68.9061,69.0101,307127.0
2019-03-07,69.2561,69.6251,68.2249,69.2845,519369.0
2019-03-08,68.9155,69.5494,68.7329,69.4832,343476.0
2019-03-09,68.9155,69.5494,68.7329,69.4832,343476.0
2019-03-10,68.9155,69.5494,68.7329,69.4832,343476.0
2019-03-11,69.7481,70.3631,69.6084,70.0036,818489.0
2019-03-12,70.013,70.3158,69.4264,69.6157,290486.0
2019-03-13,69.9184,70.0225,69.1899,69.5116,270686.0
2019-03-14,69.0291,69.4264,68.3857,68.5844,311423.0
2019-03-15,68.6601,69.0858,68.3005,68.3479,566249.0
2019-03-16,68.6601,69.0858,68.3005,68.3479,566249.0
2019-03-17,68.6601,69.0858,68.3005,68.3479,566249.0
2019-03-18,68.7925,69.54,68.556,69.3318,327777.0
2019-03-19,69.4359,70.4577,69.1331,70.4577,1020191.0
2019-03-20,70.4956,71.0821,69.9326,70.6185,732171.0
2019-03-21,70.4956,72.4209,70.4956,72.104,508688.0
2019-03-22,71.7255,72.1134,70.8929,71.2241,723049.0
2019-03-23,71.7255,72.1134,70.8929,71.2241,723049.0
2019-03-24,71.7255,72.1134,70.8929,71.2241,723049.0
2019-03-25,71.0065,71.8012,70.8172,70.9402,547259.0
2019-03-26,71.243,71.4606,70.6138,71.3092,311173.0
2019-03-27,71.2335,72.1323,71.0632,71.8201,436021.0
2019-03-28,72.0283,73.7691,72.0283,73.6934,558394.0
2019-03-29,74.053,75.2451,73.9584,75.141,825044.0
2019-03-30,74.053,75.2451,73.9584,75.141,825044.0
2019-03-31,74.053,75.2451,73.9584,75.141,825044.0
2019-04-01,75.5857,76.8062,75.4722,76.7967,1025846.0
2019-04-02,76.7021,76.9859,76.352,76.7589,1175144.0
2019-04-03,77.2982,78.1781,76.967,77.8185,758875.0
2019-04-04,78.1118,78.7079,77.6482,78.1118,1216204.0
2019-04-05,78.1118,79.3606,78.1118,79.285,418704.0
2019-04-06,78.1118,79.3606,78.1118,79.285,418704.0
2019-04-07,78.1118,79.3606,78.1118,79.285,418704.0
2019-04-08,79.2377,79.7959,78.7174,79.7959,808948.0
2019-04-09,79.3134,79.7959,79.0106,79.4459,733583.0
2019-04-10,79.4269,80.0514,79.1384,79.7675,777671.0
2019-04-11,79.6919,79.8397,78.916,79.4648,501491.0
2019-04-12,79.5499,79.7108,78.7741,79.3702,466379.0
2019-04-13,79.5499,79.7108,78.7741,79.3702,466379.0
2019-04-14,79.5499,79.7108,78.7741,79.3702,466379.0
2019-04-15,79.3134,80.6947,79.0863,80.6096,360818.0
2019-04-16,80.7799,81.7071,80.4298,81.6976,473157.0
2019-04-17,81.8679,82.0666,81.1915,81.3286,464172.0
2019-04-18,81.6314,82.2085,81.3003,82.1045,564546.0
2019-04-19,81.6314,82.2085,81.3003,82.1045,564546.0
2019-04-20,81.6314,82.2085,81.3003,82.1045,564546.0
2019-04-21,81.6314,82.2085,81.3003,82.1045,564546.0
2019-04-22,81.7449,82.4924,81.253,82.1991,526533.0
2019-04-23,82.2937,83.7886,82.0288,83.694,579835.0
2019-04-24,83.5142,84.1386,83.3344,83.8548,350512.0
2019-04-25,83.4953,83.9589,82.6059,83.3439,550803.0
2019-04-26,83.3155,83.6466,82.9087,83.0127,653322.0
2019-04-27,83.3155,83.6466,82.9087,83.0127,653322.0
2019-04-28,83.3155,83.6466,82.9087,83.0127,653322.0
2019-04-29,82.9087,82.9087,78.935,82.4545,1946159.0
2019-04-30,81.8396,82.1329,80.6096,82.0004,686754.0
2019-05-01,81.972,82.8897,81.5557,81.603,658223.0
2019-05-02,81.5936,82.7384,81.2624,82.7194,530741.0
2019-05-03,82.8141,84.6211,82.8141,84.4319,625252.0
2019-05-04,82.8141,84.6211,82.8141,84.4319,625252.0
2019-05-05,82.8141,84.6211,82.8141,84.4319,625252.0
2019-05-06,83.0222,84.6212,82.587,83.9778,373241.0
2019-05-07,83.2871,84.2049,82.6627,83.2871,274522.0
2019-05-08,83.2255,83.6237,82.4292,82.5145,284657.0
2019-05-09,81.9173,82.8273,81.8225,82.742,422063.0
2019-05-10,82.5714,83.6237,81.5096,83.1402,512770.0
2019-05-11,82.5714,83.6237,81.5096,83.1402,512770.0
2019-05-12,82.5714,83.6237,81.5096,83.1402,512770.0
2019-05-13,81.8983,82.1922,80.7607,81.339,364674.0
2019-05-14,81.6329,82.979,81.5665,82.4766,467393.0
2019-05-15,82.1163,83.7564,81.8414,83.4435,287379.0
2019-05-16,83.5952,84.4674,83.5289,83.8891,219707.0
2019-05-17,83.3677,84.4816,83.3061,83.3772,183260.0
2019-05-18,83.3677,84.4816,83.3061,83.3772,183260.0
2019-05-19,83.3677,84.4816,83.3061,83.3772,183260.0
2019-05-20,82.998,83.7753,82.7136,83.2065,289336.0
2019-05-21,83.7185,84.9698,83.4815,84.5148,318757.0
2019-05-22,83.9081,84.4052,83.3867,83.5573,255577.0
2019-05-23,82.8747,83.709,82.3486,82.5998,428991.0
2019-05-24,82.9411,84.5242,82.9411,84.4484,245487.0
2019-05-25,82.9411,84.5242,82.9411,84.4484,245487.0
2019-05-26,82.9411,84.5242,82.9411,84.4484,245487.0
2019-05-27,82.9411,84.5242,82.9411,84.4484,245487.0
2019-05-28,84.5622,85.0836,83.2729,83.4056,305776.0
2019-05-29,83.0549,83.2776,82.05,82.2775,382003.0
2019-05-30,82.6662,84.5432,82.6662,84.4864,433812.0
2019-05-31,83.5952,84.8371,83.3677,84.0882,777141.0
2019-06-01,83.5952,84.8371,83.3677,84.0882,777141.0
2019-06-02,83.5952,84.8371,83.3677,84.0882,777141.0
2019-06-03,84.5053,86.7047,84.3347,85.6903,489524.0
2019-06-04,86.335,87.9276,86.1169,87.8802,604994.0
2019-06-05,88.2025,88.7619,87.7118,88.1741,357708.0
2019-06-06,88.7619,89.9183,88.3163,89.7762,234939.0
2019-06-07,90.0606,90.6768,89.5108,89.9753,236261.0
2019-06-08,90.0606,90.6768,89.5108,89.9753,236261.0
2019-06-09,90.0606,90.6768,89.5108,89.9753,236261.0
2019-06-10,90.383,92.0988,90.383,91.5016,264153.0
2019-06-11,92.1652,92.3643,89.6625,90.0322,383622.0
2019-06-12,90.127,90.7811,89.7383,89.9658,340766.0
2019-06-13,90.4872,90.5726,89.8521,90.2123,493978.0
2019-06-14,90.1934,90.5157,89.8568,90.0986,459288.0
2019-06-15,90.1934,90.5157,89.8568,90.0986,459288.0
2019-06-16,90.1934,90.5157,89.8568,90.0986,459288.0
2019-06-17,90.2028,90.4256,88.7239,88.8282,513285.0
2019-06-18,90.0132,92.2031,89.2359,91.9092,507666.0
2019-06-19,92.6487,92.6487,90.4967,92.0799,407272.0
2019-06-20,92.9236,93.7673,92.2126,93.0469,758571.0
2019-06-21,92.8004,94.1086,92.3548,92.7719,587529.0
2019-06-22,92.8004,94.1086,92.3548,92.7719,587529.0
2019-06-23,92.8004,94.1086,92.3548,92.7719,587529.0
2019-06-24,93.0848,93.6915,92.023,92.2884,411540.0
2019-06-25,92.5065,92.7056,91.53,91.8239,277169.0
2019-06-26,91.8239,92.5918,90.9044,91.5585,370803.0
2019-06-27,92.0514,93.3123,92.0514,92.734,375177.0
2019-06-28,93.0374,93.9001,91.9187,92.1462,930211.0
2019-06-29,93.0374,93.9001,91.9187,92.1462,930211.0
2019-06-30,93.0374,93.9001,91.9187,92.1462,930211.0
2019-07-01,93.1417,93.6346,92.2126,93.445,536885.0
2019-07-02,93.1322,93.5398,92.26,93.2744,540998.0
2019-07-03,93.7294,95.1514,93.4355,94.9144,351126.0
2019-07-04,93.7294,95.1514,93.4355,94.9144,351126.0
