,SBGI US Equity,SBGI US Equity,SBGI US Equity,SBGI US Equity,SBGI US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,21.4137,21.5911,20.6878,21.2443,1591377.0
2019-01-02,20.9701,21.9621,20.9056,21.8008,1863253.0
2019-01-03,21.7363,22.2686,21.0427,21.7444,757748.0
2019-01-04,21.9944,22.6962,21.9863,22.5429,1655353.0
2019-01-05,21.9944,22.6962,21.9863,22.5429,1655353.0
2019-01-06,21.9944,22.6962,21.9863,22.5429,1655353.0
2019-01-07,22.5913,23.1074,22.4541,22.8977,1724878.0
2019-01-08,23.172,24.1801,23.172,24.0753,2177243.0
2019-01-09,24.1479,24.414,24.0672,24.1076,2361654.0
2019-01-10,24.1237,24.4745,23.7688,24.3334,1572269.0
2019-01-11,24.3576,24.4786,23.9946,24.0108,2601209.0
2019-01-12,24.3576,24.4786,23.9946,24.0108,2601209.0
2019-01-13,24.3576,24.4786,23.9946,24.0108,2601209.0
2019-01-14,23.922,24.1237,23.5994,23.9301,863208.0
2019-01-15,24.1076,24.3415,23.914,24.1963,2541755.0
2019-01-16,24.1801,24.5512,24.043,24.0914,976855.0
2019-01-17,24.0108,24.3495,24.0108,24.2527,1023838.0
2019-01-18,24.3011,24.6802,24.2447,24.5512,1041457.0
2019-01-19,24.3011,24.6802,24.2447,24.5512,1041457.0
2019-01-20,24.3011,24.6802,24.2447,24.5512,1041457.0
2019-01-21,24.3011,24.6802,24.2447,24.5512,1041457.0
2019-01-22,24.4463,24.5673,23.6962,23.8414,1593014.0
2019-01-23,23.9624,24.7488,23.9624,24.6399,1589330.0
2019-01-24,24.6399,24.898,24.535,24.777,1950752.0
2019-01-25,24.9947,25.3335,24.8031,25.027,1196822.0
2019-01-26,24.9947,25.3335,24.8031,25.027,1196822.0
2019-01-27,24.9947,25.3335,24.8031,25.027,1196822.0
2019-01-28,24.898,25.2448,24.8092,24.9706,721917.0
2019-01-29,24.9706,25.3093,24.8496,25.1238,510781.0
2019-01-30,25.0996,25.1883,24.164,24.8415,1786549.0
2019-01-31,24.8496,25.1319,24.656,24.8496,1125248.0
2019-02-01,24.9383,25.1238,24.656,25.1238,994997.0
2019-02-02,24.9383,25.1238,24.656,25.1238,994997.0
2019-02-03,24.9383,25.1238,24.656,25.1238,994997.0
2019-02-04,25.1641,25.5755,25.1641,25.398,1373087.0
2019-02-05,25.398,25.6319,25.269,25.3254,982595.0
2019-02-06,25.398,25.7059,25.398,25.5432,570557.0
2019-02-07,25.4061,25.5029,25.0189,25.2609,832579.0
2019-02-08,25.1077,25.3738,25.0109,25.3012,439436.0
2019-02-09,25.1077,25.3738,25.0109,25.3012,439436.0
2019-02-10,25.1077,25.3738,25.0109,25.3012,439436.0
2019-02-11,25.39,25.6884,25.3738,25.6158,1131442.0
2019-02-12,25.7126,26.0191,25.7126,25.9061,933976.0
2019-02-13,25.9626,26.3981,25.4867,26.2933,941172.0
2019-02-14,26.1723,26.8014,25.8255,26.6482,1001302.0
2019-02-15,26.6804,26.8982,26.6643,26.7772,650333.0
2019-02-16,26.6804,26.8982,26.6643,26.7772,650333.0
2019-02-17,26.6804,26.8982,26.6643,26.7772,650333.0
2019-02-18,26.6804,26.8982,26.6643,26.7772,650333.0
2019-02-19,26.7772,26.9143,26.4707,26.4869,575907.0
2019-02-20,26.4465,26.8256,26.4465,26.7691,615697.0
2019-02-21,26.6804,26.7449,26.3578,26.5352,567651.0
2019-02-22,26.5514,26.7501,26.4019,26.5191,606711.0
2019-02-23,26.5514,26.7501,26.4019,26.5191,606711.0
