,LBRT US Equity,LBRT US Equity,LBRT US Equity,LBRT US Equity,LBRT US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,10.705,10.8849,10.5008,10.8119,807431.0
2020-01-02,10.8897,10.8897,10.3355,10.4425,782747.0
2020-01-03,10.6953,10.8703,10.4814,10.7536,554922.0
2020-01-04,10.6953,10.8703,10.4814,10.7536,554922.0
2020-01-05,10.6953,10.8703,10.4814,10.7536,554922.0
2020-01-06,11.0842,11.0842,10.6953,11.055,1172315.0
2020-01-07,11.055,11.0745,10.7147,10.8606,681458.0
2020-01-08,10.8411,11.0842,10.5203,10.6953,772785.0
2020-01-09,10.7633,10.7925,10.3063,10.355,733895.0
2020-01-10,10.3161,10.4619,10.1411,10.423,575709.0
2020-01-11,10.3161,10.4619,10.1411,10.423,575709.0
2020-01-12,10.3161,10.4619,10.1411,10.423,575709.0
2020-01-13,10.3161,10.3209,9.9758,9.9952,645876.0
2020-01-14,9.966,10.1799,9.9563,10.0924,567802.0
2020-01-15,10.0244,10.3063,9.9466,10.1897,527305.0
2020-01-16,10.3063,10.705,10.3063,10.4522,504198.0
2020-01-17,10.6175,10.6953,10.2966,10.3161,516984.0
2020-01-18,10.6175,10.6953,10.2966,10.3161,516984.0
2020-01-19,10.6175,10.6953,10.2966,10.3161,516984.0
2020-01-20,10.6175,10.6953,10.2966,10.3161,516984.0
2020-01-21,10.2188,10.2383,9.4702,9.4993,640366.0
2020-01-22,9.5188,9.5188,9.159,9.3535,583582.0
2020-01-23,9.3535,9.3632,8.984,9.0618,744630.0
2020-01-24,9.0521,9.0521,8.4882,8.5465,654803.0
2020-01-25,9.0521,9.0521,8.4882,8.5465,654803.0
2020-01-26,9.0521,9.0521,8.4882,8.5465,654803.0
2020-01-27,8.284,8.3909,8.0895,8.1187,655612.0
2020-01-28,8.1673,8.3909,7.9096,8.3229,976672.0
2020-01-29,8.5562,8.7701,8.2159,8.2451,578025.0
2020-01-30,8.0701,8.5757,8.0409,8.5465,684290.0
2020-01-31,8.459,8.459,8.0749,8.2451,612564.0
2020-02-01,8.459,8.459,8.0749,8.2451,612564.0
2020-02-02,8.459,8.459,8.0749,8.2451,612564.0
2020-02-03,8.2451,8.2451,7.7589,7.7784,726822.0
