,PLAY US Equity,PLAY US Equity,PLAY US Equity,PLAY US Equity,PLAY US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,44.065,44.4197,43.592,43.9073,826210.0
2019-01-02,43.2668,43.5625,42.4589,42.8136,1149972.0
2019-01-03,42.6756,43.0993,42.2815,42.3997,871024.0
2019-01-04,42.8136,45.2376,42.8136,44.6168,1010905.0
2019-01-05,42.8136,45.2376,42.8136,44.6168,1010905.0
2019-01-06,42.8136,45.2376,42.8136,44.6168,1010905.0
2019-01-07,44.6069,48.3409,44.0453,47.4053,1190821.0
2019-01-08,47.898,49.2479,47.5547,49.0706,1032964.0
2019-01-09,49.4056,49.7702,48.7565,49.2676,951746.0
2019-01-10,49.2184,50.4895,47.5728,50.4008,879233.0
2019-01-11,50.0658,50.9378,48.3513,50.7457,1094507.0
2019-01-12,50.0658,50.9378,48.3513,50.7457,1094507.0
2019-01-13,50.0658,50.9378,48.3513,50.7457,1094507.0
2019-01-14,50.4107,50.8935,49.8786,50.0264,521150.0
2019-01-15,53.1696,53.2869,50.4796,51.2778,2197637.0
2019-01-16,51.2679,51.7409,50.4993,50.8836,737304.0
2019-01-17,50.6471,51.2778,50.5388,50.7949,622452.0
2019-01-18,51.0511,51.4059,49.9081,49.9672,954398.0
2019-01-19,51.0511,51.4059,49.9081,49.9672,954398.0
2019-01-20,51.0511,51.4059,49.9081,49.9672,954398.0
2019-01-21,51.0511,51.4059,49.9081,49.9672,954398.0
2019-01-22,49.9672,49.987,47.2969,47.5531,1257950.0
2019-01-23,47.8093,48.8439,47.0407,47.7798,685482.0
2019-01-24,47.8684,48.4399,47.2674,47.3955,549062.0
2019-01-25,47.8192,48.4744,47.5334,47.5728,650057.0
2019-01-26,47.8192,48.4744,47.5334,47.5728,650057.0
2019-01-27,47.8192,48.4744,47.5334,47.5728,650057.0
2019-01-28,47.2477,49.9475,47.2477,49.8687,869257.0
2019-01-29,49.7603,50.5092,49.1001,49.9574,791341.0
2019-01-30,50.1446,51.3763,49.8589,51.1694,627930.0
2019-01-31,51.2285,52.0562,50.4861,50.6964,658479.0
2019-02-01,50.7358,51.0708,49.9525,50.588,480728.0
2019-02-02,50.7358,51.0708,49.9525,50.588,480728.0
2019-02-03,50.7358,51.0708,49.9525,50.588,480728.0
2019-02-04,50.7063,50.7851,49.9377,50.1348,423607.0
