,GIS US Equity,GIS US Equity,GIS US Equity,GIS US Equity,GIS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,32.2291,32.433,31.85,32.3955,5293032.0
2019-01-02,32.2957,32.3955,31.7133,31.9712,6479275.0
2019-01-03,31.9296,32.7865,31.7799,32.4704,6359832.0
2019-01-04,32.5453,33.2274,32.3622,33.1276,6326091.0
2019-01-05,32.5453,33.2274,32.3622,33.1276,6326091.0
2019-01-06,32.5453,33.2274,32.3622,33.1276,6326091.0
2019-01-07,33.1193,33.893,32.8531,33.6767,5695787.0
2019-01-08,33.9346,34.2923,33.8015,34.1842,6609402.0
2019-01-09,33.9737,34.3315,33.7211,34.0326,4521284.0
2019-01-10,34.0326,34.8914,34.0326,34.8746,8279792.0
2019-01-11,34.8998,35.2114,34.5883,35.1945,7417596.0
2019-01-12,34.8998,35.2114,34.5883,35.1945,7417596.0
2019-01-13,34.8998,35.2114,34.5883,35.1945,7417596.0
2019-01-14,35.0682,35.1945,34.8746,35.1861,3874752.0
2019-01-15,35.0935,35.4135,34.9083,35.2787,4486431.0
2019-01-16,35.3377,35.6155,35.1019,35.5903,4905569.0
2019-01-17,35.5987,36.247,35.5313,36.1797,4664402.0
2019-01-18,36.3733,36.7943,36.2217,36.6006,5564755.0
2019-01-19,36.3733,36.7943,36.2217,36.6006,5564755.0
2019-01-20,36.3733,36.7943,36.2217,36.6006,5564755.0
2019-01-21,36.3733,36.7943,36.2217,36.6006,5564755.0
2019-01-22,36.6343,36.8111,36.1039,36.407,9260655.0
2019-01-23,36.7775,37.2911,36.7269,37.0553,5208617.0
2019-01-24,36.5838,37.0467,36.1039,36.6427,4700663.0
2019-01-25,36.6764,37.2321,36.3775,36.4491,7013887.0
2019-01-26,36.6764,37.2321,36.3775,36.4491,7013887.0
2019-01-27,36.6764,37.2321,36.3775,36.4491,7013887.0
2019-01-28,36.5585,36.6848,36.0702,36.668,3552866.0
2019-01-29,36.7522,36.8111,36.3733,36.6933,3432036.0
2019-01-30,36.6175,37.0553,36.5838,36.8027,3140916.0
2019-01-31,36.8196,37.4426,36.6091,37.4174,4730010.0
2019-02-01,37.6363,37.8889,36.8953,37.249,5061743.0
2019-02-02,37.6363,37.8889,36.8953,37.249,5061743.0
2019-02-03,37.6363,37.8889,36.8953,37.249,5061743.0
2019-02-04,37.2405,37.2995,36.7017,36.9037,3462442.0
2019-02-05,36.9037,37.5773,36.7775,37.5605,4625927.0
2019-02-06,37.451,37.6278,36.8532,36.9206,3527116.0
2019-02-07,36.2049,37.1984,36.0365,36.929,4021191.0
2019-02-08,36.8027,37.0216,36.3059,37.0048,3361972.0
2019-02-09,36.8027,37.0216,36.3059,37.0048,3361972.0
2019-02-10,36.8027,37.0216,36.3059,37.0048,3361972.0
2019-02-11,37.1142,37.2068,36.6217,37.0385,4027937.0
2019-02-12,37.0385,37.8383,37.0385,37.7541,4349487.0
2019-02-13,37.7541,37.8383,37.2995,37.4426,2993349.0
2019-02-14,37.2069,37.6868,36.9711,37.4931,2867702.0
2019-02-15,37.7541,38.1415,37.6952,37.9225,4188319.0
2019-02-16,37.7541,38.1415,37.6952,37.9225,4188319.0
2019-02-17,37.7541,38.1415,37.6952,37.9225,4188319.0
2019-02-18,37.7541,38.1415,37.6952,37.9225,4188319.0
2019-02-19,37.8889,38.6635,37.7289,38.5119,5193203.0
2019-02-20,38.5119,39.6738,38.4867,39.5307,6591742.0
2019-02-21,39.3623,39.758,39.0929,39.5307,5108233.0
2019-02-22,37.5857,39.236,37.1563,39.2192,9796319.0
2019-02-23,37.5857,39.236,37.1563,39.2192,9796319.0
2019-02-24,37.5857,39.236,37.1563,39.2192,9796319.0
2019-02-25,39.3455,39.4044,38.5793,38.8992,6076761.0
2019-02-26,39.1939,39.6065,39.0255,39.4549,6002670.0
2019-02-27,39.3623,39.6486,39.156,39.6486,5274475.0
2019-02-28,39.6991,39.8422,39.3413,39.6823,4245579.0
2019-03-01,39.7833,39.9096,39.4297,39.758,3342482.0
2019-03-02,39.7833,39.9096,39.4297,39.758,3342482.0
2019-03-03,39.7833,39.9096,39.4297,39.758,3342482.0
2019-03-04,39.8254,39.8675,38.9245,39.3876,3450604.0
2019-03-05,39.2529,39.5728,39.0929,39.4213,3609766.0
2019-03-06,39.5055,39.5854,39.1602,39.4128,2905116.0
2019-03-07,39.1602,39.4044,38.9371,39.0676,3081668.0
2019-03-08,39.2192,39.3034,38.8908,39.2023,2440767.0
2019-03-09,39.2192,39.3034,38.8908,39.2023,2440767.0
2019-03-10,39.2192,39.3034,38.8908,39.2023,2440767.0
2019-03-11,39.1181,39.5223,39.076,39.497,3158657.0
2019-03-12,39.5055,39.6444,39.3665,39.4297,3066845.0
2019-03-13,39.4297,39.8928,39.4297,39.6402,3924215.0
2019-03-14,39.9938,40.2043,39.828,39.9601,5222003.0
2019-03-15,40.0022,40.1706,39.7244,40.0022,8548007.0
2019-03-16,40.0022,40.1706,39.7244,40.0022,8548007.0
2019-03-17,40.0022,40.1706,39.7244,40.0022,8548007.0
2019-03-18,39.9264,40.2548,39.8928,40.0948,4196230.0
2019-03-19,39.7202,40.1496,39.5896,39.7749,5196940.0
2019-03-20,40.7011,41.6777,40.5579,40.659,12337421.0
2019-03-21,40.6084,42.2587,40.6084,42.1324,7583125.0
2019-03-22,42.284,42.9239,42.2587,42.7218,5314609.0
2019-03-23,42.284,42.9239,42.2587,42.7218,5314609.0
2019-03-24,42.284,42.9239,42.2587,42.7218,5314609.0
2019-03-25,42.5534,43.0838,42.4439,43.0165,3267694.0
2019-03-26,43.1091,43.7237,42.8481,43.6143,3734607.0
2019-03-27,43.5132,43.6816,43.1765,43.1933,4201328.0
2019-03-28,43.2943,43.5132,43.0838,43.3533,4718703.0
2019-03-29,43.328,43.749,43.2228,43.5722,4884911.0
