,ST US Equity,ST US Equity,ST US Equity,ST US Equity,ST US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,52.5847,52.9855,52.487,52.6531,470053.0
2020-01-02,53.0343,53.1419,52.3111,52.9757,783253.0
2020-01-03,52.1644,52.5359,51.9983,52.4577,792662.0
2020-01-04,52.1644,52.5359,51.9983,52.4577,792662.0
2020-01-05,52.1644,52.5359,51.9983,52.4577,792662.0
2020-01-06,52.1058,52.1058,51.6366,51.9005,246763.0
2020-01-07,51.6269,51.9983,51.3923,51.5291,910385.0
2020-01-08,51.7051,51.7539,51.187,51.3727,1017684.0
2020-01-09,51.6562,51.6562,51.0209,51.2945,729599.0
2020-01-10,51.2945,51.3239,50.1705,50.3074,859738.0
2020-01-11,51.2945,51.3239,50.1705,50.3074,859738.0
2020-01-12,51.2945,51.3239,50.1705,50.3074,859738.0
2020-01-13,50.4735,50.9036,49.9946,50.8547,1204075.0
2020-01-14,50.8743,52.096,50.8743,51.4607,1896079.0
2020-01-15,51.4021,51.6757,50.8156,50.9622,607765.0
2020-01-16,51.3923,51.6269,51.06,51.6171,455735.0
2020-01-17,51.7246,52.0178,51.4216,51.5193,468443.0
2020-01-18,51.7246,52.0178,51.4216,51.5193,468443.0
2020-01-19,51.7246,52.0178,51.4216,51.5193,468443.0
2020-01-20,51.7246,52.0178,51.4216,51.5193,468443.0
2020-01-21,51.3043,51.4509,50.884,51.187,1059962.0
2020-01-22,51.5096,51.5291,50.7276,50.7276,468944.0
2020-01-23,50.3367,50.366,49.6232,50.2389,1098701.0
2020-01-24,50.4833,50.581,48.8217,49.1638,758076.0
2020-01-25,50.4833,50.581,48.8217,49.1638,758076.0
2020-01-26,50.4833,50.581,48.8217,49.1638,758076.0
2020-01-27,48.0886,48.1375,47.4729,47.5022,566508.0
2020-01-28,47.7465,48.1766,47.4044,48.0104,794095.0
2020-01-29,48.245,48.4698,47.6683,47.7074,523317.0
2020-01-30,47.3165,47.6293,46.8375,47.5706,843925.0
2020-01-31,47.4533,47.4826,46.0165,46.2022,872369.0
2020-02-01,47.4533,47.4826,46.0165,46.2022,872369.0
2020-02-02,47.4533,47.4826,46.0165,46.2022,872369.0
2020-02-03,46.5932,47.3556,46.3097,46.3391,1126552.0
2020-02-04,47.3067,47.8638,47.1015,47.3849,624480.0
2020-02-05,47.9029,48.0691,47.5999,47.8638,741026.0
2020-02-06,48.1375,48.1375,47.0233,47.0624,1034708.0
2020-02-07,46.7691,46.8766,46.0947,46.4466,830273.0
2020-02-08,46.7691,46.8766,46.0947,46.4466,830273.0
2020-02-09,46.7691,46.8766,46.0947,46.4466,830273.0
2020-02-10,46.2511,46.8082,46.2511,46.7691,958003.0
2020-02-11,46.6421,49.7209,46.6127,48.2939,3597858.0
2020-02-12,48.5871,49.1931,47.6977,48.6653,2015123.0
2020-02-13,48.2255,48.8803,48.1277,48.1962,2131073.0
2020-02-14,48.1766,48.4796,47.6195,47.7759,834536.0
2020-02-15,48.1766,48.4796,47.6195,47.7759,834536.0
2020-02-16,48.1766,48.4796,47.6195,47.7759,834536.0
2020-02-17,48.1766,48.4796,47.6195,47.7759,834536.0
2020-02-18,47.3947,47.4484,46.2707,46.4661,1041556.0
2020-02-19,46.7105,47.727,46.6421,47.4826,916345.0
2020-02-20,47.3654,47.9811,46.9255,47.2578,1145596.0
2020-02-21,47.033,47.033,46.0654,46.1827,395407.0
2020-02-22,47.033,47.033,46.0654,46.1827,395407.0
2020-02-23,47.033,47.033,46.0654,46.1827,395407.0
2020-02-24,44.4331,44.9414,44.1301,44.6481,1699362.0
2020-02-25,44.7752,44.8632,42.8204,43.0256,1163627.0
2020-02-26,43.3971,44.1399,42.1167,42.1167,1082955.0
2020-02-27,41.2956,41.799,40.0152,40.025,1800839.0
2020-02-28,38.6468,40.1423,38.598,39.8784,1867682.0
2020-02-29,38.6468,40.1423,38.598,39.8784,1867682.0
2020-03-01,38.6468,40.1423,38.598,39.8784,1867682.0
2020-03-02,40.0739,40.3866,39.0769,40.2596,1700120.0
2020-03-03,40.2693,41.54,38.5589,39.028,1431250.0
2020-03-04,39.6438,40.1618,38.7935,40.025,2363412.0
2020-03-05,38.5296,38.6175,37.2589,37.5033,2613261.0
2020-03-06,36.4086,37.7281,36.0567,37.1807,1550238.0
2020-03-07,36.4086,37.7281,36.0567,37.1807,1550238.0
2020-03-08,36.4086,37.7281,36.0567,37.1807,1550238.0
