,TGT US Equity,TGT US Equity,TGT US Equity,TGT US Equity,TGT US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,57.2496,57.9944,57.1514,57.9156,4178477.0
2019-01-02,57.013,58.5816,56.7501,58.2223,4549299.0
2019-01-03,57.9506,58.3844,57.3197,57.4248,4562206.0
2019-01-04,58.047,58.6078,57.3547,58.2135,4825860.0
2019-01-05,58.047,58.6078,57.3547,58.2135,4825860.0
2019-01-06,58.047,58.6078,57.3547,58.2135,4825860.0
2019-01-07,58.5465,61.2368,58.5465,61.0615,7630638.0
2019-01-08,61.4997,61.7626,59.861,61.0002,6755953.0
2019-01-09,60.7986,62.2007,60.2764,61.5961,6025085.0
2019-01-10,59.5455,59.8785,58.3011,59.8435,13913673.0
2019-01-11,59.8522,61.377,59.6419,61.0002,5025954.0
2019-01-12,59.8522,61.377,59.6419,61.0002,5025954.0
2019-01-13,59.8522,61.377,59.6419,61.0002,5025954.0
2019-01-14,60.5971,61.2086,60.1414,60.3254,4568045.0
2019-01-15,60.2553,60.2553,59.4141,59.7733,3770379.0
2019-01-16,59.6419,60.1414,59.2388,59.4579,4888876.0
2019-01-17,59.1599,61.044,58.862,60.7899,4133247.0
2019-01-18,61.3157,62.1131,61.193,61.9378,4484078.0
2019-01-19,61.3157,62.1131,61.193,61.9378,4484078.0
2019-01-20,61.3157,62.1131,61.193,61.9378,4484078.0
2019-01-21,61.3157,62.1131,61.193,61.9378,4484078.0
2019-01-22,61.6749,62.2533,61.0418,61.5873,5763982.0
2019-01-23,62.0781,62.6126,60.7548,61.6224,4446562.0
2019-01-24,61.8239,62.1306,61.1839,61.8765,4057032.0
2019-01-25,62.2621,63.4802,62.1657,63.4363,5544588.0
2019-01-26,62.2621,63.4802,62.1657,63.4363,5544588.0
2019-01-27,62.2621,63.4802,62.1657,63.4363,5544588.0
2019-01-28,63.1121,63.2874,62.4023,63.1997,3511148.0
2019-01-29,63.1997,63.2611,62.4812,62.8317,3320733.0
2019-01-30,63.3575,63.6642,62.4855,63.3838,3789326.0
2019-01-31,63.3662,64.0322,63.1515,63.9709,6699700.0
2019-02-01,64.0541,64.0541,61.7451,62.3672,5916192.0
2019-02-02,64.0541,64.0541,61.7451,62.3672,5916192.0
