,MCO US Equity,MCO US Equity,MCO US Equity,MCO US Equity,MCO US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,228.3046,230.0879,227.8419,228.8444,594097.0
2020-01-02,230.0686,233.0085,229.4228,232.9989,869729.0
2020-01-03,230.2035,232.8929,229.9529,232.4205,475810.0
2020-01-04,230.2035,232.8929,229.9529,232.4205,475810.0
2020-01-05,230.2035,232.8929,229.9529,232.4205,475810.0
2020-01-06,231.0229,233.2206,230.6084,233.1435,714929.0
2020-01-07,233.8279,236.363,232.1217,232.3049,743708.0
2020-01-08,233.317,238.3197,233.317,236.7582,887236.0
2020-01-09,237.6739,240.4307,237.5293,239.8717,811071.0
2020-01-10,240.9802,241.7224,238.127,239.0812,594320.0
2020-01-11,240.9802,241.7224,238.127,239.0812,594320.0
2020-01-12,240.9802,241.7224,238.127,239.0812,594320.0
2020-01-13,239.2162,242.4453,239.2162,242.4164,706964.0
2020-01-14,242.2236,243.014,240.2379,240.4307,551792.0
2020-01-15,240.3151,245.4624,239.8717,243.9008,856661.0
2020-01-16,245.7516,246.9757,244.9997,246.8119,603192.0
2020-01-17,248.3252,248.9518,246.542,248.3349,830401.0
2020-01-18,248.3252,248.9518,246.542,248.3349,830401.0
2020-01-19,248.3252,248.9518,246.542,248.3349,830401.0
2020-01-20,248.3252,248.9518,246.542,248.3349,830401.0
2020-01-21,247.5734,248.7976,246.542,247.0914,911043.0
2020-01-22,248.7879,249.1638,247.2215,248.1807,596603.0
2020-01-23,247.1975,249.1831,246.1371,247.8144,809961.0
2020-01-24,248.6337,249.5494,245.1973,246.3974,495581.0
2020-01-25,248.6337,249.5494,245.1973,246.3974,495581.0
2020-01-26,248.6337,249.5494,245.1973,246.3974,495581.0
2020-01-27,244.1804,246.9468,242.908,245.9154,707382.0
2020-01-28,247.0625,251.0939,246.3878,250.8025,781087.0
2020-01-29,251.1013,253.4726,250.2531,251.2652,441779.0
2020-01-30,250.5037,254.369,249.4337,254.2919,563457.0
2020-01-31,252.2388,254.2919,246.889,247.5252,827791.0
2020-02-01,252.2388,254.2919,246.889,247.5252,827791.0
2020-02-02,252.2388,254.2919,246.889,247.5252,827791.0
2020-02-03,248.9036,252.0839,248.9036,251.5929,748163.0
2020-02-04,256.0173,259.5549,255.1691,257.2319,742078.0
2020-02-05,259.5356,259.5838,252.393,254.8028,715163.0
2020-02-06,256.8077,260.1911,256.6053,258.3404,806872.0
2020-02-07,258.3404,259.4778,256.2583,257.8488,647778.0
2020-02-08,258.3404,259.4778,256.2583,257.8488,647778.0
2020-02-09,258.3404,259.4778,256.2583,257.8488,647778.0
2020-02-10,257.3186,259.0344,256.7017,258.7452,729303.0
2020-02-11,260.0562,263.0925,259.0248,261.2129,946400.0
2020-02-12,262.1864,266.9964,252.9906,263.5455,981342.0
2020-02-13,263.2756,264.5095,258.3645,262.9286,910874.0
2020-02-14,263.5166,267.9699,263.1503,267.8061,931939.0
2020-02-15,263.5166,267.9699,263.1503,267.8061,931939.0
2020-02-16,263.5166,267.9699,263.1503,267.8061,931939.0
2020-02-17,263.5166,267.9699,263.1503,267.8061,931939.0
2020-02-18,267.7,270.6689,264.0371,270.5532,771116.0
2020-02-19,271.9413,276.8862,271.7919,275.0162,986317.0
2020-02-20,274.3704,275.3054,265.2902,268.8086,1000974.0
2020-02-21,266.8422,266.8422,259.3959,262.0226,961462.0
2020-02-22,266.8422,266.8422,259.3959,262.0226,961462.0
2020-02-23,266.8422,266.8422,259.3959,262.0226,961462.0
2020-02-24,255.2901,259.487,254.614,257.1833,990013.0
2020-02-25,258.864,260.2646,249.8907,251.1657,1090669.0
2020-02-26,251.639,258.3424,251.581,252.1123,951250.0
2020-02-27,248.0844,248.0844,235.5856,235.7498,1993920.0
2020-02-28,228.5924,233.4219,224.1492,231.8475,1989221.0
2020-02-29,228.5924,233.4219,224.1492,231.8475,1989221.0
2020-03-01,228.5924,233.4219,224.1492,231.8475,1989221.0
2020-03-02,237.527,250.9242,234.3492,250.6731,1526290.0
2020-03-03,249.4271,254.3146,240.9802,244.2498,1734920.0
2020-03-04,248.3935,261.1339,246.9543,260.3901,1221385.0
2020-03-05,251.3878,255.6958,240.2992,243.9986,1557428.0
2020-03-06,234.3492,236.1554,223.502,230.3407,2197355.0
2020-03-07,234.3492,236.1554,223.502,230.3407,2197355.0
2020-03-08,234.3492,236.1554,223.502,230.3407,2197355.0
2020-03-09,210.7134,216.1128,202.2616,203.6622,2551368.0
2020-03-10,213.273,219.8412,206.6082,219.8412,2208074.0
2020-03-11,213.3793,214.1037,199.6344,204.0582,1612436.0
2020-03-12,193.5105,204.8986,182.5571,186.7491,2632096.0
2020-03-13,198.0503,206.2895,187.9082,205.8065,2329324.0
2020-03-14,198.0503,206.2895,187.9082,205.8065,2329324.0
2020-03-15,198.0503,206.2895,187.9082,205.8065,2329324.0
2020-03-16,175.7957,187.3287,173.8639,179.0798,2856263.0
2020-03-17,182.4605,199.3929,179.168,195.2008,2046630.0
2020-03-18,176.6843,180.9585,159.5974,168.4065,2819040.0
2020-03-19,167.6434,175.2934,160.3411,171.8451,2610481.0
2020-03-20,174.1923,176.7616,165.6247,169.8071,2017311.0
2020-03-21,174.1923,176.7616,165.6247,169.8071,2017311.0
2020-03-22,174.1923,176.7616,165.6247,169.8071,2017311.0
2020-03-23,165.7019,175.8343,158.5928,159.4622,1699865.0
2020-03-24,169.2855,189.9076,166.1559,189.077,1404740.0
2020-03-25,186.9037,210.4815,185.5804,200.069,1686810.0
2020-03-26,202.5128,219.7156,201.9912,216.6827,1650659.0
2020-03-27,207.9992,218.827,207.9992,212.6838,1305769.0
2020-03-28,207.9992,218.827,207.9992,212.6838,1305769.0
2020-03-29,207.9992,218.827,207.9992,212.6838,1305769.0
2020-03-30,214.5867,218.6145,210.8582,214.6446,1026921.0
2020-03-31,210.8679,214.4128,203.5753,204.2901,1379079.0
2020-04-01,195.0463,200.2362,189.0287,190.8156,1455006.0
2020-04-02,188.7389,199.9145,185.4548,199.673,1025233.0
2020-04-03,196.0895,203.0923,196.0605,201.6724,1002110.0
2020-04-04,196.0895,203.0923,196.0605,201.6724,1002110.0
2020-04-05,196.0895,203.0923,196.0605,201.6724,1002110.0
2020-04-06,213.0702,223.5889,210.0276,221.348,1428977.0
2020-04-07,230.1571,231.7992,220.8747,220.9134,1009474.0
2020-04-08,224.9605,226.3659,217.6389,218.798,1059589.0
2020-04-09,221.0776,239.7197,220.3531,233.4412,2129452.0
2020-04-10,221.0776,239.7197,220.3531,233.4412,2129452.0
2020-04-11,221.0776,239.7197,220.3531,233.4412,2129452.0
2020-04-12,221.0776,239.7197,220.3531,233.4412,2129452.0
2020-04-13,230.6594,231.8185,221.7585,223.2122,944148.0
2020-04-14,230.1282,232.6917,227.1918,229.6549,926948.0
2020-04-15,222.5651,225.4821,220.0247,221.9952,989036.0
2020-04-16,223.2316,229.8867,221.802,226.7088,1264255.0
2020-04-17,234.6486,238.3674,227.4671,231.2003,1523672.0
2020-04-18,234.6486,238.3674,227.4671,231.2003,1523672.0
2020-04-19,234.6486,238.3674,227.4671,231.2003,1523672.0
2020-04-20,227.6168,232.7294,226.989,231.3066,809445.0
2020-04-21,225.1827,227.1049,219.9861,220.4787,807441.0
2020-04-22,225.5014,233.2674,225.1247,231.6543,788334.0
2020-04-23,231.0748,235.3054,228.4378,231.8185,756931.0
2020-04-24,234.0981,237.5657,229.5486,236.8412,1024688.0
2020-04-25,234.0981,237.5657,229.5486,236.8412,1024688.0
2020-04-26,234.0981,237.5657,229.5486,236.8412,1024688.0
2020-04-27,240.2606,248.3645,239.5458,245.8822,1032911.0
2020-04-28,252.3151,254.4111,242.5884,243.4384,877825.0
2020-04-29,246.7128,251.1174,244.6555,246.2878,1203393.0
2020-04-30,232.7844,242.9458,227.1193,235.5856,1578343.0
