,FRCB US Equity,FRCB US Equity,FRCB US Equity,FRCB US Equity,FRCB US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,114.9041,115.2763,114.5221,115.0412,505544.0
2020-01-02,115.4722,115.7954,114.336,115.5603,1019972.0
2020-01-03,114.3066,115.3938,114.0029,115.2567,526771.0
2020-01-04,114.3066,115.3938,114.0029,115.2567,526771.0
2020-01-05,114.3066,115.3938,114.0029,115.2567,526771.0
2020-01-06,113.9931,114.1793,112.9941,113.8364,1297990.0
2020-01-07,113.425,114.1695,113.1116,113.2487,686196.0
2020-01-08,113.3761,114.4241,113.1508,113.7091,979867.0
2020-01-09,113.7777,114.6984,113.3369,113.3761,1297440.0
2020-01-10,113.3761,113.5083,111.6326,111.9558,1623946.0
2020-01-11,113.3761,113.5083,111.6326,111.9558,1623946.0
2020-01-12,113.3761,113.5083,111.6326,111.9558,1623946.0
2020-01-13,112.1027,113.1312,111.2506,113.0822,1609396.0
2020-01-14,116.5692,119.8309,116.0207,118.2735,2439917.0
2020-01-15,115.5799,115.9962,114.2478,114.9726,2617624.0
2020-01-16,115.5799,116.628,115.2959,116.628,1901282.0
2020-01-17,117.3528,117.3528,115.5799,115.7562,1624480.0
2020-01-18,117.3528,117.3528,115.5799,115.7562,1624480.0
2020-01-19,117.3528,117.3528,115.5799,115.7562,1624480.0
2020-01-20,117.3528,117.3528,115.5799,115.7562,1624480.0
2020-01-21,115.002,115.8346,114.6004,114.718,1407728.0
2020-01-22,114.7669,115.7464,113.998,114.9335,1232631.0
2020-01-23,114.4535,114.8845,113.474,113.5328,1186088.0
2020-01-24,113.4152,114.0911,110.8392,111.4171,1254020.0
2020-01-25,113.4152,114.0911,110.8392,111.4171,1254020.0
2020-01-26,113.4152,114.0911,110.8392,111.4171,1254020.0
2020-01-27,109.0761,110.3005,109.0565,109.6932,1525694.0
2020-01-28,110.418,111.7207,110.036,111.28,1234663.0
2020-01-29,111.2505,111.741,109.7395,109.9554,630895.0
2020-01-30,108.9939,110.9954,108.9252,110.8482,954730.0
2020-01-31,109.8671,110.1124,108.4543,108.7878,1242906.0
2020-02-01,109.8671,110.1124,108.4543,108.7878,1242906.0
2020-02-02,109.8671,110.1124,108.4543,108.7878,1242906.0
2020-02-03,109.8082,110.8678,109.4943,110.1614,892422.0
2020-02-04,112.1139,113.1539,112.0256,112.2316,1009962.0
2020-02-05,113.4678,114.6158,113.3697,114.4293,567920.0
2020-02-06,115.1161,115.2829,113.9486,114.0271,720264.0
2020-02-07,113.3109,113.7504,112.1237,112.8399,983509.0
2020-02-08,113.3109,113.7504,112.1237,112.8399,983509.0
2020-02-09,113.3109,113.7504,112.1237,112.8399,983509.0
2020-02-10,112.2414,113.9192,112.2414,113.7033,819237.0
2020-02-11,114.2822,115.5037,114.0173,114.9592,606894.0
2020-02-12,115.7735,116.5584,115.2044,115.7048,719263.0
2020-02-13,115.1848,116.1267,114.969,115.8814,520227.0
2020-02-14,115.6656,115.9403,114.7139,115.5086,487186.0
2020-02-15,115.6656,115.9403,114.7139,115.5086,487186.0
2020-02-16,115.6656,115.9403,114.7139,115.5086,487186.0
