,BY US Equity,BY US Equity,BY US Equity,BY US Equity,BY US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,18.2833,18.5189,18.2833,18.4435,57693.0
2020-01-02,18.5283,18.5283,18.1923,18.3964,144949.0
2020-01-03,18.1796,18.4247,18.0006,18.3587,242220.0
2020-01-04,18.1796,18.4247,18.0006,18.3587,242220.0
2020-01-05,18.1796,18.4247,18.0006,18.3587,242220.0
2020-01-06,18.1796,18.4247,18.1514,18.3304,49319.0
2020-01-07,18.2362,18.2362,18.0194,18.1419,45690.0
2020-01-08,18.1419,18.5802,18.1419,18.4341,162986.0
2020-01-09,18.5472,18.8167,18.4906,18.8016,110388.0
2020-01-10,18.7734,18.8158,18.6414,18.7451,223602.0
2020-01-11,18.7734,18.8158,18.6414,18.7451,223602.0
2020-01-12,18.7734,18.8158,18.6414,18.7451,223602.0
2020-01-13,18.7734,18.8865,18.6603,18.8865,90473.0
2020-01-14,18.8582,19.1409,18.7639,19.0467,178094.0
2020-01-15,18.943,19.0278,18.8865,18.9807,323733.0
2020-01-16,19.1032,19.3294,19.0372,19.2069,76658.0
2020-01-17,19.3106,19.4142,19.2069,19.3671,384910.0
2020-01-18,19.3106,19.4142,19.2069,19.3671,384910.0
2020-01-19,19.3106,19.4142,19.2069,19.3671,384910.0
2020-01-20,19.3106,19.4142,19.2069,19.3671,384910.0
2020-01-21,19.254,19.4048,19.1503,19.2257,182396.0
2020-01-22,19.2634,19.3765,19.1126,19.3294,153208.0
2020-01-23,19.1975,19.5367,19.1409,19.3859,137063.0
2020-01-24,19.4519,19.4519,18.7357,19.0844,198866.0
2020-01-25,19.4519,19.4519,18.7357,19.0844,198866.0
2020-01-26,19.4519,19.4519,18.7357,19.0844,198866.0
2020-01-27,18.8393,19.3671,18.8016,19.1409,194786.0
2020-01-28,19.254,19.2634,18.8912,19.0561,179088.0
2020-01-29,18.9807,19.1786,18.5755,18.5849,194938.0
2020-01-30,18.4247,18.7451,18.4247,18.698,80073.0
2020-01-31,18.6697,18.698,18.1325,18.1891,106893.0
2020-02-01,18.6697,18.698,18.1325,18.1891,106893.0
2020-02-02,18.6697,18.698,18.1325,18.1891,106893.0
2020-02-03,18.2833,18.4435,18.2456,18.3021,85829.0
2020-02-04,18.5189,18.665,18.5095,18.5189,121866.0
2020-02-05,18.7168,19.0467,18.7168,18.9807,93304.0
2020-02-06,19.1221,19.1598,18.8393,18.8488,114789.0
2020-02-07,18.7545,18.7828,18.5378,18.5849,64138.0
2020-02-08,18.7545,18.7828,18.5378,18.5849,64138.0
2020-02-09,18.7545,18.7828,18.5378,18.5849,64138.0
2020-02-10,18.4906,18.6461,18.4341,18.4906,28658.0
2020-02-11,18.6131,18.7451,18.5849,18.6226,45863.0
2020-02-12,18.7828,18.7828,18.5566,18.5943,26145.0
2020-02-13,18.5378,18.6885,18.4812,18.6508,26898.0
2020-02-14,18.6226,18.7074,18.5001,18.5755,29572.0
2020-02-15,18.6226,18.7074,18.5001,18.5755,29572.0
2020-02-16,18.6226,18.7074,18.5001,18.5755,29572.0
2020-02-17,18.6226,18.7074,18.5001,18.5755,29572.0
2020-02-18,18.5001,18.6885,18.255,18.2833,54222.0
2020-02-19,18.3493,18.4152,18.2644,18.2739,23155.0
2020-02-20,18.1514,18.5001,18.1325,18.4529,38645.0
2020-02-21,18.4812,18.4812,18.2267,18.3398,45713.0
2020-02-22,18.4812,18.4812,18.2267,18.3398,45713.0
2020-02-23,18.4812,18.4812,18.2267,18.3398,45713.0
2020-02-24,17.878,18.076,17.8309,18.0571,58439.0
2020-02-25,18.0288,18.0288,17.5199,17.6424,68971.0
2020-02-26,17.7555,17.8168,17.3597,17.4351,53747.0
2020-02-27,17.077,17.5388,16.7942,16.7942,87449.0
2020-02-28,16.3607,16.5681,16.012,16.4927,129512.0
2020-02-29,16.3607,16.5681,16.012,16.4927,129512.0
2020-03-01,16.3607,16.5681,16.012,16.4927,129512.0
2020-03-02,16.4078,16.8037,16.1722,16.766,59816.0
2020-03-03,16.6812,16.6812,16.0403,16.1628,58775.0
2020-03-04,16.2948,16.2948,15.8612,16.1628,72549.0
2020-03-05,15.7858,15.9555,15.099,15.2769,89227.0
2020-03-06,15.079,15.1073,14.4664,14.4853,149073.0
2020-03-07,15.079,15.1073,14.4664,14.4853,149073.0
2020-03-08,15.079,15.1073,14.4664,14.4853,149073.0
2020-03-09,13.4863,13.7125,12.5815,12.6004,90031.0
2020-03-10,12.9585,13.0716,12.3177,12.5344,202722.0
2020-03-11,12.1763,12.4119,11.7805,11.8841,112918.0
2020-03-12,11.4129,11.592,10.7155,10.7626,136916.0
2020-03-13,11.2339,11.5779,10.3433,10.7909,404010.0
2020-03-14,11.2339,11.5779,10.3433,10.7909,404010.0
2020-03-15,11.2339,11.5779,10.3433,10.7909,404010.0
2020-03-16,10.3197,10.6119,9.2924,9.5657,139746.0
2020-03-17,9.5657,9.7637,9.1464,9.6788,248583.0
2020-03-18,9.2736,9.3301,7.9636,8.0578,127999.0
2020-03-19,8.0107,8.6045,7.9495,8.5762,295544.0
2020-03-20,8.595,9.0003,8.35,8.5196,154548.0
2020-03-21,8.595,9.0003,8.35,8.5196,154548.0
