,SCCO US Equity,SCCO US Equity,SCCO US Equity,SCCO US Equity,SCCO US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,34.5292,34.5455,34.3343,34.5049,530226.0
2020-01-02,34.8947,34.9597,34.5049,34.6917,409905.0
2020-01-03,34.1231,34.4196,33.6195,33.7495,793309.0
2020-01-04,34.1231,34.4196,33.6195,33.7495,793309.0
2020-01-05,34.1231,34.4196,33.6195,33.7495,793309.0
2020-01-06,33.7088,33.8632,33.4002,33.8063,592405.0
2020-01-07,33.6357,34.0175,33.587,33.8551,592851.0
2020-01-08,33.9525,34.1231,33.7088,34.05,592890.0
2020-01-09,34.1069,34.383,33.9444,34.3099,575350.0
2020-01-10,34.3099,35.0937,34.3099,34.9191,736973.0
2020-01-11,34.3099,35.0937,34.3099,34.9191,736973.0
2020-01-12,34.3099,35.0937,34.3099,34.9191,736973.0
2020-01-13,35.0978,36.1294,34.9272,36.0725,649229.0
2020-01-14,35.9751,36.4056,35.7273,35.9751,717727.0
2020-01-15,35.7964,35.8776,35.3577,35.5933,448899.0
2020-01-16,35.8695,36.04,35.1141,35.3334,723624.0
2020-01-17,35.6664,35.8938,35.3821,35.6826,675205.0
2020-01-18,35.6664,35.8938,35.3821,35.6826,675205.0
2020-01-19,35.6664,35.8938,35.3821,35.6826,675205.0
2020-01-20,35.6664,35.8938,35.3821,35.6826,675205.0
2020-01-21,35.1303,35.2602,34.2084,34.3262,1027528.0
2020-01-22,34.4561,34.5942,33.7982,33.9931,916335.0
2020-01-23,33.3027,33.3677,32.2387,33.3027,1584537.0
2020-01-24,33.1159,33.1159,32.2062,32.3686,1148585.0
2020-01-25,33.1159,33.1159,32.2062,32.3686,1148585.0
2020-01-26,33.1159,33.1159,32.2062,32.3686,1148585.0
2020-01-27,31.5645,31.735,30.7847,30.8416,1141769.0
2020-01-28,31.134,31.6782,30.6954,31.5726,895487.0
2020-01-29,31.6701,31.8813,31.337,31.3614,704902.0
2020-01-30,30.9796,31.5888,30.8416,31.5726,716856.0
2020-01-31,31.1583,31.199,30.5573,30.606,1067243.0
2020-02-01,31.1583,31.199,30.5573,30.606,1067243.0
2020-02-02,31.1583,31.199,30.5573,30.606,1067243.0
2020-02-03,30.9715,31.1665,30.5654,31.0284,756881.0
2020-02-04,31.8082,32.5311,31.8082,32.4986,1160338.0
2020-02-05,33.2052,33.3677,32.4417,32.6042,635364.0
2020-02-06,32.9697,32.9827,32.0112,32.1574,570511.0
2020-02-07,31.597,31.7838,31.2721,31.3858,496529.0
2020-02-08,31.597,31.7838,31.2721,31.3858,496529.0
2020-02-09,31.597,31.7838,31.2721,31.3858,496529.0
2020-02-10,31.199,31.3208,30.8633,31.1421,951294.0
2020-02-11,31.5645,32.02,31.4183,31.6295,935384.0
2020-02-12,32.1331,32.263,31.6904,32.0924,627146.0
2020-02-13,32.0681,32.2224,31.7513,32.0518,556918.0
2020-02-14,32.0193,32.2711,31.4914,31.8894,493799.0
2020-02-15,32.0193,32.2711,31.4914,31.8894,493799.0
2020-02-16,32.0193,32.2711,31.4914,31.8894,493799.0
2020-02-17,32.0193,32.2711,31.4914,31.8894,493799.0
2020-02-18,31.1177,31.2639,30.5491,30.9959,824464.0
2020-02-19,31.0934,31.6782,31.0365,31.5401,450879.0
2020-02-20,31.3614,31.8731,31.1096,31.1096,407847.0
2020-02-21,30.8984,30.9553,30.4111,30.7441,512322.0
2020-02-22,30.8984,30.9553,30.4111,30.7441,512322.0
2020-02-23,30.8984,30.9553,30.4111,30.7441,512322.0
2020-02-24,29.3632,29.4445,28.8596,29.3551,1030012.0
2020-02-25,29.5257,29.5907,28.4129,28.4698,1054190.0
2020-02-26,28.6728,29.0465,28.2748,28.4535,882572.0
2020-02-27,27.6413,28.2911,27.0889,27.2676,1548503.0
2020-02-28,26.1061,27.4219,25.9023,27.3326,1638369.0
2020-02-29,26.1061,27.4219,25.9023,27.3326,1638369.0
2020-03-01,26.1061,27.4219,25.9023,27.3326,1638369.0
2020-03-02,27.5763,28.6322,27.0077,28.551,1266837.0
2020-03-03,28.6809,29.1724,27.6981,28.1611,1754096.0
2020-03-04,28.7947,29.3389,28.3723,29.0871,1062656.0
2020-03-05,28.3723,28.8272,28.2911,28.7216,910825.0
2020-03-06,27.9093,28.7053,27.7269,28.6403,1073766.0
2020-03-07,27.9093,28.7053,27.7269,28.6403,1073766.0
2020-03-08,27.9093,28.7053,27.7269,28.6403,1073766.0
2020-03-09,26.685,26.9191,25.354,26.2988,1294130.0
2020-03-10,27.3258,29.2812,27.2436,28.9525,1450745.0
2020-03-11,27.9338,28.0406,25.5594,25.9045,1388525.0
2020-03-12,24.1627,24.1627,21.4753,21.8376,1888204.0
2020-03-13,23.4315,24.1298,22.5524,24.0641,1301306.0
2020-03-14,23.4315,24.1298,22.5524,24.0641,1301306.0
2020-03-15,23.4315,24.1298,22.5524,24.0641,1301306.0
2020-03-16,21.2543,23.1029,21.1557,22.7003,1219874.0
2020-03-17,22.9386,24.8282,22.3963,22.9139,2085087.0
2020-03-18,21.1722,23.2508,20.1205,21.279,1569322.0
2020-03-19,20.9668,22.6181,20.1287,22.2895,1270733.0
2020-03-20,22.7003,22.8975,20.6546,20.8764,1533582.0
2020-03-21,22.7003,22.8975,20.6546,20.8764,1533582.0
2020-03-22,22.7003,22.8975,20.6546,20.8764,1533582.0
2020-03-23,20.556,20.8682,19.2497,19.3318,1434494.0
2020-03-24,20.3506,22.1334,20.2602,21.8294,1060931.0
2020-03-25,21.8458,23.6369,21.09,22.5935,1028200.0
2020-03-26,22.9057,23.5876,22.6469,23.3411,912227.0
2020-03-27,22.2895,22.6263,21.6733,21.8458,716036.0
2020-03-28,22.2895,22.6263,21.6733,21.8458,716036.0
2020-03-29,22.2895,22.6263,21.6733,21.8458,716036.0
2020-03-30,22.043,22.7496,21.4844,22.6921,747092.0
2020-03-31,22.8071,23.9409,22.7249,23.1357,866986.0
2020-04-01,22.043,22.8153,21.6815,21.8048,1027559.0
2020-04-02,22.1416,23.1439,21.6733,22.462,747594.0
2020-04-03,22.232,22.6756,21.8404,22.0184,868665.0
2020-04-04,22.232,22.6756,21.8404,22.0184,868665.0
2020-04-05,22.232,22.6756,21.8404,22.0184,868665.0
2020-04-06,23.489,23.4972,22.651,23.3329,735986.0
2020-04-07,24.4749,24.9761,23.982,24.2695,1327716.0
2020-04-08,24.3681,24.9514,24.1381,24.7953,674635.0
2020-04-09,25.2883,26.1181,25.0007,25.5676,909741.0
2020-04-10,25.2883,26.1181,25.0007,25.5676,909741.0
2020-04-11,25.2883,26.1181,25.0007,25.5676,909741.0
2020-04-12,25.2883,26.1181,25.0007,25.5676,909741.0
2020-04-13,25.6416,25.9373,24.5324,25.3704,832901.0
2020-04-14,25.9291,26.5124,25.0993,25.469,751579.0
2020-04-15,24.1052,24.631,23.7026,23.7191,867529.0
2020-04-16,23.8341,24.1381,23.0988,23.3,817205.0
2020-04-17,24.1709,24.9432,24.1709,24.8611,717831.0
2020-04-18,24.1709,24.9432,24.1709,24.8611,717831.0
2020-04-19,24.1709,24.9432,24.1709,24.8611,717831.0
2020-04-20,24.5735,25.1568,24.1703,24.3106,1012147.0
2020-04-21,23.1768,24.0888,23.0454,23.8423,660234.0
2020-04-22,24.5571,24.7785,24.1216,24.7542,693816.0
2020-04-23,25.0089,25.7073,24.8364,25.3704,829973.0
2020-04-24,25.8552,26.1509,25.1404,25.2636,728889.0
2020-04-25,25.8552,26.1509,25.1404,25.2636,728889.0
2020-04-26,25.8552,26.1509,25.1404,25.2636,728889.0
2020-04-27,25.6333,26.7877,25.3786,26.7589,1330582.0
2020-04-28,27.6626,27.6626,27.03,27.408,1140894.0
2020-04-29,28.2295,28.5746,27.9831,28.4596,568466.0
2020-04-30,27.8598,27.9666,26.5206,26.6521,1115154.0
2020-05-01,25.8552,26.2988,25.6498,26.0934,536689.0
2020-05-02,25.8552,26.2988,25.6498,26.0934,536689.0
2020-05-03,25.8552,26.2988,25.6498,26.0934,536689.0
2020-05-04,25.9948,26.5864,25.5676,26.5699,854628.0
2020-05-05,27.0382,27.523,26.5042,26.5699,925989.0
2020-05-06,26.8246,26.9889,26.5042,26.6357,631000.0
2020-05-07,27.0711,27.638,26.5042,27.0382,828081.0
2020-05-08,27.5805,28.4103,27.334,28.3035,636845.0
2020-05-09,27.5805,28.4103,27.334,28.3035,636845.0
2020-05-10,27.5805,28.4103,27.334,28.3035,636845.0
2020-05-11,27.5476,28.0077,27.2847,27.827,659058.0
2020-05-12,28.0832,28.5956,27.3063,27.3393,551663.0
2020-05-13,27.4716,27.6451,26.6369,26.9426,683250.0
2020-05-14,26.3228,27.5956,25.9302,27.2236,1326859.0
2020-05-15,27.1245,27.86,26.9344,27.1162,735590.0
2020-05-16,27.1245,27.86,26.9344,27.1162,735590.0
2020-05-17,27.1245,27.86,26.9344,27.1162,735590.0
2020-05-18,28.2898,29.6617,28.2898,29.4468,792544.0
2020-05-19,29.5129,29.9592,29.2319,29.6782,631481.0
2020-05-20,30.1658,30.3559,29.6645,29.7857,592889.0
2020-05-21,29.5295,29.67,28.9675,29.3229,404176.0
2020-05-22,28.827,29.2072,28.8187,29.0749,527367.0
2020-05-23,28.827,29.2072,28.8187,29.0749,527367.0
2020-05-24,28.827,29.2072,28.8187,29.0749,527367.0
