,DE US Equity,DE US Equity,DE US Equity,DE US Equity,DE US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,135.5507,138.3503,135.5507,138.2854,1954556.0
2019-01-02,135.56,138.7397,135.56,137.2935,1987747.0
2019-01-03,136.6631,136.8856,132.2875,133.539,2047215.0
2019-01-04,136.283,140.6864,136.1347,140.6123,2549084.0
2019-01-05,136.283,140.6864,136.1347,140.6123,2549084.0
2019-01-06,136.283,140.6864,136.1347,140.6123,2549084.0
2019-01-07,140.8348,144.5614,139.8799,142.9113,2947645.0
2019-01-08,143.7178,146.3692,142.7815,145.4699,3125245.0
2019-01-09,146.3413,146.3784,142.2995,143.0689,3134647.0
2019-01-10,142.4385,147.7968,140.4361,147.5094,2693597.0
2019-01-11,146.2579,148.1259,145.1826,146.7307,2039033.0
2019-01-12,146.2579,148.1259,145.1826,146.7307,2039033.0
2019-01-13,146.2579,148.1259,145.1826,146.7307,2039033.0
2019-01-14,144.8117,146.7863,144.4687,145.9242,1365313.0
2019-01-15,145.7851,147.1664,144.3992,145.5904,1369063.0
2019-01-16,145.7759,147.1108,145.47,145.9242,1457313.0
2019-01-17,145.3031,149.8455,144.8443,148.3901,2155088.0
2019-01-18,150.1793,154.0635,150.0309,152.5988,3879782.0
2019-01-19,150.1793,154.0635,150.0309,152.5988,3879782.0
2019-01-20,150.1793,154.0635,150.0309,152.5988,3879782.0
2019-01-21,150.1793,154.0635,150.0309,152.5988,3879782.0
2019-01-22,151.0043,151.1063,145.8964,147.2498,2076458.0
2019-01-23,147.8988,148.9741,144.8488,146.1096,1780779.0
2019-01-24,146.2394,147.4816,145.609,146.8698,1602061.0
2019-01-25,148.9092,150.9394,148.2047,149.7157,1826770.0
2019-01-26,148.9092,150.9394,148.2047,149.7157,1826770.0
2019-01-27,148.9092,150.9394,148.2047,149.7157,1826770.0
2019-01-28,145.6275,146.8605,143.8754,145.0713,2199362.0
2019-01-29,145.9891,149.1966,145.368,148.7702,2199852.0
2019-01-30,150.0958,151.7367,148.3901,151.0229,1988956.0
2019-01-31,150.5779,152.8491,148.4921,152.0333,3118752.0
2019-02-01,152.1075,152.3671,151.0692,151.9221,1704320.0
2019-02-02,152.1075,152.3671,151.0692,151.9221,1704320.0
2019-02-03,152.1075,152.3671,151.0692,151.9221,1704320.0
2019-02-04,152.0889,152.8491,150.4945,152.5061,1907943.0
2019-02-05,152.6174,152.9511,151.1156,152.228,1574659.0
2019-02-06,152.1446,152.8769,151.1063,151.7367,1660462.0
2019-02-07,150.8189,151.8479,148.4272,149.9939,2488117.0
2019-02-08,148.557,150.9116,148.557,150.8745,1628263.0
2019-02-09,148.557,150.9116,148.557,150.8745,1628263.0
2019-02-10,148.557,150.9116,148.557,150.8745,1628263.0
2019-02-11,151.6903,152.2558,150.1144,150.1236,1844242.0
2019-02-12,151.5142,153.804,151.0229,153.1365,1894414.0
2019-02-13,151.9314,152.4968,150.2442,150.8282,2777708.0
2019-02-14,149.586,151.4864,148.8443,150.5686,2029685.0
2019-02-15,147.8339,151.4725,145.8315,147.3889,7578554.0
2019-02-16,147.8339,151.4725,145.8315,147.3889,7578554.0
2019-02-17,147.8339,151.4725,145.8315,147.3889,7578554.0
2019-02-18,147.8339,151.4725,145.8315,147.3889,7578554.0
2019-02-19,145.4329,147.2128,144.6727,145.7851,2971747.0
2019-02-20,146.3692,148.9,146.054,148.214,3349199.0
2019-02-21,148.2974,152.3114,148.2974,150.9672,2838536.0
2019-02-22,151.1063,153.8874,151.1063,153.8596,1967227.0
2019-02-23,151.1063,153.8874,151.1063,153.8596,1967227.0
2019-02-24,151.1063,153.8874,151.1063,153.8596,1967227.0
2019-02-25,154.7959,155.5746,152.7564,152.8306,2502694.0
2019-02-26,151.5327,153.0067,150.9302,151.8479,1623677.0
2019-02-27,151.5791,151.8108,150.4991,151.6532,1850481.0
2019-02-28,151.3195,152.9882,150.6428,152.0704,1778024.0
2019-03-01,152.8213,153.8503,150.8653,151.3937,1668979.0
2019-03-02,152.8213,153.8503,150.8653,151.3937,1668979.0
2019-03-03,152.8213,153.8503,150.8653,151.3937,1668979.0
2019-03-04,152.5895,154.833,152.1724,153.7205,2663085.0
2019-03-05,153.3126,153.6649,149.623,149.6694,1966000.0
2019-03-06,149.484,149.5377,146.3043,146.6936,2229689.0
2019-03-07,146.3599,146.7771,144.1907,146.4897,2051663.0
2019-03-08,144.5058,148.302,144.5058,147.4074,1757323.0
2019-03-09,144.5058,148.302,144.5058,147.4074,1757323.0
2019-03-10,144.5058,148.302,144.5058,147.4074,1757323.0
2019-03-11,147.5094,148.937,147.0552,148.7145,1340270.0
2019-03-12,148.8443,149.2522,147.1386,147.5279,1553058.0
2019-03-13,148.1027,149.2337,147.2226,148.0285,1661823.0
2019-03-14,147.4538,147.6207,145.507,146.2486,1596842.0
2019-03-15,146.1189,147.7134,145.9149,146.6102,2386276.0
2019-03-16,146.1189,147.7134,145.9149,146.6102,2386276.0
2019-03-17,146.1189,147.7134,145.9149,146.6102,2386276.0
2019-03-18,146.4526,148.7794,146.0761,148.6033,1962519.0
2019-03-19,149.6509,151.2546,148.3901,149.2244,1685378.0
2019-03-20,148.8073,149.7157,146.4897,148.01,2017123.0
2019-03-21,146.9532,148.9556,146.9346,148.0749,1082193.0
2019-03-22,146.7678,147.3499,143.9311,144.5614,2177805.0
2019-03-23,146.7678,147.3499,143.9311,144.5614,2177805.0
2019-03-24,146.7678,147.3499,143.9311,144.5614,2177805.0
2019-03-25,144.9508,146.7029,144.6078,145.85,1137177.0
2019-03-26,146.879,147.2776,145.0899,146.1003,1036681.0
2019-03-27,146.5916,146.9903,144.6912,146.7214,1068153.0
2019-03-28,147.1779,147.6427,145.9949,147.2524,1123330.0
2019-03-29,148.0255,150.1587,147.625,148.8918,1862646.0
2019-03-30,148.0255,150.1587,147.625,148.8918,1862646.0
2019-03-31,148.0255,150.1587,147.625,148.8918,1862646.0
2019-04-01,150.5686,151.9099,149.6743,150.8201,1371388.0
2019-04-02,150.8107,151.5653,149.814,151.0157,1184389.0
2019-04-03,151.8727,152.8228,151.0623,152.1987,1356107.0
2019-04-04,152.2732,153.4935,152.1521,152.9905,1197191.0
2019-04-05,153.5494,154.1129,152.9625,153.7264,1294567.0
2019-04-06,153.5494,154.1129,152.9625,153.7264,1294567.0
2019-04-07,153.5494,154.1129,152.9625,153.7264,1294567.0
2019-04-08,152.7483,153.7357,152.0124,153.6984,1133284.0
2019-04-09,151.0716,151.2858,147.6064,147.951,2450959.0
2019-04-10,148.1094,148.7055,145.0913,147.7647,2746750.0
2019-04-11,147.774,149.3203,147.0847,149.1899,1162243.0
2019-04-12,150.6151,151.2066,148.9477,150.4009,1220178.0
2019-04-13,150.6151,151.2066,148.9477,150.4009,1220178.0
2019-04-14,150.6151,151.2066,148.9477,150.4009,1220178.0
2019-04-15,150.7455,151.4535,150.3264,151.3603,1062472.0
2019-04-16,151.3603,153.922,151.2486,153.2886,1310199.0
2019-04-17,153.568,154.4343,152.6272,154.1176,1350741.0
2019-04-18,154.6206,158.3466,154.3691,157.471,2215536.0
2019-04-19,154.6206,158.3466,154.3691,157.471,2215536.0
2019-04-20,154.6206,158.3466,154.3691,157.471,2215536.0
2019-04-21,154.6206,158.3466,154.3691,157.471,2215536.0
