,IDA US Equity,IDA US Equity,IDA US Equity,IDA US Equity,IDA US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,94.0443,94.7938,93.8591,94.1766,292838.0
2020-01-02,94.3882,94.3882,92.4218,93.0831,227753.0
2020-01-03,93.1449,93.5858,92.9685,93.1096,204958.0
2020-01-04,93.1449,93.5858,92.9685,93.1096,204958.0
2020-01-05,93.1449,93.5858,92.9685,93.1096,204958.0
2020-01-06,93.0743,93.7709,92.845,93.1096,205703.0
2020-01-07,92.8627,93.0743,92.3645,92.7216,255804.0
2020-01-08,92.607,92.9068,92.1678,92.3248,211332.0
2020-01-09,92.2278,93.1757,92.1132,92.9597,194138.0
2020-01-10,93.0567,93.427,92.9068,93.2419,207724.0
2020-01-11,93.0567,93.427,92.9068,93.2419,207724.0
2020-01-12,93.0567,93.427,92.9068,93.2419,207724.0
2020-01-13,93.1713,94.6087,93.1713,94.3706,249083.0
2020-01-14,94.2471,94.494,93.4888,94.3441,200304.0
2020-01-15,94.3441,95.7374,94.3441,95.3846,193245.0
2020-01-16,95.2612,96.1474,95.2612,95.7726,180634.0
2020-01-17,95.852,96.3105,95.367,96.2224,159673.0
2020-01-18,95.852,96.3105,95.367,96.2224,159673.0
2020-01-19,95.852,96.3105,95.367,96.2224,159673.0
2020-01-20,95.852,96.3105,95.367,96.2224,159673.0
2020-01-21,96.3811,96.8573,95.7109,96.8132,220232.0
2020-01-22,97.0777,97.3599,96.8837,97.1306,161610.0
2020-01-23,97.2982,98.2064,97.2303,98.1359,168910.0
2020-01-24,98.127,99.0618,98.0124,98.7972,203181.0
2020-01-25,98.127,99.0618,98.0124,98.7972,203181.0
2020-01-26,98.127,99.0618,98.0124,98.7972,203181.0
2020-01-27,98.6385,99.388,98.1182,98.5768,265401.0
2020-01-28,98.7002,99.0529,98.1359,98.4886,190628.0
2020-01-29,98.7267,99.0618,97.6112,98.8413,243218.0
2020-01-30,98.6826,99.9436,98.6826,99.8025,165148.0
2020-01-31,99.679,100.067,98.612,98.9295,224101.0
2020-02-01,99.679,100.067,98.612,98.9295,224101.0
2020-02-02,99.679,100.067,98.612,98.9295,224101.0
2020-02-03,99.0794,99.3792,98.7267,99.2469,209652.0
2020-02-04,99.1405,99.1582,97.8276,97.9163,330122.0
2020-02-05,97.7212,98.626,97.7123,98.1558,229988.0
2020-02-06,98.1558,98.6703,97.8365,98.0494,153148.0
2020-02-07,98.2445,98.4131,97.2067,97.2421,198439.0
2020-02-08,98.2445,98.4131,97.2067,97.2421,198439.0
2020-02-09,98.2445,98.4131,97.2067,97.2421,198439.0
2020-02-10,97.4994,97.9695,97.2711,97.8276,364960.0
2020-02-11,97.9163,98.3333,97.3308,97.6591,216535.0
2020-02-12,97.4728,97.5437,95.876,97.4462,336204.0
2020-02-13,97.4196,98.7457,97.3308,98.5994,250239.0
2020-02-14,98.7945,99.3445,98.2978,99.2736,197843.0
2020-02-15,98.7945,99.3445,98.2978,99.2736,197843.0
2020-02-16,98.7945,99.3445,98.2978,99.2736,197843.0
2020-02-17,98.7945,99.3445,98.2978,99.2736,197843.0
2020-02-18,99.451,100.551,99.0961,100.3735,293793.0
2020-02-19,100.0631,100.755,99.1272,99.2736,193429.0
2020-02-20,98.83,100.1473,97.5526,99.1228,273017.0
2020-02-21,99.1405,100.2405,98.9453,99.2469,251481.0
2020-02-22,99.1405,100.2405,98.9453,99.2469,251481.0
2020-02-23,99.1405,100.2405,98.9453,99.2469,251481.0
2020-02-24,98.5994,99.6018,98.0583,98.7768,314053.0
2020-02-25,98.7147,98.8655,96.3551,96.6655,388268.0
2020-02-26,96.7188,97.7478,95.4059,95.4147,427168.0
2020-02-27,94.8648,95.3438,91.21,91.5648,531006.0
2020-02-28,90.1898,90.1898,85.027,85.7278,598995.0
2020-02-29,90.1898,90.1898,85.027,85.7278,598995.0
2020-03-01,90.1898,90.1898,85.027,85.7278,598995.0
2020-03-02,85.7278,90.7132,85.5238,90.6334,315224.0
2020-03-03,90.6245,92.4519,89.3205,89.4535,277127.0
2020-03-04,90.8019,94.7583,90.8019,94.5454,295492.0
2020-03-05,92.9132,94.2349,92.3809,93.9156,297789.0
2020-03-06,91.7245,95.5833,89.8172,95.2551,339087.0
2020-03-07,91.7245,95.5833,89.8172,95.2551,339087.0
2020-03-08,91.7245,95.5833,89.8172,95.2551,339087.0
2020-03-09,90.5713,92.0793,88.4201,89.3293,381312.0
2020-03-10,90.6245,91.3164,85.9229,89.5955,354061.0
2020-03-11,87.5197,87.9366,83.1819,84.9826,369659.0
2020-03-12,77.7618,79.2432,72.6832,73.9917,468587.0
2020-03-13,77.7795,79.7311,73.1667,79.5803,512824.0
2020-03-14,77.7795,79.7311,73.1667,79.5803,512824.0
2020-03-15,77.7795,79.7311,73.1667,79.5803,512824.0
2020-03-16,73.4949,76.3957,71.6143,72.4304,385860.0
2020-03-17,74.036,84.0822,73.6723,83.6964,489508.0
2020-03-18,79.8021,84.6988,76.2892,81.5319,635014.0
2020-03-19,81.3633,81.9488,72.6256,74.4441,514155.0
2020-03-20,74.586,75.1094,65.0587,66.4958,684456.0
2020-03-21,74.586,75.1094,65.0587,66.4958,684456.0
2020-03-22,74.586,75.1094,65.0587,66.4958,684456.0
2020-03-23,65.9015,68.3232,61.2542,65.9458,504752.0
2020-03-24,67.995,72.0401,65.3249,71.6853,409240.0
2020-03-25,71.4546,76.4755,67.6313,73.4772,642605.0
2020-03-26,73.8763,79.119,73.7167,78.2852,388073.0
2020-03-27,75.9166,83.6698,75.4999,79.9085,464365.0
2020-03-28,75.9166,83.6698,75.4999,79.9085,464365.0
2020-03-29,75.9166,83.6698,75.4999,79.9085,464365.0
2020-03-30,81.0351,82.6851,78.365,81.2835,564119.0
