,ELV US Equity,ELV US Equity,ELV US Equity,ELV US Equity,ELV US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,243.721,246.724,242.332,246.48,978297.0
2019-01-02,242.52,243.008,235.453,239.338,2180275.0
2019-01-03,240.737,241.084,232.834,233.144,2156578.0
2019-01-04,234.636,238.043,233.839,234.543,1787334.0
2019-01-05,234.636,238.043,233.839,234.543,1787334.0
2019-01-06,234.636,238.043,233.839,234.543,1787334.0
2019-01-07,234.552,237.555,233.923,234.955,1485363.0
2019-01-08,237.311,240.582,226.349,234.12,3164842.0
2019-01-09,235.519,239.32,235.368,235.894,1458034.0
2019-01-10,236.025,238.419,235.068,236.757,1705520.0
2019-01-11,236.298,241.14,235.814,240.859,1432412.0
2019-01-12,236.298,241.14,235.814,240.859,1432412.0
2019-01-13,236.298,241.14,235.814,240.859,1432412.0
2019-01-14,240.249,241.76,238.766,239.432,1569620.0
2019-01-15,239.32,245.195,238.09,244.341,1457421.0
2019-01-16,244.387,246.828,243.712,245.814,1282962.0
2019-01-17,245.711,247.547,244.838,245.786,1199576.0
2019-01-18,248.02,250.441,246.265,249.756,1581191.0
2019-01-19,248.02,250.441,246.265,249.756,1581191.0
2019-01-20,248.02,250.441,246.265,249.756,1581191.0
2019-01-21,248.02,250.441,246.265,249.756,1581191.0
2019-01-22,249.287,251.323,246.246,248.301,1344233.0
2019-01-23,249.202,251.924,247.973,251.614,1307705.0
2019-01-24,251.999,252.768,248.188,249.268,1746908.0
2019-01-25,251.764,256.194,251.173,255.912,2004888.0
2019-01-26,251.764,256.194,251.173,255.912,2004888.0
2019-01-27,251.764,256.194,251.173,255.912,2004888.0
2019-01-28,254.251,254.842,252.027,253.407,1316636.0
2019-01-29,253.266,256.616,251.145,255.941,1442097.0
2019-01-30,273.988,287.174,272.637,279.262,4477954.0
2019-01-31,279.403,285.663,278.85,284.368,3410536.0
2019-02-01,282.735,286.001,281.388,284.64,2444227.0
2019-02-02,282.735,286.001,281.388,284.64,2444227.0
2019-02-03,282.735,286.001,281.388,284.64,2444227.0
2019-02-04,284.893,285.607,281.862,285.504,1181065.0
2019-02-05,286.245,288.338,283.814,284.884,1399927.0
2019-02-06,284.246,292.439,283.739,292.214,1755265.0
2019-02-07,290.937,291.36,286.827,289.107,1075949.0
2019-02-08,287.728,288.539,282.51,285.541,1735505.0
2019-02-09,287.728,288.539,282.51,285.541,1735505.0
2019-02-10,287.728,288.539,282.51,285.541,1735505.0
2019-02-11,285.898,286.695,281.186,283.589,1037636.0
2019-02-12,284.987,288.216,282.97,287.596,1042419.0
2019-02-13,288.0,290.468,285.729,286.902,1149531.0
2019-02-14,286.874,290.251,285.316,289.22,809731.0
2019-02-15,291.754,292.664,289.793,292.42,1153557.0
2019-02-16,291.754,292.664,289.793,292.42,1153557.0
2019-02-17,291.754,292.664,289.793,292.42,1153557.0
2019-02-18,291.754,292.664,289.793,292.42,1153557.0
2019-02-19,291.876,293.359,291.238,292.439,1021225.0
2019-02-20,291.979,294.391,290.984,293.706,1092459.0
2019-02-21,293.95,293.95,289.868,292.158,1024833.0
2019-02-22,292.158,297.704,290.515,297.31,1247378.0
2019-02-23,292.158,297.704,290.515,297.31,1247378.0
2019-02-24,292.158,297.704,290.515,297.31,1247378.0
2019-02-25,298.108,298.436,294.832,295.067,1665478.0
2019-02-26,293.959,298.029,293.959,297.901,1496411.0
2019-02-27,295.771,296.54,285.518,287.249,2618938.0
2019-02-28,286.573,290.557,279.394,282.238,2766581.0
2019-03-01,285.184,289.821,284.452,288.76,2124598.0
2019-03-02,285.184,289.821,284.452,288.76,2124598.0
2019-03-03,285.184,289.821,284.452,288.76,2124598.0
2019-03-04,288.704,289.99,273.312,274.598,2751696.0
2019-03-05,276.259,282.116,272.177,280.323,2481406.0
2019-03-06,280.905,280.905,275.208,276.353,1557971.0
