,ELV US Equity,ELV US Equity,ELV US Equity,ELV US Equity,ELV US Equity
2019-03-07,281.778,282.772,269.178,273.5,2409818.0
2019-03-08,273.106,278.352,272.233,276.897,1822862.0
2019-03-09,273.106,278.352,272.233,276.897,1822862.0
2019-03-10,273.106,278.352,272.233,276.897,1822862.0
2019-03-11,277.057,278.737,274.589,277.77,1404277.0
2019-03-12,278.737,280.145,277.057,278.718,1018487.0
2019-03-13,280.398,286.104,279.338,284.94,1144707.0
2019-03-14,284.987,287.615,284.715,286.667,967772.0
2019-03-15,286.667,288.568,284.089,285.115,1631979.0
2019-03-16,286.667,288.568,284.089,285.115,1631979.0
2019-03-17,286.667,288.568,284.089,285.115,1631979.0
2019-03-18,286.056,290.648,285.717,290.036,1091393.0
2019-03-19,290.13,293.969,288.272,289.81,1276132.0
2019-03-20,289.603,291.052,283.077,285.124,1222270.0
2019-03-21,283.383,287.317,283.383,286.865,943632.0
2019-03-22,286.507,287.938,283.294,283.713,1096138.0
2019-03-23,286.507,287.938,283.294,283.713,1096138.0
2019-03-24,286.507,287.938,283.294,283.713,1096138.0
2019-03-25,283.769,283.769,276.194,280.175,983928.0
2019-03-26,281.558,281.821,268.384,271.282,2394305.0
2019-03-27,271.743,274.331,262.738,266.295,2518593.0
2019-03-28,268.177,268.177,263.096,265.684,1693633.0
2019-03-29,267.932,270.671,265.072,270.04,1582059.0
2019-03-30,267.932,270.671,265.072,270.04,1582059.0
2019-03-31,267.932,270.671,265.072,270.04,1582059.0
2019-04-01,272.694,273.371,267.773,271.311,1347432.0
2019-04-02,272.346,272.59,268.544,271.188,1163190.0
2019-04-03,272.628,273.823,268.873,270.68,1015258.0
2019-04-04,271.311,274.839,270.37,274.011,760580.0
2019-04-05,274.03,276.232,272.134,275.997,1072909.0
2019-04-06,274.03,276.232,272.134,275.997,1072909.0
2019-04-07,274.03,276.232,272.134,275.997,1072909.0
2019-04-08,275.837,276.317,271.866,272.412,997808.0
2019-04-09,271.235,274.093,269.798,272.976,1095329.0
2019-04-10,273.277,273.997,269.457,271.038,1008226.0
2019-04-11,272.6,273.767,259.092,259.981,2381023.0
2019-04-12,260.546,260.546,234.443,237.925,7351953.0
2019-04-13,260.546,260.546,234.443,237.925,7351953.0
2019-04-14,260.546,260.546,234.443,237.925,7351953.0
2019-04-15,239.572,249.028,239.477,247.363,4080029.0
2019-04-16,250.703,251.701,226.953,230.661,6399576.0
2019-04-17,229.033,229.437,213.751,222.305,7072898.0
2019-04-18,223.97,227.188,216.904,225.476,3977874.0
2019-04-19,223.97,227.188,216.904,225.476,3977874.0
2019-04-20,223.97,227.188,216.904,225.476,3977874.0
2019-04-21,223.97,227.188,216.904,225.476,3977874.0
2019-04-22,226.53,230.764,224.958,229.597,3303052.0
2019-04-23,230.773,237.276,229.673,235.845,3763530.0
2019-04-24,233.643,238.998,233.126,236.184,3264394.0
2019-04-25,234.302,242.329,233.596,240.804,3185764.0
2019-04-26,242.771,251.023,242.235,250.675,4127690.0
2019-04-27,242.771,251.023,242.235,250.675,4127690.0
2019-04-28,242.771,251.023,242.235,250.675,4127690.0
2019-04-29,250.957,252.341,247.043,250.572,2248336.0
2019-04-30,250.609,252.341,244.648,247.504,2341425.0
2019-05-01,246.779,249.273,241.482,245.33,1854905.0
2019-05-02,245.377,246.544,240.353,246.149,1604550.0
2019-05-03,246.544,247.796,241.961,246.252,1231676.0
2019-05-04,246.544,247.796,241.961,246.252,1231676.0
2019-05-05,246.544,247.796,241.961,246.252,1231676.0
2019-05-06,242.065,253.827,240.982,252.839,1686207.0
2019-05-07,251.588,253.498,246.808,249.254,1473437.0
2019-05-08,249.085,251.136,244.897,249.028,1228079.0
2019-05-09,246.158,252.077,244.982,250.346,1471222.0
2019-05-10,252.905,253.893,246.243,252.472,1467905.0
2019-05-11,252.905,253.893,246.243,252.472,1467905.0
2019-05-12,252.905,253.893,246.243,252.472,1467905.0
2019-05-13,248.878,250.313,243.317,245.782,2501345.0
2019-05-14,247.241,249.122,245.782,245.904,1281847.0
2019-05-15,243.966,247.429,242.3,243.383,2055847.0
2019-05-16,244.013,253.536,243.844,248.247,1524868.0
2019-05-17,245.923,252.03,245.594,249.424,879487.0
2019-05-18,245.923,252.03,245.594,249.424,879487.0
2019-05-19,245.923,252.03,245.594,249.424,879487.0
2019-05-20,249.348,251.127,247.081,250.59,1207679.0
2019-05-21,253.122,261.863,252.19,260.706,2404356.0
2019-05-22,258.438,263.708,258.193,260.781,1538036.0
2019-05-23,258.843,261.6,257.271,261.327,1683059.0
2019-05-24,260.828,263.402,258.786,260.885,1386118.0
2019-05-25,260.828,263.402,258.786,260.885,1386118.0
2019-05-26,260.828,263.402,258.786,260.885,1386118.0
2019-05-27,260.828,263.402,258.786,260.885,1386118.0
2019-05-28,261.703,262.625,256.123,256.189,1621948.0
2019-05-29,254.477,260.574,253.536,259.304,1672209.0
2019-05-30,260.226,262.776,258.829,261.421,1113835.0
2019-05-31,260.132,263.256,257.572,261.572,2056626.0
2019-06-01,260.132,263.256,257.572,261.572,2056626.0
2019-06-02,260.132,263.256,257.572,261.572,2056626.0
2019-06-03,261.054,264.968,257.638,260.122,2270146.0
2019-06-04,260.725,264.55,260.207,263.293,1722521.0
2019-06-05,266.126,266.126,257.93,260.574,1487793.0
2019-06-06,263.472,265.044,260.781,261.12,1612436.0
2019-06-07,261.913,264.093,260.752,262.469,1377485.0
2019-06-08,261.913,264.093,260.752,262.469,1377485.0
2019-06-09,261.913,264.093,260.752,262.469,1377485.0
2019-06-10,264.234,266.584,262.281,266.254,1232724.0
2019-06-11,266.254,269.764,265.999,267.49,1485589.0
2019-06-12,266.961,267.48,262.988,265.272,1268560.0
2019-06-13,265.366,269.236,264.951,269.047,1073859.0
2019-06-14,269.896,270.793,266.603,269.255,1426480.0
2019-06-15,269.896,270.793,266.603,269.255,1426480.0
2019-06-16,269.896,270.793,266.603,269.255,1426480.0
2019-06-17,269.377,271.831,269.132,271.265,1084984.0
2019-06-18,272.133,273.85,270.368,272.095,1829538.0
2019-06-19,271.887,275.7,270.387,274.681,1115180.0
2019-06-20,275.992,277.795,273.086,274.832,1525819.0
2019-06-21,275.908,278.229,273.133,277.219,1965592.0
2019-06-22,275.908,278.229,273.133,277.219,1965592.0
2019-06-23,275.908,278.229,273.133,277.219,1965592.0
2019-06-24,277.248,278.253,270.472,274.171,1523756.0
2019-06-25,273.652,274.945,268.075,269.122,1750131.0
2019-06-26,269.122,269.707,261.507,263.139,1474568.0
2019-06-27,263.753,268.245,263.115,266.518,1116626.0
2019-06-28,266.367,266.489,260.025,266.32,2629210.0
2019-06-29,266.367,266.489,260.025,266.32,2629210.0
2019-06-30,266.367,266.489,260.025,266.32,2629210.0
2019-07-01,267.914,268.632,263.187,266.801,1302498.0
2019-07-02,267.263,267.263,261.545,264.857,1380930.0
2019-07-03,263.847,268.462,263.847,266.858,720131.0
2019-07-04,263.847,268.462,263.847,266.858,720131.0
2019-07-05,266.81,272.076,266.386,268.065,979205.0
2019-07-06,266.81,272.076,266.386,268.065,979205.0
2019-07-07,266.81,272.076,266.386,268.065,979205.0
2019-07-08,267.518,269.566,265.555,268.707,944761.0
2019-07-09,266.858,269.5,266.037,268.16,841635.0
2019-07-10,268.735,272.774,267.075,271.708,1228072.0
2019-07-11,279.909,286.958,277.927,286.769,2581088.0
2019-07-12,287.043,294.88,285.571,292.998,2029208.0
2019-07-13,287.043,294.88,285.571,292.998,2029208.0
2019-07-14,287.043,294.88,285.571,292.998,2029208.0
2019-07-15,292.262,293.281,288.676,289.572,1780143.0
2019-07-16,290.195,290.426,286.024,288.213,994355.0
2019-07-17,287.355,289.61,284.552,287.534,1249318.0
2019-07-18,287.034,287.864,280.286,287.421,1324632.0
2019-07-19,288.393,289.119,284.523,285.109,938702.0
2019-07-20,288.393,289.119,284.523,285.109,938702.0
2019-07-21,288.393,289.119,284.523,285.109,938702.0
2019-07-22,284.75,286.656,283.306,284.788,858036.0
2019-07-23,283.938,286.383,279.947,285.552,1220367.0
2019-07-24,276.955,276.955,264.291,272.642,3389206.0
2019-07-25,272.982,279.446,271.784,277.399,1985204.0
2019-07-26,277.87,283.117,276.143,283.089,1123302.0
2019-07-27,277.87,283.117,276.143,283.089,1123302.0
2019-07-28,277.87,283.117,276.143,283.089,1123302.0
2019-07-29,282.825,285.06,280.211,281.523,1119688.0
2019-07-30,281.485,283.098,278.418,282.768,798307.0
2019-07-31,283.872,285.363,277.87,278.021,1516691.0
2019-08-01,277.842,279.588,274.058,276.455,1149846.0
2019-08-02,276.106,277.79,272.086,274.209,909537.0
2019-08-03,276.106,277.79,272.086,274.209,909537.0
2019-08-04,276.106,277.79,272.086,274.209,909537.0
2019-08-05,271.359,274.067,263.8,267.65,1347061.0
2019-08-06,268.132,274.893,268.018,274.652,1290626.0
2019-08-07,271.161,272.161,264.626,270.368,1265465.0
2019-08-08,270.944,273.327,269.66,272.397,963953.0
2019-08-09,271.897,273.614,269.141,271.151,1083806.0
2019-08-10,271.897,273.614,269.141,271.151,1083806.0
2019-08-11,271.897,273.614,269.141,271.151,1083806.0
2019-08-12,269.424,270.481,264.753,266.121,1000835.0
2019-08-13,265.282,272.708,265.282,270.746,1194929.0
2019-08-14,267.433,268.264,257.185,257.534,1489951.0
2019-08-15,257.921,260.072,255.703,258.676,1188798.0
2019-08-16,261.28,262.592,259.563,260.025,776357.0
2019-08-17,261.28,262.592,259.563,260.025,776357.0
2019-08-18,261.28,262.592,259.563,260.025,776357.0
2019-08-19,262.347,263.111,257.704,258.015,1385873.0
2019-08-20,256.486,257.439,251.334,251.56,1446415.0
2019-08-21,253.108,254.221,251.494,252.797,981110.0
2019-08-22,253.155,253.877,246.134,246.361,1524425.0
2019-08-23,246.634,249.361,244.69,245.719,1375085.0
2019-08-24,246.634,249.361,244.69,245.719,1375085.0
2019-08-25,246.634,249.361,244.69,245.719,1375085.0
2019-08-26,247.587,249.281,245.209,245.841,1236990.0
2019-08-27,246.417,247.064,236.876,237.15,2045481.0
2019-08-28,236.725,242.406,236.098,239.519,1360005.0
2019-08-29,241.897,245.69,240.33,245.162,1504244.0
2019-08-30,246.294,248.418,245.841,246.795,1159150.0
2019-08-31,246.294,248.418,245.841,246.795,1159150.0
2019-09-01,246.294,248.418,245.841,246.795,1159150.0
2019-09-02,246.294,248.418,245.841,246.795,1159150.0
2019-09-03,245.181,245.832,241.878,243.567,1038344.0
2019-09-04,245.86,247.21,239.689,239.915,1292939.0
2019-09-05,240.076,240.986,235.187,237.075,2881741.0
2019-09-06,238.641,241.557,234.687,235.338,2241118.0
2019-09-07,238.641,241.557,234.687,235.338,2241118.0
2019-09-08,238.641,241.557,234.687,235.338,2241118.0
2019-09-09,237.449,238.794,234.42,237.109,1303843.0
2019-09-10,237.705,240.668,234.978,239.135,2220113.0
2019-09-11,239.523,240.943,235.158,236.503,1382632.0
2019-09-12,238.074,239.788,234.808,234.941,1827119.0
2019-09-13,237.203,242.912,235.745,239.598,2052408.0
2019-09-14,237.203,242.912,235.745,239.598,2052408.0
2019-09-15,237.203,242.912,235.745,239.598,2052408.0
2019-09-16,239.049,246.415,239.012,244.805,1748446.0
2019-09-17,244.72,245.449,242.193,243.584,1221036.0
2019-09-18,242.268,245.875,237.999,238.377,2004417.0
2019-09-19,239.125,243.527,237.629,241.842,1838513.0
2019-09-20,241.965,242.495,238.15,238.661,2195385.0
2019-09-21,241.965,242.495,238.15,238.661,2195385.0
2019-09-22,241.965,242.495,238.15,238.661,2195385.0
2019-09-23,237.487,238.983,236.072,238.008,1320991.0
2019-09-24,239.163,239.49,233.057,234.969,1909094.0
2019-09-25,234.496,237.128,230.974,231.002,1568522.0
2019-09-26,230.803,231.727,222.908,226.079,2446082.0
2019-09-27,227.471,228.607,224.47,225.028,1148661.0
2019-09-28,227.471,228.607,224.47,225.028,1148661.0
2019-09-29,227.471,228.607,224.47,225.028,1148661.0
2019-09-30,224.583,229.459,223.457,227.31,1499526.0
2019-10-01,228.493,228.579,222.595,225.738,1695642.0
2019-10-02,225.0,229.042,223.779,225.227,1283679.0
2019-10-03,224.64,226.732,223.334,225.54,1378450.0
2019-10-04,226.003,228.919,225.954,228.91,921442.0
2019-10-05,226.003,228.919,225.954,228.91,921442.0
2019-10-06,226.003,228.919,225.954,228.91,921442.0
2019-10-07,228.872,229.591,227.614,228.19,1246231.0
2019-10-08,226.335,227.158,222.396,222.974,1579035.0
2019-10-09,224.943,225.956,223.528,225.558,951486.0
2019-10-10,224.754,226.874,223.125,224.593,1153437.0
2019-10-11,227.035,231.873,224.347,224.896,1567260.0
2019-10-12,227.035,231.873,224.347,224.896,1567260.0
2019-10-13,227.035,231.873,224.347,224.896,1567260.0
2019-10-14,224.953,226.25,222.188,222.311,1254208.0
2019-10-15,227.906,238.33,227.698,235.679,2857595.0
2019-10-16,233.965,235.281,231.324,231.968,1750604.0
2019-10-17,232.877,236.758,232.162,235.973,1430622.0
2019-10-18,235.641,237.023,233.085,236.115,1534594.0
2019-10-19,235.641,237.023,233.085,236.115,1534594.0
2019-10-20,235.641,237.023,233.085,236.115,1534594.0
2019-10-21,237.563,240.753,236.2,239.589,2439857.0
2019-10-22,239.674,250.846,239.674,246.387,2882580.0
2019-10-23,239.22,258.419,238.23,249.473,2746075.0
2019-10-24,250.685,251.452,243.641,245.667,1584362.0
2019-10-25,245.118,249.388,244.346,249.056,1369210.0
2019-10-26,245.118,249.388,244.346,249.056,1369210.0
2019-10-27,245.118,249.388,244.346,249.056,1369210.0
2019-10-28,250.505,256.649,249.0,253.411,1598904.0
2019-10-29,252.474,261.004,252.133,258.117,1537881.0
2019-10-30,257.312,259.584,256.091,258.893,962795.0
2019-10-31,257.946,260.569,252.427,254.746,1877442.0
2019-11-01,254.973,261.023,254.377,256.327,1432674.0
2019-11-02,254.973,261.023,254.377,256.327,1432674.0
2019-11-03,254.973,261.023,254.377,256.327,1432674.0
2019-11-04,257.889,258.95,252.332,257.246,1175214.0
2019-11-05,259.272,261.118,257.203,258.457,1404500.0
2019-11-06,257.993,262.765,257.984,262.547,1603858.0
2019-11-07,262.926,266.06,262.926,264.867,1614037.0
2019-11-08,265.094,268.341,264.147,267.063,1229659.0
2019-11-09,265.094,268.341,264.147,267.063,1229659.0
2019-11-10,265.094,268.341,264.147,267.063,1229659.0
2019-11-11,264.876,266.239,262.939,264.28,992954.0
2019-11-12,263.693,269.799,263.693,268.559,1302645.0
2019-11-13,266.789,272.336,265.87,268.625,1309738.0
2019-11-14,267.925,269.326,266.902,266.987,1186936.0
2019-11-15,266.779,282.713,263.797,281.955,2661813.0
2019-11-16,266.779,282.713,263.797,281.955,2661813.0
2019-11-17,266.779,282.713,263.797,281.955,2661813.0
2019-11-18,281.747,291.006,278.069,278.339,2349621.0
2019-11-19,278.793,279.432,274.665,277.127,2286875.0
2019-11-20,277.903,278.045,272.701,277.108,1208982.0
2019-11-21,277.259,280.204,273.87,278.083,1368517.0
2019-11-22,278.348,281.169,274.609,276.284,1149411.0
2019-11-23,278.348,281.169,274.609,276.284,1149411.0
2019-11-24,278.348,281.169,274.609,276.284,1149411.0
2019-11-25,275.498,278.613,274.751,278.235,1451963.0
2019-11-26,276.739,278.225,271.57,271.939,2464607.0
2019-11-27,273.255,276.067,271.636,274.031,1189024.0
2019-11-28,273.255,276.067,271.636,274.031,1189024.0
2019-11-29,273.775,275.262,272.185,273.283,512549.0
2019-11-30,273.775,275.262,272.185,273.283,512549.0
2019-12-01,273.775,275.262,272.185,273.283,512549.0
2019-12-02,274.192,276.663,271.712,272.119,1261957.0
2019-12-03,269.828,271.683,267.309,270.945,1182340.0
2019-12-04,273.432,274.475,271.267,272.834,895950.0
2019-12-05,272.207,273.764,269.843,271.809,969991.0
2019-12-06,267.812,271.153,266.634,270.831,1618526.0
2019-12-07,267.812,271.153,266.634,270.831,1618526.0
2019-12-08,267.812,271.153,266.634,270.831,1618526.0
2019-12-09,270.983,270.983,267.954,268.04,1224954.0
2019-12-10,268.277,269.967,266.174,269.483,863438.0
2019-12-11,268.771,270.052,265.495,266.397,1149709.0
2019-12-12,267.565,270.612,266.207,270.024,1110616.0
2019-12-13,270.631,274.011,269.198,269.739,897140.0
2019-12-14,270.631,274.011,269.198,269.739,897140.0
2019-12-15,270.631,274.011,269.198,269.739,897140.0
2019-12-16,271.239,282.303,270.593,277.011,2021029.0
2019-12-17,276.271,278.454,274.381,276.024,1107560.0
2019-12-18,276.214,279.831,275.426,278.34,1105286.0
2019-12-19,279.594,284.606,279.029,283.125,1941209.0
2019-12-20,286.448,287.967,282.613,287.663,2823555.0
2019-12-21,286.448,287.967,282.613,287.663,2823555.0
2019-12-22,286.448,287.967,282.613,287.663,2823555.0
2019-12-23,287.758,289.187,285.233,287.834,1308159.0
2019-12-24,288.442,289.344,287.17,289.087,333068.0
2019-12-25,288.442,289.344,287.17,289.087,333068.0
2019-12-26,289.391,289.79,288.622,289.334,484570.0
2019-12-27,289.619,291.081,289.21,290.91,604860.0
2019-12-28,289.619,291.081,289.21,290.91,604860.0
2019-12-29,289.619,291.081,289.21,290.91,604860.0
2019-12-30,291.024,291.053,289.049,289.856,831662.0
2019-12-31,289.847,290.084,284.977,286.742,916006.0
2020-01-01,289.847,290.084,284.977,286.742,916006.0
2020-01-02,287.35,287.492,282.157,285.641,1186195.0
2020-01-03,278.815,284.369,278.815,281.853,986799.0
2020-01-04,278.815,284.369,278.815,281.853,986799.0
2020-01-05,278.815,284.369,278.815,281.853,986799.0
2020-01-06,280.78,285.347,279.85,285.242,1308650.0
2020-01-07,284.056,285.081,279.698,284.378,1313711.0
2020-01-08,285.66,293.132,283.401,291.917,2067797.0
2020-01-09,292.249,293.36,290.312,290.901,1439908.0
2020-01-10,292.353,293.455,290.92,292.163,1049867.0
2020-01-11,292.353,293.455,290.92,292.163,1049867.0
2020-01-12,292.353,293.455,290.92,292.163,1049867.0
2020-01-13,291.347,291.461,281.34,281.72,1756534.0
2020-01-14,281.056,282.964,279.897,281.853,1067742.0
2020-01-15,282.214,289.372,282.176,286.287,1401215.0
2020-01-16,287.587,289.79,286.799,289.61,704236.0
2020-01-17,289.628,290.179,284.891,289.932,1312630.0
2020-01-18,289.628,290.179,284.891,289.932,1312630.0
2020-01-19,289.628,290.179,284.891,289.932,1312630.0
2020-01-20,289.628,290.179,284.891,289.932,1312630.0
2020-01-21,288.556,292.629,287.825,290.502,992428.0
2020-01-22,291.157,291.157,286.847,288.147,998038.0
2020-01-23,288.1,289.904,286.035,288.992,1089312.0
2020-01-24,289.41,290.113,280.467,282.233,1088693.0
2020-01-25,289.41,290.113,280.467,282.233,1088693.0
2020-01-26,289.41,290.113,280.467,282.233,1088693.0
2020-01-27,278.768,278.934,264.831,269.426,2399865.0
2020-01-28,270.574,278.758,269.748,275.625,1985903.0
2020-01-29,265.353,268.04,258.384,259.096,4450976.0
2020-01-30,255.631,256.751,248.448,252.432,2738461.0
2020-01-31,252.232,254.962,250.647,251.853,2206930.0
2020-02-01,252.232,254.962,250.647,251.853,2206930.0
2020-02-02,252.232,254.962,250.647,251.853,2206930.0
2020-02-03,252.641,256.946,249.489,252.944,1925713.0
2020-02-04,256.239,263.331,256.239,259.533,1413799.0
2020-02-05,261.422,278.34,261.422,272.786,2448937.0
2020-02-06,274.163,274.163,265.856,268.04,1760034.0
2020-02-07,265.543,267.574,262.296,262.486,1597510.0
2020-02-08,265.543,267.574,262.296,262.486,1597510.0
2020-02-09,265.543,267.574,262.296,262.486,1597510.0
2020-02-10,261.916,263.957,260.15,262.552,1149181.0
2020-02-11,263.017,265.77,259.922,265.742,1777129.0
2020-02-12,271.78,281.711,271.78,281.018,2763319.0
2020-02-13,279.812,284.359,279.646,283.742,1931282.0
2020-02-14,284.141,285.632,280.505,282.745,1433772.0
2020-02-15,284.141,285.632,280.505,282.745,1433772.0
2020-02-16,284.141,285.632,280.505,282.745,1433772.0
2020-02-17,284.141,285.632,280.505,282.745,1433772.0
2020-02-18,282.394,288.935,280.799,287.141,1972513.0
2020-02-19,286.723,289.106,284.146,288.67,1338842.0
2020-02-20,286.125,286.41,278.825,279.062,1889542.0
2020-02-21,277.249,281.768,275.483,279.793,1111009.0
2020-02-22,277.249,281.768,275.483,279.793,1111009.0
2020-02-23,277.249,281.768,275.483,279.793,1111009.0
2020-02-24,269.141,269.15,262.581,263.454,2518812.0
2020-02-25,265.077,265.334,251.103,253.865,1954896.0
2020-02-26,256.182,260.16,249.413,254.577,1733219.0
2020-02-27,249.745,254.511,244.438,244.808,2329027.0
2020-02-28,237.289,247.362,236.729,244.077,2984016.0
2020-02-29,237.289,247.362,236.729,244.077,2984016.0
2020-03-01,237.289,247.362,236.729,244.077,2984016.0
2020-03-02,246.46,258.413,237.707,257.539,3317679.0
2020-03-03,256.457,266.511,242.928,243.403,3017715.0
2020-03-04,272.046,282.461,270.897,281.416,5162150.0
2020-03-05,273.09,273.684,267.014,272.625,2868570.0
2020-03-06,264.1,269.748,255.318,267.907,3414629.0
2020-03-07,264.1,269.748,255.318,267.907,3414629.0
2020-03-08,264.1,269.748,255.318,267.907,3414629.0
2020-03-09,250.637,262.372,247.609,256.163,2712913.0
2020-03-10,264.242,273.527,259.182,271.571,2611638.0
2020-03-11,264.498,274.524,261.213,267.432,3416190.0
2020-03-12,248.767,264.584,240.631,243.242,3100233.0
2020-03-13,254.905,258.584,239.23,257.612,3027411.0
2020-03-14,254.905,258.584,239.23,257.612,3027411.0
2020-03-15,254.905,258.584,239.23,257.612,3027411.0
2020-03-16,215.836,236.305,206.087,213.492,2815367.0
2020-03-17,218.942,235.094,214.33,227.099,3100791.0
2020-03-18,213.882,219.171,177.824,197.216,3649862.0
2020-03-19,196.511,202.609,184.366,191.412,3321964.0
2020-03-20,194.671,207.679,176.947,182.569,4780250.0
2020-03-21,194.671,207.679,176.947,182.569,4780250.0
2020-03-22,194.671,207.679,176.947,182.569,4780250.0
2020-03-23,179.663,180.649,162.977,166.456,3236699.0
2020-03-24,175.318,191.536,172.588,187.572,3130601.0
2020-03-25,181.14,216.16,178.234,206.183,3521376.0
2020-03-26,210.862,227.547,204.877,224.574,2705284.0
2020-03-27,207.364,217.742,206.935,212.462,2585280.0
2020-03-28,207.364,217.742,206.935,212.462,2585280.0
2020-03-29,207.364,217.742,206.935,212.462,2585280.0
2020-03-30,214.082,222.868,209.794,219.724,2095953.0
2020-03-31,224.202,224.726,213.353,216.35,2956436.0
2020-04-01,206.793,211.119,200.503,204.21,2225894.0
2020-04-02,200.618,209.165,194.386,201.437,2625614.0
2020-04-03,199.055,200.999,189.788,193.728,1776960.0
2020-04-04,199.055,200.999,189.788,193.728,1776960.0
2020-04-05,199.055,200.999,189.788,193.728,1776960.0
2020-04-06,205.363,216.808,202.19,215.092,2648649.0
2020-04-07,224.603,225.429,210.538,213.501,2450006.0
2020-04-08,216.455,237.114,215.75,235.39,2415226.0
2020-04-09,229.596,236.376,228.633,231.044,2191212.0
2020-04-10,229.596,236.376,228.633,231.044,2191212.0
2020-04-11,229.596,236.376,228.633,231.044,2191212.0
2020-04-12,229.596,236.376,228.633,231.044,2191212.0
2020-04-13,229.443,232.026,226.461,229.205,1036724.0
2020-04-14,234.189,242.222,233.693,240.145,2145570.0
2020-04-15,237.419,242.374,233.57,238.677,2424610.0
2020-04-16,242.527,260.518,238.82,259.041,2717330.0
2020-04-17,265.873,266.726,250.817,255.21,1954766.0
2020-04-18,265.873,266.726,250.817,255.21,1954766.0
2020-04-19,265.873,266.726,250.817,255.21,1954766.0
2020-04-20,250.122,260.346,248.892,250.808,1597880.0
2020-04-21,242.994,247.663,237.562,237.629,1618127.0
2020-04-22,243.08,253.0,242.803,250.579,1174099.0
2020-04-23,252.247,253.705,246.272,249.235,1587417.0
2020-04-24,252.98,254.648,248.302,251.684,1390682.0
