,LPLA US Equity,LPLA US Equity,LPLA US Equity,LPLA US Equity,LPLA US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,89.6969,90.1423,89.0966,89.3193,441795.0
2020-01-02,89.6969,90.9362,89.329,90.9265,403196.0
2020-01-03,89.5323,89.8615,88.4479,89.4064,486344.0
2020-01-04,89.5323,89.8615,88.4479,89.4064,486344.0
2020-01-05,89.5323,89.8615,88.4479,89.4064,486344.0
2020-01-06,88.1768,89.784,87.8282,89.7066,447478.0
2020-01-07,89.7066,92.1271,89.7066,91.6237,694512.0
2020-01-08,91.4978,93.4633,91.4978,92.4563,461192.0
2020-01-09,93.6182,94.7026,93.3955,93.9087,681759.0
2020-01-10,94.3831,94.7075,93.4923,93.9765,570706.0
2020-01-11,94.3831,94.7075,93.4923,93.9765,570706.0
2020-01-12,94.3831,94.7075,93.4923,93.9765,570706.0
2020-01-13,94.7123,95.545,94.1314,95.361,396813.0
2020-01-14,95.1093,95.9129,94.3831,94.5671,560390.0
2020-01-15,93.686,95.2759,93.6279,94.5284,428236.0
2020-01-16,95.2061,95.8645,95.2061,95.7193,440875.0
2020-01-17,96.2615,96.4358,94.9641,95.0221,436177.0
2020-01-18,96.2615,96.4358,94.9641,95.0221,436177.0
2020-01-19,96.2615,96.4358,94.9641,95.0221,436177.0
2020-01-20,96.2615,96.4358,94.9641,95.0221,436177.0
2020-01-21,94.5961,94.9205,93.7731,93.9861,1210494.0
2020-01-22,94.3734,94.9447,94.0152,94.2088,414834.0
2020-01-23,93.715,94.4243,92.224,93.9668,428907.0
2020-01-24,94.1798,94.4896,91.5462,91.9238,564413.0
2020-01-25,94.1798,94.4896,91.5462,91.9238,564413.0
2020-01-26,94.1798,94.4896,91.5462,91.9238,564413.0
2020-01-27,89.8905,90.4521,89.2224,89.8131,890685.0
2020-01-28,90.6167,92.2191,90.2294,91.3235,461387.0
2020-01-29,91.6237,92.3886,90.8588,91.2557,461895.0
2020-01-30,90.2197,92.7178,90.0551,92.5822,774385.0
2020-01-31,88.1671,91.7689,87.6249,89.2031,1225571.0
2020-02-01,88.1671,91.7689,87.6249,89.2031,1225571.0
2020-02-02,88.1671,91.7689,87.6249,89.2031,1225571.0
2020-02-03,89.0094,91.1686,87.8088,88.0122,727407.0
2020-02-04,89.9002,91.3041,89.7114,89.8615,552963.0
2020-02-05,91.5559,92.1465,90.0454,91.7011,452768.0
2020-02-06,92.4273,92.4273,90.394,91.0137,465816.0
2020-02-07,90.5102,91.7689,89.755,91.4881,464431.0
2020-02-08,90.5102,91.7689,89.755,91.4881,464431.0
2020-02-09,90.5102,91.7689,89.755,91.4881,464431.0
2020-02-10,90.7523,91.4784,89.7453,90.6554,451714.0
2020-02-11,90.9749,93.7441,90.5344,92.9211,420797.0
2020-02-12,93.2987,93.8119,91.7398,92.6597,431380.0
2020-02-13,91.9335,92.6113,91.0427,92.0303,329986.0
2020-02-14,92.0013,93.1244,91.4591,91.6527,363463.0
2020-02-15,92.0013,93.1244,91.4591,91.6527,363463.0
2020-02-16,92.0013,93.1244,91.4591,91.6527,363463.0
2020-02-17,92.0013,93.1244,91.4591,91.6527,363463.0
2020-02-18,90.5973,91.856,90.5973,91.3816,466339.0
2020-02-19,92.0594,94.5961,91.7786,94.3928,669096.0
2020-02-20,94.1314,96.3825,93.9377,95.6709,683600.0
2020-02-21,95.4385,95.5837,91.7883,91.8464,684342.0
2020-02-22,95.4385,95.5837,91.7883,91.8464,684342.0
2020-02-23,95.4385,95.5837,91.7883,91.8464,684342.0
2020-02-24,88.351,88.3752,84.6524,84.788,866430.0
2020-02-25,84.9913,86.6953,81.6799,81.7961,1086692.0
2020-02-26,82.164,83.5293,80.1308,80.6439,701350.0
2020-02-27,78.1653,82.2221,77.2551,78.7559,1164458.0
2020-02-28,75.9093,78.1265,74.9276,76.955,962049.0
2020-02-29,75.9093,78.1265,74.9276,76.955,962049.0
2020-03-01,75.9093,78.1265,74.9276,76.955,962049.0
2020-03-02,77.4875,80.184,76.4321,79.879,1299456.0
2020-03-03,79.8112,80.1211,72.443,73.0143,1440992.0
2020-03-04,73.5177,73.9341,66.9241,70.3032,1896403.0
2020-03-05,68.0666,68.6379,62.8188,64.1356,2289033.0
2020-03-06,61.2115,65.7332,61.2115,64.3583,1593496.0
2020-03-07,61.2115,65.7332,61.2115,64.3583,1593496.0
2020-03-08,61.2115,65.7332,61.2115,64.3583,1593496.0
2020-03-09,58.2681,63.3126,54.2887,54.3565,2124003.0
2020-03-10,57.174,58.9265,53.6981,58.4618,1741641.0
2020-03-11,56.5931,58.5683,54.6857,56.1283,1666118.0
2020-03-12,51.9649,53.7707,47.9177,48.7988,1753883.0
2020-03-13,52.6911,57.8615,50.136,57.8615,1350297.0
2020-03-14,52.6911,57.8615,50.136,57.8615,1350297.0
2020-03-15,52.6911,57.8615,50.136,57.8615,1350297.0
2020-03-16,50.5804,53.3882,48.8666,50.9773,1668150.0
2020-03-17,51.9891,53.8278,47.2124,48.4966,1680699.0
2020-03-18,44.3133,46.4438,31.1409,37.9606,2330459.0
2020-03-19,36.8807,46.473,36.156,43.9631,1632347.0
2020-03-20,44.6246,48.6717,40.7429,43.6031,1938865.0
2020-03-21,44.6246,48.6717,40.7429,43.6031,1938865.0
2020-03-22,44.6246,48.6717,40.7429,43.6031,1938865.0
2020-03-23,42.747,44.1187,39.2642,40.3927,1175704.0
2020-03-24,40.7916,50.5298,40.7916,50.3839,1078558.0
2020-03-25,51.4248,56.4642,47.2464,52.495,1341973.0
2020-03-26,54.7228,56.6734,51.1427,54.8006,1215198.0
2020-03-27,51.2303,52.6993,49.2359,51.4735,780480.0
2020-03-28,51.2303,52.6993,49.2359,51.4735,780480.0
2020-03-29,51.2303,52.6993,49.2359,51.4735,780480.0
2020-03-30,51.3859,54.1391,48.8371,53.6527,597626.0
2020-03-31,53.3705,55.9778,52.7576,52.9522,722583.0
2020-04-01,49.2651,51.6583,48.8565,50.5201,991996.0
2020-04-02,50.2282,51.7167,48.2193,49.9947,982953.0
2020-04-03,49.9656,50.4136,46.2785,47.3291,1070197.0
2020-04-04,49.9656,50.4136,46.2785,47.3291,1070197.0
2020-04-05,49.9656,50.4136,46.2785,47.3291,1070197.0
2020-04-06,51.133,52.2177,49.664,51.8626,1542049.0
2020-04-07,55.754,55.754,50.7001,51.0552,819700.0
2020-04-08,52.1253,53.5846,50.7147,52.9717,720323.0
2020-04-09,54.2169,57.3203,52.9814,56.0167,1232607.0
2020-04-10,54.2169,57.3203,52.9814,56.0167,1232607.0
2020-04-11,54.2169,57.3203,52.9814,56.0167,1232607.0
2020-04-12,54.2169,57.3203,52.9814,56.0167,1232607.0
2020-04-13,55.7443,55.7443,52.1934,53.6916,639482.0
2020-04-14,54.9952,55.4058,53.2927,54.6352,864424.0
2020-04-15,51.7848,53.8959,51.561,53.283,629775.0
2020-04-16,53.5067,53.9542,50.919,51.9015,836593.0
2020-04-17,54.4796,55.7735,52.1934,52.3393,956941.0
2020-04-18,54.4796,55.7735,52.1934,52.3393,956941.0
2020-04-19,54.4796,55.7735,52.1934,52.3393,956941.0
