,AMAT US Equity,AMAT US Equity,AMAT US Equity,AMAT US Equity,AMAT US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,30.8424,31.1159,30.3615,30.8707,9697064.0
2019-01-02,30.2107,31.8608,30.1753,31.5685,11106343.0
2019-01-03,30.8613,31.3516,29.6826,29.7392,21580709.0
2019-01-04,30.4181,31.9173,30.371,31.7759,15631771.0
2019-01-05,30.4181,31.9173,30.371,31.7759,15631771.0
2019-01-06,30.4181,31.9173,30.371,31.7759,15631771.0
2019-01-07,31.8702,32.8098,31.7146,32.3416,13868845.0
2019-01-08,32.7376,32.7376,30.8047,31.031,12485267.0
2019-01-09,31.4176,32.8508,31.3893,32.3416,11757089.0
2019-01-10,32.1342,32.8319,31.955,32.7754,7573577.0
2019-01-11,32.4548,33.2987,32.2379,32.7942,6449679.0
2019-01-12,32.4548,33.2987,32.2379,32.7942,6449679.0
2019-01-13,32.4548,33.2987,32.2379,32.7942,6449679.0
2019-01-14,32.2379,32.3416,31.5024,31.9268,9552417.0
2019-01-15,32.1436,32.3652,31.493,31.823,6593914.0
2019-01-16,31.9833,32.3133,31.6439,31.7193,6778947.0
2019-01-17,31.5873,32.7282,31.3516,32.5679,10260695.0
2019-01-18,32.964,34.2463,32.6528,33.6711,11332673.0
2019-01-19,32.964,34.2463,32.6528,33.6711,11332673.0
2019-01-20,32.964,34.2463,32.6528,33.6711,11332673.0
2019-01-21,32.964,34.2463,32.6528,33.6711,11332673.0
2019-01-22,33.3034,33.3505,32.1719,32.4736,10047367.0
2019-01-23,32.7282,32.9451,31.7806,32.3511,9560203.0
2019-01-24,34.1143,35.7502,33.954,35.6607,21529913.0
2019-01-25,36.3301,37.2259,36.1227,36.9524,17553661.0
2019-01-26,36.3301,37.2259,36.1227,36.9524,17553661.0
2019-01-27,36.3301,37.2259,36.1227,36.9524,17553661.0
2019-01-28,35.4721,36.7261,35.3778,36.4904,12459608.0
2019-01-29,37.0279,37.1033,35.6795,36.019,8754569.0
2019-01-30,36.4056,37.7162,36.2924,37.339,12546186.0
2019-01-31,37.0373,37.4805,36.5093,36.8487,11588866.0
2019-02-01,36.8487,37.6879,36.8487,37.0656,11091030.0
2019-02-02,36.8487,37.6879,36.8487,37.0656,11091030.0
2019-02-03,36.8487,37.6879,36.8487,37.0656,11091030.0
2019-02-04,36.9242,37.0656,36.2547,36.679,12458413.0
2019-02-05,36.6601,37.0467,36.3961,36.8864,13240190.0
2019-02-06,37.0467,38.3857,36.9619,37.9802,21058321.0
2019-02-07,37.4616,38.0226,37.3013,37.6408,13395629.0
2019-02-08,37.0562,37.5276,36.5187,37.5088,9891633.0
2019-02-09,37.0562,37.5276,36.5187,37.5088,9891633.0
2019-02-10,37.0562,37.5276,36.5187,37.5088,9891633.0
2019-02-11,37.6879,37.8953,37.0844,37.6219,9969547.0
2019-02-12,38.0745,38.5549,37.9802,38.3668,8911886.0
2019-02-13,38.6214,38.8807,38.395,38.5177,10134166.0
2019-02-14,38.3762,38.8665,38.1971,38.3857,13938398.0
2019-02-15,37.7162,37.9048,36.3867,36.8676,22396286.0
2019-02-16,37.7162,37.9048,36.3867,36.8676,22396286.0
2019-02-17,37.7162,37.9048,36.3867,36.8676,22396286.0
2019-02-18,37.7162,37.9048,36.3867,36.8676,22396286.0
2019-02-19,36.7733,37.4427,36.7733,37.0562,12353083.0
2019-02-20,37.1035,37.3026,36.8477,36.9614,9575857.0
2019-02-21,36.9614,37.2078,36.5192,36.8003,7178769.0
2019-02-22,36.8571,37.3784,36.7718,37.3689,8149656.0
2019-02-23,36.8571,37.3784,36.7718,37.3689,8149656.0
2019-02-24,36.8571,37.3784,36.7718,37.3689,8149656.0
2019-02-25,37.8333,37.9849,37.549,37.5869,8064793.0
2019-02-26,37.4637,37.7859,37.4189,37.5111,6159319.0
2019-02-27,37.2457,37.2646,36.298,36.7529,14038518.0
2019-02-28,36.4686,36.5918,35.9378,36.3359,9785071.0
2019-03-01,36.6392,36.9045,36.0705,36.5444,7852887.0
2019-03-02,36.6392,36.9045,36.0705,36.5444,7852887.0
2019-03-03,36.6392,36.9045,36.0705,36.5444,7852887.0
2019-03-04,36.933,38.0797,36.4022,37.0372,20810690.0
2019-03-05,37.132,37.1983,36.7339,36.895,12449142.0
2019-03-06,36.8477,36.9045,35.6914,36.08,12557776.0
2019-03-07,35.9663,35.9663,35.1133,35.6061,9831733.0
2019-03-08,34.9096,35.862,34.8764,35.7672,8174435.0
2019-03-09,34.9096,35.862,34.8764,35.7672,8174435.0
2019-03-10,34.9096,35.862,34.8764,35.7672,8174435.0
2019-03-11,35.9663,36.8571,35.8336,36.497,7199520.0
2019-03-12,36.6771,36.9898,36.3169,36.6865,6267672.0
2019-03-13,36.9045,37.0562,36.5396,36.5823,6404409.0
2019-03-14,36.6771,37.7433,36.6771,36.895,9491100.0
2019-03-15,37.2931,38.8853,37.2457,38.2787,23021455.0
2019-03-16,37.2931,38.8853,37.2457,38.2787,23021455.0
2019-03-17,37.2931,38.8853,37.2457,38.2787,23021455.0
2019-03-18,38.2977,38.582,37.8238,37.9091,7670758.0
2019-03-19,38.0987,38.6104,38.075,38.2598,7134477.0
2019-03-20,38.2692,38.4967,37.3026,37.5016,7772419.0
2019-03-21,37.7101,39.7951,37.7006,39.1696,13135688.0
2019-03-22,38.8947,39.0559,37.729,37.7764,9468291.0
2019-03-23,38.8947,39.0559,37.729,37.7764,9468291.0
2019-03-24,38.8947,39.0559,37.729,37.7764,9468291.0
2019-03-25,37.6153,38.0323,37.023,37.3405,6710168.0
2019-03-26,37.748,38.3611,37.1415,37.5585,8138050.0
2019-03-27,37.5964,37.8238,36.5539,36.895,7737550.0
2019-03-28,36.8856,37.1462,36.2411,36.497,8298258.0
2019-03-29,37.0182,37.7622,36.9614,37.5869,9221519.0
2019-03-30,37.0182,37.7622,36.9614,37.5869,9221519.0
2019-03-31,37.0182,37.7622,36.9614,37.5869,9221519.0
2019-04-01,38.1934,39.018,38.1081,38.98,11731010.0
2019-04-02,38.8568,39.0606,38.4872,38.8474,8688625.0
2019-04-03,39.4823,40.7618,39.4444,40.2121,13204805.0
2019-04-04,39.8709,40.5912,39.8235,40.3922,8472810.0
2019-04-05,40.7523,41.1219,40.4585,40.7902,8502898.0
2019-04-06,40.7523,41.1219,40.4585,40.7902,8502898.0
2019-04-07,40.7523,41.1219,40.4585,40.7902,8502898.0
2019-04-08,40.686,40.7618,39.9088,40.6765,6314180.0
