,CHCO US Equity,CHCO US Equity,CHCO US Equity,CHCO US Equity,CHCO US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,71.6856,71.9033,71.372,71.372,55764.0
2020-01-02,71.6681,71.7639,70.954,71.642,42688.0
2020-01-03,70.893,71.4678,70.2747,71.3807,61884.0
2020-01-04,70.893,71.4678,70.2747,71.3807,61884.0
2020-01-05,70.893,71.4678,70.2747,71.3807,61884.0
2020-01-06,70.9801,71.1565,70.1353,71.0237,57809.0
2020-01-07,70.6666,70.9279,69.9785,70.414,54668.0
2020-01-08,70.5272,71.298,70.5272,71.163,59813.0
2020-01-09,71.3023,71.5636,70.9017,71.0585,43878.0
2020-01-10,71.372,71.372,70.6317,70.9191,54309.0
2020-01-11,71.372,71.372,70.6317,70.9191,54309.0
2020-01-12,71.372,71.372,70.6317,70.9191,54309.0
2020-01-13,70.9453,71.7901,70.7362,71.7639,45858.0
2020-01-14,71.913,71.913,71.2158,71.6104,64062.0
2020-01-15,71.2991,71.4482,70.7378,71.1149,36912.0
2020-01-16,71.4833,72.1761,71.4833,71.9393,35635.0
2020-01-17,72.3603,72.54,71.685,71.8604,56139.0
2020-01-18,72.3603,72.54,71.685,71.8604,56139.0
2020-01-19,72.3603,72.54,71.685,71.8604,56139.0
2020-01-20,72.3603,72.54,71.685,71.8604,56139.0
2020-01-21,71.7464,71.7464,70.5186,70.6326,47829.0
2020-01-22,70.922,71.2991,70.4309,70.5273,29632.0
2020-01-23,70.352,70.352,69.3916,70.0538,72480.0
2020-01-24,70.0713,70.1327,68.5541,68.8874,45009.0
2020-01-25,70.0713,70.1327,68.5541,68.8874,45009.0
2020-01-26,70.0713,70.1327,68.5541,68.8874,45009.0
2020-01-27,67.9753,68.8786,67.8701,67.8876,56981.0
2020-01-28,68.2647,68.4313,67.2474,67.3702,46003.0
2020-01-29,67.5982,67.8543,66.3792,66.4669,67600.0
2020-01-30,66.5634,68.177,66.388,67.8876,93681.0
