,GVA US Equity,GVA US Equity,GVA US Equity,GVA US Equity,GVA US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,25.4419,25.8041,25.3583,25.702,517817.0
2020-01-02,26.0085,26.0085,25.1632,25.6277,419678.0
2020-01-03,25.3118,26.0549,25.2468,25.9528,536775.0
2020-01-04,25.3118,26.0549,25.2468,25.9528,536775.0
2020-01-05,25.3118,26.0549,25.2468,25.9528,536775.0
2020-01-06,25.5998,26.2872,25.2097,26.0364,553986.0
2020-01-07,25.897,26.1014,25.3908,25.7763,335580.0
2020-01-08,25.8041,25.9806,25.5719,25.6184,519676.0
2020-01-09,25.7763,25.8692,25.3705,25.702,520347.0
2020-01-10,25.8413,26.0549,25.1911,25.7113,648412.0
2020-01-11,25.8413,26.0549,25.1911,25.7113,648412.0
2020-01-12,25.8413,26.0549,25.1911,25.7113,648412.0
2020-01-13,24.6245,24.7174,23.8628,24.2622,926844.0
2020-01-14,24.2622,25.3862,24.1415,24.9774,968364.0
2020-01-15,24.9496,25.4419,24.9496,25.3769,339008.0
2020-01-16,25.7205,26.1385,25.3583,25.5812,415752.0
2020-01-17,25.7298,25.8413,24.7777,24.8567,383273.0
2020-01-18,25.7298,25.8413,24.7777,24.8567,383273.0
2020-01-19,25.7298,25.8413,24.7777,24.8567,383273.0
2020-01-20,25.7298,25.8413,24.7777,24.8567,383273.0
2020-01-21,24.5966,24.9403,24.2808,24.8753,394920.0
2020-01-22,25.0332,25.1261,24.4387,24.6709,282711.0
2020-01-23,24.6338,25.2747,24.1693,25.219,682666.0
2020-01-24,25.3026,25.3026,24.5687,24.9031,460468.0
2020-01-25,25.3026,25.3026,24.5687,24.9031,460468.0
2020-01-26,25.3026,25.3026,24.5687,24.9031,460468.0
2020-01-27,24.3551,25.1967,24.1507,24.9496,675744.0
2020-01-28,25.3211,26.0642,25.0889,25.1168,450827.0
2020-01-29,25.2097,26.0828,25.1261,25.7763,818812.0
2020-01-30,25.5348,25.767,25.0425,25.7484,464508.0
2020-01-31,25.7205,25.7205,25.0703,25.2004,409953.0
2020-02-01,25.7205,25.7205,25.0703,25.2004,409953.0
2020-02-02,25.7205,25.7205,25.0703,25.2004,409953.0
2020-02-03,25.2933,25.7763,24.9867,25.0889,717970.0
2020-02-04,25.6091,25.8506,25.2747,25.479,436400.0
2020-02-05,25.897,26.4079,25.7391,26.2872,1255964.0
2020-02-06,26.3893,26.3893,25.075,25.1075,617464.0
2020-02-07,24.9682,25.3026,24.7731,25.1354,420527.0
2020-02-08,24.9682,25.3026,24.7731,25.1354,420527.0
2020-02-09,24.9682,25.3026,24.7731,25.1354,420527.0
2020-02-10,25.1354,25.5812,25.0796,25.5069,537056.0
2020-02-11,25.7205,26.3011,25.5301,25.9806,490488.0
2020-02-12,26.2686,26.5937,25.8506,26.4822,779479.0
2020-02-13,26.2593,26.6401,26.0085,26.3243,587685.0
2020-02-14,26.3615,26.4358,25.9342,26.315,373873.0
2020-02-15,26.3615,26.4358,25.9342,26.315,373873.0
2020-02-16,26.3615,26.4358,25.9342,26.315,373873.0
2020-02-17,26.3615,26.4358,25.9342,26.315,373873.0
2020-02-18,26.1571,26.38,25.6091,26.1478,540099.0
2020-02-19,26.1943,26.4729,25.2282,25.3397,713910.0
2020-02-20,25.2097,25.9528,24.6245,24.7452,884247.0
2020-02-21,24.7267,24.9867,24.0207,24.16,1070457.0
2020-02-22,24.7267,24.9867,24.0207,24.16,1070457.0
2020-02-23,24.7267,24.9867,24.0207,24.16,1070457.0
2020-02-24,23.3333,23.7374,22.9804,23.259,633001.0
2020-02-25,23.2497,23.2497,21.94,22.0143,999331.0
2020-02-26,22.1815,22.2466,20.3052,20.5188,1237572.0
2020-02-27,20.1473,20.9276,19.6921,20.0265,989498.0
2020-02-28,19.1441,19.6364,18.5682,18.8747,1544505.0
2020-02-29,19.1441,19.6364,18.5682,18.8747,1544505.0
2020-03-01,19.1441,19.6364,18.5682,18.8747,1544505.0
2020-03-02,18.9026,19.1813,18.2059,18.5311,1505401.0
